Orthogroup	MFC_MF30_protein	MHP_98_protein
OG0000000	WP_160583943.1	WP_220200503.1
OG0000000	WP_160605422.1	WP_179696098.1
OG0000002	WP_160605385.1, WP_258555096.1	WP_308705282.1
OG0000002	WP_160605387.1	WP_258556557.1
OG0000005	WP_308705464.1	WP_308705289.1
OG0000005	WP_160605580.1	WP_179696126.1
OG0000006	WP_220190749.1	WP_179696116.1, WP_179695966.1
OG0000009	WP_220190754.1	WP_179695973.1
OG0000010	WP_002557631.1	WP_258556577.1, WP_258556582.1
OG0000018	WP_160605324.1, WP_160605340.1	WP_179695917.1
OG0000021	WP_155897261.1	WP_258556507.1
OG0000022	WP_220190753.1	WP_258556556.1
OG0000023	WP_258555133.1, WP_160605352.1	WP_179695895.1
OG0000025	WP_002557601.1	WP_225973032.1
OG0000026	WP_160605404.1	WP_179695974.1
OG0000029	WP_160605326.1	WP_011290139.1
OG0000030	WP_160581217.1	WP_179695991.1
OG0000031	WP_323749063.1, WP_002557874.1	WP_160607724.1
OG0000034	WP_160605400.1	WP_179695975.1
OG0000035	WP_160605360.1	WP_179696073.1
OG0000036	WP_160605402.1	WP_011206290.1
OG0000039	WP_308705462.1, WP_258555149.1	WP_011206214.1
OG0000040	WP_002557452.1	WP_179696013.1
OG0000041	WP_308705457.1	WP_258556513.1, WP_258556514.1
OG0000042	WP_160605586.1	WP_179695864.1
OG0000043	WP_160605582.1	WP_160584888.1
OG0000044	WP_160605578.1	WP_179696125.1
OG0000045	WP_002557517.1	WP_011290219.1
OG0000046	WP_002557593.1	WP_011206103.1
OG0000047	WP_002557611.1	WP_225972996.1
OG0000048	WP_002557625.1	WP_179695927.1
OG0000049	WP_002557626.1	WP_179695928.1, WP_179696086.1
OG0000050	WP_160605398.1	WP_011206292.1
OG0000051	WP_160605651.1, WP_160581406.1	WP_135619210.1
OG0000052	WP_160581408.1	WP_094521716.1
OG0000053	WP_002557698.1	WP_179221201.1
OG0000054	WP_160603210.1	WP_014579964.1
OG0000055	WP_160605541.1	WP_160585645.1
OG0000056	WP_160581282.1	WP_179695896.1
OG0000057	WP_002557776.1	WP_011290028.1
OG0000058	WP_002557805.1	WP_135618593.1
OG0000059	WP_236681775.1	WP_044284596.1
OG0000060	WP_002557818.1	WP_011290055.1
OG0000061	WP_002557829.1	WP_011206035.1
OG0000062	WP_160605491.1	WP_179696065.1
OG0000063	WP_160583743.1	WP_052259122.1
OG0000064	WP_160605570.1	WP_179695933.1
OG0000065	WP_160605306.1	WP_179695946.1
OG0000066	WP_160605308.1	WP_179695954.1
OG0000067	WP_160581384.1	WP_011206493.1
OG0000068	WP_160605601.1	WP_179695884.1
OG0000069	WP_002557977.1	WP_179695977.1
OG0000070	WP_160580968.1	WP_179695982.1
OG0000071	WP_160583660.1	WP_179696084.1
OG0000072	WP_160605607.1	WP_179695890.1
OG0000073	WP_196792423.1	WP_179695988.1
OG0000074	WP_258555107.1	WP_020835847.1
OG0000075	WP_258555110.1	WP_011205981.1
OG0000076	WP_308705450.1	WP_179695843.1
OG0000077	WP_308705447.1	WP_179695945.1
OG0000079	WP_052234586.1	WP_220200502.1
OG0000080	WP_160581474.1	WP_179696009.1
OG0000081	WP_002557446.1	WP_094521681.1
OG0000082	WP_160605631.1	WP_179696010.1
OG0000083	WP_160581452.1	WP_179696012.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_160581449.1	WP_011206224.1
OG0000086	WP_160605611.1	WP_179696014.1
OG0000087	WP_160605613.1	WP_179696015.1
OG0000088	WP_236681783.1	WP_020835732.1
OG0000089	WP_002557458.1	WP_020835733.1
OG0000090	WP_160605617.1	WP_011290212.1
OG0000091	WP_002557464.1	WP_011289937.1
OG0000092	WP_002557465.1	WP_094521535.1
OG0000093	WP_160605564.1	WP_179695877.1
OG0000094	WP_160605562.1	WP_179695876.1
OG0000095	WP_160581091.1	WP_011205849.1
OG0000096	WP_160605560.1	WP_179695875.1
OG0000097	WP_002557471.1	WP_179695874.1
OG0000098	WP_002557472.1	WP_020835484.1
OG0000099	WP_002557473.1	WP_179695873.1
OG0000100	WP_002557477.1	WP_179695872.1
OG0000101	WP_002557478.1	WP_179695871.1
OG0000102	WP_160605558.1	WP_044272251.1
OG0000103	WP_002557480.1	WP_011206529.1
OG0000104	WP_160605556.1	WP_179695869.1
OG0000105	WP_002557483.1	WP_258556515.1
OG0000106	WP_160605554.1	WP_179695868.1
OG0000107	WP_160581106.1	WP_135619170.1
OG0000108	WP_002557486.1	WP_011206522.1
OG0000109	WP_160605552.1	WP_179695867.1
OG0000110	WP_160581114.1	WP_160588095.1
OG0000111	WP_002557497.1	WP_011206510.1
OG0000112	WP_160593490.1	WP_179696071.1
OG0000113	WP_160583781.1	WP_179696070.1
OG0000114	WP_160583783.1	WP_011290156.1
OG0000115	WP_160605508.1	WP_179696017.1
OG0000116	WP_002557510.1	WP_011206239.1
OG0000117	WP_002557511.1	WP_135618878.1
OG0000118	WP_002557514.1	WP_179696018.1
OG0000119	WP_160583937.1	WP_179696019.1
OG0000120	WP_160605510.1	WP_146379631.1
OG0000121	WP_002557518.1	WP_011284169.1
OG0000122	WP_002557519.1	WP_179696020.1
OG0000123	WP_160581160.1	WP_179696032.1
OG0000124	WP_002557523.1	WP_258556555.1
OG0000125	WP_160605512.1	WP_179696030.1
OG0000126	WP_160605514.1	WP_258556554.1
OG0000127	WP_160581167.1	WP_011206271.1
OG0000128	WP_002557528.1	WP_020835765.1
OG0000129	WP_002557530.1	WP_258556553.1
OG0000130	WP_160583957.1	WP_011284183.1
OG0000131	WP_160605520.1	WP_011205977.1
OG0000132	WP_002557534.1	WP_094521621.1
OG0000133	WP_002557535.1	WP_179696060.1
OG0000134	WP_160581180.1	WP_179696059.1
OG0000135	WP_160605522.1	WP_179696058.1
OG0000136	WP_160605524.1	WP_179696056.1
OG0000137	WP_160605526.1	WP_179696055.1
OG0000138	WP_002557542.1	WP_179696054.1
OG0000139	WP_002557543.1	WP_179696053.1
OG0000140	WP_160581189.1	WP_011284027.1
OG0000141	WP_002557545.1	WP_179696052.1
OG0000142	WP_002557548.1	WP_011284032.1
OG0000143	WP_002557549.1	WP_011205958.1
OG0000144	WP_002557551.1	WP_020835645.1
OG0000145	WP_160581199.1	WP_011205954.1
OG0000146	WP_002557554.1	WP_011205953.1
OG0000147	WP_002557555.1	WP_179696050.1
OG0000148	WP_160605532.1	WP_011290120.1
OG0000149	WP_160605534.1	WP_179696049.1
OG0000150	WP_160583976.1	WP_011284040.1
OG0000151	WP_160605623.1	WP_020835649.1
OG0000152	WP_160605625.1	WP_160585095.1
OG0000153	WP_002557563.1	WP_179696048.1
OG0000154	WP_160605627.1	WP_179696047.1
OG0000155	WP_160593526.1	WP_011284046.1
OG0000156	WP_002557566.1	WP_179696046.1
OG0000157	WP_002557567.1	WP_014579735.1
OG0000158	WP_002557569.1	WP_179696044.1
OG0000159	WP_160605310.1	WP_179695956.1
OG0000160	WP_002557573.1	WP_179695958.1
OG0000161	WP_002557574.1	WP_179695959.1
OG0000162	WP_160605314.1	WP_308705284.1
OG0000163	WP_002557576.1	WP_011206121.1
OG0000164	WP_002557577.1	WP_011206120.1
OG0000165	WP_160605316.1	WP_179695961.1
OG0000166	WP_160605318.1	WP_179695962.1
OG0000167	WP_160605320.1	WP_179695963.1
OG0000168	WP_160583687.1	WP_011206113.1
OG0000169	WP_002557589.1	WP_146379493.1
OG0000170	WP_002557590.1	WP_160584793.1
OG0000171	WP_002557594.1	WP_179221023.1
OG0000172	WP_002557595.1	WP_011206101.1
OG0000173	WP_002557602.1	WP_146379698.1
OG0000174	WP_002557603.1	WP_011284289.1
OG0000175	WP_160580878.1	WP_179695918.1
OG0000176	WP_160580880.1	WP_179695919.1
OG0000177	WP_160580882.1	WP_011284284.1
OG0000178	WP_160605328.1	WP_179695920.1
OG0000179	WP_002557610.1	WP_020835843.1
OG0000180	WP_002557613.1	WP_011206385.1
OG0000181	WP_002557614.1	WP_011206384.1
OG0000182	WP_160580892.1	WP_160584971.1
OG0000183	WP_160583667.1	WP_179695923.1
OG0000184	WP_002557620.1	WP_179695924.1
OG0000185	WP_160580902.1	WP_179695925.1
OG0000186	WP_002557622.1	WP_179695926.1
OG0000187	WP_002557623.1	WP_011206376.1
OG0000188	WP_160605338.1	WP_179696085.1
OG0000189	WP_160580918.1	WP_179696082.1
OG0000190	WP_160605342.1	WP_179696081.1
OG0000191	WP_160605344.1	WP_179696080.1
OG0000192	WP_160580926.1	WP_011206345.1
OG0000193	WP_160605348.1	WP_179696000.1
OG0000194	WP_160605350.1	WP_179695999.1
OG0000195	WP_160603067.1	WP_179695998.1
OG0000196	WP_160583648.1	WP_011206335.1
OG0000197	WP_160583646.1	WP_179695997.1
OG0000198	WP_160605356.1	WP_179695995.1
OG0000199	WP_002557667.1	WP_011206289.1
OG0000200	WP_002557668.1	WP_011284209.1
OG0000201	WP_160603116.1	WP_011206287.1
OG0000202	WP_160605406.1	WP_135618730.1
OG0000203	WP_160605408.1	WP_011206142.1
OG0000204	WP_160581414.1	WP_179696123.1
OG0000205	WP_160605410.1	WP_014579804.1
OG0000206	WP_160605412.1	WP_011206196.1
OG0000207	WP_160605414.1	WP_011290187.1
OG0000208	WP_160605416.1	WP_179696101.1
OG0000209	WP_002557684.1	WP_011206200.1
OG0000210	WP_160605426.1	WP_179696004.1
