NB627_RS00005	NZ_CP098240.1	+	1	1392	NB627_RS00005	ID131B	+	1	1392
NB627_RS00010	NZ_CP098240.1	+	1537	2673	NB627_RS00010	ID131B	+	1537	2673
NB627_RS00015	NZ_CP098240.1	+	2777	4636	NB627_RS00015	ID131B	+	2777	4636
NB627_RS00020	NZ_CP098240.1	+	4636	5094	NB627_RS00020	ID131B	+	4636	5094
NB627_RS00025	NZ_CP098240.1	+	5108	6091	NB627_RS00025	ID131B	+	5108	6091
NB627_RS00030	NZ_CP098240.1	+	6084	7055	NB627_RS00030	ID131B	+	6084	7055
NB627_RS00035	NZ_CP098240.1	+	7158	7727	NB627_RS00035	ID131B	+	7158	7727
NB627_RS00040	NZ_CP098240.1	+	7817	8818	NB627_RS00040	ID131B	+	7817	8818
NB627_RS00045	NZ_CP098240.1	+	8988	11008	NB627_RS00045	ID131B	+	8988	11008
NB627_RS00050	NZ_CP098240.1	+	11093	12101	NB627_RS00050	ID131B	+	11093	12101
NB627_RS00055	NZ_CP098240.1	+	12104	12850	NB627_RS00055	ID131B	+	12104	12850
NB627_RS00060	NZ_CP098240.1	+	12834	14438	NB627_RS00060	ID131B	+	12834	14438
NB627_RS00065	NZ_CP098240.1	+	14443	14688	NB627_RS00065	ID131B	+	14443	14688
NB627_RS00070	NZ_CP098240.1	+	14760	15623	NB627_RS00070	ID131B	+	14760	15623
NB627_RS00075	NZ_CP098240.1	+	15630	16475	NB627_RS00075	ID131B	+	15630	16475
NB627_RS00080	NZ_CP098240.1	-	16509	16778	NB627_RS00080	ID131B	-	16509	16778
NB627_RS00085	NZ_CP098240.1	+	16920	17201	NB627_RS00085	ID131B	+	16920	17201
NB627_RS00090	NZ_CP098240.1	+	17347	17961	NB627_RS00090	ID131B	+	17347	17961
NB627_RS00095	NZ_CP098240.1	-	18273	18599	NB627_RS00095	ID131B	-	18273	18599
NB627_RS00100	NZ_CP098240.1	-	18658	20934	NB627_RS00100	ID131B	-	18658	20934
NB627_RS00105	NZ_CP098240.1	-	21143	23383	NB627_RS00105	ID131B	-	21143	23383
NB627_RS00110	NZ_CP098240.1	-	23456	25799	NB627_RS00110	ID131B	-	23456	25799
NB627_RS00115	NZ_CP098240.1	-	25786	26607	NB627_RS00115	ID131B	-	25786	26607
NB627_RS00120	NZ_CP098240.1	-	26775	29057	NB627_RS00120	ID131B	-	26775	29057
