Orthogroup	MHP_168L_genes	MHP_4284_genes
OG0000000	MHP168L_RS02190	ABLE99_RS02150
OG0000000	MHP168L_RS03865, MHP168L_RS01715	ABLE99_RS01670
OG0000001	MHP168L_RS01370	ABLE99_RS01250
OG0000001	MHP168L_RS02830	ABLE99_RS02690
OG0000001	MHP168L_RS02780, MHP168L_RS02785	ABLE99_RS02640
OG0000002	MHP168L_RS04010	ABLE99_RS02040
OG0000002	MHP168L_RS03840	ABLE99_RS02035
OG0000002	MHP168L_RS01710	ABLE99_RS01675
OG0000003	MHP168L_RS01860	ABLE99_RS00505
OG0000003	MHP168L_RS03875	ABLE99_RS01760
OG0000004	MHP168L_RS03190	ABLE99_RS03080
OG0000004	MHP168L_RS03195	ABLE99_RS03085
OG0000004	MHP168L_RS03205	ABLE99_RS03095
OG0000005	MHP168L_RS00090	ABLE99_RS00100
OG0000005	MHP168L_RS00100	ABLE99_RS00105
OG0000005	MHP168L_RS00105	ABLE99_RS00110, ABLE99_RS00125
OG0000006	MHP168L_RS02530	ABLE99_RS02400
OG0000008	MHP168L_RS02330	ABLE99_RS02145
OG0000008	MHP168L_RS01795	ABLE99_RS01590
OG0000008	MHP168L_RS04025	ABLE99_RS02405
OG0000009	MHP168L_RS03915, MHP168L_RS03920	ABLE99_RS00995
OG0000010	MHP168L_RS01950	ABLE99_RS01770
OG0000011	MHP168L_RS03995	ABLE99_RS01865
OG0000011	MHP168L_RS02035	ABLE99_RS01860
OG0000012	MHP168L_RS03040	ABLE99_RS02305
OG0000013	MHP168L_RS02430	ABLE99_RS02310
OG0000014	MHP168L_RS01055	ABLE99_RS01060
OG0000015	MHP168L_RS01665	ABLE99_RS01525
OG0000016	MHP168L_RS02870	ABLE99_RS02735
OG0000016	MHP168L_RS00150	ABLE99_RS00170
OG0000017	MHP168L_RS00135	ABLE99_RS00155
OG0000017	MHP168L_RS02880	ABLE99_RS02745
OG0000019	MHP168L_RS04055	ABLE99_RS02920, ABLE99_RS02915
OG0000020	MHP168L_RS03590	ABLE99_RS03410
OG0000020	MHP168L_RS03595	ABLE99_RS03415
OG0000021	MHP168L_RS01865	ABLE99_RS01695
OG0000022	MHP168L_RS01775	ABLE99_RS01610
OG0000022	MHP168L_RS01725	ABLE99_RS01665
OG0000023	MHP168L_RS01410, MHP168L_RS03930, MHP168L_RS03545	ABLE99_RS01285
OG0000024	MHP168L_RS02775	ABLE99_RS02635
OG0000024	MHP168L_RS03940, MHP168L_RS03945	ABLE99_RS01245
OG0000025	MHP168L_RS01770	ABLE99_RS01615
