Orthogroup	MHP_MHP691_genes	MHP_UFV01_genes
OG0000000	DR087_RS03475	FEF30_RS02500
OG0000001	DR087_RS03325	FEF30_RS01595
OG0000001	DR087_RS03335	FEF30_RS01590
OG0000001	DR087_RS04015	FEF30_RS03180
OG0000001	DR087_RS04300	FEF30_RS03130
OG0000001	DR087_RS03255	FEF30_RS03125
OG0000002	DR087_RS03810	FEF30_RS02580
OG0000002	DR087_RS04740	FEF30_RS04340
OG0000002	DR087_RS04755	FEF30_RS04295
OG0000003	DR087_RS01665	FEF30_RS04200
OG0000003	DR087_RS04750	FEF30_RS04345
OG0000004	DR087_RS00850	FEF30_RS03540
OG0000004	DR087_RS00840	FEF30_RS03550
OG0000005	DR087_RS00530	FEF30_RS00415
OG0000005	DR087_RS00540	FEF30_RS04180
OG0000005	DR087_RS04465	FEF30_RS00425, FEF30_RS04185
OG0000007	DR087_RS03535	FEF30_RS02555
OG0000007	DR087_RS03530	FEF30_RS02545
OG0000007	DR087_RS04335, DR087_RS03525	FEF30_RS02540
OG0000008	DR087_RS04355	FEF30_RS02885
OG0000010	DR087_RS01605	FEF30_RS02240
OG0000011	DR087_RS04590	FEF30_RS02330
OG0000011	DR087_RS01515	FEF30_RS02325
OG0000012	DR087_RS03620	FEF30_RS03655
OG0000013	DR087_RS01680	FEF30_RS02775
OG0000013	DR087_RS04185	FEF30_RS00500
OG0000014	DR087_RS03505	FEF30_RS00910
OG0000014	DR087_RS03520	FEF30_RS04210
OG0000016	DR087_RS01400	FEF30_RS03220
OG0000016	DR087_RS02395	FEF30_RS00485
OG0000017	DR087_RS02410	FEF30_RS00470
OG0000017	DR087_RS01410	FEF30_RS03230
OG0000020	DR087_RS04440	FEF30_RS00265
OG0000020	DR087_RS04445	FEF30_RS03755
OG0000021	DR087_RS04820	FEF30_RS02170
OG0000021	DR087_RS03470	FEF30_RS00820
OG0000022	DR087_RS02045	FEF30_RS01975
OG0000022	DR087_RS04630	FEF30_RS04290
OG0000024	DR087_RS03250	FEF30_RS03120
OG0000025	DR087_RS04625	FEF30_RS04285
OG0000025	DR087_RS02095	FEF30_RS02025
OG0000026	DR087_RS01165	FEF30_RS01680
OG0000026	DR087_RS02075	FEF30_RS02005
OG0000027	DR087_RS04635	FEF30_RS00060
OG0000027	DR087_RS04475	FEF30_RS04125
OG0000029	DR087_RS02775	FEF30_RS01390
OG0000029	DR087_RS03175	FEF30_RS00925
OG0000030	DR087_RS04640	FEF30_RS04110
OG0000030	DR087_RS04470	FEF30_RS04120
OG0000032	DR087_RS00575	FEF30_RS00065
OG0000034	DR087_RS03600	FEF30_RS02525
OG0000035	DR087_RS00855	FEF30_RS03545
OG0000036	DR087_RS00550	FEF30_RS00430, FEF30_RS00445
OG0000039	DR087_RS03190	FEF30_RS01930
OG0000040	DR087_RS02165	FEF30_RS03620
OG0000041	DR087_RS03625	FEF30_RS00985
OG0000042	DR087_RS03360	FEF30_RS03315
OG0000043	DR087_RS01545	FEF30_RS02295, FEF30_RS02105
OG0000044	DR087_RS04800	FEF30_RS04460
OG0000045	DR087_RS03185	FEF30_RS01935, FEF30_RS01940
OG0000048	DR087_RS00140	FEF30_RS02480
OG0000049	DR087_RS01000	FEF30_RS03400
OG0000050	DR087_RS02450	FEF30_RS02820
OG0000051	DR087_RS01275	FEF30_RS03030
OG0000052	DR087_RS00505	FEF30_RS00405
OG0000053	DR087_RS04540	FEF30_RS04260
OG0000054	DR087_RS02475	FEF30_RS02845
OG0000055	DR087_RS00555	FEF30_RS00450
OG0000056	DR087_RS00765	FEF30_RS00250
OG0000057	DR087_RS01485	FEF30_RS03300
OG0000058	DR087_RS00275, DR087_RS00280	FEF30_RS02120
OG0000059	DR087_RS03825	FEF30_RS02110
OG0000061	DR087_RS01595	FEF30_RS01900
OG0000062	DR087_RS00395	FEF30_RS00295
OG0000063	DR087_RS04450	FEF30_RS04165
OG0000064	DR087_RS00380	FEF30_RS00280
OG0000065	DR087_RS00215	FEF30_RS02625
OG0000066	DR087_RS01175	FEF30_RS01670
OG0000067	DR087_RS03450	FEF30_RS00835
OG0000068	DR087_RS03140	FEF30_RS00960
OG0000069	DR087_RS01375	FEF30_RS03195
OG0000070	DR087_RS02480	FEF30_RS02850
OG0000071	DR087_RS00780	FEF30_RS03610
OG0000072	DR087_RS02175	FEF30_RS04405
OG0000073	DR087_RS02200	FEF30_RS01015
OG0000074	DR087_RS04685	FEF30_RS04230
OG0000075	DR087_RS01860	FEF30_RS00655
OG0000077	DR087_RS03060	FEF30_RS00755
OG0000078	DR087_RS02065	FEF30_RS01995
OG0000079	DR087_RS02980	FEF30_RS02935
OG0000080	DR087_RS04005	FEF30_RS02980
OG0000081	DR087_RS01855	FEF30_RS00650
OG0000082	DR087_RS01685	FEF30_RS02770
OG0000083	DR087_RS00065	FEF30_RS02400
OG0000084	DR087_RS00090	FEF30_RS02430
OG0000085	DR087_RS00095	FEF30_RS02435
OG0000086	DR087_RS00105	FEF30_RS02445
OG0000087	DR087_RS00120	FEF30_RS02460
OG0000088	DR087_RS00125	FEF30_RS02465
OG0000089	DR087_RS00135	FEF30_RS02475
OG0000090	DR087_RS00500	FEF30_RS00400
OG0000091	DR087_RS00485	FEF30_RS00385
OG0000092	DR087_RS00470	FEF30_RS00370
OG0000093	DR087_RS00465	FEF30_RS00365
OG0000094	DR087_RS00460	FEF30_RS00360
OG0000095	DR087_RS00435	FEF30_RS00335
OG0000096	DR087_RS00430	FEF30_RS00330
OG0000097	DR087_RS00410	FEF30_RS00310
OG0000098	DR087_RS00400	FEF30_RS00300
OG0000099	DR087_RS00775	FEF30_RS04160
OG0000100	DR087_RS00750	FEF30_RS00240
OG0000101	DR087_RS00745	FEF30_RS00235
OG0000102	DR087_RS02090	FEF30_RS02020
OG0000103	DR087_RS00180	FEF30_RS02590
OG0000104	DR087_RS00185	FEF30_RS02595
OG0000105	DR087_RS00200	FEF30_RS02610
OG0000106	DR087_RS00210	FEF30_RS02620
OG0000107	DR087_RS00220	FEF30_RS02630
OG0000108	DR087_RS00225	FEF30_RS02635
OG0000109	DR087_RS00230	FEF30_RS02640
OG0000110	DR087_RS01695	FEF30_RS02760
OG0000111	DR087_RS01700	FEF30_RS02755
OG0000112	DR087_RS01710	FEF30_RS02745
OG0000113	DR087_RS04610	FEF30_RS02725
OG0000114	DR087_RS01740	FEF30_RS02715
OG0000115	DR087_RS01750	FEF30_RS02705
OG0000116	DR087_RS03310	FEF30_RS01610
OG0000117	DR087_RS03305	FEF30_RS01615
OG0000118	DR087_RS01190	FEF30_RS01650
OG0000119	DR087_RS01185	FEF30_RS01655
OG0000120	DR087_RS01170	FEF30_RS01675
OG0000121	DR087_RS01145	FEF30_RS01700
OG0000122	DR087_RS01140	FEF30_RS01705
OG0000123	DR087_RS01120	FEF30_RS01725
OG0000124	DR087_RS01115	FEF30_RS01730
OG0000125	DR087_RS01110	FEF30_RS01735
OG0000126	DR087_RS01100	FEF30_RS01745
OG0000127	DR087_RS01090	FEF30_RS01755
OG0000128	DR087_RS01075	FEF30_RS01770
OG0000129	DR087_RS01070	FEF30_RS01775
OG0000130	DR087_RS01060	FEF30_RS01785
OG0000131	DR087_RS04535	FEF30_RS04265
OG0000132	DR087_RS04530	FEF30_RS04270
OG0000133	DR087_RS02865	FEF30_RS00840
OG0000134	DR087_RS02870	FEF30_RS00845
OG0000135	DR087_RS02885	FEF30_RS00860
OG0000136	DR087_RS02890	FEF30_RS00865
OG0000137	DR087_RS02930	FEF30_RS00905
OG0000138	DR087_RS03165	FEF30_RS00935
OG0000139	DR087_RS03135	FEF30_RS00965
OG0000140	DR087_RS03130	FEF30_RS00970
OG0000141	DR087_RS01495	FEF30_RS03310
OG0000142	DR087_RS04585	FEF30_RS04385
OG0000143	DR087_RS01465	FEF30_RS03285
OG0000144	DR087_RS01455	FEF30_RS03275
OG0000145	DR087_RS01445	FEF30_RS03265
