#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP098239.1:93370-95166|+   -            599 501at2085            -            526  7.9e-249  822.1   8.9   1   1  1.1e-250  1.6e-248  821.0   8.9     1   526     1   594     1   594 0.93 NZ_CP098239.1_83 # 93370 # 95166 # 1 # ID=1_83;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.344
NZ_CP098239.1:96500-98584|-   -            695 501at2085            -            526   6.2e-47  155.9   1.2   1   4   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 NZ_CP098239.1_85 # 96500 # 98584 # -1 # ID=1_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP098239.1:96500-98584|-   -            695 501at2085            -            526   6.2e-47  155.9   1.2   2   4      0.53        79   -2.9   0.0   155   173   263   281   256   293 0.80 NZ_CP098239.1_85 # 96500 # 98584 # -1 # ID=1_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP098239.1:96500-98584|-   -            695 501at2085            -            526   6.2e-47  155.9   1.2   3   4     6e-12     9e-10   33.2   0.1   170   339   301   485   289   498 0.69 NZ_CP098239.1_85 # 96500 # 98584 # -1 # ID=1_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP098239.1:96500-98584|-   -            695 501at2085            -            526   6.2e-47  155.9   1.2   4   4    0.0026      0.39    4.7   0.0   350   411   607   675   595   691 0.78 NZ_CP098239.1_85 # 96500 # 98584 # -1 # ID=1_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP098239.1:782499-784298|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   1   3   1.7e-21   2.6e-19   64.7   2.9    10   196   117   308   115   321 0.77 NZ_CP098239.1_643 # 782499 # 784298 # -1 # ID=1_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
NZ_CP098239.1:782499-784298|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   2   3      0.52        78   -2.9   0.8   135   181   388   434   375   452 0.70 NZ_CP098239.1_643 # 782499 # 784298 # -1 # ID=1_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
NZ_CP098239.1:782499-784298|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   3   3      0.35        53   -2.3   0.0   382   408   480   506   460   515 0.80 NZ_CP098239.1_643 # 782499 # 784298 # -1 # ID=1_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
NZ_CP098239.1:705871-707079|- -            403 501at2085            -            526     2e-18   61.8   3.1   1   2   3.1e-20   4.5e-18   60.6   0.3     8   140    20   155    14   168 0.88 NZ_CP098239.1_580 # 705871 # 707079 # -1 # ID=1_580;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.402
NZ_CP098239.1:705871-707079|- -            403 501at2085            -            526     2e-18   61.8   3.1   2   2     0.023       3.4    1.6   0.2   161   256   205   309   194   325 0.67 NZ_CP098239.1_580 # 705871 # 707079 # -1 # ID=1_580;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.402
NZ_CP098239.1:91511-92812|+   -            434 501at2085            -            526   1.6e-12   42.3   0.5   1   2   4.1e-05    0.0061   10.7   0.1    62   180    45   170    35   173 0.76 NZ_CP098239.1_80 # 91511 # 92812 # 1 # ID=1_80;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP098239.1:91511-92812|+   -            434 501at2085            -            526   1.6e-12   42.3   0.5   2   2   6.5e-11   9.7e-09   29.8   0.1    78   168   238   340   214   363 0.81 NZ_CP098239.1_80 # 91511 # 92812 # 1 # ID=1_80;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/133A/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/133A/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
