#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP034597.1:94740-96536|+   -            599 501at2085            -            526  7.3e-249  822.1   8.9   1   1  1.1e-250  1.5e-248  821.0   8.9     1   526     1   594     1   594 0.93 NZ_CP034597.1_77 # 94740 # 96536 # 1 # ID=1_77;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.345
NZ_CP034597.1:97868-99952|-   -            695 501at2085            -            526   5.7e-47  155.9   1.2   1   4   1.8e-36   2.4e-34  114.2   0.1     4   153     8   162     5   186 0.86 NZ_CP034597.1_79 # 97868 # 99952 # -1 # ID=1_79;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
NZ_CP034597.1:97868-99952|-   -            695 501at2085            -            526   5.7e-47  155.9   1.2   2   4      0.53        73   -2.9   0.0   155   173   263   281   256   293 0.80 NZ_CP034597.1_79 # 97868 # 99952 # -1 # ID=1_79;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
NZ_CP034597.1:97868-99952|-   -            695 501at2085            -            526   5.7e-47  155.9   1.2   3   4     6e-12   8.3e-10   33.2   0.1   170   339   301   485   289   498 0.69 NZ_CP034597.1_79 # 97868 # 99952 # -1 # ID=1_79;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
NZ_CP034597.1:97868-99952|-   -            695 501at2085            -            526   5.7e-47  155.9   1.2   4   4    0.0026      0.36    4.7   0.0   350   411   607   675   595   691 0.78 NZ_CP034597.1_79 # 97868 # 99952 # -1 # ID=1_79;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
NZ_CP034597.1:756744-758543|- -            600 501at2085            -            526   2.4e-19   64.7   2.9   1   3   1.7e-21   2.4e-19   64.7   2.9    10   196   117   308   115   321 0.77 NZ_CP034597.1_594 # 756744 # 758543 # -1 # ID=1_594;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NZ_CP034597.1:756744-758543|- -            600 501at2085            -            526   2.4e-19   64.7   2.9   2   3      0.56        77   -3.0   0.6   135   181   388   434   377   452 0.72 NZ_CP034597.1_594 # 756744 # 758543 # -1 # ID=1_594;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NZ_CP034597.1:756744-758543|- -            600 501at2085            -            526   2.4e-19   64.7   2.9   3   3      0.34        47   -2.2   0.0   382   408   480   506   460   516 0.80 NZ_CP034597.1_594 # 756744 # 758543 # -1 # ID=1_594;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NZ_CP034597.1:679088-680296|- -            403 501at2085            -            526   1.8e-18   61.8   3.1   1   2   3.1e-20   4.2e-18   60.6   0.3     8   140    20   155    14   168 0.88 NZ_CP034597.1_534 # 679088 # 680296 # -1 # ID=1_534;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_CP034597.1:679088-680296|- -            403 501at2085            -            526   1.8e-18   61.8   3.1   2   2     0.023       3.2    1.6   0.2   161   256   205   309   194   325 0.67 NZ_CP034597.1_534 # 679088 # 680296 # -1 # ID=1_534;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_CP034597.1:92881-94182|+   -            434 501at2085            -            526   1.1e-12   42.7   0.5   1   2   3.1e-05    0.0042   11.1   0.1    62   180    45   170    35   173 0.76 NZ_CP034597.1_74 # 92881 # 94182 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
