Orthogroup	MHP_7422_genes	MFC_MF18_genes
OG0000000	MHL_RS03860	DR082_RS03040
OG0000001	MHL_RS03980, MHL_RS02845, MHL_RS03875, MHL_RS04080	DR082_RS00825, DR082_RS00820
OG0000002	MHL_RS02195	DR082_RS02920
OG0000002	MHL_RS01800	DR082_RS03830
OG0000003	MHL_RS02255	DR082_RS03925
OG0000007	MHL_RS02250	DR082_RS02890
OG0000007	MHL_RS02245	DR082_RS02895
OG0000007	MHL_RS02240	DR082_RS03930
OG0000011	MHL_RS02025, MHL_RS04185	DR082_RS03895, DR082_RS03545
OG0000011	MHL_RS02020	DR082_RS02625
OG0000013	MHL_RS02470	DR082_RS01090, DR082_RS01085
OG0000013	MHL_RS03925	DR082_RS03095
OG0000014	MHL_RS00590, MHL_RS01170, MHL_RS00695	DR082_RS03685
OG0000016	MHL_RS02885	DR082_RS00770
OG0000017	MHL_RS00160	DR082_RS00175
OG0000017	MHL_RS02895	DR082_RS00760
OG0000020	MHL_RS03545	DR082_RS03840
OG0000020	MHL_RS03550	DR082_RS03845
OG0000022	MHL_RS01790	DR082_RS03835
OG0000023	MHL_RS01400, MHL_RS00675, MHL_RS03935	DR082_RS02000
OG0000024	MHL_RS02790, MHL_RS01355	DR082_RS00830
OG0000025	MHL_RS01785	DR082_RS02390
OG0000026	MHL_RS01445	DR082_RS02045
OG0000027	MHL_RS03755	DR082_RS02575
OG0000027	MHL_RS03360	DR082_RS03875
OG0000029	MHL_RS01165, MHL_RS00700	DR082_RS00605
OG0000030	MHL_RS03335, MHL_RS03355	DR082_RS03880
OG0000031	MHL_RS00630	DR082_RS01195
OG0000032	MHL_RS04000, MHL_RS03350	DR082_RS02570
OG0000039	MHL_RS01705	DR082_RS00665
OG0000042	MHL_RS02985	DR082_RS00660, DR082_RS00805
OG0000043	MHL_RS00625	DR082_RS02595
OG0000045	MHL_RS01710	DR082_RS03225, DR082_RS03230
OG0000047	MHL_RS01655, MHL_RS00650	DR082_RS00835
OG0000048	MHL_RS02170	DR082_RS03010, DR082_RS02750
OG0000049	MHL_RS03060	DR082_RS01640, DR082_RS03345
OG0000050	MHL_RS02510	DR082_RS01160
OG0000052	MHL_RS00080	DR082_RS03660
OG0000053	MHL_RS01530	DR082_RS03920
OG0000054	MHL_RS02535	DR082_RS01135
OG0000055	MHL_RS00140	DR082_RS03970
OG0000056	MHL_RS03530	DR082_RS02415
OG0000057	MHL_RS02970	DR082_RS00685
OG0000062	MHL_RS03580	DR082_RS00025
OG0000063	MHL_RS03575	DR082_RS00020
OG0000064	MHL_RS03565	DR082_RS00010
OG0000065	MHL_RS02310	DR082_RS01905
OG0000066	MHL_RS01435	DR082_RS02035
OG0000068	MHL_RS00735	DR082_RS00640
OG0000069	MHL_RS02860	DR082_RS00795
OG0000070	MHL_RS02540	DR082_RS01115
OG0000071	MHL_RS03275	DR082_RS01840
OG0000072	MHL_RS03280	DR082_RS03775
OG0000073	MHL_RS00795	DR082_RS02205
OG0000074	MHL_RS04210	DR082_RS03730
OG0000075	MHL_RS00345	DR082_RS00360
OG0000076	MHL_RS00360	DR082_RS00375
OG0000077	MHL_RS00450	DR082_RS00460
OG0000078	MHL_RS01755	DR082_RS00920
OG0000079	MHL_RS02615	DR082_RS01035
OG0000080	MHL_RS03870	DR082_RS03280
OG0000081	MHL_RS00340	DR082_RS00355
OG0000082	MHL_RS02460	DR082_RS01095
OG0000083	MHL_RS02095	DR082_RS02990
OG0000084	MHL_RS02120	DR082_RS02700
OG0000085	MHL_RS02125	DR082_RS03060, DR082_RS02705
OG0000086	MHL_RS02135	DR082_RS03910
OG0000087	MHL_RS02150	DR082_RS02730
OG0000088	MHL_RS02155	DR082_RS02735
OG0000089	MHL_RS02165	DR082_RS02745
OG0000090	MHL_RS00075	DR082_RS00130
OG0000091	MHL_RS00060	DR082_RS00115
OG0000092	MHL_RS00045	DR082_RS00100
OG0000093	MHL_RS00040	DR082_RS00095
OG0000094	MHL_RS00035	DR082_RS00090
OG0000095	MHL_RS00010	DR082_RS00065
OG0000096	MHL_RS03615	DR082_RS00060
OG0000097	MHL_RS03595	DR082_RS00040
OG0000098	MHL_RS03585	DR082_RS00030
