Orthogroup	MHP_7448_genes	MHP_MHP679_genes
OG0000000	MHP7448_RS02245	DR086_RS04585, DR086_RS03600
OG0000000	MHP7448_RS01735	DR086_RS04250
OG0000000	MHP7448_RS01740	DR086_RS04245
OG0000001	MHP7448_RS01300	DR086_RS03435
OG0000001	MHP7448_RS02820	DR086_RS01010
OG0000002	MHP7448_RS03995, MHP7448_RS03900	DR086_RS04310
OG0000002	MHP7448_RS01745	DR086_RS04880
OG0000003	MHP7448_RS03870	DR086_RS04545, DR086_RS05055, DR086_RS05085
OG0000004	MHP7448_RS03230, MHP7448_RS03235	DR086_RS03630
OG0000004	MHP7448_RS03245	DR086_RS03555
OG0000004	MHP7448_RS03065	DR086_RS00615
OG0000005	MHP7448_RS00100	DR086_RS03245
OG0000005	MHP7448_RS00105	DR086_RS03255
OG0000005	MHP7448_RS00110, MHP7448_RS00125	DR086_RS05035
OG0000008	MHP7448_RS01665	DR086_RS04265
OG0000008	MHP7448_RS04030	DR086_RS02140
OG0000010	MHP7448_RS01885	DR086_RS00810
OG0000011	MHP7448_RS01970	DR086_RS00450
OG0000011	MHP7448_RS01965	DR086_RS00445
OG0000012	MHP7448_RS01780, MHP7448_RS03630	DR086_RS03775
OG0000012	MHP7448_RS03880	DR086_RS03950
OG0000013	MHP7448_RS02430	DR086_RS03105
OG0000013	MHP7448_RS03945	DR086_RS04005
OG0000014	MHP7448_RS01090	DR086_RS03610
OG0000014	MHP7448_RS00605	DR086_RS04970
OG0000015	MHP7448_RS04005, MHP7448_RS04000	DR086_RS00690
OG0000016	MHP7448_RS02865	DR086_RS01050
OG0000016	MHP7448_RS00170	DR086_RS00030
OG0000017	MHP7448_RS00155	DR086_RS00015
OG0000017	MHP7448_RS02875	DR086_RS01060
OG0000018	MHP7448_RS02275	DR086_RS04795
OG0000019	MHP7448_RS04070, MHP7448_RS03045, MHP7448_RS03040, MHP7448_RS04065	DR086_RS04570
OG0000020	MHP7448_RS03585	DR086_RS02470
OG0000021	MHP7448_RS04125	DR086_RS00630
OG0000022	MHP7448_RS01680	DR086_RS01645
OG0000022	MHP7448_RS01730	DR086_RS04885
OG0000023	MHP7448_RS04010	DR086_RS04105
OG0000024	MHP7448_RS02765	DR086_RS03190
OG0000025	MHP7448_RS01685	DR086_RS04890
OG0000025	MHP7448_RS01725	DR086_RS01595
OG0000026	MHP7448_RS01380	DR086_RS01970
OG0000026	MHP7448_RS01705	DR086_RS01615
OG0000027	MHP7448_RS03845	DR086_RS05030
OG0000027	MHP7448_RS03390	DR086_RS04870
OG0000028	MHP7448_RS02440	DR086_RS02225, DR086_RS03150
OG0000029	MHP7448_RS01085	DR086_RS02730
OG0000030	MHP7448_RS03370	DR086_RS05025
OG0000030	MHP7448_RS03385	DR086_RS04875
OG0000031	MHP7448_RS01620	DR086_RS03310
OG0000031	MHP7448_RS02310	DR086_RS00745
OG0000032	MHP7448_RS01595	DR086_RS03980
OG0000032	MHP7448_RS03380	DR086_RS03870
OG0000033	MHP7448_RS02435	DR086_RS05010
OG0000036	MHP7448_RS00115, MHP7448_RS00130	DR086_RS03265
OG0000037	MHP7448_RS03725	DR086_RS04510
OG0000037	MHP7448_RS03970	DR086_RS03330, DR086_RS03325
OG0000039	MHP7448_RS01635	DR086_RS03295
OG0000040	MHP7448_RS03315	DR086_RS02360
OG0000041	MHP7448_RS00680	DR086_RS03635
OG0000041	MHP7448_RS01195	DR086_RS02480
OG0000043	MHP7448_RS02315	DR086_RS00415
OG0000044	MHP7448_RS04120	DR086_RS05095
OG0000045	MHP7448_RS01640	DR086_RS03290
OG0000047	MHP7448_RS01590, MHP7448_RS02290	DR086_RS00730
OG0000048	MHP7448_RS02115	DR086_RS00610
OG0000049	MHP7448_RS03085	DR086_RS01430
OG0000050	MHP7448_RS02470	DR086_RS02195
OG0000051	MHP7448_RS02675	DR086_RS00855
OG0000052	MHP7448_RS00075	DR086_RS01150
