Orthogroup	MHP_LH_genes	MHP_UFV02_genes
OG0000000	KUD10_RS02260	FEF31_RS01935
OG0000000	KUD10_RS02195	FEF31_RS01875
OG0000000	KUD10_RS02170	FEF31_RS01865
OG0000000	KUD10_RS02255	FEF31_RS04515
OG0000000	KUD10_RS02165	FEF31_RS01860
OG0000000	KUD10_RS02380	FEF31_RS02055
OG0000000	KUD10_RS01785	FEF31_RS01385
OG0000001	KUD10_RS01355	FEF31_RS00940
OG0000001	KUD10_RS01350	FEF31_RS00935
OG0000001	KUD10_RS02875	FEF31_RS02540
OG0000001	KUD10_RS02830	FEF31_RS02490
OG0000002	KUD10_RS02270	FEF31_RS01945
OG0000002	KUD10_RS02265	FEF31_RS01940
OG0000002	KUD10_RS02210	FEF31_RS04505
OG0000002	KUD10_RS01790	FEF31_RS04455
OG0000003	KUD10_RS01820	FEF31_RS01515
OG0000003	KUD10_RS00500	FEF31_RS04365
OG0000003	KUD10_RS02250	FEF31_RS04510
OG0000003	KUD10_RS01900	FEF31_RS01590
OG0000004	KUD10_RS03265	FEF31_RS03760
OG0000004	KUD10_RS03275	FEF31_RS03775
OG0000005	KUD10_RS00100	FEF31_RS03370
OG0000005	KUD10_RS00120	FEF31_RS04665
OG0000005	KUD10_RS00105	FEF31_RS04660
OG0000005	KUD10_RS00110	FEF31_RS03380
OG0000005	KUD10_RS00125	FEF31_RS04670
OG0000006	KUD10_RS02585	FEF31_RS02230
OG0000006	KUD10_RS02420	FEF31_RS02090
OG0000007	KUD10_RS02245	FEF31_RS01910
OG0000008	KUD10_RS02375	FEF31_RS02050
OG0000008	KUD10_RS01700	FEF31_RS01300
OG0000008	KUD10_RS02590	FEF31_RS02250
OG0000009	KUD10_RS01265	FEF31_RS00845
OG0000009	KUD10_RS00675	FEF31_RS00335
OG0000010	KUD10_RS01910	FEF31_RS01600
OG0000011	KUD10_RS02000	FEF31_RS01695
OG0000011	KUD10_RS01995	FEF31_RS01690
OG0000012	KUD10_RS01085	FEF31_RS02235
OG0000013	KUD10_RS02465	FEF31_RS02135
OG0000013	KUD10_RS00185	FEF31_RS03455
OG0000014	KUD10_RS01080	FEF31_RS00745
OG0000014	KUD10_RS00610	FEF31_RS04375
