Orthogroup	MFC_MF33_genes	MHP_MHP682_genes
OG0000000	DR085_RS03035	DR097_RS02690
OG0000001	DR085_RS03235	DR097_RS00335, DR097_RS04145, DR097_RS04155
OG0000002	DR085_RS03895	DR097_RS04855
OG0000002	DR085_RS03805	DR097_RS04675
OG0000003	DR085_RS03550	DR097_RS04840
OG0000004	DR085_RS01395	DR097_RS01330, DR097_RS01325
OG0000007	DR085_RS02890	DR097_RS03435
OG0000007	DR085_RS02895	DR097_RS03440
OG0000007	DR085_RS03890	DR097_RS03450
OG0000011	DR085_RS03875, DR085_RS02795	DR097_RS00820
OG0000011	DR085_RS02805	DR097_RS00825
OG0000013	DR085_RS00915, DR085_RS00910	DR097_RS02175
OG0000013	DR085_RS03115	DR097_RS03895
OG0000014	DR085_RS03650	DR097_RS03860, DR097_RS03370
OG0000016	DR085_RS00605	DR097_RS01165
OG0000017	DR085_RS02380	DR097_RS00285
OG0000017	DR085_RS00595	DR097_RS01175
OG0000018	DR085_RS03745	DR097_RS04695
OG0000019	DR085_RS03320	DR097_RS03615
OG0000020	DR085_RS03795	DR097_RS04835
OG0000020	DR085_RS03790	DR097_RS04830
OG0000022	DR085_RS03800	DR097_RS04680
OG0000023	DR085_RS02195	DR097_RS02020
OG0000024	DR085_RS00665	DR097_RS01795, DR097_RS00345
OG0000025	DR085_RS02460	DR097_RS01845
OG0000026	DR085_RS01755	DR097_RS01665, DR097_RS01865
OG0000027	DR085_RS03845	DR097_RS04560
OG0000028	DR085_RS00930	DR097_RS04690
OG0000029	DR085_RS00425	DR097_RS02335
OG0000030	DR085_RS03850	DR097_RS04775, DR097_RS04565
OG0000031	DR085_RS02695	DR097_RS02075, DR097_RS03120
OG0000032	DR085_RS03940	DR097_RS00730
OG0000039	DR085_RS00495, DR085_RS00485	DR097_RS04950
OG0000040	DR085_RS03110, DR085_RS00715, DR085_RS00720	DR097_RS03560
OG0000042	DR085_RS00480, DR085_RS00645	DR097_RS01265
OG0000043	DR085_RS02670	DR097_RS00855
OG0000045	DR085_RS00505	DR097_RS03525
OG0000048	DR085_RS02880, DR085_RS03055	DR097_RS02830
OG0000049	DR085_RS01410	DR097_RS01470
OG0000050	DR085_RS02735	DR097_RS01960
OG0000051	DR085_RS01290	DR097_RS01545
OG0000052	DR085_RS03420	DR097_RS02480
OG0000053	DR085_RS03740	DR097_RS04845
OG0000054	DR085_RS00960	DR097_RS01935
OG0000056	DR085_RS02435	DR097_RS00545
OG0000057	DR085_RS00520	DR097_RS01250
OG0000062	DR085_RS02230	DR097_RS02590
OG0000063	DR085_RS02225	DR097_RS04735
OG0000064	DR085_RS02215	DR097_RS02605
OG0000065	DR085_RS01895	DR097_RS02745
OG0000066	DR085_RS01765	DR097_RS01675
OG0000068	DR085_RS00460	DR097_RS03055
OG0000069	DR085_RS00630	DR097_RS01725
OG0000070	DR085_RS00940	DR097_RS01930
OG0000071	DR085_RS01590	DR097_RS03575
OG0000072	DR085_RS03730	DR097_RS03580, DR097_RS04860
OG0000073	DR085_RS02070	DR097_RS01115
OG0000074	DR085_RS03690	DR097_RS04605
OG0000075	DR085_RS00175	DR097_RS00090
OG0000076	DR085_RS00190	DR097_RS00075
OG0000077	DR085_RS00275	DR097_RS03275
OG0000078	DR085_RS00755	DR097_RS01875
OG0000079	DR085_RS00860	DR097_RS02640
OG0000080	DR085_RS03275	DR097_RS04360
OG0000081	DR085_RS00170	DR097_RS00095
OG0000082	DR085_RS00920	DR097_RS02165
OG0000083	DR085_RS03000	DR097_RS00750
OG0000084	DR085_RS02830	DR097_RS03685
OG0000085	DR085_RS02835	DR097_RS02875
OG0000086	DR085_RS03880	DR097_RS02865
OG0000087	DR085_RS02860	DR097_RS02850
OG0000088	DR085_RS02865	DR097_RS02845
OG0000089	DR085_RS02875	DR097_RS02835
OG0000090	DR085_RS02335	DR097_RS02485
OG0000091	DR085_RS02320	DR097_RS02775
OG0000092	DR085_RS02305	DR097_RS02790
OG0000093	DR085_RS02300	DR097_RS02795
OG0000094	DR085_RS02295	DR097_RS02800
OG0000095	DR085_RS02270	DR097_RS03550
OG0000096	DR085_RS02265	DR097_RS03545
OG0000097	DR085_RS02245	DR097_RS02575
OG0000098	DR085_RS02235	DR097_RS02585
OG0000099	DR085_RS02430	DR097_RS03665
OG0000100	DR085_RS02440	DR097_RS00555
OG0000101	DR085_RS02445	DR097_RS00560
OG0000102	DR085_RS02455	DR097_RS01850
OG0000103	DR085_RS01930	DR097_RS02710
OG0000104	DR085_RS01925	DR097_RS02715
OG0000105	DR085_RS01910	DR097_RS02730
OG0000106	DR085_RS01900	DR097_RS02740
OG0000107	DR085_RS01890	DR097_RS02750
OG0000108	DR085_RS01885	DR097_RS02755
OG0000109	DR085_RS01880	DR097_RS02760
OG0000110	DR085_RS01875	DR097_RS02155
OG0000111	DR085_RS01870	DR097_RS02150
OG0000112	DR085_RS01860	DR097_RS02140
OG0000113	DR085_RS03750	DR097_RS04705
OG0000114	DR085_RS01835	DR097_RS02110
OG0000115	DR085_RS01825	DR097_RS02095
OG0000116	DR085_RS01815	DR097_RS00320
OG0000117	DR085_RS01810	DR097_RS00315
OG0000118	DR085_RS01780	DR097_RS01690
OG0000119	DR085_RS01775	DR097_RS01685
OG0000120	DR085_RS01760	DR097_RS01670
OG0000121	DR085_RS01735	DR097_RS01645
OG0000122	DR085_RS01730	DR097_RS01640
OG0000123	DR085_RS01710	DR097_RS01620
OG0000124	DR085_RS01705	DR097_RS01615
OG0000125	DR085_RS01700	DR097_RS01610
OG0000126	DR085_RS01690	DR097_RS01600
OG0000127	DR085_RS01680	DR097_RS01590
OG0000128	DR085_RS01665	DR097_RS03460
OG0000129	DR085_RS01660	DR097_RS03355
OG0000130	DR085_RS01650	DR097_RS03345
OG0000131	DR085_RS01620	DR097_RS04820
OG0000132	DR085_RS03735	DR097_RS04815
