Orthogroup	MFC_ATCC27716_genes	MHP_LH_genes
OG0000000	MFC_RS01410	KUD10_RS02260
OG0000000	MFC_RS01420	KUD10_RS02205
OG0000000	MFC_RS02935	KUD10_RS02195, KUD10_RS02170
OG0000000	MFC_RS00365	KUD10_RS01785
OG0000001	MFC_RS03350	KUD10_RS01355, KUD10_RS01350, KUD10_RS02875, KUD10_RS02830
OG0000002	MFC_RS00395	KUD10_RS02270, KUD10_RS02265
OG0000002	MFC_RS02940	KUD10_RS02210
OG0000002	MFC_RS00370	KUD10_RS01790
OG0000003	MFC_RS02995	KUD10_RS02250
OG0000004	MFC_RS00155	KUD10_RS03095, KUD10_RS03085
OG0000007	MFC_RS02965	KUD10_RS02245
OG0000008	MFC_RS03380	KUD10_RS01700
OG0000011	MFC_RS03510, MFC_RS03505	KUD10_RS02000
OG0000011	MFC_RS01350	KUD10_RS01995
OG0000013	MFC_RS03175, MFC_RS02880	KUD10_RS02465
OG0000013	MFC_RS03420	KUD10_RS00185
OG0000014	MFC_RS00870	KUD10_RS01080, KUD10_RS00610, KUD10_RS00615
OG0000016	MFC_RS01050	KUD10_RS02915
OG0000017	MFC_RS03155	KUD10_RS00155
OG0000017	MFC_RS01040	KUD10_RS02925
OG0000018	MFC_RS00540	KUD10_RS01195
OG0000019	MFC_RS03330	KUD10_RS03110, KUD10_RS03090
OG0000020	MFC_RS00305	KUD10_RS03620
OG0000020	MFC_RS00300	KUD10_RS03625
OG0000022	MFC_RS00360	KUD10_RS01775
OG0000023	MFC_RS01695	KUD10_RS01205
OG0000024	MFC_RS01110	KUD10_RS02825, KUD10_RS01345
OG0000025	MFC_RS00355	KUD10_RS01770
OG0000026	MFC_RS00580	KUD10_RS01435, KUD10_RS01750
OG0000027	MFC_RS02850	KUD10_RS03425
OG0000028	MFC_RS01205, MFC_RS01200	KUD10_RS02500
OG0000029	MFC_RS00875	KUD10_RS01075, KUD10_RS00620
OG0000030	MFC_RS02855	KUD10_RS03400, KUD10_RS03420
OG0000031	MFC_RS01295	KUD10_RS01150, KUD10_RS01665
OG0000032	MFC_RS02685	KUD10_RS01640
OG0000033	MFC_RS01210	KUD10_RS02480
OG0000037	MFC_RS03185	KUD10_RS01650
OG0000037	MFC_RS03295, MFC_RS00375	KUD10_RS01645
OG0000039	MFC_RS03135, MFC_RS00935	KUD10_RS01675
