NB626_RS00005 WP_044272251.1
NB626_RS00010 WP_135618439.1
NB626_RS00015 WP_044272256.1
NB626_RS00020 WP_044272260.1
NB626_RS00025 WP_404924349.1
NB626_RS00030 WP_160606485.1
NB626_RS00035 WP_160584856.1
NB626_RS00040 WP_011205847.1
NB626_RS00045 WP_011205847.1
NB626_RS00050 WP_404924350.1
NB626_RS00055 WP_020835487.1
NB626_RS00060 WP_011289935.1
NB626_RS00065 WP_011283834.1
NB626_RS00070 WP_404924351.1
NB626_RS00075 WP_404924352.1
NB626_RS00080 WP_020835489.1
NB626_RS00085 WP_041361519.1
NB626_RS00090 WP_225973003.1
NB626_RS00095 WP_225973003.1
NB626_RS00100 WP_011289941.1
NB626_RS00105 WP_404924354.1
NB626_RS00110 WP_404924354.1
NB626_RS00115 WP_347952344.1
NB626_RS00120 WP_146379452.1
NB626_RS00125 WP_347952346.1
NB626_RS00130 WP_146379454.1
NB626_RS00135 WP_146379455.1
NB626_RS00140 WP_050195463.1
NB626_RS00145 WP_404924355.1
NB626_RS00150 WP_404924356.1
NB626_RS00155 WP_020835500.1
NB626_RS00160 WP_146379774.1
NB626_RS00165 WP_404924357.1
NB626_RS00170 WP_404924358.1
NB626_RS00175 WP_160606533.1
NB626_RS00180 WP_011289957.1
NB626_RS00185 WP_404924502.1
NB626_RS00190 WP_044272282.1
NB626_RS00195 WP_094521545.1
NB626_RS00200 WP_404924359.1
NB626_RS00205 WP_011205880.1
NB626_RS00210 WP_347952354.1
NB626_RS00215 WP_347952354.1
NB626_RS00220 WP_011205883.1
NB626_RS00225 WP_160606527.1
NB626_RS00230 WP_404924360.1
NB626_RS00235 WP_160584767.1
NB626_RS00240 WP_014579550.1
NB626_RS00245 WP_011205889.1
NB626_RS00250 WP_011205889.1
NB626_RS00255 WP_135618497.1
NB626_RS00260 WP_044284573.1
NB626_RS00265 WP_044284573.1
NB626_RS00270 WP_011289973.1
NB626_RS00275 WP_404924361.1
NB626_RS00280 WP_011283871.1
NB626_RS00285 WP_020835518.1
NB626_RS00290 WP_404924362.1
NB626_RS00295 WP_404924363.1
NB626_RS00300 WP_135618505.1
NB626_RS00305 WP_011289979.1
NB626_RS00310 WP_404924364.1
NB626_RS00315 WP_348571941.1
NB626_RS00320 WP_404924365.1
NB626_RS00325 WP_404924074.1
NB626_RS00330 WP_404924366.1
NB626_RS00335 WP_404924367.1
NB626_RS00340 WP_404924368.1
