Orthogroup	MHP_LH_genes	MHP_111A_genes
OG0000000	KUD10_RS02195	NB623_RS01020
OG0000000	KUD10_RS02255	NB623_RS01030
OG0000000	KUD10_RS02380	NB623_RS02460
OG0000000	KUD10_RS01785	NB623_RS01850
OG0000001	KUD10_RS01355	NB623_RS01400
OG0000001	KUD10_RS02875	NB623_RS02960
OG0000001	KUD10_RS02830	NB623_RS02910
OG0000002	KUD10_RS02270	NB623_RS02345
OG0000002	KUD10_RS02265	NB623_RS01905
OG0000002	KUD10_RS02210	NB623_RS01015
OG0000003	KUD10_RS02250	NB623_RS01035
OG0000003	KUD10_RS01900	NB623_RS02255
OG0000004	KUD10_RS03265	NB623_RS03360
OG0000004	KUD10_RS03275	NB623_RS03365
OG0000004	KUD10_RS03075	NB623_RS03170
OG0000005	KUD10_RS00100	NB623_RS00105
OG0000005	KUD10_RS00105	NB623_RS00110
OG0000005	KUD10_RS00110	NB623_RS00115
OG0000006	KUD10_RS02585	NB623_RS02650
OG0000007	KUD10_RS02245	NB623_RS01060
OG0000008	KUD10_RS02375	NB623_RS02455
OG0000008	KUD10_RS01700	NB623_RS01760
OG0000008	KUD10_RS02590	NB623_RS02665, NB623_RS02660
OG0000009	KUD10_RS00085	NB623_RS00090
OG0000009	KUD10_RS00675	NB623_RS00680
OG0000010	KUD10_RS01910	NB623_RS02245
OG0000011	KUD10_RS02000	NB623_RS02145
OG0000011	KUD10_RS01995	NB623_RS02150
OG0000013	KUD10_RS02465	NB623_RS02540
OG0000014	KUD10_RS01080	NB623_RS01220
OG0000014	KUD10_RS00610	NB623_RS00600
OG0000015	KUD10_RS03700	NB623_RS01750
OG0000015	KUD10_RS01225	NB623_RS01925
OG0000015	KUD10_RS01635	NB623_RS01685
OG0000016	KUD10_RS00170	NB623_RS00160
OG0000017	KUD10_RS00155	NB623_RS00145
OG0000017	KUD10_RS02925	NB623_RS03015
OG0000018	KUD10_RS01195	NB623_RS01950
OG0000019	KUD10_RS03080	NB623_RS03175
OG0000020	KUD10_RS03620	NB623_RS03740
OG0000020	KUD10_RS03625	NB623_RS03745
OG0000022	KUD10_RS01720	NB623_RS01785
OG0000022	KUD10_RS01775	NB623_RS01840
OG0000023	KUD10_RS01205	NB623_RS01940
OG0000024	KUD10_RS02825	NB623_RS02905
OG0000024	KUD10_RS01345	NB623_RS01395
OG0000025	KUD10_RS01725	NB623_RS01790
OG0000025	KUD10_RS01770	NB623_RS01835
OG0000026	KUD10_RS01435	NB623_RS01480
OG0000026	KUD10_RS01750	NB623_RS01815
OG0000027	KUD10_RS03410	NB623_RS03520
OG0000027	KUD10_RS03425	NB623_RS03535
OG0000029	KUD10_RS01075	NB623_RS01215
OG0000029	KUD10_RS00620	NB623_RS00605
OG0000030	KUD10_RS03400	NB623_RS03510
OG0000030	KUD10_RS03420	NB623_RS03530
OG0000031	KUD10_RS01150	NB623_RS01985
OG0000032	KUD10_RS01640	NB623_RS01690
OG0000033	KUD10_RS02495, KUD10_RS02480	NB623_RS02560
OG0000033	KUD10_RS02490	NB623_RS02545, NB623_RS02550
OG0000034	KUD10_RS02225	NB623_RS00990
OG0000034	KUD10_RS02230	NB623_RS00980
OG0000035	KUD10_RS03270	NB623_RS03355
OG0000035	KUD10_RS03250	NB623_RS03345
OG0000036	KUD10_RS00115	NB623_RS00120
OG0000037	KUD10_RS01650	NB623_RS01700
OG0000037	KUD10_RS01645	NB623_RS01695
OG0000039	KUD10_RS01675	NB623_RS01730
OG0000040	KUD10_RS03345	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000042	KUD10_RS03010	NB623_RS03100
OG0000043	KUD10_RS01965	NB623_RS02180
OG0000044	KUD10_RS01860	NB623_RS02300
OG0000045	KUD10_RS01680	NB623_RS01740, NB623_RS01735
OG0000046	KUD10_RS03355	NB623_RS03460
OG0000047	KUD10_RS01210	NB623_RS01935
OG0000048	KUD10_RS02150	NB623_RS01920
OG0000049	KUD10_RS03120	NB623_RS03205
OG0000050	KUD10_RS02530	NB623_RS02600
OG0000051	KUD10_RS02740	NB623_RS02820
OG0000052	KUD10_RS00075	NB623_RS00080
OG0000053	KUD10_RS01520	NB623_RS01570
OG0000054	KUD10_RS02555	NB623_RS02625
OG0000055	KUD10_RS00135	NB623_RS00125
OG0000056	KUD10_RS03605, KUD10_RS03600	NB623_RS03725
OG0000057	KUD10_RS02995	NB623_RS03085
OG0000058	KUD10_RS01145	NB623_RS01995
OG0000059	KUD10_RS01165	NB623_RS01980
OG0000061	KUD10_RS01920	NB623_RS02235
OG0000062	KUD10_RS03655	NB623_RS03775
OG0000063	KUD10_RS03650	NB623_RS03770
OG0000064	KUD10_RS03640	NB623_RS03760
OG0000065	KUD10_RS02315	NB623_RS02390
OG0000066	KUD10_RS01425	NB623_RS01470
OG0000068	KUD10_RS00655	NB623_RS00640
OG0000069	KUD10_RS02890	NB623_RS02980
OG0000070	KUD10_RS02560	NB623_RS02630
OG0000071	KUD10_RS03335	NB623_RS03425
OG0000072	KUD10_RS03340	NB623_RS03430
OG0000073	KUD10_RS00700	NB623_RS00710
OG0000074	KUD10_RS00895	NB623_RS00910
OG0000075	KUD10_RS00340	NB623_RS00330
OG0000077	KUD10_RS00440	NB623_RS00430
OG0000079	KUD10_RS02640	NB623_RS02720
OG0000080	KUD10_RS02690	NB623_RS02770
OG0000081	KUD10_RS00335	NB623_RS00325
OG0000083	KUD10_RS02070	NB623_RS02075
OG0000084	KUD10_RS02100	NB623_RS02045
OG0000085	KUD10_RS02105	NB623_RS02040
OG0000086	KUD10_RS02115	NB623_RS02030
OG0000087	KUD10_RS02130	NB623_RS02015
OG0000088	KUD10_RS02135	NB623_RS02010
OG0000089	KUD10_RS02145	NB623_RS02000
OG0000090	KUD10_RS00070	NB623_RS00070
OG0000091	KUD10_RS00055	NB623_RS00055
OG0000092	KUD10_RS00040	NB623_RS00050
OG0000093	KUD10_RS00035	NB623_RS00035
OG0000094	KUD10_RS00030	NB623_RS00030
OG0000095	KUD10_RS00005	NB623_RS00005
OG0000096	KUD10_RS03690	NB623_RS03810
OG0000097	KUD10_RS03670	NB623_RS03790
OG0000099	KUD10_RS03610	NB623_RS03730
OG0000100	KUD10_RS03590	NB623_RS03715
OG0000101	KUD10_RS03585	NB623_RS03710
OG0000102	KUD10_RS01765	NB623_RS01830
OG0000103	KUD10_RS02280	NB623_RS02355
OG0000104	KUD10_RS02285	NB623_RS02360
OG0000105	KUD10_RS02300	NB623_RS02380
OG0000106	KUD10_RS02310	NB623_RS02385
OG0000107	KUD10_RS02320	NB623_RS02395
OG0000108	KUD10_RS02325	NB623_RS02400
OG0000109	KUD10_RS02330	NB623_RS02405
OG0000110	KUD10_RS02450	NB623_RS02525
OG0000111	KUD10_RS02445	NB623_RS02520
OG0000112	KUD10_RS02435	NB623_RS02510
OG0000113	KUD10_RS02415	NB623_RS02490
OG0000114	KUD10_RS02405	NB623_RS02485
OG0000115	KUD10_RS02395	NB623_RS02470
OG0000116	KUD10_RS01370	NB623_RS01415
OG0000117	KUD10_RS01375	NB623_RS01420
OG0000118	KUD10_RS01410	NB623_RS01455
OG0000119	KUD10_RS01415	NB623_RS01465
OG0000120	KUD10_RS01430	NB623_RS01475
OG0000121	KUD10_RS01455	NB623_RS01505
OG0000122	KUD10_RS01460	NB623_RS01510
OG0000123	KUD10_RS01480	NB623_RS01530
OG0000124	KUD10_RS01485	NB623_RS01535
OG0000125	KUD10_RS01490	NB623_RS01545
OG0000126	KUD10_RS01500	NB623_RS01550
OG0000127	KUD10_RS01510	NB623_RS01560
OG0000128	KUD10_RS01525	NB623_RS01575
OG0000129	KUD10_RS01530	NB623_RS01580
OG0000130	KUD10_RS01540	NB623_RS01590
OG0000131	KUD10_RS01570	NB623_RS01620
OG0000132	KUD10_RS01585	NB623_RS01635
OG0000133	KUD10_RS00535	NB623_RS00525
OG0000134	KUD10_RS00540	NB623_RS00530
OG0000135	KUD10_RS00555	NB623_RS00545
OG0000136	KUD10_RS00560	NB623_RS00550
OG0000137	KUD10_RS00600	NB623_RS00590
OG0000138	KUD10_RS00630	NB623_RS00615
OG0000139	KUD10_RS00660	NB623_RS00645
OG0000140	KUD10_RS00665	NB623_RS00650
OG0000141	KUD10_RS03005	NB623_RS03095
OG0000142	KUD10_RS03000	NB623_RS03090
OG0000143	KUD10_RS02980	NB623_RS03075
OG0000144	KUD10_RS02970	NB623_RS03060
OG0000145	KUD10_RS02960	NB623_RS03050
OG0000146	KUD10_RS02950	NB623_RS03040
OG0000147	KUD10_RS02945	NB623_RS03035
OG0000148	KUD10_RS02930	NB623_RS03020
OG0000149	KUD10_RS02920	NB623_RS03010
OG0000150	KUD10_RS02905	NB623_RS02995
OG0000151	KUD10_RS02860	NB623_RS02945
OG0000152	KUD10_RS02855	NB623_RS02940
OG0000153	KUD10_RS02850	NB623_RS02935
OG0000154	KUD10_RS02840	NB623_RS02925
OG0000155	KUD10_RS02805	NB623_RS02885
