Orthogroup	MHP_232_genes	MHP_168L_genes
OG0000000	MHP_RS02080	MHP168L_RS02190
OG0000000	MHP_RS04000	MHP168L_RS03890
OG0000000	MHP_RS02190	MHP168L_RS02335
OG0000000	MHP_RS03915	MHP168L_RS02340
OG0000000	MHP_RS03825	MHP168L_RS03865
OG0000000	MHP_RS01715	MHP168L_RS01715
OG0000001	MHP_RS00720, MHP_RS00725	MHP168L_RS01370
OG0000001	MHP_RS03580	MHP168L_RS02830
OG0000001	MHP_RS02610	MHP168L_RS02785
OG0000002	MHP_RS03905	MHP168L_RS04010
OG0000002	MHP_RS01720	MHP168L_RS01710
OG0000003	MHP_RS01750, MHP_RS01485	MHP168L_RS01860
OG0000003	MHP_RS01825	MHP168L_RS03875
OG0000004	MHP_RS03135	MHP168L_RS03205
OG0000004	MHP_RS02945	MHP168L_RS03030
OG0000005	MHP_RS00100	MHP168L_RS00090
OG0000005	MHP_RS00105	MHP168L_RS00100
OG0000005	MHP_RS00110, MHP_RS00125	MHP168L_RS00105
OG0000006	MHP_RS02365	MHP168L_RS02535, MHP168L_RS02530
OG0000006	MHP_RS03575	MHP168L_RS02345
OG0000006	MHP_RS02230	MHP168L_RS02380
OG0000008	MHP_RS03725, MHP_RS03910	MHP168L_RS02330
OG0000008	MHP_RS01640	MHP168L_RS01795
OG0000008	MHP_RS03920	MHP168L_RS04025
OG0000009	MHP_RS01325	MHP168L_RS00990
OG0000009	MHP_RS01315	MHP168L_RS03915
OG0000010	MHP_RS01830	MHP168L_RS01950
OG0000010	MHP_RS03845, MHP_RS00445	MHP168L_RS01650
OG0000010	MHP_RS00095	MHP168L_RS00085
OG0000011	MHP_RS01915	MHP168L_RS03995
OG0000011	MHP_RS01910	MHP168L_RS02035
OG0000012	MHP_RS00400	MHP168L_RS01405, MHP168L_RS02220, MHP168L_RS03040
OG0000013	MHP_RS02275	MHP168L_RS02430
OG0000013	MHP_RS03840	MHP168L_RS03905
OG0000014	MHP_RS00920	MHP168L_RS01070
OG0000014	MHP_RS01385	MHP168L_RS01055
OG0000015	MHP_RS02750	MHP168L_RS03530
OG0000016	MHP_RS02785	MHP168L_RS02870
OG0000016	MHP_RS00180	MHP168L_RS00150
OG0000017	MHP_RS00165	MHP168L_RS00135
OG0000017	MHP_RS02795	MHP168L_RS02880
OG0000018	MHP_RS03940	MHP168L_RS04065
OG0000018	MHP_RS03945	MHP168L_RS04060
OG0000019	MHP_RS02955	MHP168L_RS04055
OG0000020	MHP_RS03465	MHP168L_RS03590
OG0000020	MHP_RS03470	MHP168L_RS03595
OG0000021	MHP_RS01755	MHP168L_RS01865
OG0000022	MHP_RS01655	MHP168L_RS01775
OG0000022	MHP_RS01705	MHP168L_RS01725
OG0000023	MHP_RS02730	MHP168L_RS03545
OG0000024	MHP_RS02605	MHP168L_RS02775
OG0000024	MHP_RS00730	MHP168L_RS03940
OG0000025	MHP_RS01660	MHP168L_RS01770
OG0000025	MHP_RS01700	MHP168L_RS01730
OG0000026	MHP_RS00640	MHP168L_RS01455
OG0000026	MHP_RS01680	MHP168L_RS01750
OG0000027	MHP_RS03675	MHP168L_RS03825
OG0000027	MHP_RS03280	MHP168L_RS03345
OG0000028	MHP_RS02285	MHP168L_RS02445, MHP168L_RS02440
OG0000029	MHP_RS00925	MHP168L_RS00580
OG0000029	MHP_RS01380	MHP168L_RS01050
OG0000030	MHP_RS03260	MHP168L_RS03325
OG0000030	MHP_RS03275	MHP168L_RS03340
OG0000031	MHP_RS02675	MHP168L_RS03575
OG0000031	MHP_RS01600	MHP168L_RS01830
OG0000032	MHP_RS03960	MHP168L_RS03335
OG0000033	MHP_RS02280	MHP168L_RS02435
OG0000035	MHP_RS03130	MHP168L_RS03200
OG0000035	MHP_RS03120	MHP168L_RS03185
OG0000036	MHP_RS00115, MHP_RS00130	MHP168L_RS00110
OG0000038	MHP_RS01745	MHP168L_RS00480, MHP168L_RS01855
OG0000039	MHP_RS03880, MHP_RS01615	MHP168L_RS01815
OG0000040	MHP_RS03205	MHP168L_RS03275
OG0000041	MHP_RS01320	MHP168L_RS00985
OG0000042	MHP_RS02885	MHP168L_RS02970
OG0000043	MHP_RS01880	MHP168L_RS01210
OG0000044	MHP_RS01785	MHP168L_RS01900
OG0000045	MHP_RS01625	MHP168L_RS01810
OG0000047	MHP_RS02735	MHP168L_RS01680
OG0000048	MHP_RS02060	MHP168L_RS02210
OG0000049	MHP_RS02985	MHP168L_RS03050
OG0000050	MHP_RS02315	MHP168L_RS02475
OG0000051	MHP_RS02520	MHP168L_RS04035
OG0000052	MHP_RS00075	MHP168L_RS00075
OG0000053	MHP_RS00555	MHP168L_RS01540
OG0000054	MHP_RS02340	MHP168L_RS02500
OG0000055	MHP_RS00145	MHP168L_RS00115
OG0000056	MHP_RS03450	MHP168L_RS03515
OG0000057	MHP_RS02870	MHP168L_RS02955
OG0000058	MHP_RS00435	MHP168L_RS01190
OG0000058	MHP_RS02670	MHP168L_RS03580
OG0000060	MHP_RS03865	MHP168L_RS01280
OG0000061	MHP_RS01580	MHP168L_RS01660
OG0000062	MHP_RS03505	MHP168L_RS03630
OG0000063	MHP_RS03500	MHP168L_RS03625
OG0000064	MHP_RS03490	MHP168L_RS03615
OG0000065	MHP_RS02125	MHP168L_RS04005
