Orthogroup	MHP_1257_genes	MHP_LH_genes
OG0000000	ABKJ22_RS02210	KUD10_RS02260
OG0000000	ABKJ22_RS02265, ABKJ22_RS02260	KUD10_RS02195
OG0000000	ABKJ22_RS02255	KUD10_RS02170
OG0000000	ABKJ22_RS02090	KUD10_RS02255, KUD10_RS02165, KUD10_RS02380, KUD10_RS02385
OG0000000	ABKJ22_RS01715	KUD10_RS01780, KUD10_RS01785
OG0000001	ABKJ22_RS01295	KUD10_RS01350
OG0000001	ABKJ22_RS02685	KUD10_RS02830
OG0000002	ABKJ22_RS02205	KUD10_RS02270
OG0000002	ABKJ22_RS02250	KUD10_RS02210
OG0000002	ABKJ22_RS01720	KUD10_RS01790
OG0000003	ABKJ22_RS01780	KUD10_RS00500
OG0000003	ABKJ22_RS02215	KUD10_RS02250
OG0000003	ABKJ22_RS01825	KUD10_RS01900
OG0000004	ABKJ22_RS02940	KUD10_RS03265, KUD10_RS03275, KUD10_RS03075, KUD10_RS03105, KUD10_RS03095, KUD10_RS03085
OG0000005	ABKJ22_RS00095	KUD10_RS00100
OG0000005	ABKJ22_RS00115	KUD10_RS00120
OG0000005	ABKJ22_RS00100	KUD10_RS00105
OG0000005	ABKJ22_RS00105	KUD10_RS00110
OG0000005	ABKJ22_RS00120	KUD10_RS00125
OG0000006	ABKJ22_RS02450	KUD10_RS02585
OG0000007	ABKJ22_RS02230	KUD10_RS02245
OG0000008	ABKJ22_RS02100	KUD10_RS02375
OG0000008	ABKJ22_RS01635	KUD10_RS01700
OG0000008	ABKJ22_RS02455	KUD10_RS02590
OG0000009	ABKJ22_RS00085	KUD10_RS00085
OG0000009	ABKJ22_RS01210	KUD10_RS01265
OG0000009	ABKJ22_RS01020	KUD10_RS00675
OG0000010	ABKJ22_RS01835	KUD10_RS01910
OG0000011	ABKJ22_RS01925	KUD10_RS02000
OG0000011	ABKJ22_RS01920	KUD10_RS01995
OG0000012	ABKJ22_RS00425	KUD10_RS01085
OG0000013	ABKJ22_RS02355	KUD10_RS02465
OG0000013	ABKJ22_RS00180	KUD10_RS00185
OG0000014	ABKJ22_RS01105	KUD10_RS01080
OG0000014	ABKJ22_RS01095	KUD10_RS00610
OG0000015	ABKJ22_RS01630	KUD10_RS01635
OG0000016	ABKJ22_RS02785	KUD10_RS02915
OG0000016	ABKJ22_RS00165	KUD10_RS00170
OG0000017	ABKJ22_RS00150	KUD10_RS00155
OG0000017	ABKJ22_RS02795	KUD10_RS02925
OG0000019	ABKJ22_RS02945	KUD10_RS03100, KUD10_RS03080
OG0000020	ABKJ22_RS03435	KUD10_RS03620
OG0000020	ABKJ22_RS03440	KUD10_RS03625
OG0000022	ABKJ22_RS01655	KUD10_RS01720
OG0000022	ABKJ22_RS01710	KUD10_RS01775
OG0000023	ABKJ22_RS01335	KUD10_RS01390
OG0000024	ABKJ22_RS02680	KUD10_RS02825
OG0000024	ABKJ22_RS01290	KUD10_RS01345
OG0000025	ABKJ22_RS01660	KUD10_RS01725
OG0000025	ABKJ22_RS01705	KUD10_RS01770
OG0000026	ABKJ22_RS01380	KUD10_RS01435
OG0000026	ABKJ22_RS01685	KUD10_RS01750
OG0000027	ABKJ22_RS03225	KUD10_RS03410
OG0000027	ABKJ22_RS03240	KUD10_RS03425
OG0000029	ABKJ22_RS00600	KUD10_RS01075
OG0000029	ABKJ22_RS01090	KUD10_RS00620
OG0000030	ABKJ22_RS03215	KUD10_RS03400
OG0000030	ABKJ22_RS03235	KUD10_RS03420
OG0000031	ABKJ22_RS01605	KUD10_RS01665
OG0000032	ABKJ22_RS01585	KUD10_RS01640
OG0000033	ABKJ22_RS02360	KUD10_RS02490
OG0000034	ABKJ22_RS02240	KUD10_RS02230
OG0000035	ABKJ22_RS03095	KUD10_RS03250
