	MHJ_RS00005			
	seqID	strand	start	end
MHJ_RS00005	IDJ	+	207	1598
seqID	MHJ_RS00010			
IDJ	seqID	strand	start	end
MHJ_RS00010	IDJ	+	1743	2879
seqID	MHJ_RS00015			
IDJ	seqID	strand	start	end
MHJ_RS00015	IDJ	+	2983	4842
seqID	MHJ_RS00020			
IDJ	seqID	strand	start	end
MHJ_RS00020	IDJ	+	4842	5300
seqID	MHJ_RS00025			
IDJ	seqID	strand	start	end
MHJ_RS00025	IDJ	+	5314	6297
seqID	MHJ_RS00030			
IDJ	seqID	strand	start	end
MHJ_RS00030	IDJ	+	6290	7261
seqID	MHJ_RS00035			
IDJ	seqID	strand	start	end
MHJ_RS00035	IDJ	+	7364	7933
seqID	MHJ_RS00040			
IDJ	seqID	strand	start	end
MHJ_RS00040	IDJ	+	8023	9024
seqID	MHJ_RS00045			
IDJ	seqID	strand	start	end
MHJ_RS00045	IDJ	+	9193	11214
seqID	MHJ_RS00050			
IDJ	seqID	strand	start	end
MHJ_RS00050	IDJ	+	11299	12306
seqID	MHJ_RS00055			
IDJ	seqID	strand	start	end
MHJ_RS00055	IDJ	+	12309	13055
seqID	MHJ_RS00060			
IDJ	seqID	strand	start	end
MHJ_RS00060	IDJ	+	13039	14643
seqID	MHJ_RS00065			
IDJ	seqID	strand	start	end
MHJ_RS00065	IDJ	+	14648	14893
seqID	MHJ_RS00070			
IDJ	seqID	strand	start	end
MHJ_RS00070	IDJ	+	14966	15829
seqID	MHJ_RS00075			
IDJ	seqID	strand	start	end
MHJ_RS00075	IDJ	+	15836	16681
seqID	MHJ_RS00085			
IDJ	seqID	strand	start	end
MHJ_RS00085	IDJ	+	17416	17640
seqID	MHJ_RS00090			
IDJ	seqID	strand	start	end
MHJ_RS00090	IDJ	+	17804	20071
seqID	MHJ_RS00095			
IDJ	seqID	strand	start	end
MHJ_RS00095	IDJ	+	20265	22505
seqID	MHJ_RS00100			
IDJ	seqID	strand	start	end
MHJ_RS00100	IDJ	+	22579	24906
seqID	MHJ_RS00105			
IDJ	seqID	strand	start	end
MHJ_RS00105	IDJ	+	24893	25714
seqID	MHJ_RS00110			
IDJ	seqID	strand	start	end
MHJ_RS00110	IDJ	+	26032	26514
seqID	MHJ_RS00115			
IDJ	seqID	strand	start	end
MHJ_RS00115	IDJ	+	26716	27009
seqID	MHJ_RS00120			
IDJ	seqID	strand	start	end
MHJ_RS00120	IDJ	+	27002	28321
seqID	MHJ_RS00125			
IDJ	seqID	strand	start	end
MHJ_RS00125	IDJ	+	28314	29714
seqID	MHJ_RS00130			
IDJ	seqID	strand	start	end
MHJ_RS00130	IDJ	+	29951	30454
seqID	MHJ_RS00135			
IDJ	seqID	strand	start	end
MHJ_RS00135	IDJ	+	30571	31164
seqID	MHJ_RS00140			
IDJ	seqID	strand	start	end
MHJ_RS00140	IDJ	+	31142	33802
seqID	MHJ_RS00145			
IDJ	seqID	strand	start	end
MHJ_RS00145	IDJ	+	33802	36342
seqID	MHJ_RS00150			
IDJ	seqID	strand	start	end
MHJ_RS00150	IDJ	+	36335	38263
seqID	MHJ_RS00155			
IDJ	seqID	strand	start	end
MHJ_RS00155	IDJ	+	38473	39483
seqID	MHJ_RS03825			
IDJ	seqID	strand	start	end
MHJ_RS03825	IDJ	+	39582	41576
seqID	MHJ_RS00165			
IDJ	seqID	strand	start	end
MHJ_RS00165	IDJ	+	41677	43761
seqID	MHJ_RS00170			
IDJ	seqID	strand	start	end
MHJ_RS00170	IDJ	+	43767	44000
seqID	MHJ_RS00175			
IDJ	seqID	strand	start	end
MHJ_RS00175	IDJ	+	44054	45475
seqID	MHJ_RS00180			
IDJ	seqID	strand	start	end
MHJ_RS00180	IDJ	+	45597	46610
seqID	MHJ_RS00185			
IDJ	seqID	strand	start	end
MHJ_RS00185	IDJ	+	46763	47572
seqID	MHJ_RS00190			
IDJ	seqID	strand	start	end
MHJ_RS00190	IDJ	+	47574	48833
seqID	MHJ_RS00195			
IDJ	seqID	strand	start	end
MHJ_RS00195	IDJ	+	48918	49289
seqID	MHJ_RS00200			
IDJ	seqID	strand	start	end
MHJ_RS00200	IDJ	+	49293	50501
seqID	MHJ_RS00205			
IDJ	seqID	strand	start	end
MHJ_RS00205	IDJ	+	50596	50928
seqID	MHJ_RS00210			
IDJ	seqID	strand	start	end
MHJ_RS00210	IDJ	+	50973	52130
seqID	MHJ_RS00220			
IDJ	seqID	strand	start	end
MHJ_RS00220	IDJ	+	52566	53294
seqID	MHJ_RS00225			
IDJ	seqID	strand	start	end
MHJ_RS00225	IDJ	+	53322	53627
seqID	MHJ_RS00230			
IDJ	seqID	strand	start	end
MHJ_RS00230	IDJ	+	53681	54247
seqID	MHJ_RS00235			
IDJ	seqID	strand	start	end
MHJ_RS00235	IDJ	+	54247	54810
seqID	MHJ_RS00240			
IDJ	seqID	strand	start	end
MHJ_RS00240	IDJ	+	54829	56352
seqID	MHJ_RS00245			
IDJ	seqID	strand	start	end
MHJ_RS00245	IDJ	+	56381	57211
seqID	MHJ_RS00250			
IDJ	seqID	strand	start	end
MHJ_RS00250	IDJ	+	57229	58644
seqID	MHJ_RS00255			
IDJ	seqID	strand	start	end
MHJ_RS00255	IDJ	+	58631	58891
seqID	MHJ_RS00260			
IDJ	seqID	strand	start	end
MHJ_RS00260	IDJ	+	59000	59485
seqID	MHJ_RS00265			
IDJ	seqID	strand	start	end
MHJ_RS00265	IDJ	+	59708	60664
seqID	MHJ_RS00270			
IDJ	seqID	strand	start	end
MHJ_RS00270	IDJ	+	60695	61606
seqID	MHJ_RS00275			
IDJ	seqID	strand	start	end
MHJ_RS00275	IDJ	+	61691	63013
seqID	MHJ_RS00280			
IDJ	seqID	strand	start	end
MHJ_RS00280	IDJ	+	63041	64408
seqID	MHJ_RS00285			
IDJ	seqID	strand	start	end
MHJ_RS00285	IDJ	+	64401	66242
seqID	MHJ_RS00290			
IDJ	seqID	strand	start	end
MHJ_RS00290	IDJ	+	66263	68293
seqID	MHJ_RS00295			
IDJ	seqID	strand	start	end
MHJ_RS00295	IDJ	+	68300	69073
seqID	MHJ_RS00300			
IDJ	seqID	strand	start	end
MHJ_RS00300	IDJ	+	69067	69897
seqID	MHJ_RS00305			
IDJ	seqID	strand	start	end
MHJ_RS00305	IDJ	+	69913	71157
seqID	MHJ_RS00310			
IDJ	seqID	strand	start	end
MHJ_RS00310	IDJ	+	71231	75931
seqID	MHJ_RS00315			
IDJ	seqID	strand	start	end
MHJ_RS00315	IDJ	+	76045	78882
seqID	MHJ_RS00320			
IDJ	seqID	strand	start	end
MHJ_RS00320	IDJ	+	78940	80490
seqID	MHJ_RS00325			
IDJ	seqID	strand	start	end
MHJ_RS00325	IDJ	+	80608	80916
seqID	MHJ_RS00330			
IDJ	seqID	strand	start	end
MHJ_RS00330	IDJ	+	81104	82906
seqID	MHJ_RS00335			
IDJ	seqID	strand	start	end
MHJ_RS00335	IDJ	+	83117	84241
seqID	MHJ_RS00340			
IDJ	seqID	strand	start	end
MHJ_RS00340	IDJ	+	84300	84989
seqID	MHJ_RS00345			
IDJ	seqID	strand	start	end
MHJ_RS00345	IDJ	+	85007	86308
seqID	MHJ_RS00350			
IDJ	seqID	strand	start	end
MHJ_RS00350	IDJ	+	86360	86632
seqID	MHJ_RS00355			
IDJ	seqID	strand	start	end
MHJ_RS00355	IDJ	+	86635	86865
seqID	MHJ_RS00360			
IDJ	seqID	strand	start	end
MHJ_RS00360	IDJ	+	86866	88662
seqID	MHJ_RS00365			
IDJ	seqID	strand	start	end
MHJ_RS00365	IDJ	+	88733	89680
seqID	MHJ_RS00370			
IDJ	seqID	strand	start	end
MHJ_RS00370	IDJ	+	89995	92079
seqID	MHJ_RS00375			
IDJ	seqID	strand	start	end
MHJ_RS00375	IDJ	+	92092	92562
seqID	MHJ_RS00380			
IDJ	seqID	strand	start	end
MHJ_RS00380	IDJ	+	92614	93033
seqID	MHJ_RS00385			
IDJ	seqID	strand	start	end
MHJ_RS00385	IDJ	+	93164	93544
seqID	MHJ_RS00390			
IDJ	seqID	strand	start	end
MHJ_RS00390	IDJ	+	93548	94060
seqID	MHJ_RS00395			
IDJ	seqID	strand	start	end
MHJ_RS00395	IDJ	+	94051	94551
seqID	MHJ_RS00400			
IDJ	seqID	strand	start	end
MHJ_RS00400	IDJ	+	94816	96162
seqID	MHJ_RS00405			
IDJ	seqID	strand	start	end
MHJ_RS00405	IDJ	+	96377	97759
seqID	MHJ_RS00410			
IDJ	seqID	strand	start	end
MHJ_RS00410	IDJ	+	97947	99230
seqID	MHJ_RS00415			
IDJ	seqID	strand	start	end
MHJ_RS00415	IDJ	+	99235	99933
seqID	MHJ_RS03780			
IDJ	seqID	strand	start	end
MHJ_RS03780	IDJ	+	100382	100528
seqID	MHJ_RS00425			
IDJ	seqID	strand	start	end
MHJ_RS00425	IDJ	+	100649	103600
seqID	MHJ_RS00430			
IDJ	seqID	strand	start	end
MHJ_RS00430	IDJ	+	103911	103986
seqID	MHJ_RS00435			
IDJ	seqID	strand	start	end
MHJ_RS00435	IDJ	+	103988	104063
seqID	MHJ_RS00440			
IDJ	seqID	strand	start	end
MHJ_RS00440	IDJ	+	104066	104140
seqID	MHJ_RS00445			
IDJ	seqID	strand	start	end
MHJ_RS00445	IDJ	+	104192	104282
seqID	MHJ_RS00450			
IDJ	seqID	strand	start	end
MHJ_RS00450	IDJ	+	104287	104362
seqID	MHJ_RS00455			
IDJ	seqID	strand	start	end
MHJ_RS00455	IDJ	+	104418	104494
seqID	MHJ_RS00460			
IDJ	seqID	strand	start	end
MHJ_RS00460	IDJ	+	104499	104575
seqID	MHJ_RS00465			
IDJ	seqID	strand	start	end
MHJ_RS00465	IDJ	+	104582	104658
seqID	MHJ_RS00470			
IDJ	seqID	strand	start	end
MHJ_RS00470	IDJ	+	104740	104816
seqID	MHJ_RS00475			
IDJ	seqID	strand	start	end
MHJ_RS00475	IDJ	+	104867	105685
seqID	MHJ_RS00480			
IDJ	seqID	strand	start	end
MHJ_RS00480	IDJ	+	105969	107453
seqID	MHJ_RS00485			
IDJ	seqID	strand	start	end
MHJ_RS00485	IDJ	+	107443	109524
seqID	MHJ_RS00490			
IDJ	seqID	strand	start	end
MHJ_RS00490	IDJ	+	109632	109820
seqID	MHJ_RS00495			
IDJ	seqID	strand	start	end
MHJ_RS00495	IDJ	+	109828	110076
seqID	MHJ_RS00500			
IDJ	seqID	strand	start	end
MHJ_RS00500	IDJ	+	110350	111066
seqID	MHJ_RS00505			
IDJ	seqID	strand	start	end
MHJ_RS00505	IDJ	+	111446	114289
seqID	MHJ_RS00510			
IDJ	seqID	strand	start	end
MHJ_RS00510	IDJ	+	114282	116732
seqID	MHJ_RS00515			
IDJ	seqID	strand	start	end
MHJ_RS00515	IDJ	+	116928	117260
seqID	MHJ_RS00520			
IDJ	seqID	strand	start	end
MHJ_RS00520	IDJ	+	117416	118981
seqID	MHJ_RS00525			
IDJ	seqID	strand	start	end
MHJ_RS00525	IDJ	+	119004	119591
seqID	MHJ_RS00530			
IDJ	seqID	strand	start	end
MHJ_RS00530	IDJ	+	119748	119821
seqID	MHJ_RS00535			
IDJ	seqID	strand	start	end
MHJ_RS00535	IDJ	+	119963	120454
seqID	MHJ_RS00540			
IDJ	seqID	strand	start	end
MHJ_RS00540	IDJ	+	120998	121966
seqID	MHJ_RS00545			
IDJ	seqID	strand	start	end
MHJ_RS00545	IDJ	+	122125	123042
seqID	MHJ_RS00550			
IDJ	seqID	strand	start	end
MHJ_RS00550	IDJ	+	123067	126501
seqID	MHJ_RS00555			
IDJ	seqID	strand	start	end
MHJ_RS00555	IDJ	+	126510	129440
seqID	MHJ_RS00560			
IDJ	seqID	strand	start	end
MHJ_RS00560	IDJ	+	129445	131523
seqID	MHJ_RS00565			
IDJ	seqID	strand	start	end
MHJ_RS00565	IDJ	+	131706	132434
seqID	MHJ_RS00570			
IDJ	seqID	strand	start	end
MHJ_RS00570	IDJ	+	132553	132819
seqID	MHJ_RS03605			
IDJ	seqID	strand	start	end
MHJ_RS03605	IDJ	+	132950	133331
seqID	MHJ_RS00575			
IDJ	seqID	strand	start	end
MHJ_RS00575	IDJ	+	133396	136307
seqID	MHJ_RS00585			
IDJ	seqID	strand	start	end
MHJ_RS00585	IDJ	+	136543	137142
seqID	MHJ_RS00590			
IDJ	seqID	strand	start	end
MHJ_RS00590	IDJ	+	137369	140218
seqID	MHJ_RS00595			
