# BUSCO version is: 5.8.0 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2024-01-08, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
17at2085	Complete	seq00000025	5497	1259	-	1920.9	1289	https://v10-1.orthodb.org/?query=17at2085	DNA-directed RNA polymerase subunit beta'
53at2085	Complete	seq00000025	9216	5554	-	1723.5	1198	https://v10-1.orthodb.org/?query=53at2085	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
56at2085	Complete	scf00000001	28707	33116	+	1365.2	1032	https://v10-1.orthodb.org/?query=56at2085	DNA polymerase III PolC-type
78at2085	Complete	scf00000001	758657	755718	-	940.3	777	https://v10-1.orthodb.org/?query=78at2085	SMCs flexible hinge
111at2085	Duplicated	seq00000015	4981	2138	-	1169.0	770	https://v10-1.orthodb.org/?query=111at2085	UvrABC system protein A
111at2085	Duplicated	scf00000001	598389	601232	+	1168.6	770	https://v10-1.orthodb.org/?query=111at2085	UvrABC system protein A
118at2085	Duplicated	scf00000001	202526	204418	+	257.7	335	https://v10-1.orthodb.org/?query=118at2085	Domain of unknown functionDUF2779
118at2085	Duplicated	seq00000023	9441	7549	-	256.6	335	https://v10-1.orthodb.org/?query=118at2085	Domain of unknown functionDUF2779
147at2085	Complete	scf00000001	40862	43474	+	647.0	456	https://v10-1.orthodb.org/?query=147at2085	Lon protease
148at2085	Complete	scf00000001	619212	621296	+	1036.6	579	https://v10-1.orthodb.org/?query=148at2085	Elongation factor G
157at2085	Complete	scf00000001	677372	680032	+	772.1	619	https://v10-1.orthodb.org/?query=157at2085	Isoleucine--tRNA ligase
163at2085	Duplicated	seq00000011	29023	26372	-	818.7	620	https://v10-1.orthodb.org/?query=163at2085	Alanine--tRNA ligase
163at2085	Duplicated	scf00000001	494875	492830	-	766.2	572	https://v10-1.orthodb.org/?query=163at2085	Alanine--tRNA ligase
218at2085	Complete	seq00000023	2143	4404	+	436.3	495	https://v10-1.orthodb.org/?query=218at2085	DNA helicase
244at2085	Complete	seq00000034	1618	3528	+	550.6	463	https://v10-1.orthodb.org/?query=244at2085	DNA topoisomerase I, type IA
