query	grouping_confidence	location_confidence	orientation_confidence
NZ_QQQX01000004.1	1.0	0.06382177569167917	1.0
NZ_QQQX01000002.1	1.0	1.0	1.0
NZ_QQQX01000015.1	1.0	1.0	1.0
NZ_QQQX01000045.1	1.0	1.0	1.0
NZ_QQQX01000003.1	1.0	0.19245940531122122	0.8713506340312592
NZ_QQQX01000018.1	1.0	0.056732260734681385	0.9569641981363414
NZ_QQQX01000032.1	1.0	1.0	1.0
NZ_QQQX01000001.1	1.0	0.46412314999545357	0.9993315816161895
NZ_QQQX01000012.1	1.0	1.0	1.0
NZ_QQQX01000055.1	1.0	1.0	1.0
NZ_QQQX01000028.1	1.0	1.0	1.0
NZ_QQQX01000043.1	1.0	1.0	1.0
NZ_QQQX01000034.1	1.0	1.0	1.0
NZ_QQQX01000010.1	1.0	0.14765743611675397	1.0
NZ_QQQX01000064.1	1.0	1.0	1.0
NZ_QQQX01000027.1	1.0	1.0	1.0
NZ_QQQX01000009.1	1.0	1.0	1.0
NZ_QQQX01000017.1	1.0	1.0	1.0
NZ_QQQX01000014.1	1.0	1.0	1.0
NZ_QQQX01000033.1	1.0	1.0	1.0
NZ_QQQX01000065.1	1.0	1.0	1.0
NZ_QQQX01000039.1	1.0	1.0	1.0
NZ_QQQX01000031.1	1.0	1.0	1.0
NZ_QQQX01000019.1	1.0	1.0	1.0
NZ_QQQX01000023.1	1.0	1.0	1.0
NZ_QQQX01000038.1	1.0	1.0	1.0
NZ_QQQX01000029.1	1.0	1.0	1.0
NZ_QQQX01000011.1	1.0	1.0	1.0
NZ_QQQX01000016.1	1.0	1.0	1.0
NZ_QQQX01000074.1	1.0	1.0	1.0
NZ_QQQX01000044.1	1.0	1.0	1.0
NZ_QQQX01000008.1	1.0	1.0	1.0
NZ_QQQX01000013.1	1.0	1.0	1.0
NZ_QQQX01000025.1	1.0	1.0	1.0
NZ_QQQX01000007.1	1.0	1.0	1.0
NZ_QQQX01000021.1	1.0	1.0	1.0
NZ_QQQX01000036.1	1.0	1.0	1.0
NZ_QQQX01000061.1	1.0	1.0	1.0
NZ_QQQX01000006.1	1.0	1.0	1.0
NZ_QQQX01000026.1	1.0	1.0	1.0
NZ_QQQX01000042.1	1.0	1.0	1.0
NZ_QQQX01000053.1	1.0	1.0	1.0
NZ_QQQX01000035.1	1.0	1.0	1.0
NZ_QQQX01000037.1	1.0	1.0	1.0
NZ_QQQX01000020.1	1.0	1.0	1.0
NZ_QQQX01000022.1	1.0	1.0	1.0
NZ_QQQX01000073.1	1.0	1.0	1.0
NZ_QQQX01000024.1	1.0	1.0	1.0
NZ_QQQX01000005.1	1.0	1.0	1.0
NZ_QQQX01000030.1	1.0	1.0	1.0
