ABJ972_RS00005 WP_044272251.1
ABJ972_RS00010 WP_348571907.1
ABJ972_RS00015 WP_348602666.1
ABJ972_RS00020 WP_044272260.1
ABJ972_RS00025 WP_160588112.1
ABJ972_RS00030 WP_348602667.1
ABJ972_RS00035 WP_020835484.1
ABJ972_RS00040 WP_348602668.1
ABJ972_RS00045 WP_011205848.1
ABJ972_RS00050 WP_011205849.1
ABJ972_RS00055 WP_348602669.1
ABJ972_RS00060 WP_011289935.1
ABJ972_RS00065 WP_011283834.1
ABJ972_RS00070 WP_094521535.1
ABJ972_RS00075 WP_011283836.1
ABJ972_RS00080 WP_348602670.1
ABJ972_RS00085 WP_348602671.1
ABJ972_RS00090 WP_348602672.1
ABJ972_RS00095 WP_348602673.1
ABJ972_RS00100 WP_348602674.1
ABJ972_RS00105 WP_348602675.1
ABJ972_RS00110 WP_348602676.1
ABJ972_RS00115 WP_348602677.1
ABJ972_RS00120 WP_348602678.1
ABJ972_RS00125 WP_050195463.1
ABJ972_RS00130 WP_348602679.1
ABJ972_RS00135 WP_348602680.1
ABJ972_RS00140 WP_020835500.1
ABJ972_RS00145 WP_348602866.1
ABJ972_RS00150 WP_348602681.1
ABJ972_RS00155 WP_348602682.1
ABJ972_RS00160 WP_348602683.1
ABJ972_RS00165 WP_011289957.1
ABJ972_RS00170 WP_348602684.1
ABJ972_RS00175 WP_348602685.1
ABJ972_RS00180 WP_011205878.1
ABJ972_RS00185 WP_348602686.1
ABJ972_RS00190 WP_011205880.1
ABJ972_RS00195 WP_318023737.1
ABJ972_RS00200 WP_160585545.1
ABJ972_RS00205 WP_011205883.1
ABJ972_RS00210 WP_160606527.1
ABJ972_RS00215 WP_044284571.1
ABJ972_RS00220 WP_348602687.1
ABJ972_RS00225 WP_014579550.1
ABJ972_RS00230 WP_011205889.1
ABJ972_RS00235 WP_348602688.1
ABJ972_RS00240 WP_348602689.1
ABJ972_RS00245 WP_014579553.1
ABJ972_RS00250 WP_020835515.1
ABJ972_RS00255 WP_348602690.1
ABJ972_RS00260 WP_225973008.1
ABJ972_RS00265 WP_011289974.1
ABJ972_RS00270 WP_020835518.1
ABJ972_RS00275 WP_011289976.1
ABJ972_RS00280 WP_011289977.1
ABJ972_RS00285 WP_348602691.1
ABJ972_RS00290 WP_348602692.1
ABJ972_RS00295 WP_020835520.1
ABJ972_RS00300 WP_348602693.1
ABJ972_RS00305 WP_348602694.1
ABJ972_RS00310 WP_348602695.1
ABJ972_RS00315 WP_348602696.1
ABJ972_RS00320 WP_011289985.1
ABJ972_RS00325 WP_014579568.1
ABJ972_RS00330 WP_041361531.1
ABJ972_RS00335 WP_011289986.1
ABJ972_RS00340 WP_146379475.1
ABJ972_RS00345 WP_348602697.1
ABJ972_RS00350 WP_094521553.1
ABJ972_RS00355 WP_041361533.1
ABJ972_RS00360 WP_011283887.1
ABJ972_RS00365 WP_348602698.1
ABJ972_RS00370 WP_348602699.1
ABJ972_RS00375 WP_011205921.1
ABJ972_RS00380 WP_011205922.1
ABJ972_RS00385 WP_011205923.1
ABJ972_RS00390 WP_011283891.1
ABJ972_RS00395 WP_011205925.1
ABJ972_RS00400 WP_044284773.1
ABJ972_RS00405 WP_179695950.1
ABJ972_RS00410 WP_348602700.1
ABJ972_RS00415 WP_011206135.1
ABJ972_RS00420 WP_011206134.1
ABJ972_RS00425 WP_348602701.1
ABJ972_RS00475 WP_308704698.1
ABJ972_RS00480 WP_308704698.1
ABJ972_RS00485 WP_348602702.1
ABJ972_RS00490 WP_348602703.1
ABJ972_RS00495 WP_348602704.1
ABJ972_RS00500 WP_041361727.1
ABJ972_RS00505 WP_348602705.1
ABJ972_RS00510 WP_348602706.1
ABJ972_RS00515 WP_011206123.1
ABJ972_RS00520 WP_348602707.1
ABJ972_RS00525 WP_011206121.1
ABJ972_RS00535 WP_011206120.1
ABJ972_RS00540 WP_348602708.1
ABJ972_RS00545 WP_348602709.1
ABJ972_RS00550 WP_348602710.1
ABJ972_RS00555 WP_348602711.1
ABJ972_RS00560 WP_348602712.1
ABJ972_RS00565 WP_348571965.1
ABJ972_RS00570 WP_011206113.1
ABJ972_RS00580 WP_348602713.1
ABJ972_RS00585 WP_348602714.1
ABJ972_RS00590 WP_011283978.1
ABJ972_RS00595 WP_014579601.1
ABJ972_RS00600 WP_348602715.1
ABJ972_RS00605 WP_011206025.1
ABJ972_RS00610 WP_050195474.1
ABJ972_RS00615 WP_348602716.1
ABJ972_RS00620 WP_011206028.1
ABJ972_RS00625 WP_348602717.1
ABJ972_RS00630 WP_348602718.1
ABJ972_RS00635 WP_011206032.1
ABJ972_RS00640 WP_160585734.1
ABJ972_RS00645 WP_014579611.1
ABJ972_RS00650 WP_011206035.1
ABJ972_RS00655 WP_011206036.1
ABJ972_RS00660 WP_011206037.1
ABJ972_RS00665 WP_011206038.1
ABJ972_RS00670 WP_011206039.1
ABJ972_RS00675 WP_160590391.1
ABJ972_RS00680 WP_011206041.1
ABJ972_RS00685 WP_011290058.1
ABJ972_RS00690 WP_160585191.1
ABJ972_RS00695 WP_348602719.1
ABJ972_RS00700 WP_348602720.1
ABJ972_RS00705 WP_020835589.1
ABJ972_RS00710 WP_011206047.1
ABJ972_RS00715 WP_011283963.1
