Orthogroup	MFC_Ms42_genes	MHP_TB1_genes
OG0000000	MYF_RS01330	B5M19_RS04470
OG0000000	MYF_RS03295	B5M19_RS02095
OG0000001	MYF_RS03415	B5M19_RS02595, B5M19_RS04385, B5M19_RS02555, B5M19_RS02505, B5M19_RS02510
OG0000002	MYF_RS01530	B5M19_RS04465, B5M19_RS04625
OG0000002	MYF_RS03010	B5M19_RS02105
OG0000008	MYF_RS01875	B5M19_RS03340
OG0000011	MYF_RS03310	B5M19_RS04080, B5M19_RS00770
OG0000011	MYF_RS01270	B5M19_RS00765
OG0000013	MYF_RS03170, MYF_RS01100	B5M19_RS02640
OG0000013	MYF_RS03400	B5M19_RS00100
OG0000014	MYF_RS00550	B5M19_RS03715, B5M19_RS03505
OG0000015	MYF_RS03470	B5M19_RS02335
OG0000016	MYF_RS00730	B5M19_RS01425
OG0000017	MYF_RS03155	B5M19_RS00065
OG0000017	MYF_RS00720	B5M19_RS01415
OG0000018	MYF_RS01675	B5M19_RS04450, B5M19_RS04445
OG0000020	MYF_RS03080	B5M19_RS04305
OG0000020	MYF_RS03085	B5M19_RS02010
OG0000022	MYF_RS03025	B5M19_RS02090
OG0000024	MYF_RS00790	B5M19_RS02500, B5M19_RS04395, B5M19_RS04390
OG0000025	MYF_RS03030	B5M19_RS02085
OG0000026	MYF_RS01715	B5M19_RS01210, B5M19_RS02065
OG0000027	MYF_RS02825	B5M19_RS00550
OG0000028	MYF_RS01125, MYF_RS01120	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475
OG0000029	MYF_RS00555	B5M19_RS03200, B5M19_RS04520, B5M19_RS03510
OG0000030	MYF_RS02820	B5M19_RS00570, B5M19_RS00555
OG0000031	MYF_RS01215	B5M19_RS04360, B5M19_RS03305
OG0000032	MYF_RS02815	B5M19_RS00560
OG0000037	MYF_RS03005	B5M19_RS04485, B5M19_RS04490
OG0000039	MYF_RS03160, MYF_RS00615	B5M19_RS03320
OG0000040	MYF_RS02770, MYF_RS00840	B5M19_RS02985
OG0000042	MYF_RS00610, MYF_RS00765	B5M19_RS01320
OG0000043	MYF_RS01240	B5M19_RS02270
OG0000045	MYF_RS00630	B5M19_RS03325
OG0000047	MYF_RS03335	B5M19_RS02295
OG0000048	MYF_RS01350	B5M19_RS03695
OG0000050	MYF_RS01180	B5M19_RS02825
OG0000051	MYF_RS02420	B5M19_RS04110
OG0000052	MYF_RS00075	B5M19_RS00005
OG0000053	MYF_RS01800	B5M19_RS01120
OG0000054	MYF_RS01155	B5M19_RS02800
OG0000055	MYF_RS03395, MYF_RS03525	B5M19_RS00045
OG0000056	MYF_RS03060	B5M19_RS00375
OG0000057	MYF_RS00645	B5M19_RS01340
OG0000062	MYF_RS03115	B5M19_RS01970
OG0000063	MYF_RS03110	B5M19_RS01975
OG0000064	MYF_RS03100	B5M19_RS01990
OG0000065	MYF_RS01575	B5M19_RS02925
OG0000066	MYF_RS01705	B5M19_RS01220
OG0000068	MYF_RS00590	B5M19_RS04480
OG0000069	MYF_RS00755	B5M19_RS03520
OG0000070	MYF_RS01135	B5M19_RS02795
OG0000071	MYF_RS02760	B5M19_RS02995
OG0000072	MYF_RS02765	B5M19_RS02990
OG0000073	MYF_RS02005	B5M19_RS01840
OG0000074	MYF_RS02195	B5M19_RS01645
OG0000075	MYF_RS00305	B5M19_RS00265
OG0000076	MYF_RS00320	B5M19_RS00280
OG0000077	MYF_RS00410	B5M19_RS03440
OG0000078	MYF_RS00880	B5M19_RS02055
OG0000079	MYF_RS01050	B5M19_RS01010
OG0000080	MYF_RS01000, MYF_RS03365	B5M19_RS03900
OG0000081	MYF_RS00300	B5M19_RS00260
OG0000082	MYF_RS01110	B5M19_RS04420, B5M19_RS04415
OG0000083	MYF_RS01430	B5M19_RS00845
OG0000084	MYF_RS01400	B5M19_RS02760
OG0000085	MYF_RS01395	B5M19_RS02755
OG0000086	MYF_RS01385	B5M19_RS02745
OG0000087	MYF_RS01370	B5M19_RS02730
OG0000088	MYF_RS01365	B5M19_RS02725
OG0000089	MYF_RS01355	B5M19_RS03690
OG0000090	MYF_RS00070	B5M19_RS03775
OG0000091	MYF_RS00055	B5M19_RS04280
OG0000092	MYF_RS00040	B5M19_RS01895
OG0000093	MYF_RS00035	B5M19_RS01900
