Orthogroup	MHP_MHP694_protein	MFC_MF29_protein
OG0000000	WP_160606848.1	WP_002557520.1
OG0000000	WP_220200677.1, WP_160606477.1	WP_258555793.1, WP_220200593.1
OG0000001	WP_160606452.1	WP_160581478.1
OG0000002	WP_308704588.1	WP_160580979.1, WP_258555762.1
OG0000002	WP_258555454.1	WP_160580981.1
OG0000005	WP_160606967.1	WP_308704665.1
OG0000006	WP_160606965.1	WP_220200543.1
OG0000009	WP_160606823.1, WP_160606721.1	WP_160580985.1
OG0000010	WP_011206342.1, WP_232039579.1	WP_039387745.1
OG0000014	WP_258555386.1, WP_160606550.1	WP_160580916.1
OG0000016	WP_308704605.1, WP_308704607.1	WP_160580987.1, WP_220200549.1
OG0000018	WP_160606883.1	WP_160580874.1, WP_160580909.1
OG0000022	WP_160606723.1	WP_220200548.1
OG0000023	WP_160606805.1	WP_160581286.1, WP_308704648.1
OG0000025	WP_160606615.1	WP_255454456.1, WP_255454455.1
OG0000026	WP_160606815.1	WP_160581404.1
OG0000029	WP_160606617.1	WP_160580876.1
OG0000030	WP_160606423.1	WP_160581217.1
OG0000031	WP_160606887.1	WP_308704649.1
OG0000034	WP_044284674.1	WP_160580989.1
OG0000035	WP_160606781.1	WP_160580948.1
OG0000036	WP_041361671.1	WP_160580991.1
OG0000039	WP_011206214.1	WP_160581472.1
OG0000040	WP_160606605.1	WP_160581451.1
OG0000041	WP_258555494.1, WP_258555399.1	WP_220200556.1
OG0000042	WP_160606925.1	WP_160581122.1
OG0000043	WP_160606905.1	WP_160581126.1
OG0000044	WP_160606941.1	WP_160581136.1
OG0000045	WP_160606850.1	WP_002557517.1
OG0000046	WP_011206103.1	WP_002557593.1
OG0000047	WP_258555421.1	WP_160580888.1
OG0000048	WP_160606579.1	WP_002557625.1
OG0000049	WP_011284269.1	WP_002557626.1
OG0000050	WP_160606811.1	WP_002557663.1
OG0000051	WP_160606827.1	WP_160581406.1
OG0000052	WP_160606817.1	WP_160581408.1
OG0000053	WP_160606931.1	WP_002557698.1
OG0000054	WP_044284702.1	WP_002557704.1
