	KUD10_RS00005			
	seqID	strand	start	end
KUD10_RS00005	IDLH	+	1	1392
seqID	KUD10_RS00010			
IDLH	seqID	strand	start	end
KUD10_RS00010	IDLH	+	1537	2673
seqID	KUD10_RS00015			
IDLH	seqID	strand	start	end
KUD10_RS00015	IDLH	+	2779	4638
seqID	KUD10_RS00020			
IDLH	seqID	strand	start	end
KUD10_RS00020	IDLH	+	4638	5096
seqID	KUD10_RS00025			
IDLH	seqID	strand	start	end
KUD10_RS00025	IDLH	+	5110	6093
seqID	KUD10_RS00030			
IDLH	seqID	strand	start	end
KUD10_RS00030	IDLH	+	6086	7057
seqID	KUD10_RS00035			
IDLH	seqID	strand	start	end
KUD10_RS00035	IDLH	+	7160	7729
seqID	KUD10_RS00040			
IDLH	seqID	strand	start	end
KUD10_RS00040	IDLH	+	7819	8820
seqID	KUD10_RS00045			
IDLH	seqID	strand	start	end
KUD10_RS00045	IDLH	+	8989	11010
seqID	KUD10_RS00050			
IDLH	seqID	strand	start	end
KUD10_RS00050	IDLH	+	11095	12102
seqID	KUD10_RS00055			
IDLH	seqID	strand	start	end
KUD10_RS00055	IDLH	+	12105	12851
seqID	KUD10_RS00060			
IDLH	seqID	strand	start	end
KUD10_RS00060	IDLH	+	12835	14439
seqID	KUD10_RS00065			
IDLH	seqID	strand	start	end
KUD10_RS00065	IDLH	+	14444	14689
seqID	KUD10_RS00070			
IDLH	seqID	strand	start	end
KUD10_RS00070	IDLH	+	14760	15623
seqID	KUD10_RS00075			
IDLH	seqID	strand	start	end
KUD10_RS00075	IDLH	+	15630	16475
seqID	KUD10_RS00080			
IDLH	seqID	strand	start	end
KUD10_RS00080	IDLH	+	16509	17591
seqID	KUD10_RS00085			
IDLH	seqID	strand	start	end
KUD10_RS00085	IDLH	+	17738	18604
seqID	KUD10_RS00090			
IDLH	seqID	strand	start	end
KUD10_RS00090	IDLH	+	18750	19364
seqID	KUD10_RS00095			
IDLH	seqID	strand	start	end
KUD10_RS00095	IDLH	+	19556	19753
seqID	KUD10_RS00100			
IDLH	seqID	strand	start	end
KUD10_RS00100	IDLH	+	20060	22336
seqID	KUD10_RS00105			
IDLH	seqID	strand	start	end
KUD10_RS00105	IDLH	+	22529	24772
seqID	KUD10_RS00110			
IDLH	seqID	strand	start	end
KUD10_RS00110	IDLH	+	24846	27173
seqID	KUD10_RS00115			
IDLH	seqID	strand	start	end
KUD10_RS00115	IDLH	+	27160	27981
seqID	KUD10_RS00120			
IDLH	seqID	strand	start	end
KUD10_RS00120	IDLH	+	28155	30437
seqID	KUD10_RS00125			
IDLH	seqID	strand	start	end
KUD10_RS00125	IDLH	+	30548	32875
seqID	KUD10_RS00130			
IDLH	seqID	strand	start	end
KUD10_RS00130	IDLH	+	32862	33665
seqID	KUD10_RS00135			
IDLH	seqID	strand	start	end
KUD10_RS00135	IDLH	+	34044	34526
seqID	KUD10_RS00140			
IDLH	seqID	strand	start	end
KUD10_RS00140	IDLH	+	34633	34926
seqID	KUD10_RS00145			
IDLH	seqID	strand	start	end
KUD10_RS00145	IDLH	+	34919	36238
seqID	KUD10_RS00150			
IDLH	seqID	strand	start	end
KUD10_RS00150	IDLH	+	36231	37631
seqID	KUD10_RS00155			
IDLH	seqID	strand	start	end
KUD10_RS00155	IDLH	+	37868	38353
seqID	KUD10_RS00160			
IDLH	seqID	strand	start	end
KUD10_RS00160	IDLH	+	38488	39081
seqID	KUD10_RS00165			
IDLH	seqID	strand	start	end
KUD10_RS00165	IDLH	+	39059	41719
seqID	KUD10_RS00170			
IDLH	seqID	strand	start	end
KUD10_RS00170	IDLH	+	41719	44259
seqID	KUD10_RS00175			
IDLH	seqID	strand	start	end
KUD10_RS00175	IDLH	+	44252	46180
seqID	KUD10_RS00180			
IDLH	seqID	strand	start	end
KUD10_RS00180	IDLH	+	46390	47400
seqID	KUD10_RS00185			
IDLH	seqID	strand	start	end
KUD10_RS00185	IDLH	+	47499	49475
seqID	KUD10_RS00190			
IDLH	seqID	strand	start	end
KUD10_RS00190	IDLH	+	49576	51660
seqID	KUD10_RS00195			
IDLH	seqID	strand	start	end
KUD10_RS00195	IDLH	+	51666	51899
seqID	KUD10_RS00200			
IDLH	seqID	strand	start	end
KUD10_RS00200	IDLH	+	51953	53374
seqID	KUD10_RS00205			
IDLH	seqID	strand	start	end
KUD10_RS00205	IDLH	+	53496	54509
seqID	KUD10_RS00210			
IDLH	seqID	strand	start	end
KUD10_RS00210	IDLH	+	54662	55471
seqID	KUD10_RS00215			
IDLH	seqID	strand	start	end
KUD10_RS00215	IDLH	+	55473	56732
seqID	KUD10_RS00220			
IDLH	seqID	strand	start	end
KUD10_RS00220	IDLH	+	56817	57188
seqID	KUD10_RS00225			
IDLH	seqID	strand	start	end
KUD10_RS00225	IDLH	+	57192	58400
seqID	KUD10_RS00230			
IDLH	seqID	strand	start	end
KUD10_RS00230	IDLH	+	58495	58827
seqID	KUD10_RS00235			
IDLH	seqID	strand	start	end
KUD10_RS00235	IDLH	+	58872	60029
seqID	KUD10_RS00240			
IDLH	seqID	strand	start	end
KUD10_RS00240	IDLH	+	60465	61193
seqID	KUD10_RS00245			
IDLH	seqID	strand	start	end
KUD10_RS00245	IDLH	+	61221	61526
seqID	KUD10_RS00250			
IDLH	seqID	strand	start	end
KUD10_RS00250	IDLH	+	61580	62134
seqID	KUD10_RS00255			
IDLH	seqID	strand	start	end
KUD10_RS00255	IDLH	+	62147	62710
seqID	KUD10_RS00260			
IDLH	seqID	strand	start	end
KUD10_RS00260	IDLH	+	62728	64251
seqID	KUD10_RS00265			
IDLH	seqID	strand	start	end
KUD10_RS00265	IDLH	+	64280	65110
seqID	KUD10_RS00270			
