Orthogroup	MHP_MHP709_protein	MFC_ATCC27716_protein
OG0000000	WP_146379632.1	WP_002557520.1
OG0000000	WP_160587900.1	WP_002557686.1, WP_002557687.1
OG0000001	WP_240536309.1	WP_039387603.1
OG0000002	WP_308507056.1	WP_051054340.1, WP_002557887.1
OG0000002	WP_258555342.1	WP_002557975.1
OG0000003	WP_160588362.1	WP_334199007.1
OG0000004	WP_258555379.1	WP_051054298.1
OG0000005	WP_334199370.1	WP_196792419.1
OG0000006	WP_160587966.1, WP_160587971.1	WP_002557587.1
OG0000007	WP_308507069.1	WP_081605288.1
OG0000009	WP_160588297.1, WP_160588329.1	WP_002557653.1
OG0000010	WP_258555237.1	WP_002557631.1
OG0000015	WP_308507101.1	WP_040538385.1
OG0000016	WP_160588215.1	WP_081605281.1
OG0000018	WP_160588323.1	WP_002557596.1, WP_002557628.1
OG0000022	WP_258555344.1, WP_258555343.1	WP_231237888.1
OG0000023	WP_160588136.1	WP_002557738.1, WP_318024042.1
OG0000025	WP_225973032.1	WP_002557601.1
OG0000026	WP_160588301.1	WP_002557670.1
OG0000029	WP_160588346.1	WP_002557599.1, WP_002557597.1
OG0000030	WP_160587825.1	WP_002557852.1
OG0000031	WP_146379455.1	WP_323749063.1, WP_002557874.1
OG0000034	WP_160588303.1	WP_002557665.1
OG0000035	WP_160588203.1	WP_002557996.1
OG0000036	WP_041361671.1	WP_039387550.1
OG0000039	WP_160587914.1	WP_002557444.1
OG0000040	WP_011206223.1	WP_002557452.1
OG0000041	WP_220191087.1	WP_002557490.1
OG0000042	WP_160588163.1	WP_002557494.1
OG0000043	WP_160585575.1	WP_002557496.1
OG0000044	WP_160588193.1	WP_002557503.1
OG0000045	WP_011290219.1	WP_002557517.1
OG0000046	WP_160587949.1	WP_002557593.1
OG0000047	WP_225972996.1	WP_002557611.1
OG0000048	WP_160587850.1	WP_002557625.1
OG0000049	WP_011284269.1	WP_002557626.1
OG0000050	WP_146379657.1	WP_002557663.1
OG0000051	WP_135619210.1	WP_002557671.1
OG0000052	WP_160588299.1	WP_002557672.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_160588047.1	WP_002557704.1
OG0000055	WP_160588054.1	WP_002557712.1
OG0000056	WP_160585219.1	WP_002557736.1
OG0000057	WP_011290028.1	WP_002557776.1
OG0000058	WP_135618593.1	WP_002557805.1
OG0000059	WP_044284596.1	WP_002557807.1
OG0000060	WP_011290055.1	WP_002557818.1
OG0000061	WP_011206035.1	WP_002557829.1
OG0000062	WP_146379532.1	WP_002557847.1
OG0000063	WP_052259122.1	WP_002557882.1
OG0000064	WP_160588044.1	WP_002557883.1
OG0000065	WP_014579568.1	WP_002557918.1
OG0000066	WP_160588013.1	WP_002557937.1
OG0000067	WP_258555327.1	WP_002557957.1
OG0000068	WP_020835906.1	WP_002557969.1
OG0000069	WP_160588321.1	WP_002557977.1
OG0000070	WP_011206305.1	WP_040538387.1, WP_002558020.1
OG0000071	WP_044272563.1	WP_039387523.1
OG0000072	WP_160588144.1	WP_039387700.1
OG0000073	WP_179695988.1	WP_196792423.1
OG0000074	WP_160587863.1	WP_231237864.1
OG0000075	WP_160588003.1	WP_231237865.1
OG0000076	WP_308507100.1	WP_231237874.1
OG0000077	WP_160588023.1	WP_231237881.1, WP_231237882.1
OG0000079	WP_220191052.1	WP_002557443.1
OG0000080	WP_160587916.1	WP_002557445.1
OG0000081	WP_160587917.1	WP_002557446.1
OG0000082	WP_160587919.1	WP_002557448.1
OG0000083	WP_160587923.1	WP_002557450.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206224.1	WP_002557453.1
OG0000086	WP_160587925.1	WP_002557454.1
OG0000087	WP_220190703.1	WP_002557455.1
OG0000088	WP_160587927.1	WP_002557457.1
OG0000089	WP_044272480.1	WP_002557458.1
OG0000090	WP_011206231.1	WP_002557461.1
OG0000091	WP_146379447.1	WP_002557464.1
OG0000092	WP_160588122.1	WP_002557465.1
OG0000093	WP_160588120.1	WP_002557467.1
OG0000094	WP_160588118.1	WP_002557468.1
OG0000095	WP_011205849.1	WP_002557469.1
OG0000096	WP_160588116.1	WP_002557470.1
OG0000097	WP_011205847.1	WP_002557471.1
OG0000098	WP_160588114.1	WP_002557472.1
OG0000099	WP_014579519.1	WP_002557473.1
OG0000100	WP_160588108.1	WP_002557477.1
OG0000101	WP_160588106.1	WP_002557478.1
OG0000102	WP_044272251.1	WP_002557479.1
OG0000103	WP_011206529.1	WP_002557480.1
OG0000104	WP_160588104.1	WP_002557482.1
OG0000105	WP_258555298.1	WP_002557483.1
OG0000106	WP_160588102.1	WP_002557484.1
OG0000107	WP_160588100.1	WP_002557485.1
OG0000108	WP_160588098.1	WP_002557486.1
OG0000109	WP_146379768.1	WP_002557487.1
OG0000110	WP_160588095.1	WP_002557489.1
OG0000111	WP_011206510.1	WP_002557497.1
OG0000112	WP_160588213.1	WP_002557499.1
OG0000113	WP_160588199.1	WP_002557500.1
OG0000114	WP_160588197.1	WP_002557501.1
OG0000115	WP_160588278.1	WP_002557509.1
OG0000116	WP_011206239.1	WP_002557510.1
OG0000117	WP_146379628.1	WP_002557511.1
OG0000118	WP_160588282.1	WP_002557514.1
OG0000119	WP_014579831.1	WP_002557515.1
OG0000120	WP_135618884.1	WP_002557516.1
OG0000121	WP_011284169.1	WP_002557518.1
OG0000122	WP_308507065.1	WP_002557519.1
OG0000123	WP_160585726.1	WP_002557522.1
OG0000124	WP_258555345.1	WP_002557523.1
OG0000125	WP_160585724.1	WP_002557524.1
OG0000126	WP_237697204.1	WP_002557525.1
OG0000127	WP_011206271.1	WP_002557526.1
OG0000128	WP_160585296.1	WP_002557528.1
OG0000129	WP_258555347.1	WP_002557530.1
OG0000130	WP_160585718.1	WP_002557532.1
OG0000131	WP_146379548.1	WP_002557533.1
OG0000132	WP_146379549.1	WP_002557534.1
OG0000133	WP_160588005.1	WP_002557535.1
OG0000134	WP_160588233.1	WP_002557537.1
OG0000135	WP_160588235.1	WP_002557538.1
OG0000136	WP_179221071.1	WP_002557540.1
OG0000137	WP_135618686.1	WP_002557541.1
OG0000138	WP_160588241.1	WP_002557542.1
OG0000139	WP_160588243.1	WP_002557543.1
OG0000140	WP_011284027.1	WP_002557544.1
OG0000141	WP_192894288.1	WP_002557545.1
OG0000142	WP_011284032.1	WP_002557548.1
OG0000143	WP_020835643.1	WP_002557549.1
OG0000144	WP_160588256.1	WP_002557551.1
OG0000145	WP_011205954.1	WP_002557553.1
OG0000146	WP_011290118.1	WP_002557554.1
OG0000147	WP_160588259.1	WP_002557555.1
OG0000148	WP_146379560.1	WP_002557557.1
OG0000149	WP_160588219.1	WP_002557558.1
OG0000150	WP_011290122.1	WP_002557559.1
OG0000151	WP_160588221.1	WP_002557561.1
OG0000152	WP_160585095.1	WP_002557562.1
OG0000153	WP_020835651.1	WP_002557563.1
OG0000154	WP_160588223.1	WP_002557564.1
OG0000155	WP_011284046.1	WP_002557565.1
OG0000156	WP_160588225.1	WP_002557566.1
OG0000157	WP_014579735.1	WP_002557567.1
OG0000158	WP_160588229.1	WP_002557569.1
OG0000159	WP_041361727.1	WP_002557571.1
OG0000160	WP_160588342.1	WP_002557573.1
OG0000161	WP_094521764.1	WP_002557574.1
OG0000162	WP_228365407.1	WP_002557575.1
OG0000163	WP_011290004.1	WP_002557576.1
OG0000164	WP_011206120.1	WP_002557577.1
OG0000165	WP_011206119.1	WP_002557578.1
OG0000166	WP_160588311.1	WP_002557580.1
OG0000167	WP_160588309.1	WP_002557581.1
OG0000168	WP_160588305.1	WP_002557585.1
OG0000169	WP_160587959.1	WP_002557589.1
OG0000170	WP_160587956.1	WP_002557590.1
OG0000171	WP_011206102.1	WP_002557594.1
OG0000172	WP_160584795.1	WP_002557595.1
OG0000173	WP_146379698.1	WP_002557602.1
OG0000174	WP_160587865.1	WP_002557603.1
OG0000175	WP_011290341.1	WP_002557606.1
OG0000176	WP_011206391.1	WP_002557607.1
OG0000177	WP_011284284.1	WP_002557608.1
OG0000178	WP_160587861.1	WP_002557609.1
OG0000179	WP_020835843.1	WP_002557610.1
OG0000180	WP_011206385.1	WP_002557613.1
OG0000181	WP_011206384.1	WP_002557614.1
OG0000182	WP_020835840.1	WP_002557615.1
OG0000183	WP_160587854.1	WP_002557618.1
OG0000184	WP_011290331.1	WP_002557620.1
OG0000185	WP_160587852.1	WP_002557621.1
OG0000186	WP_146379689.1	WP_002557622.1
OG0000187	WP_135619006.1	WP_002557623.1
OG0000188	WP_160587848.1	WP_002557627.1
OG0000189	WP_020835828.1	WP_002557634.1
OG0000190	WP_020835827.1	WP_002557635.1
OG0000191	WP_011206347.1	WP_002557636.1
OG0000192	WP_160587842.1	WP_002557638.1
OG0000193	WP_146379682.1	WP_002557641.1
OG0000194	WP_020835820.1	WP_002557642.1
OG0000195	WP_160587840.1	WP_002557646.1
OG0000196	WP_160587838.1	WP_002557647.1
OG0000197	WP_160587836.1	WP_002557648.1
OG0000198	WP_160587834.1	WP_002557650.1
OG0000199	WP_011206289.1	WP_002557667.1
OG0000200	WP_179221158.1	WP_002557668.1
OG0000201	WP_146379654.1	WP_002557669.1
OG0000202	WP_135618730.1	WP_002557674.1
OG0000203	WP_011290137.1	WP_002557676.1
OG0000204	WP_146379571.1	WP_002557677.1
OG0000205	WP_014579804.1	WP_002557679.1
OG0000206	WP_011206196.1	WP_002557680.1
OG0000207	WP_160587892.1	WP_002557681.1
OG0000208	WP_160587894.1	WP_002557682.1
OG0000209	WP_011206200.1	WP_002557684.1
OG0000210	WP_011206204.1	WP_002557689.1
OG0000211	WP_160587906.1	WP_002557691.1
OG0000212	WP_011206207.1	WP_002557692.1
OG0000213	WP_160587908.1	WP_002557693.1
OG0000214	WP_044272610.1	WP_002557703.1
OG0000215	WP_146379717.1	WP_002557706.1
OG0000216	WP_011206424.1	WP_002557707.1
OG0000217	WP_160588049.1	WP_002557708.1
OG0000218	WP_160588051.1	WP_002557709.1
OG0000219	WP_160588057.1	WP_002557713.1
OG0000220	WP_135619070.1	WP_002557714.1
OG0000221	WP_160588059.1	WP_002557715.1
OG0000222	WP_160588062.1	WP_002557719.1
OG0000223	WP_160585273.1	WP_002557720.1
OG0000224	WP_160585275.1	WP_002557721.1
OG0000225	WP_160588064.1	WP_002557723.1
OG0000226	WP_020835880.1	WP_002557724.1
OG0000227	WP_081642895.1	WP_002557725.1
OG0000228	WP_160585278.1	WP_002557726.1
OG0000229	WP_020835888.1	WP_002557727.1
OG0000230	WP_011284337.1	WP_002557729.1
OG0000231	WP_160588130.1	WP_002557731.1
OG0000232	WP_160588132.1	WP_002557732.1
OG0000233	WP_044284717.1	WP_002557733.1
OG0000234	WP_011206458.1	WP_002557734.1
OG0000235	WP_011206459.1	WP_002557735.1
OG0000236	WP_160588134.1	WP_002557737.1
OG0000237	WP_011206469.1	WP_002557739.1
OG0000238	WP_160588140.1	WP_002557740.1
OG0000239	WP_146379742.1	WP_002557741.1
OG0000240	WP_011290399.1	WP_002557742.1
OG0000241	WP_160588138.1	WP_002557743.1
OG0000242	WP_160588142.1	WP_002557744.1
OG0000243	WP_011290129.1	WP_002557749.1
OG0000244	WP_020835656.1	WP_002557750.1
OG0000245	WP_011290131.1	WP_002557751.1
OG0000246	WP_020835657.1	WP_002557752.1
OG0000247	WP_011284055.1	WP_002557753.1
OG0000248	WP_160588231.1	WP_002557754.1
