Orthogroup	MHP_KM014_genes	MHP_7422_genes
OG0000001	CIB43_RS03715	MHL_RS02845
OG0000001	CIB43_RS03670	MHL_RS03875, MHL_RS04080
OG0000002	CIB43_RS03100	MHL_RS04055
OG0000002	CIB43_RS04020	MHL_RS03865
OG0000002	CIB43_RS02610	MHL_RS01800
OG0000003	CIB43_RS02725	MHL_RS03835
OG0000004	CIB43_RS00290	MHL_RS03205
OG0000005	CIB43_RS00810	MHL_RS00105
OG0000005	CIB43_RS00830	MHL_RS00125
OG0000006	CIB43_RS03435	MHL_RS03635
OG0000006	CIB43_RS03420	MHL_RS02420, MHL_RS02390
OG0000007	CIB43_RS03095	MHL_RS02250
OG0000007	CIB43_RS03080	MHL_RS02245
OG0000007	CIB43_RS03075	MHL_RS02240
OG0000008	CIB43_RS03225	MHL_RS02375
OG0000009	CIB43_RS00790	MHL_RS00090
OG0000009	CIB43_RS01550	MHL_RS00770
OG0000010	CIB43_RS02735	MHL_RS01930
OG0000010	CIB43_RS00795	MHL_RS00100
OG0000011	CIB43_RS02850	MHL_RS04185
OG0000014	CIB43_RS01485	MHL_RS00590
OG0000014	CIB43_RS01955	MHL_RS01170
OG0000015	CIB43_RS00010	MHL_RS00685
OG0000015	CIB43_RS01220	MHL_RS01720
OG0000016	CIB43_RS03755	MHL_RS02885
OG0000017	CIB43_RS00855	MHL_RS00160
OG0000017	CIB43_RS03765	MHL_RS02895
OG0000020	CIB43_RS00635	MHL_RS03550
OG0000021	CIB43_RS01400	MHL_RS01835
OG0000022	CIB43_RS02590	MHL_RS01790
OG0000023	CIB43_RS00020	MHL_RS00675, MHL_RS03935
OG0000024	CIB43_RS02140	MHL_RS01355
OG0000025	CIB43_RS02585	MHL_RS01785
OG0000027	CIB43_RS00440	MHL_RS03360
OG0000028	CIB43_RS03325	MHL_RS02480
OG0000030	CIB43_RS00435	MHL_RS03355
OG0000031	CIB43_RS00065	MHL_RS00630
OG0000035	CIB43_RS00280	MHL_RS03210
OG0000035	CIB43_RS00270	MHL_RS03195
OG0000036	CIB43_RS00815	MHL_RS00120
OG0000038	CIB43_RS02625	MHL_RS01870
OG0000039	CIB43_RS02500	MHL_RS01705
OG0000041	CIB43_RS03980	MHL_RS00760
OG0000042	CIB43_RS03855	MHL_RS02985
OG0000043	CIB43_RS02825	MHL_RS01990
OG0000043	CIB43_RS00070	MHL_RS00625
OG0000045	CIB43_RS02520	MHL_RS01710
OG0000047	CIB43_RS01205	MHL_RS01655
OG0000047	CIB43_RS00045	MHL_RS00650
OG0000048	CIB43_RS02995	MHL_RS02170
OG0000049	CIB43_RS00150	MHL_RS03060
OG0000051	CIB43_RS03575	MHL_RS02710
OG0000052	CIB43_RS00775	MHL_RS00080
OG0000053	CIB43_RS02315	MHL_RS01530
OG0000054	CIB43_RS03395	MHL_RS02535
OG0000055	CIB43_RS00835	MHL_RS00140
OG0000056	CIB43_RS00630, CIB43_RS03960	MHL_RS03530
OG0000057	CIB43_RS03840	MHL_RS02970
OG0000058	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085	MHL_RS00610
OG0000059	CIB43_RS00080, CIB43_RS01165	MHL_RS00620
OG0000060	CIB43_RS00780	MHL_RS04115
OG0000061	CIB43_RS02745	MHL_RS01940
OG0000062	CIB43_RS00675	MHL_RS03580
OG0000063	CIB43_RS00660	MHL_RS03575
OG0000064	CIB43_RS00650	MHL_RS03565
OG0000065	CIB43_RS03145	MHL_RS02310
OG0000068	CIB43_RS01520	MHL_RS00735
OG0000069	CIB43_RS03740	MHL_RS02860
OG0000070	CIB43_RS03400	MHL_RS02540
OG0000071	CIB43_RS00360	MHL_RS03275
OG0000072	CIB43_RS00375	MHL_RS03280
OG0000073	CIB43_RS01580	MHL_RS00795
OG0000075	CIB43_RS01060	MHL_RS00345
OG0000077	CIB43_RS01330	MHL_RS00450
OG0000078	CIB43_RS02560	MHL_RS01755
OG0000079	CIB43_RS03480	MHL_RS02615
OG0000080	CIB43_RS03525	MHL_RS03870
OG0000081	CIB43_RS01055	MHL_RS00340
OG0000082	CIB43_RS03315	MHL_RS02460
OG0000083	CIB43_RS02935	MHL_RS02095
OG0000084	CIB43_RS02955	MHL_RS02120
OG0000086	CIB43_RS02970	MHL_RS02135
OG0000087	CIB43_RS02975	MHL_RS02150
OG0000088	CIB43_RS02980	MHL_RS02155
OG0000089	CIB43_RS02990	MHL_RS02165
OG0000090	CIB43_RS00770	MHL_RS00075
OG0000091	CIB43_RS00760	MHL_RS00060
OG0000092	CIB43_RS00745	MHL_RS00045
OG0000093	CIB43_RS00735	MHL_RS00040
OG0000094	CIB43_RS00730	MHL_RS00035
OG0000095	CIB43_RS00715	MHL_RS00010
OG0000096	CIB43_RS00700	MHL_RS03615
OG0000097	CIB43_RS00690	MHL_RS03595
OG0000100	CIB43_RS00610	MHL_RS03520
OG0000101	CIB43_RS00600	MHL_RS03515
OG0000102	CIB43_RS02580	MHL_RS01780
OG0000103	CIB43_RS03110	MHL_RS02275
OG0000104	CIB43_RS03120	MHL_RS02280
OG0000105	CIB43_RS03130	MHL_RS02295
OG0000106	CIB43_RS03140	MHL_RS02305
OG0000107	CIB43_RS03150	MHL_RS02315
OG0000108	CIB43_RS03155	MHL_RS02320
OG0000109	CIB43_RS03160	MHL_RS02325
OG0000110	CIB43_RS03290	MHL_RS02450
OG0000111	CIB43_RS03285	MHL_RS02445
OG0000112	CIB43_RS03280	MHL_RS02435
OG0000113	CIB43_RS03260	MHL_RS02415
OG0000114	CIB43_RS03245	MHL_RS02405
OG0000115	CIB43_RS03230	MHL_RS02395
OG0000116	CIB43_RS02165	MHL_RS01380
OG0000117	CIB43_RS02170	MHL_RS01385
OG0000118	CIB43_RS02205	MHL_RS01420
OG0000119	CIB43_RS02210	MHL_RS01425
OG0000120	CIB43_RS02230	MHL_RS01440
OG0000121	CIB43_RS02250	MHL_RS01465
OG0000122	CIB43_RS02255	MHL_RS01470
OG0000123	CIB43_RS02275	MHL_RS01490
OG0000124	CIB43_RS02280	MHL_RS01495
OG0000125	CIB43_RS02285	MHL_RS01500
OG0000126	CIB43_RS02295	MHL_RS01510
OG0000127	CIB43_RS02305	MHL_RS01520
OG0000128	CIB43_RS02320	MHL_RS01535
OG0000129	CIB43_RS02330	MHL_RS01540
OG0000130	CIB43_RS02335	MHL_RS01550
OG0000131	CIB43_RS02370	MHL_RS01580
OG0000132	CIB43_RS02385	MHL_RS01595
OG0000133	CIB43_RS01415	MHL_RS00530
OG0000134	CIB43_RS01425	MHL_RS00535
OG0000135	CIB43_RS01435	MHL_RS00550
OG0000136	CIB43_RS01440	MHL_RS00555
OG0000137	CIB43_RS01470	MHL_RS00585
OG0000138	CIB43_RS01495	MHL_RS00710
OG0000139	CIB43_RS01525	MHL_RS00740
OG0000140	CIB43_RS01540	MHL_RS00745
OG0000141	CIB43_RS03850	MHL_RS02980
OG0000142	CIB43_RS03845	MHL_RS02975
OG0000143	CIB43_RS03835	MHL_RS02950
OG0000144	CIB43_RS03815	MHL_RS02940
OG0000145	CIB43_RS03805	MHL_RS02930
OG0000146	CIB43_RS03790	MHL_RS02920
OG0000147	CIB43_RS03785	MHL_RS02915
OG0000148	CIB43_RS03780	MHL_RS02900
OG0000149	CIB43_RS03760	MHL_RS02890
OG0000150	CIB43_RS03745	MHL_RS02875
OG0000151	CIB43_RS03700	MHL_RS02830
OG0000152	CIB43_RS03695	MHL_RS02825
OG0000153	CIB43_RS03690	MHL_RS02820
OG0000154	CIB43_RS03680	MHL_RS02810
OG0000155	CIB43_RS03645	MHL_RS02770
OG0000156	CIB43_RS03635	MHL_RS02760
OG0000157	CIB43_RS03625	MHL_RS02755
OG0000158	CIB43_RS03620	MHL_RS04195
OG0000159	CIB43_RS03385	MHL_RS02525
OG0000160	CIB43_RS03380	MHL_RS02520
OG0000161	CIB43_RS03375	MHL_RS02515
OG0000163	CIB43_RS03370	MHL_RS02500
OG0000164	CIB43_RS02495	MHL_RS01690
OG0000165	CIB43_RS02840	MHL_RS02015
OG0000166	CIB43_RS02860	MHL_RS02035
OG0000167	CIB43_RS02875	MHL_RS02050
OG0000168	CIB43_RS02880	MHL_RS04040
OG0000169	CIB43_RS00130	MHL_RS03055
OG0000171	CIB43_RS00155	MHL_RS03080
OG0000172	CIB43_RS00160	MHL_RS03085
OG0000173	CIB43_RS00165	MHL_RS03090
OG0000174	CIB43_RS00170	MHL_RS03095
OG0000175	CIB43_RS00190	MHL_RS03110
OG0000176	CIB43_RS00235	MHL_RS03160
OG0000177	CIB43_RS00240	MHL_RS03165
OG0000178	CIB43_RS00245	MHL_RS03170
OG0000179	CIB43_RS00255	MHL_RS03180
OG0000180	CIB43_RS00260	MHL_RS03185
OG0000181	CIB43_RS00310	MHL_RS03225
OG0000182	CIB43_RS00320	MHL_RS03235
