Orthogroup	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
OG0000709	WP_231237858.1																																											
OG0000710	WP_231237885.1																																											
OG0000711		WP_160603309.1																																										
OG0000712		WP_220190852.1																																										
OG0000713			WP_160593386.1																																									
OG0000714			WP_160593556.1																																									
OG0000715					WP_220200600.1																																							
OG0000716					WP_308704651.1																																							
OG0000717						WP_160605653.1																																						
OG0000718									WP_404912078.1																																			
OG0000719										WP_020835569.1																																		
OG0000720										WP_404913651.1																																		
OG0000721														WP_404924529.1																														
OG0000722														WP_404924545.1																														
OG0000723															WP_404924243.1																													
OG0000724															WP_404924321.1																													
OG0000725															WP_404924328.1																													
OG0000726															WP_404924409.1																													
OG0000727																WP_404924062.1																												
OG0000728																		WP_233417358.1																										
OG0000729																			WP_044277988.1																									
OG0000730																			WP_187286317.1																									
OG0000731																						WP_020835618.1																						
OG0000732																						WP_020835718.1																						
OG0000733																						WP_020835925.1																						
OG0000734																						WP_236607954.1																						
OG0000735																						WP_236607963.1																						
OG0000736																						WP_236607979.1																						
OG0000737																						WP_269076333.1																						
OG0000738																								WP_179695829.1																				
OG0000739																									WP_240536649.1																			
OG0000740																									WP_276310605.1																			
OG0000741																										WP_240536346.1																		
OG0000742																										WP_240536371.1																		
OG0000743																												WP_148166903.1																
OG0000744																													WP_014579668.1															
OG0000745																													WP_014579798.1															
OG0000746																													WP_044272301.1															
OG0000747																													WP_081420856.1															
OG0000748																													WP_094521593.1															
OG0000749																													WP_094521700.1															
OG0000750																													WP_157696713.1															
OG0000751																													WP_157696718.1															
OG0000752																														WP_233688455.1														
OG0000753																														WP_233688458.1														
OG0000754																														WP_233688746.1														
OG0000755																															WP_220200888.1													
OG0000756																															WP_258556668.1													
OG0000757																																WP_160615988.1												
OG0000758																																WP_258555936.1												
OG0000759																																	WP_160590519.1											
OG0000760																																	WP_160590551.1											
OG0000761																																	WP_220200805.1											
OG0000762																																	WP_220200806.1											
OG0000763																																	WP_220200807.1											
OG0000764																																	WP_220200808.1											
OG0000765																																	WP_220200809.1											
OG0000766																																	WP_220200810.1											
OG0000767																																	WP_220200811.1											
OG0000768																																	WP_220200812.1											
OG0000769																																	WP_220200813.1											
OG0000770																																	WP_220200814.1											
OG0000771																																	WP_220200815.1											
OG0000772																																	WP_220200816.1											
OG0000773																																	WP_220200817.1											
OG0000774																																	WP_220200818.1											
OG0000775																																	WP_220200819.1											
OG0000776																																	WP_220200820.1											
OG0000777																																	WP_220200821.1											
OG0000778																																	WP_220200822.1											
OG0000779																																	WP_220200823.1											
OG0000780																																		WP_160585741.1										
OG0000781																																			WP_160607755.1									
OG0000782																																			WP_258555586.1									
OG0000783																																			WP_334199366.1									
OG0000784																																				WP_258555500.1								
OG0000785																																					WP_160617539.1							
OG0000786																																							WP_220191096.1					
OG0000787																																								WP_129640639.1				
OG0000788																																								WP_232039597.1				
OG0000789																																								WP_232039599.1				
OG0000790																																								WP_232039621.1				
OG0000791																																								WP_232039622.1				
OG0000792																																								WP_232039633.1				
OG0000793																																								WP_232039643.1				
OG0000794																																									WP_088764618.1			
OG0000795																																									WP_088764619.1			
OG0000796																																									WP_088764628.1			
OG0000797																																									WP_088764630.1			
OG0000798																																									WP_143826158.1			
OG0000799																																									WP_143826170.1			
OG0000800																																									WP_143826171.1			
OG0000801																																									WP_189220788.1			
OG0000802																																									WP_189220797.1			
OG0000803																																									WP_189220800.1			
OG0000804																																									WP_189220804.1			
OG0000805																																									WP_189220805.1			
OG0000806																																									WP_189220807.1			
OG0000807																																									WP_189220809.1			
OG0000808																																									WP_189220813.1			
OG0000809																																									WP_252862129.1			
OG0000810																																									WP_252862130.1			
OG0000811																																									WP_252862137.1			
OG0000812																																									WP_252862138.1			
OG0000813																																									WP_252862152.1			
OG0000814																																									WP_252862163.1			
OG0000815																																									WP_252862169.1			
OG0000816																																									WP_252862205.1			
OG0000817																																									WP_252862207.1			
OG0000818																																									WP_252862208.1			
OG0000819																																									WP_252862209.1			
OG0000820																																									WP_252862210.1			
OG0000821																																									WP_252862216.1			
OG0000822																																									WP_252862217.1			
OG0000823																																									WP_252862218.1			
OG0000824																																									WP_252862219.1			
OG0000825																																									WP_252862220.1			
OG0000826																																									WP_252862221.1			
OG0000827																																									WP_252862222.1			
OG0000828																																									WP_290124225.1			
OG0000829																																									WP_290124227.1			
OG0000830																																												WP_258555295.1
OG0000831																																												WP_347952318.1
OG0000832																																												WP_347952357.1
OG0000833																																												WP_347952387.1
OG0000834																																												WP_347952400.1
OG0000835																																												WP_347952465.1
