Orthogroup	MFC_MF29_proteins	MHP_MHP650_proteins
OG0000000	WP_160581495.1	WP_160601117.1
OG0000000	WP_160581134.1	WP_233688764.1
OG0000001	WP_039387745.1, WP_160580916.1	WP_258556637.1, WP_258556624.1, WP_011206342.1, WP_258556621.1
OG0000002	WP_160581489.1	WP_160601263.1
OG0000002	WP_160581136.1	WP_160601022.1
OG0000003	WP_160581478.1	WP_237697199.1
OG0000007	WP_160581480.1	WP_011284157.1
OG0000007	WP_160581482.1	WP_160585819.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000011	WP_220200593.1, WP_258555793.1	WP_160600906.1
OG0000011	WP_308704663.1	WP_160600904.1
OG0000013	WP_160580981.1, WP_160580979.1	WP_371863325.1
OG0000013	WP_258555762.1	WP_371863321.1
OG0000014	WP_220200543.1	WP_220200910.1, WP_160601233.1
OG0000016	WP_160580902.1	WP_160600777.1
OG0000017	WP_160581069.1	WP_228365403.1
OG0000017	WP_160580898.1	WP_020835837.1
OG0000018	WP_160581182.1	WP_160601158.1
OG0000019	WP_160581493.1	WP_258556650.1
OG0000020	WP_160581116.1	WP_308704754.1
OG0000020	WP_220200556.1	WP_308704755.1
OG0000022	WP_160581132.1	WP_160601018.1
OG0000023	WP_160581288.1	WP_160601161.1
OG0000024	WP_231237865.1	WP_258556699.1, WP_160600862.1
OG0000025	WP_160581130.1	WP_160601016.1
OG0000026	WP_160581190.1	WP_044284614.1, WP_160585054.1
OG0000027	WP_160581395.1	WP_160601209.1
OG0000029	WP_160580866.1	WP_160601095.1, WP_160601231.1
OG0000030	WP_160581397.1	WP_308704764.1, WP_160590224.1
OG0000033	WP_160580987.1, WP_220200549.1	WP_160600708.1
OG0000039	WP_160580876.1	WP_160601257.1
OG0000040	WP_160581286.1, WP_308704648.1, WP_160580937.1	WP_160601121.1
OG0000042	WP_160580874.1, WP_160580909.1	WP_160600794.1
OG0000043	WP_160581230.1, WP_160581416.1	WP_014579804.1
OG0000045	WP_255454455.1, WP_255454456.1	WP_160590485.1
OG0000048	WP_308704664.1, WP_160581439.1	WP_011284150.1
OG0000049	WP_308704657.1	WP_160600923.1
OG0000050	WP_160581404.1	WP_160600723.1
OG0000051	WP_160581217.1	WP_160601045.1
OG0000052	WP_002557464.1	WP_011283836.1
OG0000053	WP_220200596.1, WP_220200565.1	WP_160600836.1
OG0000054	WP_160580989.1	WP_160600727.1
OG0000055	WP_308704649.1	WP_014579531.1
OG0000056	WP_160581124.1	WP_160600810.1
OG0000057	WP_258555750.1	WP_258556625.1, WP_258556626.1
OG0000059	WP_258555782.1	WP_258555521.1
OG0000062	WP_160581109.1	WP_160588098.1
OG0000063	WP_160581110.1	WP_041361715.1
OG0000064	WP_160581114.1	WP_011290440.1
OG0000065	WP_002557517.1	WP_243216185.1
OG0000066	WP_002557543.1	WP_160600846.1
OG0000068	WP_002557593.1	WP_011206103.1
OG0000069	WP_002557626.1	WP_011284269.1
OG0000070	WP_002557663.1	WP_011206292.1
OG0000071	WP_160581282.1	WP_160601125.1
OG0000072	WP_160581284.1	WP_160601123.1
OG0000073	WP_039387630.1	WP_011290025.1
OG0000074	WP_308704661.1	WP_011206057.1
OG0000075	WP_160581028.1	WP_014579568.1
OG0000076	WP_160581024.1	WP_160600693.1
OG0000077	WP_160581009.1	WP_160601219.1
OG0000078	WP_160580948.1	WP_160601010.1
OG0000079	WP_160580968.1	WP_160600966.1
OG0000080	WP_196792423.1	WP_011206314.1
OG0000081	WP_308704652.1	WP_160600689.1
OG0000083	WP_160581484.1	WP_014579823.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_160581451.1	WP_160601152.1
OG0000086	WP_160581447.1	WP_160601147.1
OG0000087	WP_258555794.1	WP_160601142.1
OG0000088	WP_160581443.1	WP_020835733.1
OG0000089	WP_002557461.1	WP_011206231.1
OG0000090	WP_160581085.1	WP_011283835.1
OG0000091	WP_002557468.1	WP_160600822.1
OG0000092	WP_160581094.1	WP_011205847.1
OG0000093	WP_002557472.1	WP_020835484.1
OG0000094	WP_160581096.1	WP_014579519.1
OG0000095	WP_002557479.1	WP_044272251.1
OG0000096	WP_002557480.1	WP_011206529.1
OG0000097	WP_160581102.1	WP_146379771.1
OG0000098	WP_160581106.1	WP_160600816.1
OG0000099	WP_160581122.1	WP_160600812.1
OG0000100	WP_160581126.1	WP_160600806.1
OG0000101	WP_002557497.1	WP_011206510.1
OG0000102	WP_160581128.1	WP_135619192.1
OG0000103	WP_160581150.1	WP_160601114.1
OG0000104	WP_002557510.1	WP_011206239.1
OG0000105	WP_160581154.1	WP_160588282.1
OG0000106	WP_160581158.1	WP_011284167.1
OG0000107	WP_002557518.1	WP_011284169.1
OG0000108	WP_308704655.1	WP_011206247.1
OG0000109	WP_002557520.1	WP_160601110.1
OG0000110	WP_160581160.1	WP_160601201.1
OG0000111	WP_220200563.1	WP_258556696.1
OG0000112	WP_160581165.1	WP_258556695.1
OG0000113	WP_002557528.1	WP_160601227.1
OG0000114	WP_258555776.1	WP_258555507.1
OG0000115	WP_002557532.1	WP_011290245.1
OG0000116	WP_160581176.1	WP_160600860.1
OG0000117	WP_160581178.1	WP_160600858.1
OG0000118	WP_160581185.1	WP_011284023.1
OG0000119	WP_160581187.1	WP_160600850.1
OG0000120	WP_160581189.1	WP_160600844.1
OG0000121	WP_160581194.1	WP_011284032.1
OG0000122	WP_002557549.1	WP_020835643.1
OG0000123	WP_160581199.1	WP_011205954.1
OG0000124	WP_160581201.1	WP_160600842.1
OG0000125	WP_160581203.1	WP_011205952.1
OG0000126	WP_160581207.1	WP_146379560.1
OG0000127	WP_160581211.1	WP_011290122.1
OG0000128	WP_160581457.1	WP_160600834.1
OG0000129	WP_160581459.1	WP_160600832.1
OG0000130	WP_002557565.1	WP_160600828.1
OG0000131	WP_002557566.1	WP_146379566.1
OG0000132	WP_160581465.1	WP_094521636.1
OG0000133	WP_002557574.1	WP_011206123.1
OG0000134	WP_160580852.1	WP_308704761.1
OG0000135	WP_002557577.1	WP_011206120.1
OG0000136	WP_160580854.1	WP_135618546.1
OG0000137	WP_002557585.1	WP_011206113.1
OG0000138	WP_160580868.1	WP_160584793.1
OG0000139	WP_160580872.1	WP_011206102.1
OG0000140	WP_002557595.1	WP_011206101.1
OG0000141	WP_002557602.1	WP_160600792.1
OG0000142	WP_002557603.1	WP_160600791.1
OG0000143	WP_160580880.1	WP_011206391.1
OG0000144	WP_160580884.1	WP_160600787.1
OG0000145	WP_160580888.1	WP_228365394.1
OG0000146	WP_002557613.1	WP_011206385.1
OG0000147	WP_002557614.1	WP_160600783.1
OG0000148	WP_160580896.1	WP_160600779.1
OG0000149	WP_160580900.1	WP_011290331.1
OG0000150	WP_002557623.1	WP_160600775.1
OG0000151	WP_160580918.1	WP_160600765.1
OG0000152	WP_160580920.1	WP_160600763.1
OG0000153	WP_160580922.1	WP_160600761.1
OG0000154	WP_160580926.1	WP_011206345.1
OG0000155	WP_002557642.1	WP_011206337.1
OG0000156	WP_160580941.1	WP_160601028.1
OG0000157	WP_002557648.1	WP_160601030.1
OG0000158	WP_002557650.1	WP_160601032.1
OG0000159	WP_002557667.1	WP_011206289.1
OG0000160	WP_160580992.1	WP_011284209.1
OG0000161	WP_160580994.1	WP_011206287.1
OG0000162	WP_160581406.1	WP_135619210.1
OG0000163	WP_160581408.1	WP_160600721.1
OG0000164	WP_160581414.1	WP_160601269.1
OG0000165	WP_002557684.1	WP_160600902.1
OG0000166	WP_160581423.1	WP_160600910.1
OG0000167	WP_160581429.1	WP_011206207.1
OG0000168	WP_002557693.1	WP_160587908.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_002557704.1	WP_011206420.1
OG0000171	WP_160581256.1	WP_050195447.1
OG0000172	WP_002557707.1	WP_011206424.1
OG0000173	WP_002557708.1	WP_160600927.1
OG0000174	WP_002557709.1	WP_160600929.1
OG0000175	WP_002557712.1	WP_160588054.1
OG0000176	WP_160581268.1	WP_160600939.1
OG0000177	WP_160581270.1	WP_014579977.1
OG0000178	WP_002557721.1	WP_020835878.1
OG0000179	WP_160581274.1	WP_160600943.1
OG0000180	WP_002557725.1	WP_160600945.1
OG0000181	WP_039387691.1	WP_160601136.1
OG0000182	WP_002557729.1	WP_011206453.1
OG0000183	WP_002557735.1	WP_011206459.1
OG0000184	WP_160581467.1	WP_135619119.1
OG0000185	WP_002557743.1	WP_020835897.1
OG0000186	WP_160581292.1	WP_160601247.1
OG0000187	WP_002557753.1	WP_011284055.1
OG0000188	WP_002557755.1	WP_160601241.1
OG0000189	WP_160581293.1	WP_160601185.1
OG0000190	WP_002557757.1	WP_011206256.1
OG0000191	WP_002557761.1	WP_135619204.1
OG0000192	WP_160581299.1	WP_011284001.1
OG0000193	WP_002557766.1	WP_011283999.1
OG0000194	WP_002557768.1	WP_094521582.1
OG0000195	WP_002557769.1	WP_094521583.1
OG0000196	WP_160581303.1	WP_228729168.1
OG0000197	WP_002557775.1	WP_041361572.1
OG0000198	WP_002557778.1	WP_011283930.1
OG0000199	WP_002557779.1	WP_011206086.1
OG0000200	WP_002557781.1	WP_160600870.1
OG0000201	WP_002557783.1	WP_160600874.1
OG0000202	WP_002557791.1	WP_308704756.1
OG0000203	WP_160581315.1	WP_011206072.1
OG0000204	WP_160581361.1	WP_014579633.1
OG0000205	WP_160581359.1	WP_014579632.1
OG0000206	WP_002557798.1	WP_160600886.1
OG0000207	WP_160581354.1	WP_011283951.1
OG0000208	WP_002557802.1	WP_011290046.1
OG0000209	WP_002557803.1	WP_011206061.1
OG0000210	WP_160581347.1	WP_044284597.1
OG0000211	WP_002557813.1	WP_011206050.1
OG0000212	WP_002557815.1	WP_011206048.1
OG0000213	WP_002557816.1	WP_011283963.1
OG0000214	WP_002557817.1	WP_160601104.1
OG0000215	WP_002557818.1	WP_011206046.1
OG0000216	WP_160581343.1	WP_014579616.1
OG0000217	WP_160581341.1	WP_011206044.1
OG0000218	WP_160581339.1	WP_011206042.1
OG0000219	WP_002557823.1	WP_220200886.1
OG0000220	WP_002557824.1	WP_011206040.1
OG0000221	WP_002557825.1	WP_011206039.1
OG0000222	WP_002557826.1	WP_011206038.1
OG0000223	WP_002557827.1	WP_041361589.1
OG0000224	WP_002557829.1	WP_011206035.1
OG0000225	WP_002557831.1	WP_160601098.1
OG0000226	WP_002557832.1	WP_011206032.1
OG0000227	WP_002557833.1	WP_011206031.1
OG0000228	WP_002557834.1	WP_094521599.1
OG0000229	WP_002557835.1	WP_011206028.1
OG0000230	WP_160581335.1	WP_014579605.1
OG0000231	WP_160581334.1	WP_011206025.1
OG0000232	WP_002557840.1	WP_014579601.1
OG0000233	WP_160581330.1	WP_011290071.1
OG0000234	WP_318026671.1	WP_044284822.1
OG0000235	WP_002557850.1	WP_020835611.1
OG0000236	WP_160581215.1	WP_160600997.1
OG0000237	WP_002557855.1	WP_160600995.1
OG0000238	WP_002557856.1	WP_160600993.1
OG0000239	WP_002557863.1	WP_160600796.1
OG0000240	WP_002557864.1	WP_011206400.1
OG0000241	WP_002557866.1	WP_011206402.1
OG0000242	WP_160581246.1	WP_160600798.1
OG0000243	WP_002557868.1	WP_011206404.1
OG0000244	WP_002557870.1	WP_160600800.1
OG0000245	WP_002557872.1	WP_011206408.1
OG0000246	WP_160581082.1	WP_050195463.1
OG0000247	WP_160581077.1	WP_160600649.1
OG0000248	WP_160581067.1	WP_160600703.1
OG0000249	WP_160581065.1	WP_160600651.1
OG0000250	WP_160581059.1	WP_011205875.1
OG0000251	WP_002557891.1	WP_318023737.1
OG0000252	WP_160581051.1	WP_011205883.1
OG0000253	WP_160581049.1	WP_011289964.1
OG0000254	WP_160581047.1	WP_160600665.1
OG0000255	WP_002557898.1	WP_160600667.1
OG0000256	WP_002557899.1	WP_011205889.1
OG0000257	WP_002557904.1	WP_011289973.1
OG0000258	WP_160581044.1	WP_011283871.1
OG0000259	WP_160581036.1	WP_220200824.1
OG0000260	WP_160581035.1	WP_011283879.1
OG0000261	WP_160581032.1	WP_160600687.1
OG0000262	WP_002557919.1	WP_014579569.1
OG0000263	WP_160581022.1	WP_011283885.1
OG0000264	WP_160581017.1	WP_011205916.1
OG0000265	WP_002557927.1	WP_160600699.1
OG0000266	WP_002557930.1	WP_011205923.1
