Orthogroup	MHP_Ue273_proteins	MFC_MF22_proteins
OG0000000	WP_347952487.1	WP_308704674.1
OG0000001	WP_347952413.1, WP_347952263.1, WP_347952260.1	WP_220190178.1, WP_160580916.1
OG0000002	WP_347952457.1	WP_160583787.1
OG0000011	WP_347952482.1	WP_160584052.1
OG0000011	WP_347952481.1	WP_220190244.1
OG0000013	WP_347952233.1	WP_160583610.1, WP_160583612.1
OG0000013	WP_347952491.1	WP_258556599.1
OG0000014	WP_347952397.1, WP_347952382.1	WP_220190181.1
OG0000016	WP_347952265.1	WP_160580902.1
OG0000017	WP_243215933.1	WP_160583745.1
OG0000017	WP_020835837.1	WP_160583665.1
OG0000020	WP_347952330.1	WP_160583771.1
OG0000020	WP_347952331.1	WP_220190184.1
OG0000022	WP_347952455.1	WP_160583783.1
OG0000023	WP_347952417.1	WP_160583963.1
OG0000024	WP_160585687.1, WP_347952412.1	WP_258556250.1
OG0000025	WP_347952453.1	WP_160583781.1
OG0000026	WP_347952418.1, WP_011206159.1	WP_160581190.1
OG0000027	WP_347952308.1	WP_308507118.1
OG0000027	WP_160585589.1	WP_160583814.1
OG0000029	WP_347952396.1, WP_347952383.1	WP_160583685.1
OG0000030	WP_160584917.1	WP_160583816.1
OG0000031	WP_011206142.1	WP_160584009.1
OG0000032	WP_347952309.1, WP_347952438.1, WP_347952437.1, WP_347952310.1	WP_220190186.1
OG0000039	WP_347952442.1, WP_347952441.1	WP_160583677.1
OG0000040	WP_347952301.1	WP_160583920.1, WP_160583651.1
OG0000042	WP_347952270.1, WP_347952269.1	WP_160583678.1, WP_160583661.1
OG0000043	WP_014579804.1	WP_160581416.1
OG0000045	WP_160585827.1	WP_258556598.1, WP_255454456.1
OG0000048	WP_347952212.1	WP_160581439.1, WP_308704673.1
OG0000049	WP_020835860.1	WP_258556603.1
OG0000050	WP_347952238.1	WP_160584004.1
OG0000051	WP_347952252.1	WP_160583877.1
OG0000052	WP_011289937.1	WP_002557464.1
OG0000053	WP_347952425.1	WP_308704670.1
OG0000054	WP_347952240.1	WP_160583604.1
OG0000055	WP_146379455.1	WP_002557874.1, WP_334296057.1
OG0000056	WP_347952327.1	WP_160583779.1
OG0000057	WP_347952267.1, WP_347952268.1	WP_258556597.1
OG0000062	WP_160588098.1	WP_002557486.1
OG0000063	WP_160606495.1	WP_160583767.1
OG0000064	WP_347952332.1	WP_160583769.1
OG0000065	WP_347952215.1	WP_160583941.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000067	WP_347952376.1	WP_160583697.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011284269.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_347952299.1	WP_160581282.1
OG0000072	WP_347952300.1	WP_160583918.1
OG0000073	WP_011206093.1	WP_039387630.1
OG0000074	WP_179221041.1	WP_308507108.1
OG0000077	WP_347952370.1	WP_160583701.1
OG0000078	WP_347952448.1	WP_160583639.1
OG0000079	WP_146379663.1	WP_160580968.1
OG0000080	WP_179695988.1	WP_196792423.1
OG0000081	WP_347952367.1	WP_308507105.1
OG0000082	WP_347952488.1	WP_220190174.1
OG0000083	WP_011206216.1	WP_002557446.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206223.1	WP_160584019.1
OG0000086	WP_347952209.1	WP_160584021.1
OG0000087	WP_020835732.1	WP_236681783.1
OG0000088	WP_020835733.1	WP_160581443.1
OG0000089	WP_347952211.1	WP_002557461.1
OG0000090	WP_020835488.1	WP_002557465.1
OG0000091	WP_020835487.1	WP_002557468.1
OG0000092	WP_011205847.1	WP_002557471.1
