Orthogroup	MHP_Ue273_genes	MFC_ATCC27716_genes
OG0000000	VQY17_RS02200	MFC_RS01410
OG0000001	VQY17_RS01300, VQY17_RS02775, VQY17_RS02730	MFC_RS03350
OG0000002	VQY17_RS02210, VQY17_RS02205	MFC_RS00395
OG0000002	VQY17_RS01780	MFC_RS00370
OG0000011	VQY17_RS02025	MFC_RS03510, MFC_RS03505
OG0000011	VQY17_RS02020	MFC_RS01350
OG0000013	VQY17_RS02405	MFC_RS03175, MFC_RS02880
OG0000013	VQY17_RS00185	MFC_RS03420
OG0000014	VQY17_RS01120, VQY17_RS00605	MFC_RS00870
OG0000016	VQY17_RS02820	MFC_RS01050
OG0000017	VQY17_RS00155	MFC_RS03155
OG0000017	VQY17_RS02830	MFC_RS01040
OG0000019	VQY17_RS02990	MFC_RS03330
OG0000020	VQY17_RS03550	MFC_RS00305
OG0000020	VQY17_RS03555	MFC_RS00300
OG0000022	VQY17_RS01765	MFC_RS00360
OG0000024	VQY17_RS02725, VQY17_RS01295	MFC_RS01110
OG0000025	VQY17_RS01755	MFC_RS00355
OG0000026	VQY17_RS01380, VQY17_RS01735	MFC_RS00580
OG0000027	VQY17_RS03350	MFC_RS02850
OG0000029	VQY17_RS01115, VQY17_RS00610	MFC_RS00875
OG0000030	VQY17_RS03345	MFC_RS02855
OG0000031	VQY17_RS01635	MFC_RS01295
OG0000032	VQY17_RS03335, VQY17_RS01615, VQY17_RS01610	MFC_RS02685
OG0000032	VQY17_RS03340	MFC_RS02860
OG0000037	VQY17_RS01620	MFC_RS03295, MFC_RS00375
OG0000039	VQY17_RS01650, VQY17_RS01645	MFC_RS03135, MFC_RS00935
OG0000040	VQY17_RS03270	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	VQY17_RS02925, VQY17_RS02920	MFC_RS00930, MFC_RS01085
OG0000043	VQY17_RS01990	MFC_RS01320
OG0000045	VQY17_RS01655	MFC_RS00950
OG0000048	VQY17_RS02180	MFC_RS00140
OG0000049	VQY17_RS03040	MFC_RS03220, MFC_RS03365
OG0000050	VQY17_RS02445	MFC_RS01260
OG0000051	VQY17_RS02645	MFC_RS02240
OG0000052	VQY17_RS00075	MFC_RS00160
OG0000053	VQY17_RS01470	MFC_RS00665
OG0000054	VQY17_RS02470	MFC_RS01235
OG0000055	VQY17_RS00135	MFC_RS03415, MFC_RS03540
OG0000056	VQY17_RS03535	MFC_RS00325
OG0000057	VQY17_RS02900, VQY17_RS02905	MFC_RS00965
OG0000062	VQY17_RS03585	MFC_RS00270
OG0000063	VQY17_RS03580	MFC_RS00275
OG0000064	VQY17_RS03570	MFC_RS00285
OG0000065	VQY17_RS02255	MFC_RS00440
OG0000066	VQY17_RS01370	MFC_RS00570
OG0000067	VQY17_RS00525	MFC_RS00800
OG0000068	VQY17_RS00645	MFC_RS00910
OG0000069	VQY17_RS02795	MFC_RS01075
OG0000070	VQY17_RS02475	MFC_RS01215
OG0000071	VQY17_RS03260	MFC_RS01630
OG0000072	VQY17_RS03265	MFC_RS01635
OG0000073	VQY17_RS00705	MFC_RS03395, MFC_RS03390
OG0000074	VQY17_RS00910	MFC_RS03400
OG0000077	VQY17_RS00445	MFC_RS02670
OG0000078	VQY17_RS01715	MFC_RS03005
OG0000079	VQY17_RS02550	MFC_RS02930, MFC_RS03120
OG0000080	VQY17_RS02595	MFC_RS03315
OG0000081	VQY17_RS00340	MFC_RS03430, MFC_RS02560
OG0000082	VQY17_RS02400	MFC_RS02870
OG0000083	VQY17_RS02095	MFC_RS00040
OG0000084	VQY17_RS02125	MFC_RS00070
OG0000085	VQY17_RS02135	MFC_RS00075
OG0000086	VQY17_RS02145	MFC_RS00085
OG0000087	VQY17_RS02160	MFC_RS03320
OG0000088	VQY17_RS02165	MFC_RS00105
OG0000089	VQY17_RS02175	MFC_RS00115
OG0000090	VQY17_RS00070	MFC_RS00165
OG0000091	VQY17_RS00055	MFC_RS00180
OG0000092	VQY17_RS00040	MFC_RS00195
OG0000093	VQY17_RS00035	MFC_RS00200
OG0000094	VQY17_RS00030	MFC_RS00205
OG0000095	VQY17_RS00005	MFC_RS00230
OG0000096	VQY17_RS03620	MFC_RS00235
OG0000097	VQY17_RS03600	MFC_RS00255
OG0000098	VQY17_RS03590	MFC_RS00265
OG0000099	VQY17_RS03540	MFC_RS00320
OG0000100	VQY17_RS03525	MFC_RS00335
OG0000101	VQY17_RS03520	MFC_RS00340
OG0000102	VQY17_RS01750	MFC_RS00350
OG0000103	VQY17_RS02220	MFC_RS00405
OG0000104	VQY17_RS02225	MFC_RS00410
OG0000105	VQY17_RS02240	MFC_RS00425
OG0000106	VQY17_RS02250	MFC_RS00435
OG0000107	VQY17_RS02260	MFC_RS00445
OG0000108	VQY17_RS02265	MFC_RS00450
OG0000109	VQY17_RS02270	MFC_RS00455
OG0000110	VQY17_RS02390	MFC_RS00460
OG0000111	VQY17_RS02385	MFC_RS00465
OG0000112	VQY17_RS02375	MFC_RS00475
OG0000113	VQY17_RS02355	MFC_RS00490
OG0000114	VQY17_RS02345	MFC_RS00500
OG0000115	VQY17_RS02335	MFC_RS00510
OG0000116	VQY17_RS01315	MFC_RS00520
OG0000117	VQY17_RS01320	MFC_RS00525
OG0000118	VQY17_RS01355	MFC_RS00555
OG0000119	VQY17_RS01360	MFC_RS00560
OG0000120	VQY17_RS01375	MFC_RS00575
OG0000121	VQY17_RS01405	MFC_RS00600
OG0000122	VQY17_RS01410	MFC_RS00605
OG0000123	VQY17_RS01430	MFC_RS00625
OG0000124	VQY17_RS01435	MFC_RS00630
OG0000125	VQY17_RS01440	MFC_RS00635
OG0000126	VQY17_RS01455	MFC_RS00645
OG0000127	VQY17_RS01460	MFC_RS00655
OG0000128	VQY17_RS01475	MFC_RS00670
OG0000129	VQY17_RS01480	MFC_RS00675
OG0000130	VQY17_RS01490	MFC_RS00685
OG0000131	VQY17_RS01520	MFC_RS00715
OG0000132	VQY17_RS01535	MFC_RS00735
OG0000133	VQY17_RS00530	MFC_RS00805
OG0000134	VQY17_RS00535	MFC_RS00810
OG0000135	VQY17_RS00550	MFC_RS00825
OG0000136	VQY17_RS00555	MFC_RS00830
OG0000137	VQY17_RS00595	MFC_RS00860
OG0000138	VQY17_RS00620	MFC_RS00885
OG0000139	VQY17_RS00650	MFC_RS00915
OG0000140	VQY17_RS00655	MFC_RS00920
OG0000141	VQY17_RS02915	MFC_RS00955
OG0000142	VQY17_RS02910	MFC_RS00960
OG0000143	VQY17_RS02885	MFC_RS00985
OG0000144	VQY17_RS02875	MFC_RS00995
OG0000145	VQY17_RS02865	MFC_RS01005
OG0000146	VQY17_RS02855	MFC_RS01015
OG0000147	VQY17_RS02850	MFC_RS01020
OG0000148	VQY17_RS02835	MFC_RS01035
OG0000149	VQY17_RS02825	MFC_RS01045
OG0000150	VQY17_RS02810	MFC_RS01060
OG0000151	VQY17_RS02760	MFC_RS01115
OG0000152	VQY17_RS02755	MFC_RS01120
OG0000153	VQY17_RS02750	MFC_RS01125
OG0000154	VQY17_RS02740	MFC_RS01135
OG0000155	VQY17_RS02705	MFC_RS01155
OG0000156	VQY17_RS02695	MFC_RS01175
OG0000157	VQY17_RS02690	MFC_RS01180
OG0000158	VQY17_RS02680	MFC_RS01190
OG0000159	VQY17_RS02460	MFC_RS01245
OG0000160	VQY17_RS02455	MFC_RS01250
OG0000161	VQY17_RS02450	MFC_RS01255
OG0000162	VQY17_RS02440	MFC_RS01265
OG0000163	VQY17_RS02435	MFC_RS01270
OG0000164	VQY17_RS01640	MFC_RS01300
OG0000165	VQY17_RS02015	MFC_RS01345
OG0000166	VQY17_RS02035	MFC_RS01365
OG0000167	VQY17_RS02050	MFC_RS01380
OG0000168	VQY17_RS02055	MFC_RS01385
OG0000169	VQY17_RS03035	MFC_RS01430
OG0000170	VQY17_RS03050	MFC_RS01455
OG0000171	VQY17_RS03060	MFC_RS01465
OG0000172	VQY17_RS03065	MFC_RS01470
OG0000173	VQY17_RS03070	MFC_RS01475
OG0000174	VQY17_RS03075	MFC_RS01480
OG0000175	VQY17_RS03090	MFC_RS01495
OG0000176	VQY17_RS03135	MFC_RS01540
OG0000177	VQY17_RS03140	MFC_RS01545
OG0000178	VQY17_RS03145	MFC_RS01550
OG0000179	VQY17_RS03155	MFC_RS01560
OG0000180	VQY17_RS03160	MFC_RS01565
OG0000181	VQY17_RS03210	MFC_RS01580
OG0000182	VQY17_RS03220	MFC_RS01590
OG0000183	VQY17_RS03255	MFC_RS01625
OG0000184	VQY17_RS03305	MFC_RS01655
OG0000185	VQY17_RS03290	MFC_RS01670
OG0000186	VQY17_RS01545	MFC_RS01710
OG0000187	VQY17_RS01560	MFC_RS01725
OG0000188	VQY17_RS01570	MFC_RS01735
OG0000189	VQY17_RS02305	MFC_RS03385
OG0000190	VQY17_RS02300	MFC_RS01750
OG0000191	VQY17_RS02280	MFC_RS01770
OG0000192	VQY17_RS01240	MFC_RS01780
OG0000193	VQY17_RS01230	MFC_RS01795
OG0000194	VQY17_RS00690	MFC_RS01805
OG0000195	VQY17_RS00695	MFC_RS01810
OG0000196	VQY17_RS00715	MFC_RS01830
OG0000197	VQY17_RS00720	MFC_RS01835
OG0000198	VQY17_RS00735	MFC_RS01850
OG0000199	VQY17_RS00740	MFC_RS01855
OG0000200	VQY17_RS00755	MFC_RS01865
OG0000201	VQY17_RS00765	MFC_RS01875
OG0000202	VQY17_RS00825	MFC_RS01930
OG0000203	VQY17_RS00830	MFC_RS01935
OG0000204	VQY17_RS00835	MFC_RS01940
OG0000205	VQY17_RS00840	MFC_RS01945
OG0000206	VQY17_RS00860	MFC_RS01965
OG0000207	VQY17_RS00875	MFC_RS01980
OG0000208	VQY17_RS00880	MFC_RS01985
OG0000209	VQY17_RS00885	MFC_RS01990
OG0000210	VQY17_RS00935	MFC_RS02040
OG0000211	VQY17_RS00970	MFC_RS02050
OG0000212	VQY17_RS00980	MFC_RS02060
OG0000213	VQY17_RS00985	MFC_RS02065
OG0000214	VQY17_RS00990	MFC_RS02070
OG0000215	VQY17_RS00995	MFC_RS02075
OG0000216	VQY17_RS01000	MFC_RS02080
OG0000217	VQY17_RS01005	MFC_RS02085
OG0000218	VQY17_RS01015	MFC_RS02095
OG0000219	VQY17_RS01020	MFC_RS02100
OG0000220	VQY17_RS01025	MFC_RS02105
OG0000221	VQY17_RS01030	MFC_RS02110
OG0000222	VQY17_RS01035	MFC_RS03235
OG0000223	VQY17_RS01040	MFC_RS02115
OG0000224	VQY17_RS01050	MFC_RS02125
OG0000225	VQY17_RS01060	MFC_RS02135
OG0000226	VQY17_RS01065	MFC_RS02140
OG0000227	VQY17_RS01070	MFC_RS02145
OG0000228	VQY17_RS01075	MFC_RS03530
OG0000229	VQY17_RS01080	MFC_RS02155
OG0000230	VQY17_RS01085	MFC_RS02160
OG0000231	VQY17_RS01095	MFC_RS02170
OG0000232	VQY17_RS01105	MFC_RS02180
OG0000233	VQY17_RS01125	MFC_RS02190
OG0000234	VQY17_RS01165	MFC_RS02220
OG0000235	VQY17_RS01175	MFC_RS02230
OG0000236	VQY17_RS01180	MFC_RS02235
OG0000237	VQY17_RS01185	MFC_RS02250
OG0000238	VQY17_RS01190	MFC_RS02255
OG0000239	VQY17_RS02930	MFC_RS02285
OG0000240	VQY17_RS02935	MFC_RS02290
OG0000241	VQY17_RS02945	MFC_RS02300
OG0000242	VQY17_RS02950	MFC_RS02305
OG0000243	VQY17_RS02955	MFC_RS02310
OG0000244	VQY17_RS02965	MFC_RS02320
OG0000245	VQY17_RS02970	MFC_RS02330
OG0000246	VQY17_RS00140	MFC_RS02345
OG0000247	VQY17_RS00150	MFC_RS02355
OG0000248	VQY17_RS00160	MFC_RS02380
OG0000249	VQY17_RS00165	MFC_RS02385
OG0000250	VQY17_RS00180	MFC_RS02400
OG0000251	VQY17_RS00210	MFC_RS02430
OG0000252	VQY17_RS00220	MFC_RS02440
OG0000253	VQY17_RS00225	MFC_RS02445
