Orthogroup	MHP_168_proteins	MHP_112B_proteins
OG0000000	WP_014579837.1	WP_404913768.1
OG0000000	WP_014579857.1	WP_404913633.1
OG0000000	WP_233417365.1	WP_404913748.1
OG0000001	WP_014579709.1	WP_404912312.1
OG0000001	WP_228365393.1	WP_404911958.1
OG0000001	WP_014579924.1	WP_404911950.1
OG0000001	WP_014579925.1	WP_011206342.1
OG0000002	WP_228365382.1	WP_225972974.1
OG0000002	WP_158209055.1	WP_146379587.1
OG0000003	WP_014579780.1	WP_404912467.1, WP_404912175.1
OG0000004	WP_014579982.1	WP_160585636.1
OG0000004	WP_014579984.1	WP_404912021.1
OG0000005	WP_014579527.1	WP_404912131.1
OG0000005	WP_014579529.1	WP_404912133.1
OG0000005	WP_228365402.1, WP_228365401.1	WP_404912135.1
OG0000006	WP_014579886.1, WP_044278023.1	WP_404911894.1
OG0000008	WP_014579856.1	WP_404911847.1
OG0000008	WP_014579768.1	WP_404912369.1
OG0000008	WP_014579887.1	WP_404911898.1
OG0000009	WP_014579653.1	WP_041361566.1
OG0000009	WP_228365411.1	WP_011290021.1
OG0000010	WP_014579794.1	WP_404911810.1
OG0000011	WP_011284124.1	WP_404911790.1
OG0000013	WP_228365388.1	WP_404911873.1
OG0000014	WP_014579660.1	WP_404912188.1
OG0000015	WP_014579770.1	WP_014579770.1
OG0000015	WP_014580032.1	WP_179695828.1
OG0000016	WP_044277949.1	WP_404912144.1
OG0000017	WP_228365403.1	WP_020835500.1
OG0000017	WP_014579938.1	WP_020835837.1
OG0000018	WP_052293599.1	WP_404912406.1
OG0000020	WP_187286313.1	WP_404913691.1
OG0000021	WP_014579585.1, WP_014579767.1, WP_044277959.1, WP_014579861.1	WP_160606951.1
OG0000022	WP_044277993.1	WP_404912375.1
OG0000022	WP_014579755.1	WP_404912386.1
OG0000023	WP_014580035.1	WP_404912402.1
OG0000024	WP_014579922.1	WP_160585259.1
OG0000024	WP_044277983.1, WP_014579707.1	WP_404912310.1
OG0000025	WP_011284074.1	WP_404912377.1
OG0000025	WP_014579756.1	WP_404912384.1
OG0000026	WP_044277987.1	WP_192894288.1
OG0000026	WP_014579760.1	WP_160606777.1
OG0000027	WP_011206475.1	WP_404912049.1
OG0000027	WP_014580004.1	WP_404912055.1
OG0000029	WP_014579599.1	WP_404913726.1
OG0000029	WP_014579659.1	WP_404912190.1
OG0000030	WP_228365396.1	WP_240536353.1
OG0000030	WP_014580003.1	WP_404912053.1
OG0000031	WP_011206356.1	WP_404912416.1
OG0000032	WP_014580002.1	WP_404913680.1, WP_404913682.1
OG0000035	WP_014579983.1	WP_404912019.1
OG0000035	WP_014579981.1	WP_404912017.1
OG0000036	WP_014579530.1	WP_404912137.1
OG0000037	WP_014579778.1	WP_404913766.1
OG0000039	WP_187286318.1	WP_179221095.1
OG0000041	WP_014579652.1	WP_011290019.1
OG0000041	WP_228365413.1	WP_404912290.1
OG0000042	WP_014579952.1	WP_044272729.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579681.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000044	WP_044277998.1	WP_404911819.1
OG0000045	WP_228365422.1	WP_404912363.1
OG0000046	WP_014579994.1	WP_404912037.1
OG0000047	WP_014580034.1	WP_404912400.1
OG0000048	WP_014579838.1	WP_404912397.1
OG0000049	WP_014579961.1	WP_020835860.1
OG0000050	WP_014579879.1	WP_404911890.1
OG0000051	WP_044278027.1	WP_404911930.1
OG0000052	WP_014579524.1	WP_404912127.1
OG0000053	WP_014579730.1	WP_160585093.1
OG0000054	WP_014579883.1	WP_020835786.1
OG0000055	WP_014579531.1	WP_160606887.1
OG0000056	WP_148218555.1	WP_404912090.1
OG0000057	WP_228365395.1	WP_258555814.1
OG0000058	WP_014579678.1	WP_404913752.1
OG0000060	WP_228365399.1	WP_020835489.1
OG0000061	WP_014579796.1, WP_014579745.1	WP_404913627.1
OG0000062	WP_014580045.1	WP_094521530.1
OG0000063	WP_014580044.1	WP_404912101.1
OG0000064	WP_014580043.1	WP_011290440.1
OG0000065	WP_228365381.1	WP_233688433.1
OG0000066	WP_011205965.1	WP_404913732.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_014579884.1	WP_011206292.1
OG0000071	WP_014579991.1	WP_146379735.1
OG0000072	WP_014579992.1	WP_404912031.1
OG0000073	WP_011206093.1	WP_404912207.1
OG0000074	WP_014579624.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000077	WP_014579581.1	WP_404912169.1
OG0000079	WP_011206305.1	WP_404911913.1
OG0000080	WP_179695988.1	WP_011206314.1
OG0000081	WP_014579567.1	WP_160615521.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_014579845.1	WP_011284142.1
OG0000085	WP_014579844.1	WP_011206223.1
OG0000086	WP_014579843.1	WP_404913754.1
OG0000087	WP_014579840.1	WP_404912425.1
OG0000088	WP_014579839.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_044278048.1	WP_020835488.1
OG0000091	WP_014579522.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_404912119.1
OG0000093	WP_011205846.1	WP_011205846.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_014579516.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_404912113.1
OG0000097	WP_228365398.1	WP_404912105.1
OG0000098	WP_014580046.1	WP_011290444.1
OG0000099	WP_014580030.1	WP_404912092.1
OG0000100	WP_014580027.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_044277991.1	WP_404912445.1
OG0000103	WP_014579835.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_014579832.1	WP_146379630.1
OG0000106	WP_014579830.1	WP_146379631.1
OG0000107	WP_014579828.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_404911836.1
OG0000109	WP_014579826.1	WP_146379632.1
OG0000110	WP_014579870.1	WP_020835772.1
OG0000111	WP_044278012.1	WP_020835771.1
OG0000112	WP_228365385.1	WP_404911866.1
OG0000113	WP_014579864.1	WP_404911858.1
OG0000114	WP_044278010.1	WP_404911856.1
OG0000115	WP_014579859.1	WP_011290245.1
OG0000116	WP_014579712.1	WP_404912315.1
OG0000117	WP_014579713.1	WP_160615714.1
OG0000118	WP_011284023.1	WP_404912325.1
OG0000119	WP_044277984.1	WP_160585678.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011290114.1	WP_011284032.1
OG0000122	WP_014579725.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_014579726.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_160606641.1
OG0000127	WP_011284040.1	WP_011290122.1
OG0000128	WP_014579731.1	WP_404912339.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_014579734.1	WP_094521635.1
OG0000132	WP_014579737.1	WP_404912347.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_228365407.1	WP_404912178.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_014579592.1	WP_179695961.1
OG0000137	WP_014579598.1	WP_011206113.1
OG0000138	WP_014579656.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_014579951.1	WP_011284290.1
OG0000142	WP_011206395.1	WP_160607860.1
OG0000143	WP_011206391.1	WP_404913770.1
OG0000144	WP_014579946.1	WP_404911973.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_014579939.1	WP_404911967.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_014579931.1	WP_020835828.1
OG0000152	WP_228365391.1	WP_020835827.1
OG0000153	WP_014579929.1	WP_011206347.1
OG0000154	WP_044278028.1	WP_160587842.1
OG0000155	WP_011206337.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_014579918.1	WP_011290309.1
OG0000158	WP_014579917.1	WP_404911941.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_044278019.1	WP_179221158.1
OG0000161	WP_014579880.1	WP_014579880.1
OG0000162	WP_081450704.1	WP_044272532.1
OG0000163	WP_014579877.1	WP_404911888.1
OG0000164	WP_014579775.1	WP_160601269.1
OG0000165	WP_014579808.1	WP_011206200.1
OG0000166	WP_014579811.1	WP_404911786.1
OG0000167	WP_014579814.1	WP_011206207.1
OG0000168	WP_014579815.1	WP_404911779.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_014579964.1	WP_020835862.1
OG0000171	WP_014579966.1	WP_404911998.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_011206425.1
OG0000174	WP_014579967.1	WP_404912001.1
OG0000175	WP_014579969.1	WP_404913662.1
OG0000176	WP_014579976.1	WP_160607777.1
OG0000177	WP_014579977.1	WP_160585273.1
OG0000178	WP_011206441.1	WP_020835878.1
OG0000179	WP_014579979.1	WP_160585639.1
OG0000180	WP_011206445.1	WP_160585638.1
