Orthogroup	MHP_LH_genes	MHP_TB1_genes
OG0000000	KUD10_RS02260	B5M19_RS04470
OG0000000	KUD10_RS02380	B5M19_RS03770
OG0000000	KUD10_RS01780, KUD10_RS01785	B5M19_RS02095
OG0000001	KUD10_RS01355	B5M19_RS02595
OG0000001	KUD10_RS01350	B5M19_RS04385
OG0000001	KUD10_RS02875	B5M19_RS02555
OG0000001	KUD10_RS02830	B5M19_RS02510
OG0000002	KUD10_RS02270	B5M19_RS04465
OG0000002	KUD10_RS02265	B5M19_RS04625
OG0000002	KUD10_RS01790	B5M19_RS02105
OG0000003	KUD10_RS00500	B5M19_RS04550
OG0000003	KUD10_RS01900	B5M19_RS03885
OG0000004	KUD10_RS03275	B5M19_RS04240
OG0000005	KUD10_RS00100	B5M19_RS00020
OG0000005	KUD10_RS00105	B5M19_RS00030
OG0000005	KUD10_RS00110, KUD10_RS00125	B5M19_RS04010, B5M19_RS04005
OG0000006	KUD10_RS02585	B5M19_RS03635, B5M19_RS03630
OG0000006	KUD10_RS02390	B5M19_RS03605
OG0000006	KUD10_RS02420	B5M19_RS02695
OG0000008	KUD10_RS02375	B5M19_RS03790
OG0000008	KUD10_RS01700	B5M19_RS03340
OG0000008	KUD10_RS02590	B5M19_RS04540
OG0000009	KUD10_RS00675	B5M19_RS04265
OG0000010	KUD10_RS01910	B5M19_RS00670
OG0000010	KUD10_RS00095	B5M19_RS00015
OG0000011	KUD10_RS02000	B5M19_RS04080, B5M19_RS00770
OG0000011	KUD10_RS01995	B5M19_RS00765
OG0000012	KUD10_RS01085	B5M19_RS03815
OG0000013	KUD10_RS02465	B5M19_RS02640
OG0000013	KUD10_RS00185	B5M19_RS00100
OG0000014	KUD10_RS01080	B5M19_RS03715
OG0000014	KUD10_RS00610, KUD10_RS00615	B5M19_RS03505
OG0000015	KUD10_RS01225	B5M19_RS02855
OG0000016	KUD10_RS02915	B5M19_RS01425
OG0000016	KUD10_RS00170	B5M19_RS00080
OG0000017	KUD10_RS00155	B5M19_RS00065
OG0000017	KUD10_RS02925	B5M19_RS01415
OG0000018	KUD10_RS01195	B5M19_RS04450
OG0000020	KUD10_RS03620	B5M19_RS04305
OG0000020	KUD10_RS03625	B5M19_RS02010
OG0000021	KUD10_RS01825	B5M19_RS00590
OG0000022	KUD10_RS01720	B5M19_RS02040
OG0000022	KUD10_RS01775	B5M19_RS02090
OG0000024	KUD10_RS02825	B5M19_RS02500
OG0000024	KUD10_RS01345	B5M19_RS04395, B5M19_RS04390
OG0000025	KUD10_RS01725	B5M19_RS04315
OG0000025	KUD10_RS01770	B5M19_RS02085
OG0000026	KUD10_RS01435	B5M19_RS01210
OG0000026	KUD10_RS01750	B5M19_RS02065
OG0000027	KUD10_RS03410	B5M19_RS00565
OG0000027	KUD10_RS03425	B5M19_RS00550
OG0000028	KUD10_RS02500	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475
OG0000029	KUD10_RS01075	B5M19_RS03200
OG0000029	KUD10_RS00620	B5M19_RS04520, B5M19_RS03510
OG0000030	KUD10_RS03400	B5M19_RS00570
OG0000030	KUD10_RS03420	B5M19_RS00555
OG0000031	KUD10_RS01150	B5M19_RS04360
OG0000031	KUD10_RS01665	B5M19_RS03305
OG0000033	KUD10_RS02475	B5M19_RS04375, B5M19_RS02455
OG0000035	KUD10_RS03270	B5M19_RS01610
OG0000035	KUD10_RS03250, KUD10_RS03255	B5M19_RS04235
OG0000036	KUD10_RS00115, KUD10_RS00130	B5M19_RS00040
OG0000037	KUD10_RS01645	B5M19_RS04485, B5M19_RS04490
OG0000039	KUD10_RS01675	B5M19_RS03320
OG0000040	KUD10_RS03345	B5M19_RS02985
OG0000042	KUD10_RS03010	B5M19_RS01320
OG0000043	KUD10_RS01965	B5M19_RS00735
OG0000043	KUD10_RS01965	B5M19_RS02270
OG0000044	KUD10_RS01860	B5M19_RS00620
OG0000045	KUD10_RS01680	B5M19_RS03325
OG0000047	KUD10_RS01210	B5M19_RS04440
OG0000048	KUD10_RS02150	B5M19_RS03695
OG0000049	KUD10_RS03120	B5M19_RS01455
OG0000050	KUD10_RS02530	B5M19_RS02825
OG0000051	KUD10_RS02740	B5M19_RS04110
OG0000052	KUD10_RS00075	B5M19_RS00005
OG0000053	KUD10_RS01520	B5M19_RS01120
OG0000054	KUD10_RS02555	B5M19_RS02800
OG0000055	KUD10_RS00135	B5M19_RS00045
OG0000056	KUD10_RS03605	B5M19_RS00375
OG0000057	KUD10_RS02995	B5M19_RS01340
OG0000058	KUD10_RS01145	B5M19_RS02250
OG0000062	KUD10_RS03655	B5M19_RS01970
OG0000063	KUD10_RS03650	B5M19_RS01975
OG0000064	KUD10_RS03640	B5M19_RS01990
OG0000065	KUD10_RS02315	B5M19_RS02925
OG0000066	KUD10_RS01425	B5M19_RS01220
OG0000067	KUD10_RS00530	B5M19_RS02375
OG0000068	KUD10_RS00655	B5M19_RS04480
OG0000069	KUD10_RS02890	B5M19_RS03520
OG0000070	KUD10_RS02560	B5M19_RS02795
OG0000071	KUD10_RS03335	B5M19_RS02995
OG0000072	KUD10_RS03340	B5M19_RS02990
OG0000073	KUD10_RS00700	B5M19_RS01840
OG0000074	KUD10_RS00895	B5M19_RS01645
OG0000075	KUD10_RS00340	B5M19_RS00265
OG0000076	KUD10_RS00355	B5M19_RS00280
OG0000077	KUD10_RS00440	B5M19_RS03440
OG0000078	KUD10_RS01740	B5M19_RS02055
OG0000079	KUD10_RS02640	B5M19_RS01010
OG0000080	KUD10_RS02690	B5M19_RS03900
OG0000081	KUD10_RS00335	B5M19_RS00260
OG0000082	KUD10_RS02460	B5M19_RS04415
OG0000083	KUD10_RS02070	B5M19_RS00845
OG0000084	KUD10_RS02100	B5M19_RS02760
OG0000085	KUD10_RS02105	B5M19_RS02755
