NB626_RS00005	NZ_CP098239.1	+	1	1392	NB626_RS00005	ID133A	+	1	1392
NB626_RS00010	NZ_CP098239.1	+	1537	2673	NB626_RS00010	ID133A	+	1537	2673
NB626_RS00015	NZ_CP098239.1	+	2777	4636	NB626_RS00015	ID133A	+	2777	4636
NB626_RS00020	NZ_CP098239.1	+	4636	5094	NB626_RS00020	ID133A	+	4636	5094
NB626_RS00025	NZ_CP098239.1	+	5108	6091	NB626_RS00025	ID133A	+	5108	6091
NB626_RS00030	NZ_CP098239.1	+	6084	7055	NB626_RS00030	ID133A	+	6084	7055
NB626_RS00035	NZ_CP098239.1	+	7158	7727	NB626_RS00035	ID133A	+	7158	7727
NB626_RS00040	NZ_CP098239.1	+	7817	8818	NB626_RS00040	ID133A	+	7817	8818
NB626_RS00045	NZ_CP098239.1	+	8988	11008	NB626_RS00045	ID133A	+	8988	11008
NB626_RS00050	NZ_CP098239.1	+	11093	12100	NB626_RS00050	ID133A	+	11093	12100
NB626_RS00055	NZ_CP098239.1	+	12103	12849	NB626_RS00055	ID133A	+	12103	12849
NB626_RS00060	NZ_CP098239.1	+	12833	14437	NB626_RS00060	ID133A	+	12833	14437
NB626_RS00065	NZ_CP098239.1	+	14442	14687	NB626_RS00065	ID133A	+	14442	14687
NB626_RS00070	NZ_CP098239.1	+	14787	15626	NB626_RS00070	ID133A	+	14787	15626
NB626_RS00075	NZ_CP098239.1	+	15633	16478	NB626_RS00075	ID133A	+	15633	16478
NB626_RS00080	NZ_CP098239.1	-	16512	16781	NB626_RS00080	ID133A	-	16512	16781
NB626_RS00085	NZ_CP098239.1	+	16919	17200	NB626_RS00085	ID133A	+	16919	17200
NB626_RS00090	NZ_CP098239.1	+	17346	17960	NB626_RS00090	ID133A	+	17346	17960
NB626_RS00095	NZ_CP098239.1	-	18272	18598	NB626_RS00095	ID133A	-	18272	18598
NB626_RS00100	NZ_CP098239.1	-	18657	20933	NB626_RS00100	ID133A	-	18657	20933
