DR099_RS01990 WP_011284327.1
DR099_RS01995 WP_011206445.1
DR099_RS02000 WP_014579979.1
DR099_RS02005 WP_160606695.1
DR099_RS02010 WP_020835878.1
DR099_RS02015 WP_160606697.1
DR099_RS02020 WP_160606699.1
DR099_RS02025 WP_041361696.1
DR099_RS02030 WP_094521504.1
DR099_RS02035 WP_220200714.1
DR099_RS02040 WP_011206435.1
DR099_RS02045 WP_160606701.1
DR099_RS02050 WP_011206433.1
DR099_RS02055 WP_160606703.1
DR099_RS02060 WP_011290372.1
DR099_RS02065 WP_160606705.1
DR099_RS02070 WP_160606707.1
DR099_RS02075 WP_160606709.1
DR099_RS04450 WP_228366113.1
DR099_RS02085 WP_160606711.1
DR099_RS02090 WP_011284312.1
DR099_RS02095 WP_011206424.1
DR099_RS02100 WP_050195447.1
DR099_RS02105 WP_148166908.1
DR099_RS02110 WP_044284702.1
DR099_RS02115 WP_160606713.1
DR099_RS02120 WP_160606715.1
DR099_RS02125 WP_160606717.1
DR099_RS02130 WP_160606721.1
DR099_RS04640 WP_308704605.1
DR099_RS03980 WP_308704607.1
DR099_RS02140 WP_258555454.1
DR099_RS02145 WP_160606723.1
DR099_RS02150 WP_160606725.1
DR099_RS02155 WP_094521705.1
DR099_RS02160 WP_258555455.1
DR099_RS02165 WP_160606729.1
DR099_RS02170 WP_258555456.1
DR099_RS02175 WP_160606733.1
DR099_RS02180 WP_160606735.1
DR099_RS03650 WP_258555457.1
DR099_RS02185 WP_308704608.1
DR099_RS04460 WP_020835904.1
DR099_RS04465 WP_160606741.1
DR099_RS02200 WP_160606743.1
DR099_RS02205 WP_160606745.1
DR099_RS04470 WP_160606747.1
DR099_RS02215 WP_160585585.1
DR099_RS02220 WP_044272663.1
DR099_RS04475 WP_160606749.1
DR099_RS02230 WP_011206487.1
DR099_RS04480 WP_011206488.1
DR099_RS04645 WP_308507030.1
DR099_RS02250 WP_081430772.1
DR099_RS02255 WP_011206490.1
DR099_RS02260 WP_258555459.1
DR099_RS02265 WP_160606751.1
DR099_RS02270 WP_011206493.1
DR099_RS02275 WP_011206494.1
DR099_RS02280 WP_160606753.1
DR099_RS02285 WP_160606755.1
DR099_RS04485 WP_228366117.1
DR099_RS02295 WP_094521521.1
DR099_RS02300 WP_220200719.1
DR099_RS04490 WP_160606759.1
DR099_RS02310 WP_011290071.1
DR099_RS02315 WP_044272360.1
DR099_RS02320 WP_011206016.1
DR099_RS02325 WP_011290073.1
DR099_RS02330 WP_160606761.1
DR099_RS02335 WP_160606763.1
DR099_RS02340 WP_020835608.1
DR099_RS02345 WP_146379533.1
DR099_RS02350 WP_020835610.1
DR099_RS02355 WP_020835611.1
DR099_RS02360 WP_020835612.1
DR099_RS02365 WP_160606765.1
DR099_RS02375 WP_011283991.1
DR099_RS02380 WP_160606767.1
DR099_RS02385 WP_020835615.1
DR099_RS02390 WP_044272373.1
DR099_RS02395 WP_160606769.1
DR099_RS04495 WP_020835619.1
DR099_RS02405 WP_228366127.1
DR099_RS04030 WP_308704611.1
DR099_RS04035 WP_160606771.1
DR099_RS04500 WP_160606773.1
DR099_RS02430 WP_160606775.1
DR099_RS02435 WP_020835678.1
DR099_RS02440 WP_020835677.1
DR099_RS02445 WP_020835676.1
DR099_RS02450 WP_160606777.1
DR099_RS02455 WP_160606779.1
DR099_RS02460 WP_160606781.1
DR099_RS04650 WP_225973034.1
DR099_RS02470 WP_044272424.1
DR099_RS04505 WP_160606784.1
DR099_RS02480 WP_160606786.1
DR099_RS02485 WP_308704612.1
DR099_RS02490 WP_011290145.1
DR099_RS02495 WP_243216079.1
DR099_RS04050 WP_258555464.1
DR099_RS02505 WP_160606787.1
DR099_RS04055 WP_014579770.1
DR099_RS02515 WP_014579770.1
DR099_RS04510 WP_160606791.1
DR099_RS04515 WP_308704613.1
DR099_RS04520 WP_160606793.1
DR099_RS02535 WP_160606795.1
DR099_RS04525 WP_160606797.1
DR099_RS02545 WP_011206469.1
DR099_RS02550 WP_011206468.1
DR099_RS02555 WP_160606799.1
DR099_RS02560 WP_011290399.1
DR099_RS02565 WP_146379740.1
DR099_RS04530 WP_160606801.1
DR099_RS02575 WP_160606803.1
DR099_RS02580 WP_160606805.1
DR099_RS02585 WP_160606805.1
DR099_RS04100 WP_308704614.1
DR099_RS02595 WP_220200726.1
DR099_RS02600 WP_160606807.1
DR099_RS04105 WP_258555362.1
DR099_RS02615 WP_160606809.1
DR099_RS02620 WP_160606811.1
DR099_RS02625 WP_044284674.1
DR099_RS02630 WP_041361671.1
DR099_RS02635 WP_011206289.1
DR099_RS02640 WP_160590318.1
DR099_RS02645 WP_160606813.1
DR099_RS02650 WP_160606815.1
DR099_RS02655 WP_160606827.1
DR099_RS02660 WP_160606817.1
DR099_RS02670 WP_160606819.1
DR099_RS02675 WP_160606821.1
DR099_RS02680 WP_160606823.1
DR099_RS02685 WP_041361727.1
DR099_RS02690 WP_044272311.1
DR099_RS02695 WP_160606829.1
DR099_RS02700 WP_094521764.1
DR099_RS02705 WP_308704615.1
DR099_RS02710 WP_011290004.1
DR099_RS02720 WP_160606832.1
DR099_RS02725 WP_011206119.1
DR099_RS02730 WP_146379484.1
DR099_RS02735 WP_160606834.1
DR099_RS04535 WP_160606836.1
DR099_RS02745 WP_160606838.1
DR099_RS02750 WP_160606840.1
DR099_RS02755 WP_011206113.1
DR099_RS02765 WP_011206113.1
DR099_RS02770 WP_160588293.1
DR099_RS04540 WP_160606844.1
DR099_RS02780 WP_011206256.1
DR099_RS02785 WP_011290226.1
DR099_RS02790 WP_160585790.1
DR099_RS02795 WP_160606846.1
DR099_RS02800 WP_020835755.1
DR099_RS02805 WP_094521693.1
DR099_RS02810 WP_160606848.1
DR099_RS02815 WP_192894278.1
DR099_RS02820 WP_011284169.1
DR099_RS02825 WP_160606850.1
DR099_RS02830 WP_160606852.1
DR099_RS02835 WP_014579831.1
DR099_RS02840 WP_146379630.1
DR099_RS02845 WP_044272490.1
DR099_RS02850 WP_146379628.1
DR099_RS02855 WP_011206239.1
DR099_RS02860 WP_160606854.1
DR099_RS02865 WP_160606854.1
DR099_RS02870 WP_160606856.1
DR099_RS02875 WP_160606858.1
DR099_RS04545 WP_160606860.1
DR099_RS02890 WP_160606862.1
DR099_RS02895 WP_160585211.1
DR099_RS02900 WP_160606864.1
DR099_RS02905 WP_160606872.1
DR099_RS04550 WP_160606866.1
DR099_RS02915 WP_160606868.1
DR099_RS02920 WP_011206458.1
DR099_RS02930 WP_011206459.1
DR099_RS02935 WP_160585219.1
DR099_RS02940 WP_160606870.1
DR099_RS03670 WP_258555239.1
DR099_RS00010 WP_135618994.1
DR099_RS00015 WP_160606405.1
DR099_RS00020 WP_011206347.1
DR099_RS00025 WP_011206346.1
DR099_RS00030 WP_011206345.1
DR099_RS00035 WP_160606407.1
DR099_RS03675 WP_258555386.1
DR099_RS00045 WP_011206342.1
DR099_RS00050 WP_258555387.1
DR099_RS00055 WP_011206340.1
DR099_RS00060 WP_014579921.1
DR099_RS00065 WP_160606409.1
DR099_RS00070 WP_020835820.1
DR099_RS00075 WP_160606411.1
DR099_RS00080 WP_011206335.1
DR099_RS04275 WP_011206334.1
DR099_RS00090 WP_011284249.1
DR099_RS04280 WP_160606413.1
