query	grouping_confidence	location_confidence	orientation_confidence
NZ_QQRJ01000007.1	1.0	0.037256264385286834	1.0
NZ_QQRJ01000052.1	1.0	1.0	1.0
NZ_QQRJ01000036.1	1.0	1.0	1.0
NZ_QQRJ01000023.1	1.0	1.0	1.0
NZ_QQRJ01000037.1	1.0	1.0	1.0
NZ_QQRJ01000040.1	1.0	1.0	1.0
NZ_QQRJ01000004.1	1.0	1.0	1.0
NZ_QQRJ01000047.1	1.0	1.0	1.0
NZ_QQRJ01000025.1	1.0	1.0	1.0
NZ_QQRJ01000018.1	1.0	1.0	1.0
NZ_QQRJ01000006.1	1.0	1.0	1.0
NZ_QQRJ01000015.1	1.0	1.0	1.0
NZ_QQRJ01000003.1	1.0	1.0	1.0
NZ_QQRJ01000042.1	1.0	1.0	1.0
NZ_QQRJ01000014.1	1.0	1.0	1.0
NZ_QQRJ01000013.1	1.0	1.0	1.0
NZ_QQRJ01000011.1	1.0	1.0	1.0
NZ_QQRJ01000027.1	1.0	1.0	1.0
NZ_QQRJ01000024.1	1.0	0.0950113848064583	0.6723311546840959
NZ_QQRJ01000002.1	1.0	0.8296593770966832	0.7372689661638714
NZ_QQRJ01000016.1	1.0	0.4583932688328834	0.5326054249236986
NZ_QQRJ01000034.1	1.0	1.0	1.0
NZ_QQRJ01000046.1	1.0	1.0	1.0
NZ_QQRJ01000044.1	1.0	1.0	1.0
NZ_QQRJ01000012.1	1.0	1.0	1.0
NZ_QQRJ01000021.1	1.0	1.0	1.0
NZ_QQRJ01000017.1	1.0	1.0	1.0
NZ_QQRJ01000051.1	1.0	1.0	1.0
NZ_QQRJ01000038.1	1.0	1.0	1.0
NZ_QQRJ01000043.1	1.0	1.0	1.0
NZ_QQRJ01000019.1	1.0	1.0	1.0
NZ_QQRJ01000001.1	1.0	1.0	1.0
NZ_QQRJ01000020.1	1.0	1.0	1.0
NZ_QQRJ01000057.1	1.0	1.0	1.0
NZ_QQRJ01000028.1	1.0	1.0	1.0
NZ_QQRJ01000005.1	1.0	1.0	1.0
NZ_QQRJ01000026.1	1.0	1.0	1.0
NZ_QQRJ01000050.1	1.0	1.0	1.0
NZ_QQRJ01000033.1	1.0	1.0	1.0
NZ_QQRJ01000008.1	1.0	1.0	1.0
NZ_QQRJ01000010.1	1.0	1.0	1.0
NZ_QQRJ01000009.1	1.0	1.0	1.0
