Orthogroup	MHP_MHP653_genes	MHP_7422_genes
OG0000000	DR096_RS04410	MHL_RS02190
OG0000000	DR096_RS03550	MHL_RS02380
OG0000000	DR096_RS04445	MHL_RS04190
OG0000000	DR096_RS03340	MHL_RS03710
OG0000001	DR096_RS01680	MHL_RS03980
OG0000001	DR096_RS01190	MHL_RS02845
OG0000002	DR096_RS04275	MHL_RS04055
OG0000002	DR096_RS04810	MHL_RS02195
OG0000002	DR096_RS04795	MHL_RS01800
OG0000003	DR096_RS04820	MHL_RS02255
OG0000003	DR096_RS04825	MHL_RS03835
OG0000005	DR096_RS02575	MHL_RS00105
OG0000005	DR096_RS04720	MHL_RS00125
OG0000005	DR096_RS02565	MHL_RS04205
OG0000005	DR096_RS02560	MHL_RS00115
OG0000005	DR096_RS04715	MHL_RS00130
OG0000006	DR096_RS04365	MHL_RS03635
OG0000006	DR096_RS01695	MHL_RS02420
OG0000007	DR096_RS03505	MHL_RS02250
OG0000007	DR096_RS03510	MHL_RS02245
OG0000007	DR096_RS00630	MHL_RS02240
OG0000008	DR096_RS04360	MHL_RS04065
OG0000009	DR096_RS02590	MHL_RS00090
OG0000010	DR096_RS00395	MHL_RS01930
OG0000010	DR096_RS02570	MHL_RS04125, MHL_RS00100
OG0000011	DR096_RS00490	MHL_RS04185
OG0000011	DR096_RS00485	MHL_RS02020
OG0000012	DR096_RS03785	MHL_RS03845
OG0000013	DR096_RS04100	MHL_RS02470
OG0000013	DR096_RS03875	MHL_RS03925
OG0000014	DR096_RS03315	MHL_RS00590
OG0000014	DR096_RS04790	MHL_RS00695
OG0000015	DR096_RS01405	MHL_RS01645, MHL_RS00685, MHL_RS01720
OG0000016	DR096_RS01150	MHL_RS02885
OG0000016	DR096_RS00345	MHL_RS00175
OG0000017	DR096_RS00360	MHL_RS00160
OG0000017	DR096_RS01140	MHL_RS02895
OG0000018	DR096_RS04640	MHL_RS01405
OG0000020	DR096_RS03230	MHL_RS03545
OG0000020	DR096_RS04775	MHL_RS03550
OG0000022	DR096_RS01995	MHL_RS01740
OG0000022	DR096_RS04665	MHL_RS01790
OG0000024	DR096_RS01490	MHL_RS02790
OG0000024	DR096_RS01690	MHL_RS01355
OG0000025	DR096_RS04660	MHL_RS01745
OG0000025	DR096_RS02045	MHL_RS01785
OG0000026	DR096_RS01600	MHL_RS01445
OG0000027	DR096_RS04770	MHL_RS03755
OG0000027	DR096_RS04540	MHL_RS03360
OG0000028	DR096_RS01750	MHL_RS02480
OG0000029	DR096_RS03330	MHL_RS00700
OG0000030	DR096_RS04765	MHL_RS03335
OG0000030	DR096_RS04535	MHL_RS03355
OG0000032	DR096_RS04610	MHL_RS04000
OG0000032	DR096_RS00860	MHL_RS03350
OG0000033	DR096_RS01745	MHL_RS02475
OG0000034	DR096_RS03570	MHL_RS04045
OG0000035	DR096_RS03635	MHL_RS03195
OG0000036	DR096_RS02555	MHL_RS00120
OG0000036	DR096_RS02535	MHL_RS00135
OG0000039	DR096_RS01385	MHL_RS01705
OG0000041	DR096_RS03595	MHL_RS00760
OG0000042	DR096_RS00855	MHL_RS02985
OG0000043	DR096_RS00455	MHL_RS00625
OG0000044	DR096_RS04875	MHL_RS04220
OG0000045	DR096_RS01390	MHL_RS01710
OG0000046	DR096_RS04310	MHL_RS04100
OG0000048	DR096_RS03530	MHL_RS02170
OG0000049	DR096_RS00770	MHL_RS03060
OG0000050	DR096_RS03020	MHL_RS02510
OG0000052	DR096_RS02830	MHL_RS00080
OG0000053	DR096_RS04590	MHL_RS01530
OG0000054	DR096_RS02995	MHL_RS02535
OG0000055	DR096_RS02530	MHL_RS00140
OG0000056	DR096_RS01045	MHL_RS03530
OG0000057	DR096_RS01065	MHL_RS02970
OG0000061	DR096_RS00405	MHL_RS01940
OG0000062	DR096_RS01775	MHL_RS03580
OG0000063	DR096_RS04645	MHL_RS03575
OG0000064	DR096_RS01760	MHL_RS03565
OG0000065	DR096_RS02855	MHL_RS02310
OG0000066	DR096_RS01610	MHL_RS01435
OG0000067	DR096_RS03370	MHL_RS00525
OG0000068	DR096_RS03280	MHL_RS00735
OG0000069	DR096_RS01175	MHL_RS02860
OG0000070	DR096_RS02990	MHL_RS02540
OG0000071	DR096_RS03055	MHL_RS03275
OG0000072	DR096_RS04730	MHL_RS03280
OG0000073	DR096_RS02090	MHL_RS00795
OG0000074	DR096_RS04705	MHL_RS03950, MHL_RS04210
OG0000075	DR096_RS00165	MHL_RS00345
OG0000077	DR096_RS00060	MHL_RS00450
OG0000078	DR096_RS04150, DR096_RS02015	MHL_RS01755
OG0000079	DR096_RS02960	MHL_RS02615
OG0000080	DR096_RS04245	MHL_RS03870
OG0000081	DR096_RS00170	MHL_RS00340
OG0000082	DR096_RS01735	MHL_RS02460
OG0000083	DR096_RS00560	MHL_RS02095
OG0000084	DR096_RS00585	MHL_RS02120
OG0000085	DR096_RS00590	MHL_RS02125
OG0000086	DR096_RS00600	MHL_RS02135
OG0000087	DR096_RS00615	MHL_RS02150
OG0000088	DR096_RS00620	MHL_RS02155
OG0000089	DR096_RS03525	MHL_RS02165
OG0000090	DR096_RS02835	MHL_RS00075
OG0000091	DR096_RS01865	MHL_RS00060
OG0000092	DR096_RS01850	MHL_RS00045
OG0000093	DR096_RS01845	MHL_RS00040
OG0000094	DR096_RS01840	MHL_RS00035
OG0000095	DR096_RS01815	MHL_RS00010
OG0000096	DR096_RS01810	MHL_RS03615
OG0000097	DR096_RS01790	MHL_RS03595
OG0000098	DR096_RS01780	MHL_RS03585
OG0000099	DR096_RS03485	MHL_RS03535
OG0000100	DR096_RS01035	MHL_RS03520
OG0000101	DR096_RS01030	MHL_RS03515
OG0000102	DR096_RS02040	MHL_RS01780
OG0000103	DR096_RS02890	MHL_RS02275
OG0000104	DR096_RS02885	MHL_RS02280
OG0000105	DR096_RS02870	MHL_RS02295
OG0000106	DR096_RS02860	MHL_RS02305
OG0000107	DR096_RS02850	MHL_RS02315
OG0000108	DR096_RS02845	MHL_RS02320
OG0000109	DR096_RS02840	MHL_RS02325
OG0000110	DR096_RS01725	MHL_RS02450
OG0000111	DR096_RS01720	MHL_RS02445
OG0000112	DR096_RS01710	MHL_RS02435
OG0000113	DR096_RS04785	MHL_RS02415
OG0000114	DR096_RS03255	MHL_RS02405
OG0000115	DR096_RS03245	MHL_RS02395
OG0000116	DR096_RS01665	MHL_RS01380
OG0000117	DR096_RS01660	MHL_RS01385
OG0000118	DR096_RS01625	MHL_RS01420
OG0000119	DR096_RS01620	MHL_RS01425
OG0000120	DR096_RS01605	MHL_RS01440
OG0000121	DR096_RS01580	MHL_RS01465
OG0000122	DR096_RS01575	MHL_RS01470
OG0000123	DR096_RS01555	MHL_RS01490
OG0000124	DR096_RS01550	MHL_RS01495
OG0000125	DR096_RS01545	MHL_RS01500
OG0000126	DR096_RS01210	MHL_RS01510
OG0000127	DR096_RS01220	MHL_RS01520
OG0000128	DR096_RS01235	MHL_RS01535
OG0000129	DR096_RS01240	MHL_RS01540
OG0000130	DR096_RS01250	MHL_RS01550
OG0000131	DR096_RS04595	MHL_RS01580
OG0000132	DR096_RS04600	MHL_RS01595
OG0000133	DR096_RS02600	MHL_RS00530
OG0000134	DR096_RS02605	MHL_RS00535
OG0000135	DR096_RS02620	MHL_RS00550
OG0000136	DR096_RS02625	MHL_RS00555
OG0000137	DR096_RS02665	MHL_RS00585
OG0000138	DR096_RS03305	MHL_RS00710
OG0000139	DR096_RS03275	MHL_RS00740
OG0000140	DR096_RS03270	MHL_RS00745
OG0000141	DR096_RS01055	MHL_RS02980
OG0000142	DR096_RS04575	MHL_RS02975
OG0000143	DR096_RS01085	MHL_RS02950
