Orthogroup	MHP_154B_genes	MFC_Ms42_genes
OG0000000	NB624_RS02330	MYF_RS01330
OG0000000	NB624_RS02220	MYF_RS01460
OG0000000	NB624_RS02325	MYF_RS01870, MYF_RS03435
OG0000000	NB624_RS01725	MYF_RS03295
OG0000001	NB624_RS01275, NB624_RS01270, NB624_RS02960, NB624_RS02915	MYF_RS03415
OG0000002	NB624_RS02340, NB624_RS02335	MYF_RS01530
OG0000002	NB624_RS02245	MYF_RS01475
OG0000002	NB624_RS01730	MYF_RS03010
OG0000004	NB624_RS03175	MYF_RS02520
OG0000007	NB624_RS02305	MYF_RS01505
OG0000008	NB624_RS01625, NB624_RS01635	MYF_RS01875
OG0000011	NB624_RS01955	MYF_RS03310
OG0000011	NB624_RS01950	MYF_RS01270
OG0000013	NB624_RS02540	MYF_RS03170, MYF_RS01100
OG0000013	NB624_RS00185	MYF_RS03400
OG0000014	NB624_RS00595, NB624_RS01090, NB624_RS01080	MYF_RS00550
OG0000016	NB624_RS03000	MYF_RS00730
OG0000017	NB624_RS00155	MYF_RS03155
OG0000017	NB624_RS03010	MYF_RS00720
OG0000018	NB624_RS02095	MYF_RS01675
OG0000019	NB624_RS03190	MYF_RS03450
OG0000019	NB624_RS03200	MYF_RS03440
OG0000020	NB624_RS03690	MYF_RS03080
OG0000020	NB624_RS03695	MYF_RS03085
OG0000022	NB624_RS01715	MYF_RS03025
OG0000023	NB624_RS01310	MYF_RS01670, MYF_RS01880
OG0000024	NB624_RS02910, NB624_RS01265	MYF_RS00790
OG0000025	NB624_RS01710	MYF_RS03030
OG0000026	NB624_RS01355, NB624_RS01690	MYF_RS01715
OG0000030	NB624_RS03495	MYF_RS02820
OG0000031	NB624_RS02150, NB624_RS01595	MYF_RS01215
OG0000032	NB624_RS01570	MYF_RS03490
OG0000033	NB624_RS02560	MYF_RS01130
OG0000037	NB624_RS01585	MYF_RS03495
OG0000037	NB624_RS01575	MYF_RS03005
OG0000039	NB624_RS01605	MYF_RS03160, MYF_RS00615
OG0000040	NB624_RS03440	MYF_RS02770, MYF_RS00840
OG0000042	NB624_RS03095	MYF_RS00610, MYF_RS00765
OG0000043	NB624_RS01920	MYF_RS01240
OG0000045	NB624_RS01610	MYF_RS00630
OG0000048	NB624_RS02205	MYF_RS01350
OG0000049	NB624_RS03210	MYF_RS03265, MYF_RS03455
OG0000050	NB624_RS02595	MYF_RS01180
OG0000051	NB624_RS02825	MYF_RS02420
OG0000052	NB624_RS00075	MYF_RS00075
OG0000053	NB624_RS01440	MYF_RS01800
OG0000054	NB624_RS02620	MYF_RS01155
OG0000055	NB624_RS00130	MYF_RS03395, MYF_RS03525
OG0000056	NB624_RS03675	MYF_RS03060
OG0000057	NB624_RS03080	MYF_RS00645
OG0000062	NB624_RS03725	MYF_RS03115
OG0000063	NB624_RS03720	MYF_RS03110
OG0000064	NB624_RS03710	MYF_RS03100
OG0000065	NB624_RS02385	MYF_RS01575
OG0000066	NB624_RS01345	MYF_RS01705
OG0000068	NB624_RS01035	MYF_RS00590
OG0000069	NB624_RS02975	MYF_RS00755
OG0000070	NB624_RS02625	MYF_RS01135
OG0000071	NB624_RS03430	MYF_RS02760
OG0000072	NB624_RS03435	MYF_RS02765
OG0000073	NB624_RS00975	MYF_RS02005
OG0000075	NB624_RS00340	MYF_RS00305
OG0000077	NB624_RS00440	MYF_RS00410
OG0000079	NB624_RS02715	MYF_RS01050
OG0000080	NB624_RS02770	MYF_RS01000, MYF_RS03365
OG0000081	NB624_RS00335	MYF_RS00300
OG0000083	NB624_RS02025	MYF_RS01430
OG0000084	NB624_RS02055	MYF_RS01400
OG0000085	NB624_RS02060	MYF_RS01395
OG0000086	NB624_RS02170	MYF_RS01385
OG0000087	NB624_RS02185	MYF_RS01370
OG0000088	NB624_RS02190	MYF_RS01365
OG0000089	NB624_RS02200	MYF_RS01355
OG0000090	NB624_RS00070	MYF_RS00070
OG0000091	NB624_RS00055	MYF_RS00055
OG0000092	NB624_RS00045	MYF_RS00040
OG0000093	NB624_RS00035	MYF_RS00035
OG0000094	NB624_RS00030	MYF_RS00030
OG0000095	NB624_RS00005	MYF_RS00005
OG0000096	NB624_RS03760	MYF_RS03150
OG0000097	NB624_RS03740	MYF_RS03130
OG0000098	NB624_RS03730	MYF_RS03120
OG0000099	NB624_RS03680	MYF_RS03065
OG0000100	NB624_RS03670	MYF_RS03050
OG0000101	NB624_RS03660	MYF_RS03045
OG0000102	NB624_RS01705	MYF_RS03035
OG0000103	NB624_RS02350	MYF_RS01540
OG0000104	NB624_RS02355	MYF_RS01545
OG0000105	NB624_RS02370	MYF_RS01560
OG0000106	NB624_RS02380	MYF_RS01570
OG0000107	NB624_RS02390	MYF_RS01580
OG0000108	NB624_RS02395	MYF_RS01585
OG0000109	NB624_RS02400	MYF_RS01590
OG0000110	NB624_RS02525	MYF_RS01595
OG0000111	NB624_RS02520	MYF_RS01600
OG0000112	NB624_RS02510	MYF_RS01610
OG0000113	NB624_RS02490	MYF_RS01625
OG0000114	NB624_RS02485	MYF_RS01635
OG0000115	NB624_RS02470	MYF_RS01645
OG0000116	NB624_RS01290	MYF_RS01655
OG0000117	NB624_RS01295	MYF_RS01660
OG0000118	NB624_RS01330	MYF_RS01690
OG0000119	NB624_RS01335	MYF_RS01695
OG0000120	NB624_RS01350	MYF_RS01710
OG0000121	NB624_RS01375	MYF_RS01735
OG0000122	NB624_RS01380	MYF_RS01740
OG0000123	NB624_RS01400	MYF_RS01760
OG0000124	NB624_RS01405	MYF_RS01765
OG0000125	NB624_RS01410	MYF_RS01770
OG0000126	NB624_RS01420	MYF_RS01780
OG0000127	NB624_RS01430	MYF_RS01790
OG0000128	NB624_RS01445	MYF_RS01805
OG0000129	NB624_RS01450	MYF_RS01810
OG0000130	NB624_RS01460	MYF_RS01820
OG0000131	NB624_RS01490	MYF_RS01850
OG0000132	NB624_RS01505	MYF_RS01865
OG0000133	NB624_RS00525	MYF_RS00485
OG0000134	NB624_RS00530	MYF_RS00490
OG0000135	NB624_RS00545	MYF_RS00505
OG0000136	NB624_RS00550	MYF_RS00510
OG0000137	NB624_RS00580	MYF_RS00540
OG0000138	NB624_RS01060	MYF_RS00565
OG0000139	NB624_RS01030	MYF_RS00595
OG0000140	NB624_RS01025	MYF_RS00600
OG0000141	NB624_RS03090	MYF_RS00635
OG0000142	NB624_RS03085	MYF_RS00640
OG0000143	NB624_RS03070	MYF_RS00665
OG0000144	NB624_RS03055	MYF_RS00675
OG0000145	NB624_RS03045	MYF_RS00685
OG0000146	NB624_RS03035	MYF_RS00695
OG0000147	NB624_RS03030	MYF_RS00700
OG0000148	NB624_RS03015	MYF_RS00715
OG0000149	NB624_RS03005	MYF_RS00725
OG0000150	NB624_RS02990	MYF_RS00740
OG0000151	NB624_RS02945	MYF_RS00795
OG0000152	NB624_RS02940	MYF_RS00800
OG0000153	NB624_RS02935	MYF_RS00805
OG0000154	NB624_RS02925	MYF_RS00815
OG0000155	NB624_RS02885	MYF_RS00835
OG0000156	NB624_RS02880	MYF_RS00855
OG0000157	NB624_RS02870	MYF_RS00860
OG0000158	NB624_RS02860	MYF_RS00870
OG0000159	NB624_RS02610	MYF_RS01165
OG0000160	NB624_RS02605	MYF_RS01170
OG0000161	NB624_RS02600	MYF_RS01175
OG0000162	NB624_RS02590	MYF_RS01185
OG0000163	NB624_RS02585	MYF_RS01190
OG0000164	NB624_RS01600	MYF_RS01220
OG0000165	NB624_RS01945	MYF_RS01265
OG0000166	NB624_RS01965	MYF_RS01285
OG0000167	NB624_RS01980	MYF_RS01300
OG0000168	NB624_RS01985	MYF_RS01305
