	EHI52_RS00005			
	seqID	strand	start	end
EHI52_RS00005	IDF72C	+	1	1392
seqID	EHI52_RS00010			
IDF72C	seqID	strand	start	end
EHI52_RS00010	IDF72C	+	1537	2673
seqID	EHI52_RS00015			
IDF72C	seqID	strand	start	end
EHI52_RS00015	IDF72C	+	2777	4636
seqID	EHI52_RS00020			
IDF72C	seqID	strand	start	end
EHI52_RS00020	IDF72C	+	4636	5094
seqID	EHI52_RS00025			
IDF72C	seqID	strand	start	end
EHI52_RS00025	IDF72C	+	5108	6091
seqID	EHI52_RS00030			
IDF72C	seqID	strand	start	end
EHI52_RS00030	IDF72C	+	6084	7055
seqID	EHI52_RS00035			
IDF72C	seqID	strand	start	end
EHI52_RS00035	IDF72C	+	7158	7727
seqID	EHI52_RS00040			
IDF72C	seqID	strand	start	end
EHI52_RS00040	IDF72C	+	7817	8818
seqID	EHI52_RS00045			
IDF72C	seqID	strand	start	end
EHI52_RS00045	IDF72C	+	8987	11008
seqID	EHI52_RS00050			
IDF72C	seqID	strand	start	end
EHI52_RS00050	IDF72C	+	11093	12100
seqID	EHI52_RS00055			
IDF72C	seqID	strand	start	end
EHI52_RS00055	IDF72C	+	12103	12849
seqID	EHI52_RS00060			
IDF72C	seqID	strand	start	end
EHI52_RS00060	IDF72C	+	12833	14437
seqID	EHI52_RS00065			
IDF72C	seqID	strand	start	end
EHI52_RS00065	IDF72C	+	14442	14687
seqID	EHI52_RS00070			
IDF72C	seqID	strand	start	end
EHI52_RS00070	IDF72C	+	14764	15627
seqID	EHI52_RS00075			
IDF72C	seqID	strand	start	end
EHI52_RS00075	IDF72C	+	15634	16479
seqID	EHI52_RS00080			
IDF72C	seqID	strand	start	end
EHI52_RS00080	IDF72C	+	16513	16977
seqID	EHI52_RS00085			
IDF72C	seqID	strand	start	end
EHI52_RS00085	IDF72C	+	17745	18614
seqID	EHI52_RS00090			
IDF72C	seqID	strand	start	end
EHI52_RS00090	IDF72C	+	18760	19374
seqID	EHI52_RS00100			
IDF72C	seqID	strand	start	end
EHI52_RS00100	IDF72C	+	20069	22345
seqID	EHI52_RS00105			
IDF72C	seqID	strand	start	end
EHI52_RS00105	IDF72C	+	22547	24787
seqID	EHI52_RS00110			
IDF72C	seqID	strand	start	end
EHI52_RS00110	IDF72C	+	24861	27188
seqID	EHI52_RS00115			
IDF72C	seqID	strand	start	end
EHI52_RS00115	IDF72C	+	27175	27723
seqID	EHI52_RS03705			
IDF72C	seqID	strand	start	end
EHI52_RS03705	IDF72C	+	27653	27982
seqID	EHI52_RS00120			
IDF72C	seqID	strand	start	end
EHI52_RS00120	IDF72C	+	28150	30432
seqID	EHI52_RS00125			
IDF72C	seqID	strand	start	end
EHI52_RS00125	IDF72C	+	30543	32870
seqID	EHI52_RS00130			
IDF72C	seqID	strand	start	end
EHI52_RS00130	IDF72C	+	32857	33660
seqID	EHI52_RS00135			
IDF72C	seqID	strand	start	end
EHI52_RS00135	IDF72C	+	34035	34514
seqID	EHI52_RS00140			
IDF72C	seqID	strand	start	end
EHI52_RS00140	IDF72C	+	34716	35009
seqID	EHI52_RS00145			
IDF72C	seqID	strand	start	end
EHI52_RS00145	IDF72C	+	35002	36321
seqID	EHI52_RS00150			
IDF72C	seqID	strand	start	end
EHI52_RS00150	IDF72C	+	36314	37714
seqID	EHI52_RS00155			
IDF72C	seqID	strand	start	end
EHI52_RS00155	IDF72C	+	37950	38453
seqID	EHI52_RS00160			
IDF72C	seqID	strand	start	end
EHI52_RS00160	IDF72C	+	38570	39163
seqID	EHI52_RS00165			
IDF72C	seqID	strand	start	end
EHI52_RS00165	IDF72C	+	39141	41801
seqID	EHI52_RS00170			
IDF72C	seqID	strand	start	end
EHI52_RS00170	IDF72C	+	41801	44341
seqID	EHI52_RS00175			
IDF72C	seqID	strand	start	end
EHI52_RS00175	IDF72C	+	44334	46262
seqID	EHI52_RS00180			
IDF72C	seqID	strand	start	end
EHI52_RS00180	IDF72C	+	46473	47483
seqID	EHI52_RS03710			
IDF72C	seqID	strand	start	end
EHI52_RS03710	IDF72C	+	47583	49424
seqID	EHI52_RS00195			
IDF72C	seqID	strand	start	end
EHI52_RS00195	IDF72C	+	49552	51636
seqID	EHI52_RS00200			
IDF72C	seqID	strand	start	end
EHI52_RS00200	IDF72C	+	51642	51875
seqID	EHI52_RS00205			
IDF72C	seqID	strand	start	end
EHI52_RS00205	IDF72C	+	51929	53350
seqID	EHI52_RS00210			
IDF72C	seqID	strand	start	end
EHI52_RS00210	IDF72C	+	53472	54485
seqID	EHI52_RS00215			
IDF72C	seqID	strand	start	end
EHI52_RS00215	IDF72C	+	54638	55447
seqID	EHI52_RS00220			
IDF72C	seqID	strand	start	end
EHI52_RS00220	IDF72C	+	55449	56708
seqID	EHI52_RS00225			
IDF72C	seqID	strand	start	end
EHI52_RS00225	IDF72C	+	56793	57164
seqID	EHI52_RS00230			
IDF72C	seqID	strand	start	end
EHI52_RS00230	IDF72C	+	57168	58376
seqID	EHI52_RS00235			
IDF72C	seqID	strand	start	end
EHI52_RS00235	IDF72C	+	58471	58803
seqID	EHI52_RS00240			
IDF72C	seqID	strand	start	end
EHI52_RS00240	IDF72C	+	58848	60005
seqID	EHI52_RS00250			
IDF72C	seqID	strand	start	end
EHI52_RS00250	IDF72C	+	60441	61169
seqID	EHI52_RS00255			
IDF72C	seqID	strand	start	end
EHI52_RS00255	IDF72C	+	61197	61502
seqID	EHI52_RS00260			
IDF72C	seqID	strand	start	end
EHI52_RS00260	IDF72C	+	61556	62122
seqID	EHI52_RS00265			
IDF72C	seqID	strand	start	end
EHI52_RS00265	IDF72C	+	62122	62685
seqID	EHI52_RS00270			
IDF72C	seqID	strand	start	end
EHI52_RS00270	IDF72C	+	62704	64227
seqID	EHI52_RS00275			
IDF72C	seqID	strand	start	end
EHI52_RS00275	IDF72C	+	64256	65086
seqID	EHI52_RS00280			
IDF72C	seqID	strand	start	end
EHI52_RS00280	IDF72C	+	65104	66519
seqID	EHI52_RS00285			
IDF72C	seqID	strand	start	end
EHI52_RS00285	IDF72C	+	66506	66766
seqID	EHI52_RS00290			
IDF72C	seqID	strand	start	end
EHI52_RS00290	IDF72C	+	66874	67359
seqID	EHI52_RS00295			
IDF72C	seqID	strand	start	end
EHI52_RS00295	IDF72C	+	67575	68531
seqID	EHI52_RS00300			
IDF72C	seqID	strand	start	end
EHI52_RS00300	IDF72C	+	68556	69467
seqID	EHI52_RS00305			
IDF72C	seqID	strand	start	end
EHI52_RS00305	IDF72C	+	69552	70874
seqID	EHI52_RS00310			
IDF72C	seqID	strand	start	end
EHI52_RS00310	IDF72C	+	70902	72269
seqID	EHI52_RS00315			
IDF72C	seqID	strand	start	end
EHI52_RS00315	IDF72C	+	72262	74103
seqID	EHI52_RS00320			
IDF72C	seqID	strand	start	end
EHI52_RS00320	IDF72C	+	74124	76154
seqID	EHI52_RS00325			
IDF72C	seqID	strand	start	end
EHI52_RS00325	IDF72C	+	76161	76934
seqID	EHI52_RS00330			
IDF72C	seqID	strand	start	end
EHI52_RS00330	IDF72C	+	76928	77758
seqID	EHI52_RS00335			
IDF72C	seqID	strand	start	end
EHI52_RS00335	IDF72C	+	77776	79020
seqID	EHI52_RS00340			
IDF72C	seqID	strand	start	end
EHI52_RS00340	IDF72C	+	79093	83793
seqID	EHI52_RS00350			
IDF72C	seqID	strand	start	end
EHI52_RS00350	IDF72C	+	83980	86745
seqID	EHI52_RS00355			
IDF72C	seqID	strand	start	end
EHI52_RS00355	IDF72C	+	86803	88353
seqID	EHI52_RS00360			
IDF72C	seqID	strand	start	end
EHI52_RS00360	IDF72C	+	88471	88779
seqID	EHI52_RS00365			
IDF72C	seqID	strand	start	end
EHI52_RS00365	IDF72C	+	88967	90769
seqID	EHI52_RS00370			
IDF72C	seqID	strand	start	end
EHI52_RS00370	IDF72C	+	90991	92115
seqID	EHI52_RS00375			
IDF72C	seqID	strand	start	end
EHI52_RS00375	IDF72C	+	92174	92863
seqID	EHI52_RS00380			
IDF72C	seqID	strand	start	end
EHI52_RS00380	IDF72C	+	92881	94182
seqID	EHI52_RS00385			
IDF72C	seqID	strand	start	end
EHI52_RS00385	IDF72C	+	94234	94506
seqID	EHI52_RS00390			
IDF72C	seqID	strand	start	end
EHI52_RS00390	IDF72C	+	94509	94739
seqID	EHI52_RS00395			
IDF72C	seqID	strand	start	end
EHI52_RS00395	IDF72C	+	94740	96536
seqID	EHI52_RS00400			
IDF72C	seqID	strand	start	end
EHI52_RS00400	IDF72C	+	96606	97553
seqID	EHI52_RS00405			
IDF72C	seqID	strand	start	end
EHI52_RS00405	IDF72C	+	97868	99952
seqID	EHI52_RS00410			
IDF72C	seqID	strand	start	end
EHI52_RS00410	IDF72C	+	99965	100435
seqID	EHI52_RS00415			
IDF72C	seqID	strand	start	end
EHI52_RS00415	IDF72C	+	100488	100907
seqID	EHI52_RS00420			
IDF72C	seqID	strand	start	end
EHI52_RS00420	IDF72C	+	101039	101431
seqID	EHI52_RS00425			
IDF72C	seqID	strand	start	end
EHI52_RS00425	IDF72C	+	101435	101947
seqID	EHI52_RS00430			
IDF72C	seqID	strand	start	end
EHI52_RS00430	IDF72C	+	101938	102438
seqID	EHI52_RS00435			
IDF72C	seqID	strand	start	end
EHI52_RS00435	IDF72C	+	102703	104049
seqID	EHI52_RS00440			
IDF72C	seqID	strand	start	end
EHI52_RS00440	IDF72C	+	104263	105645
seqID	EHI52_RS00445			
IDF72C	seqID	strand	start	end
EHI52_RS00445	IDF72C	+	105830	107113
seqID	EHI52_RS00450			
IDF72C	seqID	strand	start	end
EHI52_RS00450	IDF72C	+	107118	107816
seqID	EHI52_RS00460			
IDF72C	seqID	strand	start	end
EHI52_RS00460	IDF72C	+	108533	111484
seqID	EHI52_RS00465			
IDF72C	seqID	strand	start	end
EHI52_RS00465	IDF72C	+	111795	111870
seqID	EHI52_RS00470			
IDF72C	seqID	strand	start	end
EHI52_RS00470	IDF72C	+	111872	111947
seqID	EHI52_RS00475			
IDF72C	seqID	strand	start	end
EHI52_RS00475	IDF72C	+	111950	112024
seqID	EHI52_RS00480			
IDF72C	seqID	strand	start	end
EHI52_RS00480	IDF72C	+	112076	112166
seqID	EHI52_RS00485			
