Orthogroup	MHP_112B_genes	MHP_168L_genes
OG0000000	NBX26_RS01900	MHP168L_RS02190
OG0000000	NBX26_RS01905	MHP168L_RS03890
OG0000000	NBX26_RS02470	MHP168L_RS02335
OG0000000	NBX26_RS01850	MHP168L_RS03865
OG0000000	NBX26_RS01860	MHP168L_RS01715
OG0000001	NBX26_RS01405	MHP168L_RS01370
OG0000001	NBX26_RS02970	MHP168L_RS02830
OG0000001	NBX26_RS02925	MHP168L_RS02780
OG0000001	NBX26_RS02920	MHP168L_RS02785
OG0000002	NBX26_RS02355	MHP168L_RS04010
OG0000003	NBX26_RS00500, NBX26_RS00510	MHP168L_RS01860
OG0000004	NBX26_RS03380	MHP168L_RS03190
OG0000004	NBX26_RS03385	MHP168L_RS03205
OG0000005	NBX26_RS00105	MHP168L_RS00090
OG0000005	NBX26_RS00110	MHP168L_RS00100
OG0000005	NBX26_RS00115	MHP168L_RS00105
OG0000006	NBX26_RS02660	MHP168L_RS02535, MHP168L_RS02530
OG0000008	NBX26_RS02465	MHP168L_RS02330
OG0000008	NBX26_RS01765	MHP168L_RS01795
OG0000008	NBX26_RS02665	MHP168L_RS04025
OG0000009	NBX26_RS00665	MHP168L_RS00990
OG0000009	NBX26_RS00685	MHP168L_RS03915
OG0000010	NBX26_RS02250	MHP168L_RS01950
OG0000011	NBX26_RS02155	MHP168L_RS03995
OG0000013	NBX26_RS02550	MHP168L_RS02430
OG0000014	NBX26_RS00605	MHP168L_RS01055
OG0000015	NBX26_RS01755	MHP168L_RS04080
OG0000015	NBX26_RS01925	MHP168L_RS03530
OG0000016	NBX26_RS00160	MHP168L_RS00150
OG0000017	NBX26_RS00145	MHP168L_RS00135
OG0000017	NBX26_RS03025	MHP168L_RS02880
OG0000018	NBX26_RS01950	MHP168L_RS04065
OG0000019	NBX26_RS03210, NBX26_RS03200	MHP168L_RS04055
OG0000020	NBX26_RS03745	MHP168L_RS03595
OG0000021	NBX26_RS02335	MHP168L_RS00495, MHP168L_RS01790, MHP168L_RS00490, MHP168L_RS02360
OG0000022	NBX26_RS01790	MHP168L_RS01775
OG0000022	NBX26_RS01845	MHP168L_RS01725
OG0000023	NBX26_RS01940	MHP168L_RS03545
OG0000024	NBX26_RS02915	MHP168L_RS02775
OG0000024	NBX26_RS01400	MHP168L_RS03940, MHP168L_RS03945
OG0000025	NBX26_RS01795	MHP168L_RS01770
OG0000025	NBX26_RS01840	MHP168L_RS01730
OG0000026	NBX26_RS01490	MHP168L_RS01455
OG0000026	NBX26_RS01820	MHP168L_RS01750
OG0000027	NBX26_RS03535	MHP168L_RS03825
OG0000027	NBX26_RS03555	MHP168L_RS03345
OG0000029	NBX26_RS01225	MHP168L_RS00580
OG0000029	NBX26_RS00610	MHP168L_RS01050
OG0000030	NBX26_RS03525	MHP168L_RS03325
OG0000030	NBX26_RS03550	MHP168L_RS03340
OG0000031	NBX26_RS01990	MHP168L_RS03575
OG0000032	NBX26_RS03540, NBX26_RS03545	MHP168L_RS03335
OG0000035	NBX26_RS03375	MHP168L_RS03200
OG0000035	NBX26_RS03365	MHP168L_RS03185
OG0000036	NBX26_RS00120	MHP168L_RS00110
OG0000037	NBX26_RS01705	MHP168L_RS01845
OG0000039	NBX26_RS01735	MHP168L_RS01815
OG0000041	NBX26_RS00670	MHP168L_RS00985
OG0000041	NBX26_RS01320	MHP168L_RS03925
OG0000042	NBX26_RS03110	MHP168L_RS02970
OG0000043	NBX26_RS02185	MHP168L_RS02005
OG0000043	NBX26_RS02185	MHP168L_RS01210
OG0000044	NBX26_RS01805	MHP168L_RS04140
OG0000044	NBX26_RS02310	MHP168L_RS01900
OG0000045	NBX26_RS01745	MHP168L_RS01810
OG0000046	NBX26_RS03460	MHP168L_RS03280
OG0000047	NBX26_RS01935	MHP168L_RS03540
OG0000048	NBX26_RS01920	MHP168L_RS02210
OG0000049	NBX26_RS03220	MHP168L_RS03050
OG0000050	NBX26_RS02610	MHP168L_RS02475
OG0000051	NBX26_RS02825	MHP168L_RS04035
OG0000052	NBX26_RS00080	MHP168L_RS00075
OG0000053	NBX26_RS01580	MHP168L_RS01540
OG0000054	NBX26_RS02635	MHP168L_RS02500
OG0000055	NBX26_RS00125	MHP168L_RS00115
OG0000056	NBX26_RS03730	MHP168L_RS03515
