Orthogroup	MHP_153B_proteins	MHP_F72C_proteins
OG0000000	WP_404924195.1	WP_318026087.1
OG0000000	WP_404924194.1	WP_225973043.1
OG0000000	WP_404924193.1	WP_146379517.1
OG0000000	WP_404923932.1, WP_404923933.1	WP_225973023.1
OG0000000	WP_404923931.1	WP_225973044.1
OG0000000	WP_404923947.1	WP_225973024.1
OG0000001	WP_404923999.1	WP_225972995.1
OG0000001	WP_404923994.1	WP_225972991.1
OG0000002	WP_258555377.1	WP_225972974.1
OG0000002	WP_404923948.1	WP_146379587.1
OG0000002	WP_404923934.1	WP_225973021.1
OG0000002	WP_404924158.1	WP_146379583.1
OG0000003	WP_146379482.1	WP_146379482.1
OG0000003	WP_404923944.1	WP_225973018.1
OG0000003	WP_404924172.1	WP_192894277.1
OG0000004	WP_020835883.1	WP_020835883.1
OG0000004	WP_404924027.1	WP_146379729.1
OG0000004	WP_020835887.1	WP_020835887.1
OG0000004	WP_404924198.1	WP_225972998.1
OG0000005	WP_404924061.1	WP_146379449.1
OG0000005	WP_404924063.1	WP_146379452.1
OG0000005	WP_146379451.1	WP_146379451.1
OG0000006	WP_225972988.1	WP_225972988.1
OG0000006	WP_258555362.1	WP_258555362.1
OG0000006	WP_225972978.1	WP_225972978.1
OG0000007	WP_160576975.1	WP_135618608.1
OG0000007	WP_404923946.1	WP_146379518.1
OG0000007	WP_404923943.1	WP_002557993.1
OG0000008	WP_404923955.1	WP_011290229.1
OG0000008	WP_404924145.1, WP_404924146.1	WP_225973033.1
OG0000008	WP_404924196.1	WP_225972989.1
OG0000009	WP_041361519.1	WP_146379448.1
OG0000009	WP_011290021.1	WP_146379497.1
OG0000010	WP_404924175.1	WP_146379615.1
OG0000011	WP_160587900.1	WP_146379608.1
OG0000012	WP_404923974.1, WP_404924104.1	WP_011284103.1, WP_146379586.1, WP_146379713.1, WP_146379492.1
OG0000012	WP_158632000.1	WP_158632000.1
OG0000013	WP_240536333.1	WP_225972984.1
OG0000013	WP_404924067.1	WP_225973006.1
OG0000014	WP_404924107.1	WP_146379526.1
OG0000016	WP_404924002.1	WP_146379690.1
OG0000016	WP_146379459.1	WP_146379459.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_404924016.1	WP_146379709.1
OG0000019	WP_404924015.1	WP_146379712.1
OG0000019	WP_404924017.1	WP_146379710.1
OG0000020	WP_404924053.1	WP_192894283.1
OG0000021	WP_404924161.1	WP_094521655.1
OG0000022	WP_404924149.1	WP_146379575.1
OG0000022	WP_404924156.1	WP_146379581.1
OG0000023	WP_044272391.1	WP_146379552.1
OG0000024	WP_404923993.1	WP_146379683.1
OG0000024	WP_404924124.1	WP_146379547.1
OG0000025	WP_404924150.1	WP_146379576.1
OG0000025	WP_160606775.1	WP_146379580.1
OG0000026	WP_404924129.1	WP_192894288.1
OG0000026	WP_404924155.1	WP_146379579.1
OG0000027	WP_146379747.1	WP_146379747.1
OG0000028	WP_404923970.1	WP_146379651.1
OG0000029	WP_404924086.1	WP_146379525.1
OG0000029	WP_404924105.1	WP_146379491.1
OG0000030	WP_404924037.1	WP_044272656.1
OG0000031	WP_404923928.1, WP_011206142.1	WP_011290137.1
OG0000032	WP_404924142.1	WP_135618726.1
OG0000033	WP_404923969.1	WP_225972986.1
OG0000033	WP_404923968.1	WP_225972985.1
OG0000035	WP_404924028.1	WP_146379730.1
OG0000036	WP_020835495.1	WP_225973004.1, WP_225973005.1
OG0000036	WP_146379454.1	WP_146379454.1
OG0000037	WP_404924191.1	WP_240536496.1
OG0000038	WP_404924159.1	WP_146379621.1
OG0000038	WP_404924082.1	WP_146379481.1
OG0000039	WP_179221095.1	WP_146379572.1
OG0000040	WP_404924032.1	WP_146379737.1
OG0000041	WP_011290019.1, WP_404912290.1	WP_192894287.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_404924192.1	WP_225973032.1
OG0000046	WP_347952302.1	WP_146379739.1
OG0000048	WP_011290213.1	WP_146379588.1
OG0000049	WP_020835860.1	WP_146379714.1
OG0000050	WP_404923972.1	WP_146379653.1
OG0000051	WP_404923985.1	WP_146379673.1
OG0000052	WP_404924060.1	WP_146379447.1
OG0000053	WP_404924135.1	WP_146379563.1
OG0000054	WP_404923973.1	WP_146379656.1
OG0000055	WP_146379455.1	WP_146379455.1
OG0000056	WP_404924050.1	WP_146379764.1
OG0000057	WP_258555814.1	WP_146379697.1
OG0000060	WP_020835489.1	WP_225973002.1
OG0000061	WP_020835703.1	WP_146379613.1
OG0000062	WP_160588098.1	WP_011290443.1
OG0000063	WP_404924054.1	WP_146379768.1
OG0000064	WP_011290440.1	WP_011290440.1
OG0000065	WP_233688433.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_404924083.1	WP_146379483.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_146379657.1
OG0000071	WP_160585219.1	WP_146379735.1
OG0000072	WP_404924031.1	WP_146379736.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000074	WP_404924091.1	WP_044284596.1
OG0000075	WP_014579568.1	WP_146379474.1
OG0000076	WP_160607908.1	WP_146379475.1
OG0000077	WP_404924080.1	WP_146379479.1
OG0000078	WP_404924153.1	WP_146379578.1
OG0000079	WP_404923976.1	WP_146379663.1
OG0000080	WP_404923980.1	WP_192894279.1
OG0000081	WP_404924076.1	WP_225973010.1
OG0000082	WP_404923966.1	WP_225972983.1
OG0000083	WP_014579823.1	WP_146379599.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_146379595.1
OG0000086	WP_011290207.1	WP_146379593.1
OG0000087	WP_404912425.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_146379590.1
OG0000089	WP_011290212.1	WP_011290212.1
OG0000090	WP_404924059.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_404924056.1	WP_146379771.1
OG0000098	WP_160588100.1	WP_146379769.1
OG0000099	WP_404924051.1	WP_146379765.1
OG0000100	WP_404924049.1	WP_146379762.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_020835678.1	WP_225973035.1
OG0000103	WP_011290214.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_146379630.1
OG0000106	WP_404923951.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_192894278.1
OG0000109	WP_220200503.1	WP_146379632.1
OG0000110	WP_020835772.1	WP_146379648.1
OG0000111	WP_020835771.1	WP_225972982.1
OG0000112	WP_404923963.1	WP_225972981.1
OG0000113	WP_404923959.1	WP_146379641.1
OG0000114	WP_404923958.1	WP_225972979.1
OG0000115	WP_011284183.1	WP_011290245.1
OG0000116	WP_011290103.1	WP_146379549.1
OG0000117	WP_044272388.1	WP_146379550.1
OG0000118	WP_404924127.1	WP_011290108.1
OG0000119	WP_160585678.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_146379557.1	WP_146379557.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_404924132.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160606641.1	WP_146379560.1
OG0000127	WP_160590282.1	WP_146379562.1
OG0000128	WP_146379564.1	WP_146379564.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160585099.1	WP_146379566.1
OG0000132	WP_011205939.1	WP_135618714.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_225973012.1	WP_225973012.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_179695961.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_404924103.1	WP_146379494.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_160584795.1	WP_146379496.1
OG0000141	WP_011284290.1	WP_146379698.1
OG0000142	WP_011284289.1	WP_011284289.1
OG0000143	WP_135619026.1	WP_011206391.1
OG0000144	WP_404924007.1	WP_146379694.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_146379692.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_404923997.1	WP_020835828.1
OG0000152	WP_404923996.1	WP_020835827.1
OG0000153	WP_011206347.1	WP_146379685.1
OG0000154	WP_011290318.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_011206334.1
OG0000158	WP_404911941.1	WP_146379680.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_146379654.1	WP_146379654.1
OG0000162	WP_167871270.1	WP_044272532.1
OG0000163	WP_044272529.1	WP_044272529.1
OG0000164	WP_404924143.1	WP_146379571.1
OG0000165	WP_020835712.1	WP_011206200.1
OG0000166	WP_404924182.1	WP_011290193.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_135618848.1	WP_146379604.1
OG0000169	WP_179221201.1	WP_094521497.1
OG0000170	WP_020835862.1	WP_146379716.1
OG0000171	WP_011206422.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011290368.1	WP_011284312.1
OG0000174	WP_160600929.1	WP_146379719.1
OG0000175	WP_160585645.1	WP_146379721.1
OG0000176	WP_404924025.1	WP_146379725.1
OG0000177	WP_160585273.1	WP_146379726.1
OG0000178	WP_044272620.1	WP_044272620.1
OG0000179	WP_014579979.1	WP_020835880.1
OG0000180	WP_011206445.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_146379743.1
OG0000185	WP_404924034.1	WP_146379740.1
OG0000186	WP_020835656.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_404923954.1	WP_146379638.1
OG0000190	WP_011206256.1	WP_146379637.1
OG0000191	WP_146379633.1	WP_146379633.1
OG0000192	WP_011205992.1	WP_146379779.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_179695841.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_404924099.1	WP_146379501.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_146379507.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_146379508.1
OG0000205	WP_160606691.1	WP_146379509.1
OG0000206	WP_011290044.1	WP_135618589.1
OG0000207	WP_094521594.1	WP_094521594.1
OG0000208	WP_135618591.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_011206052.1	WP_146379515.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_011290055.1
OG0000216	WP_160585193.1	WP_014579616.1
OG0000217	WP_404924088.1	WP_146379520.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_011206041.1
OG0000220	WP_020835592.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_146379522.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_404924087.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_146379528.1
OG0000234	WP_404924109.1	WP_146379533.1
OG0000235	WP_404924111.1	WP_146379535.1
OG0000236	WP_404924112.1	WP_146379536.1
OG0000237	WP_404924113.1	WP_146379537.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_404924009.1	WP_146379700.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_044284696.1	WP_044272588.1
