Orthogroup	MHP_MHP691_proteins	MHP_LH_proteins
OG0000000	WP_160608104.1, WP_220200664.1	WP_233688766.1
OG0000001	WP_187145661.1	WP_179696094.1
OG0000001	WP_258555625.1	WP_233688699.1
OG0000001	WP_258555566.1	WP_228365393.1
OG0000001	WP_011206342.1	WP_233688495.1
OG0000002	WP_160585200.1	WP_233688429.1
OG0000002	WP_160608106.1	WP_233688422.1
OG0000002	WP_160608118.1	WP_233688740.1
OG0000003	WP_160607882.1	WP_233688628.1
OG0000003	WP_308704693.1	WP_233688427.1
OG0000004	WP_160585636.1	WP_233688542.1
OG0000004	WP_160585635.1	WP_233688544.1
OG0000005	WP_160607716.1	WP_233688595.1
OG0000005	WP_160607718.1	WP_233688596.1
OG0000005	WP_160607720.1	WP_233688597.1, WP_233688600.1
OG0000006	WP_258555632.1	WP_233688469.1
OG0000007	WP_258555628.1, WP_258555629.1	WP_233688426.1
OG0000008	WP_258555633.1	WP_233688470.1
OG0000009	WP_041361519.1	WP_094521537.1
OG0000010	WP_160607876.1	WP_179221114.1
OG0000010	WP_258555487.1	WP_233688594.1
OG0000011	WP_020835714.1, WP_160606477.1	WP_233688757.1
OG0000011	WP_160607868.1	WP_233688756.1
OG0000013	WP_258555582.1	WP_233688454.1
OG0000013	WP_308704685.1	WP_233688607.1
OG0000014	WP_160608112.1	WP_233688640.1
OG0000015	WP_014579770.1	WP_014579770.1
OG0000016	WP_160607846.1	WP_011206378.1
OG0000016	WP_160607987.1	WP_233688605.1
OG0000017	WP_020835500.1	WP_233688603.1
OG0000017	WP_020835837.1	WP_233688501.1
OG0000019	WP_258555634.1	WP_233688517.1
OG0000020	WP_160607708.1	WP_233688577.1
OG0000020	WP_308704678.1	WP_233688578.1
OG0000021	WP_220200667.1	WP_014579781.1
OG0000022	WP_160607941.1	WP_233688731.1
OG0000022	WP_160607953.1	WP_233688738.1
OG0000024	WP_160608070.1	WP_179696078.1
OG0000025	WP_160607943.1	WP_233688732.1
OG0000025	WP_160607951.1	WP_233688737.1
OG0000026	WP_020835640.1	WP_044284614.1
OG0000026	WP_160590234.1	WP_233688735.1
OG0000027	WP_160585251.1	WP_011206475.1
OG0000027	WP_160607732.1	WP_233688557.1
OG0000029	WP_160608024.1	WP_233688669.1
OG0000029	WP_160608062.1	WP_233688642.1
OG0000030	WP_240536353.1	WP_232039555.1
OG0000030	WP_160607730.1	WP_020835904.1
OG0000031	WP_011284063.1	WP_233688725.1
OG0000032	WP_160608068.1	WP_233688723.1
OG0000033	WP_258555580.1	WP_233688460.1, WP_233688457.1
OG0000033	WP_258555581.1	WP_233688459.1
OG0000034	WP_233688423.1	WP_233688423.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_160607769.1	WP_233688543.1
OG0000035	WP_160607771.1	WP_233688540.1
OG0000036	WP_160607722.1	WP_233688598.1, WP_233688601.1
OG0000037	WP_308704691.1	WP_233688762.1
OG0000039	WP_160608064.1, WP_160608066.1	WP_011290139.1
OG0000040	WP_160607971.1	WP_233688550.1
OG0000042	WP_160608086.1	WP_233688512.1
OG0000043	WP_160585024.1	WP_014579804.1
OG0000045	WP_258555619.1	WP_020835667.1
OG0000048	WP_160607666.1	WP_146379588.1
OG0000049	WP_160607787.1	WP_233688524.1
OG0000050	WP_160607999.1	WP_233688465.1
OG0000051	WP_160607824.1	WP_233688485.1
OG0000052	WP_011289937.1	WP_011283836.1
OG0000053	WP_160607798.1	WP_233688713.1
OG0000054	WP_160608001.1	WP_044272538.1
OG0000055	WP_160607724.1	WP_135618462.1
OG0000056	WP_160607757.1	WP_233688574.1
OG0000057	WP_258555568.1	WP_233688511.1
OG0000058	WP_160585715.1, WP_160607688.1	WP_179695838.1
OG0000061	WP_146379613.1	WP_135618818.1
OG0000062	WP_160588098.1	WP_094521530.1
OG0000063	WP_160607710.1	WP_233688580.1
OG0000064	WP_011290440.1	WP_233688579.1
OG0000065	WP_011290219.1	WP_011290219.1
OG0000066	WP_160588243.1	WP_011205965.1
OG0000067	WP_160608100.1	WP_233688634.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_160607760.1	WP_233688548.1
OG0000072	WP_160607973.1	WP_233688549.1
OG0000073	WP_160584799.1	WP_011206093.1
OG0000074	WP_044284596.1	WP_233688661.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000077	WP_146379479.1	WP_233688625.1
OG0000079	WP_160608044.1	WP_233688475.1
OG0000080	WP_011206314.1	WP_233688480.1
OG0000081	WP_135618515.1	WP_233688621.1
OG0000082	WP_258555583.1	WP_233688453.1
OG0000083	WP_160590043.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_160590049.1	WP_233688415.1
OG0000086	WP_160590052.1	WP_233688416.1
OG0000087	WP_020835732.1	WP_011206228.1
OG0000088	WP_160590058.1	WP_044272480.1
OG0000089	WP_011290212.1	WP_011206231.1
OG0000090	WP_020835488.1	WP_233688592.1
OG0000091	WP_020835487.1	WP_233688590.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_160584856.1	WP_020835484.1
OG0000094	WP_160606485.1	WP_233688588.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_258555535.1	WP_233688583.1
OG0000098	WP_146379769.1	WP_233688581.1
OG0000099	WP_160607759.1	WP_233688575.1
OG0000100	WP_011290432.1	WP_233688571.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_135619192.1	WP_233688736.1
OG0000103	WP_160585202.1	WP_233688430.1
OG0000104	WP_160607672.1	WP_011206239.1
OG0000105	WP_160607676.1	WP_135618882.1
OG0000106	WP_146379631.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_308704677.1	WP_011206247.1
OG0000109	WP_160607678.1	WP_233688434.1
OG0000110	WP_146379648.1	WP_233688451.1
OG0000111	WP_258555584.1	WP_233688450.1
OG0000112	WP_258555585.1	WP_233688448.1
OG0000113	WP_160585296.1	WP_233688444.1
OG0000114	WP_258555588.1	WP_233688443.1
OG0000115	WP_011290245.1	WP_011206264.1
OG0000116	WP_160608082.1	WP_233688702.1
OG0000117	WP_160608080.1	WP_233688703.1
OG0000118	WP_011290108.1	WP_233688707.1
OG0000119	WP_135618686.1	WP_179696055.1
OG0000120	WP_160590292.1	WP_160600844.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_011205958.1
OG0000123	WP_011205954.1	WP_233688711.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_011205950.1
OG0000127	WP_160590282.1	WP_011284040.1
OG0000128	WP_160607796.1	WP_233688714.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160585099.1	WP_233688716.1
OG0000132	WP_094521636.1	WP_233688719.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_308704690.1	WP_233688635.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_135618546.1	WP_233688636.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160608058.1	WP_011206106.1
OG0000139	WP_011206102.1	WP_179221023.1
OG0000140	WP_160608056.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_011284290.1
OG0000142	WP_160607860.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_233688509.1
OG0000144	WP_160607856.1	WP_233688507.1
OG0000145	WP_225972996.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_233688504.1
OG0000148	WP_160607848.1	WP_233688502.1
OG0000149	WP_011290331.1	WP_011206379.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_160608076.1	WP_179696082.1
OG0000152	WP_160585269.1	WP_160606405.1
OG0000153	WP_160608074.1	WP_233688497.1
OG0000154	WP_160587842.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_233688493.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_011206334.1
OG0000158	WP_160607812.1	WP_275092455.1
OG0000159	WP_160590317.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_233688466.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_160608004.1	WP_135619210.1
OG0000163	WP_160607997.1	WP_233688464.1
OG0000164	WP_135618732.1	WP_233688726.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_160590029.1	WP_233688759.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160585173.1	WP_233688406.1
OG0000169	WP_160607789.1	WP_094521497.1
OG0000170	WP_020835862.1	WP_233688526.1
OG0000171	WP_160585650.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160585649.1	WP_094521499.1
OG0000174	WP_160600929.1	WP_233688528.1
OG0000175	WP_160588054.1	WP_233688530.1
OG0000176	WP_160607777.1	WP_233688535.1
OG0000177	WP_160585273.1	WP_233688536.1
OG0000178	WP_044272620.1	WP_011206441.1
OG0000179	WP_014579979.1	WP_233688538.1
OG0000180	WP_160607773.1	WP_160600945.1
OG0000181	WP_160585796.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160588140.1	WP_011206468.1
OG0000185	WP_020835897.1	WP_011206465.1
OG0000186	WP_044284745.1	WP_135618718.1
OG0000187	WP_160585781.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160607686.1	WP_233688438.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_146379633.1	WP_011206251.1
OG0000192	WP_011205992.1	WP_011284001.1
OG0000193	WP_011283999.1	WP_011283999.1
OG0000194	WP_011283923.1	WP_011283923.1
OG0000195	WP_094521583.1	WP_011283924.1
OG0000196	WP_020835573.1	WP_014579648.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_146379501.1	WP_233688647.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_233688653.1
OG0000203	WP_011206072.1	WP_233688654.1
OG0000204	WP_160608010.1	WP_014579633.1
OG0000205	WP_160606691.1	WP_233688655.1
OG0000206	WP_011290044.1	WP_135618589.1
OG0000207	WP_011206063.1	WP_011283951.1
OG0000208	WP_160584818.1	WP_011283952.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_233688662.1
OG0000211	WP_011290054.1	WP_233688663.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_160585195.1	WP_011283963.1
OG0000214	WP_160608018.1	WP_011206047.1
OG0000215	WP_160608019.1	WP_011206046.1
OG0000216	WP_160608020.1	WP_233688664.1
OG0000217	WP_160585731.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_233688666.1
OG0000219	WP_020835591.1	WP_020835591.1
OG0000220	WP_135618616.1	WP_011283968.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_233688667.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011206031.1
OG0000228	WP_160608021.1	WP_233688668.1
OG0000229	WP_160608022.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_233688672.1
OG0000234	WP_160607928.1	WP_044284822.1
OG0000235	WP_160607926.1	WP_233688676.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_160607924.1	WP_233688687.1
OG0000238	WP_011206006.1	WP_233688688.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_011206400.1
OG0000241	WP_160585231.1	WP_011206402.1
OG0000242	WP_160608088.1	WP_233688513.1
OG0000243	WP_160608089.1	WP_011206404.1
OG0000244	WP_160608092.1	WP_160615603.1
OG0000245	WP_011206408.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_160607991.1	WP_233688602.1
OG0000248	WP_160585552.1	WP_014579535.1
OG0000249	WP_160607989.1	WP_233688604.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_160607985.1	WP_014579544.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_135618489.1	WP_233688610.1
OG0000254	WP_160607983.1	WP_020835510.1
OG0000255	WP_014579550.1	WP_044284572.1
OG0000256	WP_011205889.1	WP_011283865.1
OG0000257	WP_011289973.1	WP_233688613.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_020835520.1	WP_233688617.1
OG0000260	WP_160607902.1	WP_011283879.1
OG0000261	WP_160607906.1	WP_233688620.1
OG0000262	WP_135618519.1	WP_014579569.1
OG0000263	WP_160585532.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_160607914.1	WP_233688622.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_146379477.1	WP_233688623.1
OG0000268	WP_160584745.1	WP_011283894.1
OG0000269	WP_160608050.1	WP_179695953.1
OG0000270	WP_020835916.1	WP_233688568.1
OG0000271	WP_020835915.1	WP_233688567.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_233688565.1
OG0000275	WP_228366117.1	WP_011206497.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_233688563.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_233688561.1
OG0000280	WP_160607742.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_160607738.1	WP_011206486.1
OG0000283	WP_014580009.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_160585586.1	WP_011290413.1
OG0000286	WP_146379652.1	WP_334301383.1
OG0000287	WP_146379659.1	WP_011206297.1
OG0000288	WP_160585009.1	WP_233688472.1
OG0000289	WP_160608040.1	WP_233688473.1
OG0000290	WP_011290297.1	WP_014579908.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_020835806.1	WP_044272553.1
OG0000293	WP_020835805.1	WP_233688482.1
OG0000294	WP_160607832.1	WP_233688481.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_233688476.1
OG0000297	WP_160608046.1	WP_011206306.1
OG0000298	WP_160584774.1	WP_233688606.1
OG0000299	WP_094521545.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_135618529.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_160607854.1	WP_233688505.1
OG0000306	WP_160607838.1	WP_233688499.1
OG0000307	WP_160608072.1	WP_044272560.1
OG0000308	WP_160607822.1	WP_233688487.1
OG0000309	WP_146379668.1	WP_160600978.1
OG0000310	WP_011206298.1	WP_233688471.1
OG0000311	WP_160608002.1	WP_011206293.1
OG0000312	WP_160585159.1	WP_233688467.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_160607866.1	WP_233688758.1
OG0000315	WP_160585171.1	WP_233688407.1
OG0000316	WP_160590036.1	WP_014579818.1
OG0000317	WP_146379589.1	WP_233688419.1
OG0000318	WP_220200601.1	WP_233688408.1
OG0000319	WP_160607674.1	WP_233688431.1
OG0000320	WP_160607890.1	WP_233688446.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_233688709.1
OG0000323	WP_258555552.1	WP_233688718.1
OG0000324	WP_160607680.1	WP_011206250.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_160588270.1	WP_233688651.1
OG0000327	WP_146379506.1	WP_011206076.1
OG0000328	WP_041361583.1	WP_233688658.1
OG0000329	WP_160585607.1	WP_044284742.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_160608090.1	WP_011206405.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160607767.1	WP_160601134.1
OG0000335	WP_160585799.1	WP_233688545.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011290441.1	WP_011206520.1
OG0000338	WP_011284394.1	WP_011284394.1
OG0000339	WP_160607894.1	WP_233688442.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_233688437.1
OG0000342	WP_011290029.1	WP_233688646.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_160590335.1	WP_233688639.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_225973015.1	WP_160600882.1
OG0000349	WP_160607746.1	WP_094521522.1
OG0000350	WP_258555623.1	WP_233688496.1
OG0000351	WP_160608052.1	WP_233688626.1
OG0000352	WP_160585020.1	WP_233688755.1
OG0000353	WP_160607804.1	WP_233688708.1
OG0000354	WP_308507053.1	WP_011283917.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308506994.1	WP_232039529.1
OG0000357	WP_228366113.1	WP_011206427.1
OG0000358	WP_160607785.1	WP_233688529.1
OG0000359	WP_308704683.1	WP_233688649.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_233688616.1
OG0000362	WP_011290282.1	WP_094521719.1
OG0000363	WP_308704679.1	WP_233688761.1
OG0000365	WP_160590046.1	WP_233688412.1
OG0000366	WP_146379594.1	WP_011206224.1
OG0000367	WP_220200603.1	WP_233688417.1
OG0000368	WP_011289935.1	WP_233688591.1
OG0000369	WP_011289930.1	WP_233688587.1
OG0000371	WP_146379443.1	WP_233688586.1
OG0000372	WP_160584860.1	WP_233688585.1
OG0000373	WP_160585758.1	WP_233688584.1
OG0000374	WP_160607712.1	WP_233688582.1
OG0000375	WP_011284163.1	WP_011284163.1
OG0000376	WP_146379646.1	WP_233688449.1
OG0000377	WP_160590444.1	WP_233688447.1
OG0000378	WP_011205977.1	WP_233688701.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_233688710.1
OG0000381	WP_160607800.1	WP_233688712.1
OG0000382	WP_160607793.1	WP_233688715.1
OG0000383	WP_014579735.1	WP_233688717.1
OG0000384	WP_014579586.1	WP_334301384.1
OG0000385	WP_044272311.1	WP_233688633.1
OG0000386	WP_011206121.1	WP_011206121.1
OG0000387	WP_160608032.1	WP_233688637.1
OG0000388	WP_160585142.1	WP_233688638.1
OG0000389	WP_160608060.1	WP_233688643.1
OG0000390	WP_160590163.1	WP_233688508.1
OG0000391	WP_020835843.1	WP_233688506.1
OG0000392	WP_160607852.1	WP_135619016.1
OG0000393	WP_160607840.1	WP_233688500.1
OG0000394	WP_160608116.1	WP_014579921.1
OG0000395	WP_160608114.1	WP_233688494.1
OG0000396	WP_020835781.1	WP_233688463.1
OG0000397	WP_160585022.1	WP_044284644.1
OG0000398	WP_020835709.1	WP_011206197.1
OG0000399	WP_160590031.1	WP_233688760.1
OG0000400	WP_044272610.1	WP_233688525.1
OG0000401	WP_135619070.1	WP_135619070.1
OG0000402	WP_160607781.1	WP_233688532.1
OG0000403	WP_220191162.1	WP_233688533.1
OG0000404	WP_160607775.1	WP_233688537.1
OG0000405	WP_160585278.1	WP_233688539.1
OG0000406	WP_160585802.1	WP_233688546.1
OG0000407	WP_160607764.1	WP_233688547.1
OG0000408	WP_160607762.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_160607965.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_146379742.1
OG0000412	WP_160607967.1	WP_233688552.1
OG0000413	WP_160608098.1	WP_011284051.1
OG0000414	WP_011290131.1	WP_011284053.1
OG0000415	WP_020835657.1	WP_233688720.1
OG0000416	WP_011284056.1	WP_233688721.1
OG0000417	WP_160607684.1	WP_233688436.1
OG0000418	WP_258555520.1	WP_233688435.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_160607977.1	WP_160600868.1
OG0000421	WP_011206080.1	WP_011290034.1
OG0000422	WP_146379504.1	WP_233688650.1
OG0000423	WP_020835585.1	WP_233688656.1
OG0000424	WP_011290043.1	WP_233688657.1
OG0000425	WP_011206065.1	WP_011283949.1
OG0000426	WP_011206064.1	WP_011283950.1
OG0000427	WP_160608008.1	WP_233688659.1
OG0000428	WP_160608006.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_160608023.1	WP_014579604.1
OG0000431	WP_146379524.1	WP_011283976.1
OG0000432	WP_160585570.1	WP_233688673.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_160607932.1	WP_233688674.1
OG0000435	WP_011290077.1	WP_020835610.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_160584684.1	WP_233688689.1
OG0000438	WP_160607920.1	WP_233688690.1
OG0000439	WP_160607918.1	WP_020835619.1
