#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_021831.1:93498-95294|+   -            599 501at2085            -            526  4.9e-249  822.7   9.2   1   1  7.1e-251    1e-248  821.7   9.2     1   526     1   594     1   594 0.93 NC_021831.1_80 # 93498 # 95294 # 1 # ID=1_80;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343
NC_021831.1:96628-98712|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   1   4   1.8e-36   2.5e-34  114.2   0.1     4   153     8   162     5   186 0.86 NC_021831.1_82 # 96628 # 98712 # -1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NC_021831.1:96628-98712|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   2   4      0.53        75   -2.9   0.0   155   173   263   281   256   293 0.80 NC_021831.1_82 # 96628 # 98712 # -1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NC_021831.1:96628-98712|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   3   4     6e-12   8.5e-10   33.2   0.1   170   339   301   485   289   498 0.69 NC_021831.1_82 # 96628 # 98712 # -1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NC_021831.1:96628-98712|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   4   4    0.0026      0.37    4.7   0.0   350   411   607   675   595   691 0.78 NC_021831.1_82 # 96628 # 98712 # -1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NC_021831.1:756085-757884|- -            600 501at2085            -            526   8.2e-19   63.0   3.2   1   3   5.9e-21   8.2e-19   63.0   3.2    10   168   117   272   115   321 0.75 NC_021831.1_606 # 756085 # 757884 # -1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NC_021831.1:756085-757884|- -            600 501at2085            -            526   8.2e-19   63.0   3.2   2   3      0.56        79   -3.0   0.6   135   181   388   434   377   452 0.72 NC_021831.1_606 # 756085 # 757884 # -1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NC_021831.1:756085-757884|- -            600 501at2085            -            526   8.2e-19   63.0   3.2   3   3      0.34        48   -2.2   0.0   382   408   480   506   460   516 0.80 NC_021831.1_606 # 756085 # 757884 # -1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NC_021831.1:692559-693767|- -            403 501at2085            -            526   1.9e-18   61.8   3.1   1   2   3.1e-20   4.3e-18   60.6   0.3     8   140    20   155    14   168 0.88 NC_021831.1_552 # 692559 # 693767 # -1 # ID=1_552;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NC_021831.1:692559-693767|- -            403 501at2085            -            526   1.9e-18   61.8   3.1   2   2     0.023       3.3    1.6   0.2   161   256   205   309   194   325 0.67 NC_021831.1_552 # 692559 # 693767 # -1 # ID=1_552;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NC_021831.1:92296-92940|+   -            215 501at2085            -            526     1e-08   29.7   0.0   1   1     9e-11   1.3e-08   29.4   0.0    78   168    19   121     4   146 0.83 NC_021831.1_77 # 92296 # 92940 # 1 # ID=1_77;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.276
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7422/Use
# Date:            Sun Dec  1 19:07:03 2024
# [ok]
