Orthogroup	MHP_ES2L_proteins	MFC_MF30_proteins
OG0000000	WP_240536667.1, WP_240536668.1, WP_218833876.1, WP_179221135.1	WP_220190802.1
OG0000001	WP_240536639.1, WP_240536609.1, WP_240536607.1	WP_002557631.1
OG0000002	WP_218833877.1	WP_160605454.1
OG0000002	WP_179221108.1	WP_160605578.1
OG0000004	WP_240536612.1	WP_220190801.1
OG0000011	WP_020835714.1, WP_179221118.1	WP_160605422.1
OG0000013	WP_240536602.1	WP_160605387.1, WP_160605385.1
OG0000013	WP_240536631.1	WP_258555096.1
OG0000014	WP_179221016.1, WP_179221018.1	WP_220190749.1
OG0000016	WP_179221190.1	WP_160580902.1
OG0000017	WP_020835500.1	WP_002557881.1
OG0000017	WP_020835837.1	WP_160605334.1
OG0000018	WP_179221210.1	WP_160605522.1
OG0000019	WP_233688517.1, WP_240536613.1	WP_160605640.1
OG0000020	WP_179221274.1	WP_308705457.1
OG0000022	WP_179221107.1	WP_160583783.1
OG0000024	WP_179221186.1, WP_011205981.1	WP_258555110.1
OG0000025	WP_179221106.1	WP_160583781.1
OG0000026	WP_179221074.1, WP_179221105.1	WP_002557545.1
OG0000027	WP_179221251.1	WP_160605603.1
OG0000028	WP_179221153.1	WP_220190754.1, WP_160605394.1
OG0000029	WP_179221049.1, WP_179221019.1	WP_160605322.1
OG0000030	WP_179221248.1, WP_179221250.1	WP_160605605.1
OG0000031	WP_011206356.1	WP_160605408.1
OG0000039	WP_179221095.1	WP_160605326.1
OG0000040	WP_179221240.1	WP_258555133.1, WP_160605352.1
OG0000042	WP_179221198.1	WP_160605324.1, WP_160605340.1
OG0000043	WP_014579804.1	WP_160605410.1
OG0000045	WP_240536645.1	WP_002557601.1
OG0000048	WP_011284150.1	WP_160605621.1
OG0000050	WP_179221157.1	WP_160605404.1
OG0000051	WP_179221174.1	WP_160581217.1
OG0000052	WP_179220981.1	WP_002557464.1
OG0000053	WP_179221080.1	WP_160605623.1
OG0000054	WP_011206291.1	WP_160605400.1
OG0000055	WP_135618462.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_179221272.1	WP_160605584.1
OG0000057	WP_240536610.1	WP_258555107.1
OG0000062	WP_011206522.1	WP_002557486.1
OG0000063	WP_179221276.1	WP_160605552.1
OG0000064	WP_179221275.1	WP_160581114.1
OG0000065	WP_179221139.1	WP_002557517.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011284269.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_160605398.1
OG0000071	WP_179221239.1	WP_160605649.1, WP_160581282.1
OG0000072	WP_240536620.1	WP_160605550.1
OG0000073	WP_011206093.1	WP_039387630.1
OG0000074	WP_179221041.1	WP_236681775.1
OG0000075	WP_179221001.1	WP_160605306.1
OG0000076	WP_179221002.1	WP_002557921.1
OG0000077	WP_179221006.1	WP_160605308.1
OG0000078	WP_179221103.1	WP_160605360.1
OG0000079	WP_146379663.1	WP_160580968.1
OG0000080	WP_011206314.1	WP_196792423.1
OG0000081	WP_240536634.1	WP_308705447.1
OG0000082	WP_240536601.1	WP_220190753.1
OG0000083	WP_179221128.1	WP_002557446.1
OG0000084	WP_011206222.1	WP_002557451.1
OG0000085	WP_179221131.1	WP_002557452.1
OG0000086	WP_179221132.1	WP_160605611.1
OG0000087	WP_044272477.1	WP_236681783.1
OG0000088	WP_044272480.1	WP_002557458.1
OG0000089	WP_011206231.1	WP_160605617.1
OG0000090	WP_011283835.1	WP_002557465.1
OG0000091	WP_179220979.1	WP_160605562.1
OG0000092	WP_011205847.1	WP_002557471.1
OG0000093	WP_179220977.1	WP_002557472.1
OG0000094	WP_014579519.1	WP_002557473.1
OG0000095	WP_179220973.1	WP_160605558.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_179221279.1	WP_002557483.1
OG0000098	WP_179221277.1	WP_160581106.1
OG0000099	WP_179221273.1	WP_160605586.1
OG0000100	WP_179221270.1	WP_160605582.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_240536650.1	WP_160593490.1
OG0000103	WP_160585202.1	WP_160605508.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_011206242.1	WP_002557514.1
OG0000106	WP_160585203.1	WP_160605510.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_011206247.1	WP_002557519.1
OG0000109	WP_014579826.1	WP_160583943.1
OG0000110	WP_179221149.1	WP_160581160.1
OG0000111	WP_240536600.1	WP_002557523.1
OG0000112	WP_240536599.1	WP_160605514.1
OG0000113	WP_011206268.1	WP_002557528.1
OG0000114	WP_240536596.1	WP_002557530.1
OG0000115	WP_179221143.1	WP_160583957.1
OG0000116	WP_179221066.1	WP_002557534.1
OG0000117	WP_179221067.1	WP_002557535.1
OG0000118	WP_179221071.1	WP_160605524.1
OG0000119	WP_179221072.1	WP_160605526.1
OG0000120	WP_011284027.1	WP_160581189.1
OG0000121	WP_011284032.1	WP_002557548.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_160581199.1
OG0000124	WP_011205953.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_002557555.1
OG0000126	WP_011290120.1	WP_160605532.1
OG0000127	WP_011205948.1	WP_160583976.1
OG0000128	WP_179221081.1	WP_160605625.1
OG0000129	WP_014579732.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_160593526.1
OG0000131	WP_179221083.1	WP_002557566.1
OG0000132	WP_179221086.1	WP_002557569.1
OG0000133	WP_179221012.1	WP_002557574.1
OG0000134	WP_237697227.1	WP_160605314.1
OG0000135	WP_160585148.1	WP_002557577.1
OG0000136	WP_011206119.1	WP_160605316.1
OG0000137	WP_011206113.1	WP_160583687.1
OG0000138	WP_179221021.1	WP_002557590.1
OG0000139	WP_179221023.1	WP_002557594.1
OG0000140	WP_011206101.1	WP_002557595.1
