Orthogroup	MHP_ES2_proteins	MFC_ATCC27716_proteins
OG0000000	WP_240536417.1	WP_318023896.1
OG0000000	WP_240536413.1	WP_081605288.1
OG0000000	WP_135618783.1	WP_002557502.1
OG0000001	WP_193325079.1, WP_237697234.1, WP_225972995.1, WP_240536342.1, WP_240536341.1	WP_002557631.1
OG0000002	WP_237697200.1, WP_081430767.1	WP_002557507.1
OG0000002	WP_135618870.1	WP_002557987.1
OG0000002	WP_135618787.1	WP_002557503.1
OG0000003	WP_237697199.1	WP_039387603.1
OG0000004	WP_240536350.1	WP_231237859.1
OG0000007	WP_011284157.1	WP_002557994.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_135618872.1	WP_002557992.1
OG0000008	WP_240536388.1	WP_051054298.1
OG0000011	WP_240536403.1, WP_135618836.1	WP_002557687.1, WP_002557686.1
OG0000011	WP_135618832.1	WP_039387558.1
OG0000013	WP_240536333.1	WP_002557975.1, WP_051054340.1
OG0000013	WP_240536360.1	WP_002557887.1
OG0000014	WP_135618555.1, WP_135618629.1, WP_135618557.1	WP_002557587.1
OG0000016	WP_135619010.1	WP_002557621.1
OG0000017	WP_020835500.1	WP_002557881.1
OG0000017	WP_020835837.1	WP_144245598.1
OG0000018	WP_135618751.1	WP_002557538.1
OG0000019	WP_135619053.1	WP_040538370.1
OG0000020	WP_240536358.1	WP_002557491.1
OG0000022	WP_135618781.1	WP_002557501.1
OG0000023	WP_135618754.1, WP_240536321.1, WP_240536323.1, WP_240536322.1	WP_002557747.1
OG0000024	WP_135618988.1, WP_135618668.1	WP_231237865.1
OG0000025	WP_135618779.1	WP_002557500.1
OG0000026	WP_044284614.1, WP_135618775.1	WP_002557545.1
OG0000027	WP_135619132.1	WP_002557970.1
OG0000028	WP_135618932.1	WP_002557653.1, WP_040538377.1
OG0000029	WP_135618627.1, WP_135618559.1	WP_002557588.1
OG0000030	WP_240536353.1, WP_020835904.1	WP_002557971.1
OG0000031	WP_011284063.1	WP_002557676.1
OG0000032	WP_135618726.1	WP_002557939.1
OG0000032	WP_240536354.1	WP_231237886.1
OG0000037	WP_240536407.1	WP_155897258.1
OG0000039	WP_135618739.1, WP_167871264.1	WP_002557599.1, WP_002557597.1
OG0000040	WP_135619110.1	WP_002557738.1, WP_318024042.1, WP_002557645.1
OG0000042	WP_135619032.1	WP_002557596.1, WP_002557628.1
OG0000043	WP_014579804.1	WP_002557679.1
OG0000045	WP_135618740.1	WP_002557601.1
OG0000048	WP_135618866.1	WP_039387763.1
OG0000049	WP_240536351.1	WP_231237870.1, WP_318023899.1
OG0000050	WP_135618938.1	WP_002557670.1
OG0000051	WP_135618969.1	WP_002557852.1
OG0000052	WP_135618448.1	WP_002557464.1
OG0000053	WP_135618705.1	WP_002557561.1
OG0000054	WP_135618940.1	WP_002557665.1
OG0000055	WP_135618462.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_135619162.1	WP_081605276.1
OG0000057	WP_240536348.1	WP_231237864.1
OG0000062	WP_011206522.1	WP_002557486.1
OG0000063	WP_135619169.1	WP_002557487.1
OG0000064	WP_135619167.1	WP_002557489.1
OG0000065	WP_011290219.1	WP_002557517.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_135619002.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_135619103.1	WP_002557736.1
OG0000072	WP_135619105.1	WP_002557737.1
OG0000073	WP_011206093.1	WP_002557772.1, WP_002557771.1
OG0000074	WP_044284596.1	WP_002557807.1
OG0000076	WP_135618521.1	WP_002557921.1
OG0000077	WP_135618533.1	WP_002557937.1
OG0000078	WP_135618771.1	WP_002557996.1
OG0000079	WP_135618951.1	WP_040538387.1, WP_002558020.1
OG0000080	WP_179695988.1	WP_196792423.1
OG0000081	WP_135618515.1	WP_231237881.1, WP_231237882.1
OG0000082	WP_240536332.1	WP_231237888.1
OG0000083	WP_011206216.1	WP_002557446.1
OG0000084	WP_011206222.1	WP_002557451.1
OG0000085	WP_011206223.1	WP_002557452.1
OG0000086	WP_135618860.1	WP_002557454.1
OG0000087	WP_044272477.1	WP_002557457.1
OG0000088	WP_044272480.1	WP_002557458.1
OG0000089	WP_011206231.1	WP_002557461.1
OG0000090	WP_044278048.1	WP_002557465.1
OG0000091	WP_011205850.1	WP_002557468.1
OG0000092	WP_011205847.1	WP_002557471.1
OG0000093	WP_011205846.1	WP_002557472.1
OG0000094	WP_014579519.1	WP_002557473.1
OG0000095	WP_044272251.1	WP_002557479.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_135619172.1	WP_002557483.1
OG0000098	WP_135619170.1	WP_002557485.1
OG0000099	WP_135619164.1	WP_002557494.1
OG0000100	WP_135619158.1	WP_002557496.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_135619192.1	WP_002557499.1
OG0000103	WP_135618876.1	WP_002557509.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_135618882.1	WP_002557514.1
OG0000106	WP_135618884.1	WP_002557516.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_011206247.1	WP_002557519.1
OG0000109	WP_014579826.1	WP_002557520.1
OG0000110	WP_135618926.1	WP_002557522.1
OG0000111	WP_240536331.1	WP_002557523.1
OG0000112	WP_240536330.1	WP_002557525.1
OG0000113	WP_011206268.1	WP_002557528.1
OG0000114	WP_225972979.1	WP_002557530.1
OG0000115	WP_011206264.1	WP_002557532.1
OG0000116	WP_135618674.1	WP_002557534.1
OG0000117	WP_135618676.1	WP_002557535.1
OG0000118	WP_228729171.1	WP_002557540.1
OG0000119	WP_135618686.1	WP_002557541.1
OG0000120	WP_011284027.1	WP_002557544.1
OG0000121	WP_011284032.1	WP_002557548.1
OG0000122	WP_135618690.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_002557553.1
OG0000124	WP_011290118.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_002557555.1
OG0000126	WP_011205950.1	WP_002557557.1
OG0000127	WP_135618701.1	WP_002557559.1
OG0000128	WP_135618707.1	WP_002557562.1
OG0000129	WP_020835651.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_002557565.1
OG0000131	WP_135618710.1	WP_002557566.1
OG0000132	WP_135618714.1	WP_002557569.1
OG0000133	WP_014579589.1	WP_002557574.1
OG0000134	WP_233688635.1	WP_002557575.1
OG0000135	WP_011206120.1	WP_002557577.1
OG0000136	WP_135618546.1	WP_002557578.1
OG0000137	WP_011206113.1	WP_002557585.1
OG0000138	WP_135618563.1	WP_002557590.1
OG0000139	WP_011206102.1	WP_002557594.1
OG0000140	WP_011206101.1	WP_002557595.1
OG0000141	WP_011284290.1	WP_002557602.1
OG0000142	WP_135619030.1	WP_002557603.1
OG0000143	WP_135619026.1	WP_002557607.1
OG0000144	WP_135619022.1	WP_002557609.1
OG0000145	WP_225972996.1	WP_002557611.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_135619018.1	WP_002557614.1
OG0000148	WP_135619012.1	WP_002557618.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_135619006.1	WP_002557623.1
OG0000151	WP_135618994.1	WP_002557634.1
OG0000152	WP_020835827.1	WP_002557635.1
OG0000153	WP_135618992.1	WP_002557636.1
OG0000154	WP_094521730.1	WP_002557638.1
OG0000155	WP_135618984.1	WP_002557642.1
OG0000156	WP_011206335.1	WP_002557647.1
OG0000157	WP_014579918.1	WP_002557648.1
OG0000158	WP_135618980.1	WP_002557650.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_011284209.1	WP_002557668.1
OG0000161	WP_011206287.1	WP_002557669.1
OG0000162	WP_135619210.1	WP_002557671.1
OG0000163	WP_135618936.1	WP_002557672.1
OG0000164	WP_135618732.1	WP_002557677.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_135618840.1	WP_002557689.1
OG0000167	WP_135618846.1	WP_002557692.1
OG0000168	WP_135618848.1	WP_002557693.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_011206420.1	WP_002557704.1
OG0000171	WP_011206422.1	WP_002557706.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_135619059.1	WP_002557708.1
OG0000174	WP_011290369.1	WP_002557709.1
OG0000175	WP_135619064.1	WP_002557712.1
OG0000176	WP_135619075.1	WP_002557719.1
OG0000177	WP_135619077.1	WP_002557720.1
OG0000178	WP_011206441.1	WP_002557721.1
OG0000179	WP_011206444.1	WP_002557724.1
OG0000180	WP_011206445.1	WP_002557725.1
OG0000181	WP_135619094.1	WP_002557727.1
OG0000182	WP_011206453.1	WP_002557729.1
OG0000183	WP_135619099.1	WP_002557735.1
OG0000184	WP_135619119.1	WP_002557740.1
OG0000185	WP_135619116.1	WP_002557743.1
OG0000186	WP_135618718.1	WP_002557750.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
