Orthogroup	MFC_Ms42_genes	MFC_MF29_genes
OG0000000	MYF_RS01330	DR095_RS03080
OG0000000	MYF_RS01525	DR095_RS03105
OG0000000	MYF_RS01460	DR095_RS03185
OG0000000	MYF_RS03295	DR095_RS01240
OG0000001	MYF_RS03415	DR095_RS00305, DR095_RS00300
OG0000002	MYF_RS03430	DR095_RS02820
OG0000002	MYF_RS01475	DR095_RS04030
OG0000002	MYF_RS03010	DR095_RS03820
OG0000003	MYF_RS01515	DR095_RS04020
OG0000007	MYF_RS01510	DR095_RS03020
OG0000007	MYF_RS01505	DR095_RS03025
OG0000007	MYF_RS01500	DR095_RS03035
OG0000008	MYF_RS01875	DR095_RS03220
OG0000011	MYF_RS03310	DR095_RS03240, DR095_RS03235
OG0000011	MYF_RS01270	DR095_RS03230
OG0000013	MYF_RS03170	DR095_RS00580
OG0000013	MYF_RS01100	DR095_RS00575
OG0000013	MYF_RS03400	DR095_RS03215
OG0000014	MYF_RS00550	DR095_RS03760
OG0000015	MYF_RS03470	DR095_RS01695
OG0000016	MYF_RS00730	DR095_RS00250
OG0000016	MYF_RS00130	DR095_RS00985
OG0000017	MYF_RS03155	DR095_RS01000
OG0000017	MYF_RS00720	DR095_RS00240
OG0000018	MYF_RS01675	DR095_RS03835
OG0000019	MYF_RS03440	DR095_RS03740
OG0000020	MYF_RS03080	DR095_RS03810
OG0000020	MYF_RS03085	DR095_RS03805
OG0000022	MYF_RS03025	DR095_RS03815
OG0000023	MYF_RS01670	DR095_RS01405
OG0000023	MYF_RS01880	DR095_RS01955
OG0000024	MYF_RS00790	DR095_RS00310
OG0000025	MYF_RS03030	DR095_RS01230
OG0000026	MYF_RS01715	DR095_RS01450
OG0000027	MYF_RS02825	DR095_RS03960
OG0000028	MYF_RS01125	DR095_RS00595
OG0000029	MYF_RS00555	DR095_RS00085
OG0000030	MYF_RS02820	DR095_RS03965
OG0000031	MYF_RS01215	DR095_RS01640, DR095_RS02710
OG0000033	MYF_RS01130	DR095_RS00600, DR095_RS03210
OG0000039	MYF_RS03160, MYF_RS00615	DR095_RS00145
OG0000040	MYF_RS02770	DR095_RS01945
OG0000040	MYF_RS00840	DR095_RS00375
OG0000042	MYF_RS00610	DR095_RS00140
OG0000042	MYF_RS00765	DR095_RS00285
OG0000043	MYF_RS01240	DR095_RS01635, DR095_RS02735
OG0000045	MYF_RS00630	DR095_RS03295, DR095_RS03300
OG0000047	MYF_RS03335	DR095_RS03200
OG0000048	MYF_RS01350	DR095_RS03095, DR095_RS02830
OG0000049	MYF_RS03265, MYF_RS03455	DR095_RS01755
OG0000050	MYF_RS01180	DR095_RS03970
OG0000051	MYF_RS02420	DR095_RS01545
OG0000052	MYF_RS00075	DR095_RS01040
OG0000053	MYF_RS01800	DR095_RS03995
OG0000054	MYF_RS01155	DR095_RS00625
OG0000055	MYF_RS03395, MYF_RS03525	DR095_RS01035
OG0000056	MYF_RS03060	DR095_RS01205
OG0000057	MYF_RS00645	DR095_RS00165
OG0000062	MYF_RS03115	DR095_RS01150
OG0000063	MYF_RS03110	DR095_RS01155
OG0000064	MYF_RS03100	DR095_RS01165
OG0000065	MYF_RS01575	DR095_RS01310
OG0000066	MYF_RS01705	DR095_RS01440
