Orthogroup	Species	MHP_131B_proteins	Orthologs
OG0000000	MHP_1257_proteins	WP_404924494.1	WP_348571665.1
OG0000000	MHP_4284_proteins	WP_404924494.1	WP_406823103.1
OG0000000	MHP_MHP682_proteins	WP_404924494.1	WP_371807681.1
OG0000000	MHP_MHP650_proteins	WP_404924494.1	WP_160601117.1
OG0000000	MHP_Ue273_proteins	WP_404924494.1	WP_347952487.1
OG0000000	MHP_98_proteins	WP_404924494.1	WP_308705288.1
OG0000000	MHP_112B_proteins	WP_404924494.1	WP_404913768.1
OG0000000	MHP_F72C_proteins	WP_404924494.1	WP_318026087.1
OG0000000	MHP_MHP694_proteins	WP_404924494.1	WP_160606961.1
OG0000000	MHP_MHP653_proteins	WP_404924494.1	WP_308507050.1
OG0000000	MHP_153B_proteins	WP_404924494.1	WP_404924195.1
OG0000000	MHP_154B_proteins	WP_404924494.1	WP_404924635.1
OG0000000	MHP_7448_proteins	WP_404924494.1	WP_228366139.1
OG0000000	MHP_MHP696_proteins	WP_404924494.1	WP_220200970.1
OG0000000	MHP_MHP709_proteins	WP_404924494.1	WP_258555378.1
OG0000000	MFC_MF11_proteins	WP_404924494.1	WP_160603262.1
OG0000000	MFC_MF29_proteins	WP_404924494.1	WP_160581495.1
OG0000000	MFC_MF33_proteins	WP_404924494.1	WP_308704747.1
OG0000000	MFC_ATCC27716_proteins	WP_404924494.1	WP_318023896.1
OG0000000	MFC_Ms42_proteins	WP_404924494.1	WP_318023896.1
OG0000000	MFC_MF30_proteins	WP_404924494.1	WP_308705463.1
OG0000000	MFC_MF22_proteins	WP_404924494.1	WP_308704674.1
OG0000000	MFC_MF18_proteins	WP_404924494.1	WP_220190423.1
OG0000000	MHP_LH_proteins	WP_404924494.1	WP_233688770.1
OG0000000	MHP_NCTC10127_proteins	WP_404924494.1	WP_129640571.1
OG0000000	MHP_11_proteins	WP_404924494.1	WP_202943179.1
OG0000000	MHP_232_proteins	WP_404924494.1	WP_202943179.1
OG0000000	MHP_TB1_proteins	WP_404924494.1	WP_252862191.1
OG0000000	MHP_168L_proteins	WP_404924494.1	WP_318023914.1
OG0000000	MHP_168_proteins	WP_404924494.1	WP_014579837.1
OG0000000	MHP_J_proteins	WP_404924494.1	WP_237697250.1
OG0000000	MHP_UFV01_proteins	WP_404924494.1	WP_243216234.1
OG0000000	MHP_UFV02_proteins	WP_404924494.1	WP_243216234.1
OG0000000	MHP_116_proteins	WP_404924494.1	WP_348602510.1
OG0000000	MHP_ES2_proteins	WP_404924494.1	WP_240536417.1
OG0000000	MHP_133A_proteins	WP_404924494.1	WP_404924494.1
OG0000000	MFC_MF30_proteins	WP_160612820.1, WP_404924508.1, WP_404924493.1, WP_404924491.1, WP_404924492.1	WP_220190802.1
OG0000000	MHP_116_proteins	WP_160612820.1, WP_404924508.1, WP_404924493.1, WP_404924491.1	WP_348602504.1
OG0000000	MHP_133A_proteins	WP_160612820.1	WP_160612820.1
OG0000000	MHP_ES2L_proteins	WP_404924508.1, WP_404924493.1, WP_404924491.1	WP_218833876.1
OG0000000	MHP_F72C_proteins	WP_404924493.1, WP_404924491.1	WP_146379517.1
OG0000000	MHP_7422_proteins	WP_404924493.1, WP_404924491.1	WP_269076337.1
OG0000000	MHP_J_proteins	WP_404924493.1, WP_404924491.1	WP_011284151.1
OG0000000	MFC_ATCC27716_proteins	WP_404924493.1, WP_404924491.1	WP_081605288.1
OG0000000	MHP_4284_proteins	WP_404924493.1	WP_406823110.1
OG0000000	MHP_MHP653_proteins	WP_404924493.1	WP_308507049.1
OG0000000	MHP_1257_proteins	WP_404924493.1	WP_348571687.1, WP_348571684.1
OG0000000	MHP_UFV02_proteins	WP_404924493.1	WP_243234976.1
OG0000000	MHP_UFV01_proteins	WP_404924493.1	WP_243216171.1
OG0000000	MHP_111A_proteins	WP_404924493.1	WP_404912243.1
OG0000000	MHP_112B_proteins	WP_404924493.1	WP_404913720.1
OG0000000	MHP_LH_proteins	WP_404924493.1	WP_233688768.1
OG0000000	MHP_MHP696_proteins	WP_404924493.1	WP_308507069.1
OG0000000	MHP_MHP709_proteins	WP_404924493.1	WP_308507069.1
OG0000000	MHP_153B_proteins	WP_404924493.1	WP_404924193.1
OG0000000	MHP_154B_proteins	WP_404924493.1	WP_404924193.1
OG0000000	MHP_ES2_proteins	WP_404924493.1	WP_240536413.1
OG0000000	MFC_MF33_proteins	WP_404924493.1	WP_308704746.1
OG0000000	MHP_133A_proteins	WP_404924493.1	WP_404924493.1
OG0000000	MHP_1257_proteins	WP_404924491.1	WP_348571683.1
OG0000000	MFC_MF22_proteins	WP_404924491.1	WP_160584040.1
OG0000000	MFC_Ms42_proteins	WP_404924491.1	WP_236681787.1
OG0000000	MHP_LH_proteins	WP_404924491.1	WP_233688766.1
OG0000000	MHP_MHP691_proteins	WP_404924491.1	WP_160608104.1, WP_220200664.1
OG0000000	MHP_UFV01_proteins	WP_404924491.1	WP_243216232.1
OG0000000	MHP_UFV02_proteins	WP_404924491.1	WP_243216232.1
OG0000000	MHP_MHP650_proteins	WP_404924491.1	WP_308704770.1, WP_160601261.1, WP_160601285.1, WP_160601277.1
OG0000000	MFC_MF11_proteins	WP_404924491.1	WP_308705401.1
OG0000000	MHP_133A_proteins	WP_404924491.1	WP_404924491.1
OG0000000	MFC_MF11_proteins	WP_404924492.1	WP_308705396.1
OG0000000	MHP_ES2_proteins	WP_404924492.1	WP_240536415.1
OG0000000	MFC_MF29_proteins	WP_404924492.1	WP_220200598.1
OG0000000	MFC_MF33_proteins	WP_404924492.1	WP_160609447.1
OG0000000	MHP_133A_proteins	WP_404924492.1	WP_404924492.1
OG0000000	MHP_1257_proteins	WP_404924511.1, WP_404924562.1, WP_404924212.1, WP_148174330.1, WP_258556712.1	WP_348571641.1
OG0000000	MHP_MHP682_proteins	WP_404924511.1, WP_404924562.1, WP_404924212.1, WP_148174330.1, WP_258556712.1	WP_308507011.1
OG0000000	MHP_7422_proteins	WP_404924511.1	WP_041361655.1
OG0000000	MHP_7448_proteins	WP_404924511.1	WP_044272483.1
OG0000000	MHP_F72C_proteins	WP_404924511.1	WP_225973024.1
OG0000000	MHP_111A_proteins	WP_404924511.1	WP_404912245.1
OG0000000	MHP_112B_proteins	WP_404924511.1	WP_404912245.1
OG0000000	MHP_153B_proteins	WP_404924511.1	WP_404923947.1
OG0000000	MHP_LH_proteins	WP_404924511.1	WP_233688428.1
OG0000000	MHP_UFV01_proteins	WP_404924511.1	WP_243216180.1
OG0000000	MFC_Ms42_proteins	WP_404924511.1	WP_052234585.1, WP_039387605.1, WP_236681772.1, WP_039387597.1
OG0000000	MHP_UFV02_proteins	WP_404924511.1	WP_308704548.1
OG0000000	MHP_154B_proteins	WP_404924511.1	WP_404924576.1
OG0000000	MHP_ES2_proteins	WP_404924511.1	WP_240536311.1
OG0000000	MHP_133A_proteins	WP_404924511.1	WP_404924221.1
OG0000000	MHP_MHP709_proteins	WP_404924562.1, WP_404924212.1	WP_160588362.1
OG0000000	MHP_11_proteins	WP_404924562.1, WP_404924212.1	WP_206600680.1
OG0000000	MHP_232_proteins	WP_404924562.1, WP_404924212.1	WP_011206233.1
OG0000000	MHP_Ue273_proteins	WP_404924562.1	WP_347952213.1
OG0000000	MHP_MHP653_proteins	WP_404924562.1	WP_160615939.1
OG0000000	MHP_133A_proteins	WP_404924562.1	WP_404924466.1
OG0000000	MHP_111A_proteins	WP_404924562.1	WP_404912390.1
OG0000000	MHP_168L_proteins	WP_404924212.1	WP_044889037.1
OG0000000	MHP_112B_proteins	WP_404924212.1	WP_225973037.1
OG0000000	MHP_F72C_proteins	WP_404924212.1	WP_225973037.1
OG0000000	MHP_98_proteins	WP_404924212.1	WP_258556549.1
OG0000000	MHP_Ue273_proteins	WP_404924212.1	WP_347952221.1
OG0000000	MHP_116_proteins	WP_404924212.1	WP_348602503.1
OG0000000	MHP_ES2L_proteins	WP_404924212.1	WP_094521686.1
OG0000000	MHP_ES2_proteins	WP_404924212.1	WP_094521686.1
OG0000000	MHP_KM014_proteins	WP_404924212.1	WP_094521686.1
OG0000000	MHP_LH_proteins	WP_404924212.1	WP_094521686.1
OG0000000	MHP_MHP699_proteins	WP_404924212.1	WP_094521686.1
OG0000000	MHP_UFV01_proteins	WP_404924212.1	WP_094521686.1
OG0000000	MHP_UFV02_proteins	WP_404924212.1	WP_094521686.1
OG0000000	MHP_J_proteins	WP_404924212.1	WP_044284650.1
OG0000000	MHP_133A_proteins	WP_404924212.1	WP_404924212.1
OG0000000	MHP_98_proteins	WP_148174330.1, WP_258556712.1	WP_308705287.1
OG0000000	MHP_F72C_proteins	WP_148174330.1	WP_225973050.1
OG0000000	MHP_J_proteins	WP_148174330.1	WP_044284658.1
OG0000000	MHP_111A_proteins	WP_148174330.1	WP_404911849.1
OG0000000	MHP_112B_proteins	WP_148174330.1	WP_404913633.1
OG0000000	MHP_MHP653_proteins	WP_148174330.1	WP_240532016.1
OG0000000	MHP_116_proteins	WP_148174330.1	WP_348602862.1
OG0000000	MHP_168_proteins	WP_148174330.1	WP_014579857.1
OG0000000	MHP_TB1_proteins	WP_148174330.1	WP_088764626.1
OG0000000	MHP_168L_proteins	WP_148174330.1	WP_318023915.1
OG0000000	MHP_11_proteins	WP_148174330.1	WP_129640575.1
OG0000000	MHP_232_proteins	WP_148174330.1	WP_129640575.1
OG0000000	MHP_NCTC10127_proteins	WP_148174330.1	WP_129640575.1
OG0000000	MHP_UFV01_proteins	WP_148174330.1	WP_308705306.1
OG0000000	MHP_ES2_proteins	WP_148174330.1	WP_135618898.1
OG0000000	MHP_UFV02_proteins	WP_148174330.1	WP_243234982.1
OG0000000	MHP_MHP679_proteins	WP_148174330.1	WP_308704714.1, WP_258555731.1
OG0000000	MHP_MHP699_proteins	WP_148174330.1	WP_308506999.1, WP_258555731.1
OG0000000	MHP_ES2L_proteins	WP_148174330.1	WP_318036674.1
OG0000000	MHP_LH_proteins	WP_148174330.1	WP_318035154.1
OG0000000	MHP_MHP650_proteins	WP_148174330.1	WP_308704769.1
OG0000000	MHP_133A_proteins	WP_148174330.1	WP_148174330.1
OG0000000	MHP_7422_proteins	WP_148174330.1	WP_148174330.1
OG0000000	MHP_7448_proteins	WP_148174330.1	WP_148174330.1
OG0000000	MHP_ES2L_proteins	WP_258556712.1	WP_240536594.1
OG0000000	MHP_ES2_proteins	WP_258556712.1	WP_318026010.1
OG0000000	MHP_NCTC10127_proteins	WP_258556712.1	WP_129640577.1
OG0000000	MHP_LH_proteins	WP_258556712.1	WP_233688440.1
OG0000000	MHP_168L_proteins	WP_258556712.1	WP_044889040.1
OG0000000	MHP_11_proteins	WP_258556712.1	WP_088172539.1
OG0000000	MHP_232_proteins	WP_258556712.1	WP_011206262.1
OG0000000	MHP_116_proteins	WP_258556712.1	WP_348602524.1
OG0000000	MHP_7422_proteins	WP_258556712.1	WP_020835762.1
OG0000000	MHP_133A_proteins	WP_258556712.1	WP_404924228.1
OG0000000	MHP_7448_proteins	WP_258556712.1	WP_052269173.1
OG0000000	MHP_UFV01_proteins	WP_258556712.1	WP_052269173.1
OG0000000	MHP_F72C_proteins	WP_258556712.1	WP_225972977.1
OG0000000	MHP_MHP653_proteins	WP_258556712.1	WP_225972977.1
OG0000000	MHP_MHP650_proteins	WP_258556712.1	WP_258556712.1
OG0000000	MHP_1257_proteins	WP_404924561.1, WP_404924489.1	WP_348572099.1
OG0000000	MHP_116_proteins	WP_404924561.1, WP_404924489.1	WP_348602817.1
