Orthogroup	MHP_UFV02_proteins	MHP_112B_proteins
OG0000000	WP_243216234.1	WP_404913768.1
OG0000000	WP_243234976.1	WP_404913720.1
OG0000000	WP_308704548.1	WP_404912245.1
OG0000000	WP_094521686.1	WP_225973037.1
OG0000000	WP_243234982.1	WP_404913633.1
OG0000000	WP_243234964.1, WP_243234990.1	WP_404913746.1
OG0000001	WP_243216044.1	WP_404912312.1
OG0000001	WP_228365393.1	WP_404911958.1
OG0000001	WP_243234992.1	WP_011206342.1
OG0000002	WP_237697200.1	WP_225972974.1
OG0000002	WP_081430767.1	WP_146379587.1
OG0000002	WP_243216173.1	WP_404913718.1
OG0000003	WP_243216179.1	WP_225973026.1, WP_225973025.1
OG0000004	WP_243216334.1	WP_160585636.1
OG0000004	WP_243234995.1	WP_404912021.1
OG0000005	WP_233688595.1	WP_404912131.1
OG0000005	WP_243215923.1	WP_404912133.1
OG0000005	WP_243215926.1	WP_404912135.1
OG0000006	WP_228366101.1	WP_404911894.1
OG0000006	WP_243216200.1	WP_404911851.1
OG0000007	WP_243216178.1	WP_011284157.1
OG0000007	WP_243216175.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_404913724.1
OG0000008	WP_243216199.1	WP_404911847.1
OG0000008	WP_243234963.1	WP_404912369.1
OG0000008	WP_243216238.1	WP_404911900.1, WP_404911898.1
OG0000009	WP_011206100.1	WP_041361566.1
OG0000009	WP_243215989.1	WP_011290021.1
OG0000010	WP_243216127.1	WP_404911810.1
OG0000011	WP_160587900.1	WP_404911790.1
OG0000012	WP_243216349.1	WP_404912357.1, WP_404912238.1, WP_011284103.1
OG0000013	WP_243216215.1	WP_404911873.1
OG0000014	WP_243234957.1	WP_404912188.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000016	WP_243215935.1	WP_404912144.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_243216293.1	WP_020835837.1
OG0000020	WP_279288053.1	WP_404913691.1
OG0000021	WP_014579585.1	WP_160606951.1
OG0000022	WP_243216081.1	WP_404912375.1
OG0000022	WP_243216096.1	WP_404912386.1
OG0000024	WP_243216276.1	WP_160585259.1
OG0000024	WP_243216040.1	WP_404912310.1
OG0000025	WP_243216083.1	WP_404912377.1
OG0000025	WP_243216095.1	WP_404912384.1
OG0000026	WP_044284614.1	WP_192894288.1
OG0000026	WP_243216092.1	WP_160606777.1
OG0000027	WP_243215859.1	WP_404912049.1
OG0000027	WP_179221251.1	WP_404912055.1
OG0000029	WP_243234961.1	WP_404913726.1
OG0000029	WP_243215981.1	WP_404912190.1
OG0000030	WP_243215857.1	WP_240536353.1
OG0000030	WP_243215862.1	WP_404912053.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000032	WP_243215860.1	WP_404913680.1, WP_404913682.1
OG0000034	WP_243234977.1	WP_243234977.1
OG0000035	WP_179695901.1	WP_404912019.1
OG0000036	WP_011205863.1	WP_404912137.1
OG0000039	WP_179221095.1	WP_179221095.1
OG0000041	WP_243234958.1	WP_011290019.1
OG0000042	WP_243216302.1	WP_044272729.1
OG0000043	WP_243216144.1, WP_243216108.1	WP_014579804.1
OG0000044	WP_081430780.1	WP_081430780.1
