Orthogroup	MHP_98_genes	MHP_153B_genes
OG0000000	GOM18_RS02340	NB625_RS02335
OG0000000	GOM18_RS02460	NB625_RS02465
OG0000000	GOM18_RS03685	NB625_RS01725
OG0000001	GOM18_RS03240	NB625_RS01285, NB625_RS01280
OG0000001	GOM18_RS03125	NB625_RS02955
OG0000001	GOM18_RS04125	NB625_RS02910
OG0000002	GOM18_RS02350	NB625_RS02350
OG0000002	GOM18_RS02345	NB625_RS02340
OG0000002	GOM18_RS04550	NB625_RS01730
OG0000003	GOM18_RS03375, GOM18_RS03370	NB625_RS01830
OG0000004	GOM18_RS00895	NB625_RS03355
OG0000004	GOM18_RS00890	NB625_RS03360
OG0000004	GOM18_RS00880	NB625_RS03370
OG0000005	GOM18_RS03145	NB625_RS00100
OG0000005	GOM18_RS04540	NB625_RS00105
OG0000006	GOM18_RS01950	NB625_RS02650
OG0000006	GOM18_RS02495	NB625_RS02500
OG0000008	GOM18_RS02455	NB625_RS02460
OG0000008	GOM18_RS03975	NB625_RS02660
OG0000009	GOM18_RS00095	NB625_RS01020
OG0000009	GOM18_RS00665	NB625_RS00085
OG0000009	GOM18_RS00110	NB625_RS01005
OG0000010	GOM18_RS03360, GOM18_RS04460, GOM18_RS04060, GOM18_RS03805	NB625_RS01850
OG0000011	GOM18_RS03250	NB625_RS01950
OG0000012	GOM18_RS03340	NB625_RS01865
OG0000013	GOM18_RS02545	NB625_RS02545
OG0000013	GOM18_RS03935	NB625_RS00190
OG0000015	GOM18_RS00005	NB625_RS02065
OG0000015	GOM18_RS02565	NB625_RS01630, NB625_RS01580
OG0000016	GOM18_RS01215	NB625_RS02995
OG0000016	GOM18_RS01280	NB625_RS00175
OG0000017	GOM18_RS01265	NB625_RS00160
OG0000017	GOM18_RS01205	NB625_RS03005
OG0000018	GOM18_RS04240	NB625_RS02090
OG0000020	GOM18_RS03770, GOM18_RS03765	NB625_RS03695
OG0000021	GOM18_RS03345	NB625_RS01755
OG0000021	GOM18_RS03065	NB625_RS01760
OG0000022	GOM18_RS03040	NB625_RS01665
OG0000022	GOM18_RS04500	NB625_RS01720
OG0000023	GOM18_RS02835, GOM18_RS00025	NB625_RS01320
OG0000024	GOM18_RS03075	NB625_RS02905
OG0000024	GOM18_RS03225	NB625_RS01275
OG0000025	GOM18_RS04510	NB625_RS01670
OG0000025	GOM18_RS04505	NB625_RS01715
OG0000026	GOM18_RS02790	NB625_RS01365
OG0000026	GOM18_RS03010	NB625_RS01695
OG0000027	GOM18_RS04335	NB625_RS03505
OG0000028	GOM18_RS01870	NB625_RS02565
OG0000029	GOM18_RS01705	NB625_RS00600
OG0000029	GOM18_RS03580	NB625_RS01080
OG0000030	GOM18_RS04340	NB625_RS03495
OG0000031	GOM18_RS00085	NB625_RS02145
OG0000031	GOM18_RS03625	NB625_RS01605
OG0000032	GOM18_RS02560	NB625_RS01585
OG0000035	GOM18_RS00885	NB625_RS03365
OG0000036	GOM18_RS03585	NB625_RS00110, NB625_RS00130
OG0000037	GOM18_RS02550	NB625_RS01595
OG0000038	GOM18_RS03510	NB625_RS01745
OG0000038	GOM18_RS01605	NB625_RS00500
OG0000039	GOM18_RS03565	NB625_RS01615
OG0000040	GOM18_RS00810	NB625_RS03440
OG0000041	GOM18_RS00100	NB625_RS01015
OG0000041	GOM18_RS02975	NB625_RS01195
OG0000042	GOM18_RS01120	NB625_RS03095
OG0000043	GOM18_RS03285	NB625_RS01915
OG0000044	GOM18_RS04585	NB625_RS01680
OG0000045	GOM18_RS03555	NB625_RS01620
OG0000046	GOM18_RS03875	NB625_RS03445
OG0000047	GOM18_RS00015	NB625_RS02080
OG0000048	GOM18_RS02325	NB625_RS02195
OG0000049	GOM18_RS01035	NB625_RS03205
OG0000050	GOM18_RS01900	NB625_RS02595
OG0000051	GOM18_RS02100	NB625_RS02810
OG0000052	GOM18_RS00655	NB625_RS00075
OG0000053	GOM18_RS04480	NB625_RS01450, NB625_RS01455
OG0000054	GOM18_RS01925	NB625_RS02620
OG0000055	GOM18_RS01245	NB625_RS00135
OG0000056	GOM18_RS00495	NB625_RS03680
OG0000057	GOM18_RS01135	NB625_RS03080
OG0000058	GOM18_RS00090	NB625_RS02155
OG0000059	GOM18_RS03660	NB625_RS02135, NB625_RS02125
OG0000060	GOM18_RS03800	NB625_RS00080
OG0000061	GOM18_RS03350	NB625_RS01860
OG0000062	GOM18_RS00545	NB625_RS03725
OG0000063	GOM18_RS04295	NB625_RS03720
OG0000064	GOM18_RS00530	NB625_RS03710
OG0000065	GOM18_RS02395	NB625_RS02395
OG0000066	GOM18_RS02800	NB625_RS01355
OG0000067	GOM18_RS01630	NB625_RS00525
OG0000068	GOM18_RS03445	NB625_RS01040
OG0000069	GOM18_RS01240, GOM18_RS03140	NB625_RS02975
OG0000070	GOM18_RS01930	NB625_RS02625
OG0000071	GOM18_RS00820	NB625_RS03430
OG0000072	GOM18_RS04355	NB625_RS03435
OG0000073	GOM18_RS00135	NB625_RS00980
OG0000074	GOM18_RS04260	NB625_RS00780
OG0000075	GOM18_RS01450	NB625_RS00345
OG0000076	GOM18_RS01465	NB625_RS00360
OG0000077	GOM18_RS01550	NB625_RS00445
OG0000078	GOM18_RS03020	NB625_RS01685
OG0000079	GOM18_RS02005	NB625_RS02710
OG0000080	GOM18_RS03980	NB625_RS02760
OG0000081	GOM18_RS01445	NB625_RS00340
OG0000082	GOM18_RS02535	NB625_RS02540
OG0000083	GOM18_RS02245	NB625_RS02020
OG0000084	GOM18_RS02275	NB625_RS02050
OG0000085	GOM18_RS02280	NB625_RS02055
OG0000086	GOM18_RS02290	NB625_RS02160
OG0000087	GOM18_RS02305	NB625_RS02175
OG0000088	GOM18_RS02310	NB625_RS02180
OG0000089	GOM18_RS02320	NB625_RS02190
OG0000090	GOM18_RS00650	NB625_RS00070
OG0000091	GOM18_RS00635	NB625_RS00055
OG0000092	GOM18_RS00620	NB625_RS00040
OG0000093	GOM18_RS00615	NB625_RS00035
OG0000094	GOM18_RS00610	NB625_RS00030
OG0000095	GOM18_RS00585	NB625_RS00005
OG0000096	GOM18_RS00580	NB625_RS03760
OG0000097	GOM18_RS00560	NB625_RS03740
OG0000098	GOM18_RS00550	NB625_RS03730
OG0000099	GOM18_RS04285	NB625_RS03685
OG0000100	GOM18_RS00485	NB625_RS03675
OG0000101	GOM18_RS00480	NB625_RS03665
OG0000102	GOM18_RS02995	NB625_RS01710
OG0000103	GOM18_RS02360	NB625_RS02360
OG0000104	GOM18_RS02365	NB625_RS02365
OG0000105	GOM18_RS02380	NB625_RS02380
OG0000106	GOM18_RS02390	NB625_RS02390
OG0000107	GOM18_RS02400	NB625_RS02400
OG0000108	GOM18_RS02405	NB625_RS02405
OG0000109	GOM18_RS02410	NB625_RS02410
OG0000110	GOM18_RS02525	NB625_RS02530
OG0000111	GOM18_RS02520	NB625_RS02525
OG0000112	GOM18_RS02510	NB625_RS02515
OG0000113	GOM18_RS02490	NB625_RS02495
OG0000114	GOM18_RS02480	NB625_RS02485
OG0000115	GOM18_RS02470	NB625_RS02475
OG0000116	GOM18_RS02855	NB625_RS01300
OG0000117	GOM18_RS02850	NB625_RS01305
OG0000118	GOM18_RS02815	NB625_RS01340
OG0000119	GOM18_RS02810	NB625_RS01345
OG0000120	GOM18_RS02795	NB625_RS01360
OG0000121	GOM18_RS02775	NB625_RS01385
OG0000122	GOM18_RS02770	NB625_RS01390
OG0000123	GOM18_RS02750	NB625_RS01410
OG0000124	GOM18_RS02745	NB625_RS01415
OG0000125	GOM18_RS02740	NB625_RS01420
OG0000126	GOM18_RS02730	NB625_RS01430
OG0000127	GOM18_RS02720	NB625_RS01440
OG0000128	GOM18_RS02705	NB625_RS01460
OG0000129	GOM18_RS02700	NB625_RS01465
OG0000130	GOM18_RS02690	NB625_RS01475
OG0000131	GOM18_RS04475	NB625_RS01505
OG0000132	GOM18_RS04470	NB625_RS01520
OG0000133	GOM18_RS01635	NB625_RS00530
OG0000134	GOM18_RS01640	NB625_RS00535
OG0000135	GOM18_RS01655	NB625_RS00550
OG0000136	GOM18_RS01660	NB625_RS00555
OG0000137	GOM18_RS01690	NB625_RS00595
OG0000138	GOM18_RS03470	NB625_RS01065
OG0000139	GOM18_RS03440	NB625_RS01035
OG0000140	GOM18_RS03435	NB625_RS01030
