Orthogroup	MHP_MHP709_genes	MHP_133A_genes
OG0000000	DR088_RS03530	NB626_RS02350
OG0000000	DR088_RS03470	NB626_RS02275
OG0000000	DR088_RS03495	NB626_RS01845, NB626_RS02250
OG0000000	DR088_RS04105	NB626_RS01835
OG0000000	DR088_RS04100	NB626_RS01850
OG0000001	DR088_RS00985	NB626_RS02980
OG0000001	DR088_RS03730	NB626_RS02930
OG0000002	DR088_RS04280	NB626_RS02360
OG0000002	DR088_RS03525	NB626_RS02355
OG0000002	DR088_RS03455	NB626_RS02280
OG0000002	DR088_RS04510	NB626_RS01855
OG0000003	DR088_RS03645	NB626_RS01965
OG0000004	DR088_RS01540	NB626_RS03385
OG0000004	DR088_RS03400	NB626_RS03400
OG0000004	DR088_RS00350	NB626_RS03200
OG0000005	DR088_RS01950	NB626_RS00100
OG0000005	DR088_RS04585	NB626_RS00120
OG0000005	DR088_RS03545	NB626_RS00110
OG0000005	DR088_RS04590	NB626_RS00125
OG0000006	DR088_RS03035	NB626_RS02680, NB626_RS02685
OG0000006	DR088_RS02425	NB626_RS02520
OG0000006	DR088_RS04190	NB626_RS02515
OG0000007	DR088_RS03260	NB626_RS02340
OG0000007	DR088_RS03265	NB626_RS02320
OG0000008	DR088_RS03690	NB626_RS01750
OG0000008	DR088_RS04285	NB626_RS02690
OG0000009	DR088_RS01935	NB626_RS00085
OG0000009	DR088_RS02850	NB626_RS00780
OG0000010	DR088_RS00450	NB626_RS01975
OG0000011	DR088_RS00560	NB626_RS02080
OG0000012	DR088_RS03650	NB626_RS01310, NB626_RS01990
OG0000013	DR088_RS02380	NB626_RS02565
OG0000013	DR088_RS03910	NB626_RS00185
OG0000014	DR088_RS00785	NB626_RS01210
OG0000014	DR088_RS04355	NB626_RS00705
OG0000016	DR088_RS01355	NB626_RS00170
OG0000017	DR088_RS01370	NB626_RS00155
OG0000017	DR088_RS00265	NB626_RS03035
OG0000018	DR088_RS04550	NB626_RS01440, NB626_RS00480
OG0000019	DR088_RS04255	NB626_RS03205, NB626_RS03215, NB626_RS03225
OG0000020	DR088_RS04470	NB626_RS03760
OG0000021	DR088_RS00360	NB626_RS01895, NB626_RS00610, NB626_RS00605
OG0000022	DR088_RS02355	NB626_RS01775
OG0000022	DR088_RS04515	NB626_RS01830
OG0000023	DR088_RS02595	NB626_RS01435, NB626_RS00490
OG0000024	DR088_RS00160	NB626_RS02925
OG0000024	DR088_RS00975	NB626_RS01390
OG0000025	DR088_RS04520	NB626_RS01780
OG0000025	DR088_RS02305	NB626_RS01825
OG0000026	DR088_RS02640	NB626_RS01480
OG0000026	DR088_RS02325	NB626_RS01805
OG0000027	DR088_RS04450	NB626_RS03540
OG0000027	DR088_RS04500	NB626_RS03555
OG0000028	DR088_RS04565	NB626_RS02595
OG0000029	DR088_RS01545	NB626_RS01205
OG0000029	DR088_RS00770	NB626_RS00710
OG0000030	DR088_RS04445	NB626_RS03530
OG0000030	DR088_RS04505	NB626_RS03550
OG0000031	DR088_RS03335	NB626_RS00435, NB626_RS01710
OG0000032	DR088_RS03370	NB626_RS01690
