# BUSCO version is: 5.8.0 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2024-01-08, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
17at2085	Complete	NZ_WTQC01000002.1	33725	37963	+	1920.6	1289	https://v10-1.orthodb.org/?query=17at2085	DNA-directed RNA polymerase subunit beta'
53at2085	Complete	NZ_WTQC01000002.1	30005	33667	+	1723.0	1198	https://v10-1.orthodb.org/?query=53at2085	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
56at2085	Complete	NZ_WTQC01000002.1	133914	138320	+	1371.7	1032	https://v10-1.orthodb.org/?query=56at2085	DNA polymerase III PolC-type
78at2085	Complete	NZ_WTQC01000001.1	89302	92241	+	939.0	777	https://v10-1.orthodb.org/?query=78at2085	SMCs flexible hinge
111at2085	Complete	NZ_WTQC01000003.1	87132	84289	-	1168.2	770	https://v10-1.orthodb.org/?query=111at2085	UvrABC system protein A
118at2085	Complete	NZ_WTQC01000005.1	65759	63867	-	256.0	336	https://v10-1.orthodb.org/?query=118at2085	Domain of unknown functionDUF2779
147at2085	Complete	NZ_WTQC01000002.1	146069	148681	+	647.2	456	https://v10-1.orthodb.org/?query=147at2085	Lon protease
148at2085	Complete	NZ_WTQC01000003.1	66168	64084	-	1036.6	579	https://v10-1.orthodb.org/?query=148at2085	Elongation factor G
157at2085	Complete	NZ_WTQC01000003.1	8027	5367	-	770.4	627	https://v10-1.orthodb.org/?query=157at2085	Isoleucine--tRNA ligase
163at2085	Complete	NZ_WTQC01000007.1	2695	5346	+	822.0	620	https://v10-1.orthodb.org/?query=163at2085	Alanine--tRNA ligase
218at2085	Complete	NZ_WTQC01000005.1	58461	60722	+	435.3	494	https://v10-1.orthodb.org/?query=218at2085	DNA helicase
244at2085	Complete	NZ_WTQC01000006.1	10378	12288	+	552.5	463	https://v10-1.orthodb.org/?query=244at2085	DNA topoisomerase I, type IA
406at2085	Complete	NZ_WTQC01000003.1	89596	87125	-	675.6	488	https://v10-1.orthodb.org/?query=406at2085	Ribonuclease J
462at2085	Complete	NZ_WTQC01000001.1	79127	76755	-	736.4	609	https://v10-1.orthodb.org/?query=462at2085	Leucine--tRNA ligase
482at2085	Complete	NZ_WTQC01000003.1	17857	15773	-	508.8	501	https://v10-1.orthodb.org/?query=482at2085	Ribonuclease R
492at2085	Complete	NZ_WTQC01000003.1	55187	56989	+	834.8	490	https://v10-1.orthodb.org/?query=492at2085	Chaperone protein DnaK
501at2085	Complete	NZ_WTQC01000003.1	60953	62749	+	822.7	526	https://v10-1.orthodb.org/?query=501at2085	Elongation factor 4
533at2085	Complete	NZ_WTQC01000001.1	131787	133646	+	789.2	515	https://v10-1.orthodb.org/?query=533at2085	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
534at2085	Complete	NZ_WTQC01000001.1	120224	122692	+	869.8	665	https://v10-1.orthodb.org/?query=534at2085	Valine--tRNA ligase
539at2085	Complete	NZ_WTQC01000002.1	72527	74266	+	814.2	541	https://v10-1.orthodb.org/?query=539at2085	Threonine--tRNA ligase
543at2085	Complete	NZ_WTQC01000002.1	82830	85775	+	596.8	530	https://v10-1.orthodb.org/?query=543at2085	DNA-directed DNA polymerase
584at2085	Complete	NZ_WTQC01000006.1	45751	43598	-	360.3	290	https://v10-1.orthodb.org/?query=584at2085	DNA polymerase III subunit gamma/tau
697at2085	Complete	NZ_WTQC01000002.1	66853	65336	-	554.6	421	https://v10-1.orthodb.org/?query=697at2085	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
