	MYF_RS00005			
	seqID	strand	start	end
MYF_RS00005	IDMs42	+	1	1392
seqID	MYF_RS00010			
IDMs42	seqID	strand	start	end
MYF_RS00010	IDMs42	+	1592	2680
seqID	MYF_RS00015			
IDMs42	seqID	strand	start	end
MYF_RS00015	IDMs42	+	2791	4650
seqID	MYF_RS00020			
IDMs42	seqID	strand	start	end
MYF_RS00020	IDMs42	+	4650	5108
seqID	MYF_RS00025			
IDMs42	seqID	strand	start	end
MYF_RS00025	IDMs42	+	5122	6129
seqID	MYF_RS00030			
IDMs42	seqID	strand	start	end
MYF_RS00030	IDMs42	+	6116	7090
seqID	MYF_RS00035			
IDMs42	seqID	strand	start	end
MYF_RS00035	IDMs42	+	7206	7775
seqID	MYF_RS00040			
IDMs42	seqID	strand	start	end
MYF_RS00040	IDMs42	+	7860	8861
seqID	MYF_RS00045			
IDMs42	seqID	strand	start	end
MYF_RS00045	IDMs42	+	9000	11021
seqID	MYF_RS00050			
IDMs42	seqID	strand	start	end
MYF_RS00050	IDMs42	+	11127	12134
seqID	MYF_RS00055			
IDMs42	seqID	strand	start	end
MYF_RS00055	IDMs42	+	12137	12892
seqID	MYF_RS00060			
IDMs42	seqID	strand	start	end
MYF_RS00060	IDMs42	+	12876	14480
seqID	MYF_RS00065			
IDMs42	seqID	strand	start	end
MYF_RS00065	IDMs42	+	14484	14729
seqID	MYF_RS00070			
IDMs42	seqID	strand	start	end
MYF_RS00070	IDMs42	+	14759	15622
seqID	MYF_RS00075			
IDMs42	seqID	strand	start	end
MYF_RS00075	IDMs42	+	15629	16501
seqID	MYF_RS03395			
IDMs42	seqID	strand	start	end
MYF_RS03395	IDMs42	+	17281	17469
seqID	MYF_RS03525			
IDMs42	seqID	strand	start	end
MYF_RS03525	IDMs42	+	17466	17537
seqID	MYF_RS00085			
IDMs42	seqID	strand	start	end
MYF_RS00085	IDMs42	+	17720	18013
seqID	MYF_RS00090			
IDMs42	seqID	strand	start	end
MYF_RS00090	IDMs42	+	18006	19325
seqID	MYF_RS00095			
IDMs42	seqID	strand	start	end
MYF_RS00095	IDMs42	+	19318	20715
seqID	MYF_RS00100			
IDMs42	seqID	strand	start	end
MYF_RS00100	IDMs42	+	20787	21149
seqID	MYF_RS00105			
IDMs42	seqID	strand	start	end
MYF_RS00105	IDMs42	+	21142	22473
seqID	MYF_RS00110			
IDMs42	seqID	strand	start	end
MYF_RS00110	IDMs42	+	22493	23494
seqID	MYF_RS03155			
IDMs42	seqID	strand	start	end
MYF_RS03155	IDMs42	+	23787	24239
seqID	MYF_RS00120			
IDMs42	seqID	strand	start	end
MYF_RS00120	IDMs42	+	24331	24945
seqID	MYF_RS00125			
IDMs42	seqID	strand	start	end
MYF_RS00125	IDMs42	+	24917	27577
seqID	MYF_RS00130			
IDMs42	seqID	strand	start	end
MYF_RS00130	IDMs42	+	27580	30132
seqID	MYF_RS00135			
IDMs42	seqID	strand	start	end
MYF_RS00135	IDMs42	+	30125	32050
seqID	MYF_RS00140			
IDMs42	seqID	strand	start	end
MYF_RS00140	IDMs42	+	32252	33262
seqID	MYF_RS03400			
IDMs42	seqID	strand	start	end
MYF_RS03400	IDMs42	+	33332	35200
seqID	MYF_RS00150			
IDMs42	seqID	strand	start	end
MYF_RS00150	IDMs42	+	35249	37333
seqID	MYF_RS00155			
IDMs42	seqID	strand	start	end
MYF_RS00155	IDMs42	+	37341	37574
seqID	MYF_RS00160			
IDMs42	seqID	strand	start	end
MYF_RS00160	IDMs42	+	37637	39097
seqID	MYF_RS00165			
IDMs42	seqID	strand	start	end
MYF_RS00165	IDMs42	+	39186	40199
seqID	MYF_RS00170			
IDMs42	seqID	strand	start	end
MYF_RS00170	IDMs42	+	40453	41175
seqID	MYF_RS00175			
IDMs42	seqID	strand	start	end
MYF_RS00175	IDMs42	+	41177	42436
seqID	MYF_RS00180			
IDMs42	seqID	strand	start	end
MYF_RS00180	IDMs42	+	42505	42867
seqID	MYF_RS00185			
IDMs42	seqID	strand	start	end
MYF_RS00185	IDMs42	+	42871	43746
seqID	MYF_RS03405			
IDMs42	seqID	strand	start	end
MYF_RS03405	IDMs42	+	43813	44079
seqID	MYF_RS00190			
IDMs42	seqID	strand	start	end
MYF_RS00190	IDMs42	+	44081	44506
seqID	MYF_RS00195			
IDMs42	seqID	strand	start	end
MYF_RS00195	IDMs42	+	44551	45708
seqID	MYF_RS00205			
IDMs42	seqID	strand	start	end
MYF_RS00205	IDMs42	+	46132	46860
seqID	MYF_RS00210			
IDMs42	seqID	strand	start	end
MYF_RS00210	IDMs42	+	46885	47193
seqID	MYF_RS00215			
IDMs42	seqID	strand	start	end
MYF_RS00215	IDMs42	+	47227	47766
seqID	MYF_RS00220			
IDMs42	seqID	strand	start	end
MYF_RS00220	IDMs42	+	47794	48357
seqID	MYF_RS00225			
IDMs42	seqID	strand	start	end
MYF_RS00225	IDMs42	+	48373	49896
seqID	MYF_RS00230			
IDMs42	seqID	strand	start	end
MYF_RS00230	IDMs42	+	49925	50755
seqID	MYF_RS00235			
IDMs42	seqID	strand	start	end
MYF_RS00235	IDMs42	+	50775	52190
seqID	MYF_RS00240			
IDMs42	seqID	strand	start	end
MYF_RS00240	IDMs42	+	52177	52437
seqID	MYF_RS00245			
IDMs42	seqID	strand	start	end
MYF_RS00245	IDMs42	+	52543	53028
seqID	MYF_RS00250			
IDMs42	seqID	strand	start	end
MYF_RS00250	IDMs42	+	53266	54261
seqID	MYF_RS00255			
IDMs42	seqID	strand	start	end
MYF_RS00255	IDMs42	+	54264	55199
seqID	MYF_RS00260			
IDMs42	seqID	strand	start	end
MYF_RS00260	IDMs42	+	55264	56586
seqID	MYF_RS00265			
IDMs42	seqID	strand	start	end
MYF_RS00265	IDMs42	+	56614	57981
seqID	MYF_RS00270			
IDMs42	seqID	strand	start	end
MYF_RS00270	IDMs42	+	57947	59809
seqID	MYF_RS00275			
IDMs42	seqID	strand	start	end
MYF_RS00275	IDMs42	+	59809	61884
seqID	MYF_RS00280			
IDMs42	seqID	strand	start	end
MYF_RS00280	IDMs42	+	61888	62661
seqID	MYF_RS00285			
IDMs42	seqID	strand	start	end
MYF_RS00285	IDMs42	+	62655	63485
seqID	MYF_RS00290			
IDMs42	seqID	strand	start	end
MYF_RS00290	IDMs42	+	63504	64748
seqID	MYF_RS00295			
IDMs42	seqID	strand	start	end
MYF_RS00295	IDMs42	+	64810	69567
seqID	MYF_RS00300			
IDMs42	seqID	strand	start	end
MYF_RS00300	IDMs42	+	69680	72565
seqID	MYF_RS00305			
IDMs42	seqID	strand	start	end
MYF_RS00305	IDMs42	+	72585	74138
seqID	MYF_RS00310			
IDMs42	seqID	strand	start	end
MYF_RS00310	IDMs42	+	74255	74563
seqID	MYF_RS00315			
IDMs42	seqID	strand	start	end
MYF_RS00315	IDMs42	+	74754	76556
seqID	MYF_RS00320			
IDMs42	seqID	strand	start	end
MYF_RS00320	IDMs42	+	76744	77874
seqID	MYF_RS00325			
IDMs42	seqID	strand	start	end
MYF_RS00325	IDMs42	+	77935	78618
seqID	MYF_RS00330			
IDMs42	seqID	strand	start	end
MYF_RS00330	IDMs42	+	78643	79956
seqID	MYF_RS00335			
IDMs42	seqID	strand	start	end
MYF_RS00335	IDMs42	+	79996	80268
seqID	MYF_RS00340			
IDMs42	seqID	strand	start	end
MYF_RS00340	IDMs42	+	80280	80510
seqID	MYF_RS00345			
IDMs42	seqID	strand	start	end
MYF_RS00345	IDMs42	+	80511	82307
seqID	MYF_RS00350			
IDMs42	seqID	strand	start	end
MYF_RS00350	IDMs42	+	82372	83343
seqID	MYF_RS00355			
IDMs42	seqID	strand	start	end
MYF_RS00355	IDMs42	+	83690	85774
seqID	MYF_RS00360			
IDMs42	seqID	strand	start	end
MYF_RS00360	IDMs42	+	85787	86257
seqID	MYF_RS00365			
IDMs42	seqID	strand	start	end
MYF_RS00365	IDMs42	+	86301	86726
seqID	MYF_RS00370			
IDMs42	seqID	strand	start	end
MYF_RS00370	IDMs42	+	86859	87239
seqID	MYF_RS00375			
IDMs42	seqID	strand	start	end
MYF_RS00375	IDMs42	+	87232	87756
seqID	MYF_RS00380			
IDMs42	seqID	strand	start	end
MYF_RS00380	IDMs42	+	87747	88247
seqID	MYF_RS00385			
IDMs42	seqID	strand	start	end
MYF_RS00385	IDMs42	+	88806	90164
seqID	MYF_RS00390			
IDMs42	seqID	strand	start	end
MYF_RS00390	IDMs42	+	90341	91714
seqID	MYF_RS00395			
IDMs42	seqID	strand	start	end
MYF_RS00395	IDMs42	+	91786	93069
seqID	MYF_RS00400			
IDMs42	seqID	strand	start	end
MYF_RS00400	IDMs42	+	93071	93769
seqID	MYF_RS00410			
IDMs42	seqID	strand	start	end
MYF_RS00410	IDMs42	+	94435	97434
seqID	MYF_RS00415			
IDMs42	seqID	strand	start	end
MYF_RS00415	IDMs42	+	97668	97949
seqID	MYF_RS00420			
IDMs42	seqID	strand	start	end
