Orthogroup	MFC_Ms42_proteins	MHP_KM014_proteins
OG0000000	WP_039387598.1	WP_039387598.1
OG0000000	WP_318023901.1	WP_157696719.1
OG0000001	WP_002557631.1	WP_094521767.1, WP_011206352.1, WP_094521729.1
OG0000002	WP_002557507.1	WP_011284160.1, WP_011206235.1
OG0000002	WP_002557503.1	WP_094521652.1
OG0000004	WP_236681778.1, WP_236681779.1	WP_094521753.1
OG0000007	WP_002557994.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000011	WP_039387561.1	WP_094521774.1, WP_094521674.1
OG0000014	WP_002557587.1	WP_094521578.1, WP_094521602.1
OG0000015	WP_039387716.1	WP_094521488.1
OG0000016	WP_002557621.1	WP_094521736.1
OG0000017	WP_002557881.1	WP_020835500.1
OG0000017	WP_144245598.1	WP_020835837.1
OG0000018	WP_002557538.1	WP_094521567.1, WP_094521560.1
OG0000019	WP_039387667.1	WP_094521748.1, WP_094521749.1
OG0000020	WP_002557490.1	WP_094521756.1
OG0000022	WP_002557501.1	WP_094521650.1
OG0000023	WP_002557747.1	WP_094521566.1, WP_094521562.1
OG0000024	WP_236681781.1	WP_094521619.1
OG0000025	WP_002557500.1	WP_094521649.1
OG0000026	WP_002557545.1	WP_094521646.1
OG0000027	WP_002557970.1	WP_094521515.1
OG0000028	WP_002557653.1, WP_040538377.1	WP_094521713.1
OG0000030	WP_002557971.1	WP_020835904.1
OG0000031	WP_002557676.1	WP_088172525.1, WP_011290238.1
OG0000037	WP_082019631.1	WP_094521640.1
OG0000039	WP_160609261.1, WP_002557597.1	WP_094521643.1
OG0000042	WP_002557596.1, WP_002557628.1	WP_094521741.1
OG0000043	WP_002557679.1	WP_011290239.1
OG0000045	WP_002557601.1	WP_094521771.1
OG0000047	WP_155897261.1	WP_094521491.1
OG0000048	WP_039387763.1	WP_011284150.1
OG0000051	WP_002557852.1	WP_094521726.1
OG0000052	WP_002557464.1	WP_094521536.1
OG0000053	WP_002557561.1	WP_094521633.1
OG0000054	WP_002557665.1	WP_011206291.1
OG0000055	WP_002557874.1, WP_323749063.1	WP_011205867.1
OG0000056	WP_081605276.1	WP_157696708.1, WP_157696707.1
OG0000057	WP_231237864.1	WP_094521783.1
OG0000062	WP_002557486.1	WP_094521530.1
OG0000063	WP_002557487.1	WP_094521529.1
OG0000064	WP_002557489.1	WP_011290440.1
OG0000065	WP_002557517.1	WP_011290219.1
OG0000067	WP_002557573.1	WP_094521575.1
OG0000068	WP_002557593.1	WP_011206103.1
OG0000069	WP_002557626.1	WP_011206373.1
OG0000070	WP_002557663.1	WP_011206292.1
OG0000071	WP_002557736.1	WP_094521512.1
OG0000072	WP_002557737.1	WP_094521513.1
OG0000073	WP_039387630.1	WP_011206093.1
OG0000075	WP_002557918.1	WP_094521552.1
OG0000077	WP_002557937.1	WP_094521763.1
OG0000078	WP_002557996.1	WP_094521645.1
OG0000079	WP_002558020.1	WP_011206305.1
OG0000080	WP_002558011.1, WP_196792423.1	WP_014579900.1
OG0000081	WP_039387493.1	WP_094521551.1
OG0000082	WP_231237888.1	WP_094521707.1
OG0000083	WP_002557446.1	WP_094521681.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000086	WP_002557454.1	WP_094521683.1
OG0000087	WP_236681783.1	WP_094521684.1
OG0000088	WP_002557458.1	WP_044272480.1
OG0000089	WP_002557461.1	WP_011206231.1
OG0000090	WP_002557465.1	WP_094521535.1
OG0000091	WP_002557468.1	WP_020835487.1
OG0000092	WP_002557471.1	WP_011205847.1
OG0000093	WP_002557472.1	WP_011205846.1
OG0000094	WP_002557473.1	WP_014579519.1
OG0000095	WP_002557479.1	WP_094521532.1
OG0000096	WP_002557480.1	WP_011206529.1
OG0000097	WP_002557483.1	WP_094521757.1
OG0000100	WP_002557496.1	WP_094521527.1
OG0000101	WP_002557497.1	WP_011206510.1
OG0000102	WP_002557499.1	WP_094521648.1
OG0000103	WP_002557509.1	WP_011206238.1
OG0000104	WP_002557510.1	WP_011206239.1
OG0000105	WP_002557514.1	WP_094521691.1
OG0000106	WP_002557516.1	WP_011290218.1
OG0000107	WP_002557518.1	WP_011284169.1
OG0000108	WP_002557519.1	WP_014579827.1
OG0000109	WP_002557520.1	WP_094521692.1
OG0000110	WP_002557522.1	WP_094521705.1
OG0000111	WP_002557523.1	WP_094521704.1
OG0000112	WP_002557525.1	WP_094521703.1
OG0000113	WP_002557528.1	WP_094521701.1
OG0000114	WP_002557530.1	WP_094521777.1
OG0000115	WP_002557532.1	WP_094521698.1
OG0000116	WP_002557534.1	WP_094521621.1
OG0000117	WP_002557535.1	WP_094521622.1
OG0000118	WP_002557540.1	WP_094521624.1
OG0000119	WP_002557541.1	WP_094521625.1
OG0000120	WP_002557544.1	WP_011284027.1
OG0000121	WP_002557548.1	WP_011205959.1
OG0000122	WP_002557549.1	WP_094521627.1
OG0000123	WP_002557553.1	WP_011205954.1
OG0000124	WP_002557554.1	WP_011290118.1
OG0000125	WP_002557555.1	WP_011205952.1
OG0000126	WP_002557557.1	WP_094521629.1
OG0000127	WP_002557559.1	WP_094521631.1
OG0000128	WP_002557562.1	WP_094521634.1
OG0000129	WP_002557563.1	WP_014579732.1
OG0000130	WP_002557565.1	WP_011284046.1
OG0000131	WP_002557566.1	WP_094521635.1
OG0000132	WP_002557569.1	WP_094521636.1
OG0000133	WP_002557574.1	WP_094521764.1
OG0000134	WP_002557575.1	WP_094521765.1
OG0000135	WP_002557577.1	WP_011206120.1
OG0000136	WP_002557578.1	WP_094521576.1
OG0000137	WP_002557585.1	WP_011206113.1
OG0000138	WP_002557590.1	WP_011206106.1
OG0000139	WP_002557594.1	WP_011206102.1
OG0000140	WP_002557595.1	WP_011206101.1
OG0000141	WP_002557602.1	WP_011290345.1
OG0000142	WP_002557603.1	WP_094521740.1
OG0000143	WP_002557607.1	WP_011206391.1
OG0000144	WP_002557609.1	WP_094521739.1
OG0000145	WP_002557611.1	WP_011290337.1
OG0000146	WP_002557613.1	WP_011206385.1
OG0000147	WP_002557614.1	WP_011206384.1
OG0000148	WP_002557618.1	WP_094521737.1
OG0000149	WP_002557620.1	WP_011206379.1
OG0000150	WP_002557623.1	WP_011206376.1
OG0000151	WP_002557634.1	WP_094521732.1
OG0000152	WP_002557635.1	WP_094521731.1
OG0000153	WP_002557636.1	WP_011206347.1
OG0000154	WP_002557638.1	WP_094521730.1
OG0000155	WP_002557642.1	WP_020835820.1
OG0000156	WP_002557647.1	WP_011206335.1
OG0000157	WP_002557648.1	WP_011206334.1
OG0000158	WP_002557650.1	WP_094521727.1
OG0000159	WP_002557667.1	WP_011206289.1
OG0000160	WP_002557668.1	WP_081430769.1
OG0000161	WP_002557669.1	WP_011206287.1
OG0000163	WP_002557672.1	WP_094521716.1
OG0000164	WP_002557677.1	WP_094521642.1
OG0000165	WP_002557684.1	WP_011206200.1
OG0000166	WP_002557689.1	WP_094521676.1
OG0000167	WP_002557692.1	WP_011206207.1
OG0000168	WP_002557693.1	WP_044284793.1
OG0000169	WP_002557698.1	WP_094521497.1
OG0000171	WP_002557706.1	WP_011206422.1
OG0000172	WP_002557707.1	WP_011206424.1
OG0000173	WP_002557708.1	WP_094521499.1
OG0000174	WP_002557709.1	WP_094521500.1
OG0000175	WP_002557712.1	WP_094521754.1
OG0000176	WP_002557719.1	WP_094521505.1
OG0000177	WP_039387687.1	WP_094521506.1
OG0000178	WP_002557721.1	WP_020835878.1
OG0000179	WP_002557724.1	WP_014579979.1
OG0000180	WP_002557725.1	WP_011206445.1
OG0000181	WP_039387691.1	WP_020835888.1
OG0000182	WP_002557729.1	WP_011206453.1
OG0000183	WP_002557735.1	WP_011206459.1
OG0000184	WP_002557740.1	WP_011206468.1
OG0000185	WP_002557743.1	WP_094521514.1
OG0000186	WP_002557750.1	WP_094521637.1
OG0000187	WP_002557753.1	WP_011284055.1
OG0000188	WP_002557755.1	WP_011205932.1
OG0000189	WP_039387623.1	WP_094521695.1
OG0000190	WP_002557757.1	WP_011206256.1
OG0000191	WP_002557761.1	WP_011290223.1
OG0000192	WP_002557763.1	WP_011205992.1
OG0000193	WP_002557766.1	WP_094521610.1
OG0000194	WP_002557768.1	WP_094521582.1
OG0000195	WP_002557769.1	WP_094521583.1
OG0000196	WP_002557774.1	WP_094521584.1
OG0000197	WP_002557775.1	WP_041361572.1
OG0000198	WP_002557778.1	WP_011283930.1
OG0000199	WP_002557779.1	WP_011206086.1
OG0000200	WP_002557781.1	WP_094521587.1
OG0000201	WP_002557783.1	WP_094521588.1
OG0000202	WP_002557791.1	WP_011283943.1
OG0000203	WP_002557792.1	WP_094521591.1
OG0000204	WP_002557793.1	WP_014579633.1
OG0000205	WP_002557794.1	WP_094521592.1
OG0000206	WP_002557798.1	WP_011290044.1
OG0000207	WP_002557801.1	WP_094521594.1
OG0000208	WP_002557802.1	WP_011290046.1
OG0000209	WP_002557803.1	WP_011206061.1
OG0000210	WP_002557811.1	WP_094521596.1
OG0000211	WP_002557813.1	WP_011206050.1
OG0000212	WP_002557815.1	WP_011206048.1
OG0000213	WP_002557816.1	WP_011283963.1
OG0000214	WP_002557817.1	WP_011206047.1
OG0000215	WP_002557818.1	WP_011206046.1
OG0000216	WP_002557819.1	WP_011283965.1
OG0000217	WP_002557820.1	WP_011206044.1
OG0000218	WP_002557822.1	WP_094521597.1
OG0000219	WP_002557823.1	WP_051129924.1
OG0000220	WP_002557824.1	WP_011206040.1
OG0000221	WP_002557825.1	WP_011206039.1
OG0000222	WP_002557826.1	WP_011206038.1
OG0000223	WP_002557827.1	WP_041361589.1
OG0000225	WP_002557831.1	WP_094521598.1
OG0000226	WP_002557832.1	WP_011206032.1
OG0000227	WP_002557833.1	WP_011206031.1
OG0000228	WP_002557834.1	WP_094521599.1
OG0000229	WP_002557835.1	WP_011206028.1
OG0000230	WP_002557836.1	WP_014579605.1
OG0000231	WP_002557838.1	WP_011206025.1
OG0000232	WP_002557840.1	WP_014579601.1
OG0000233	WP_002557842.1	WP_011290071.1
OG0000234	WP_002557848.1	WP_044284822.1
OG0000235	WP_002557850.1	WP_094521605.1
OG0000236	WP_002557851.1	WP_011283989.1
OG0000237	WP_002557855.1	WP_094521606.1
OG0000238	WP_002557856.1	WP_011206006.1
OG0000239	WP_002557863.1	WP_011206399.1
OG0000240	WP_002557864.1	WP_011206400.1
OG0000241	WP_002557866.1	WP_011206402.1
OG0000242	WP_002557867.1	WP_094521742.1
OG0000243	WP_002557868.1	WP_014579955.1
OG0000244	WP_002557870.1	WP_094521744.1
OG0000245	WP_002557872.1	WP_011206408.1
OG0000246	WP_002557875.1	WP_094521541.1
OG0000247	WP_002557877.1	WP_094521542.1
OG0000248	WP_002557882.1	WP_052259122.1
OG0000250	WP_002557886.1	WP_011289957.1
OG0000251	WP_002557891.1	WP_094521546.1
OG0000252	WP_002557893.1	WP_011205883.1
OG0000253	WP_002557894.1	WP_094521547.1
OG0000254	WP_002557896.1	WP_050195453.1
OG0000255	WP_002557898.1	WP_014579550.1
OG0000256	WP_002557899.1	WP_011205889.1
OG0000257	WP_002557904.1	WP_011289973.1
OG0000258	WP_002557905.1	WP_011289974.1
OG0000259	WP_002557911.1	WP_094521759.1
OG0000260	WP_002557913.1	WP_094521550.1
OG0000262	WP_002557919.1	WP_041361531.1
OG0000263	WP_002557922.1	WP_011283885.1
OG0000264	WP_002557925.1	WP_011283887.1
OG0000265	WP_002557927.1	WP_044284579.1
OG0000266	WP_002557930.1	WP_011205923.1
OG0000267	WP_002557932.1	WP_094521554.1
OG0000268	WP_002557933.1	WP_011283894.1
OG0000269	WP_002557936.1	WP_011206134.1
OG0000270	WP_002557945.1	WP_094521524.1
OG0000271	WP_002557946.1	WP_094521523.1
OG0000272	WP_002557947.1	WP_011284373.1
OG0000273	WP_002557948.1	WP_011206502.1
OG0000274	WP_002557951.1	WP_094521521.1
OG0000275	WP_039387710.1	WP_011290422.1
OG0000276	WP_002557954.1	WP_011290421.1
OG0000277	WP_002557956.1	WP_011206494.1
OG0000278	WP_002557957.1	WP_011206493.1
OG0000279	WP_002557959.1	WP_011290418.1
OG0000280	WP_002557960.1	WP_094521520.1
OG0000281	WP_002557961.1	WP_014580012.1
OG0000283	WP_002557965.1	WP_014580009.1
OG0000284	WP_002557966.1	WP_094521519.1
OG0000285	WP_002557967.1	WP_094521518.1
OG0000286	WP_002557972.1	WP_094521714.1
OG0000287	WP_002557978.1	WP_011206297.1
OG0000288	WP_002557980.1	WP_094521779.1
OG0000289	WP_002557981.1	WP_020835793.1
OG0000290	WP_002558003.1	WP_094521724.1
OG0000291	WP_002558005.1	WP_011206320.1
OG0000292	WP_002558006.1	WP_044284681.1
OG0000293	WP_002558007.1	WP_094521723.1
OG0000294	WP_002558009.1	WP_094521780.1
OG0000295	WP_002558010.1	WP_094521722.1
OG0000296	WP_002558018.1	WP_044272552.1
OG0000297	WP_002558019.1	WP_011284225.1
OG0000298	WP_039387485.1	WP_094521544.1
OG0000299	WP_039387487.1	WP_094521545.1
OG0000300	WP_039387496.1	WP_011205915.1
OG0000301	WP_039387501.1	WP_011283891.1
OG0000302	WP_039387504.1	WP_014579576.1
OG0000303	WP_039387509.1	WP_011206118.1
