Orthogroup	MHP_ES2_genes	MHP_MHP682_genes
OG0000000	E5E95_RS02310	DR097_RS02690
OG0000000	E5E95_RS04075, E5E95_RS02230, E5E95_RS02430, E5E95_RS04240	DR097_RS04740
OG0000000	E5E95_RS04235, E5E95_RS01835	DR097_RS01835
OG0000001	E5E95_RS03000	DR097_RS04145
OG0000002	E5E95_RS02320	DR097_RS02700
OG0000002	E5E95_RS02315	DR097_RS02695
OG0000002	E5E95_RS02250	DR097_RS04855
OG0000002	E5E95_RS01840	DR097_RS04675
OG0000003	E5E95_RS01915	DR097_RS04955
OG0000003	E5E95_RS00930	DR097_RS04850
OG0000003	E5E95_RS04070	DR097_RS04840
OG0000003	E5E95_RS03910	DR097_RS03830
OG0000004	E5E95_RS03410	DR097_RS01330
OG0000004	E5E95_RS03425	DR097_RS01325
OG0000005	E5E95_RS00090	DR097_RS02455
OG0000005	E5E95_RS00110	DR097_RS04720
OG0000005	E5E95_RS00095	DR097_RS02445
OG0000005	E5E95_RS00100	DR097_RS02440
OG0000005	E5E95_RS00115	DR097_RS04715
OG0000006	E5E95_RS02705	DR097_RS04435
OG0000007	E5E95_RS00935	DR097_RS03480
OG0000007	E5E95_RS02300	DR097_RS03435
OG0000007	E5E95_RS00950	DR097_RS03835
OG0000007	E5E95_RS02295	DR097_RS03440
OG0000007	E5E95_RS02290	DR097_RS03450
OG0000008	E5E95_RS04135	DR097_RS03625
OG0000009	E5E95_RS01210	DR097_RS00430
OG0000009	E5E95_RS00680	DR097_RS01140
OG0000010	E5E95_RS01970	DR097_RS02510
OG0000010	E5E95_RS01575	DR097_RS04755
OG0000011	E5E95_RS02070	DR097_RS00820
OG0000011	E5E95_RS02060	DR097_RS00825
OG0000013	E5E95_RS02610	DR097_RS02175
OG0000013	E5E95_RS03955	DR097_RS03895
OG0000014	E5E95_RS00595	DR097_RS03860
OG0000014	E5E95_RS00605	DR097_RS03370
OG0000015	E5E95_RS02450	DR097_RS02000
OG0000016	E5E95_RS03040	DR097_RS01165
