Orthogroup	MHP_NCTC10127_genes	MHP_98_genes
OG0000000	EXC50_RS01055	GOM18_RS02340
OG0000000	EXC50_RS01165, EXC50_RS01170	GOM18_RS04450
OG0000000	EXC50_RS03990	GOM18_RS03685
OG0000000	EXC50_RS00675	GOM18_RS00685
OG0000001	EXC50_RS02805, EXC50_RS02810	GOM18_RS03240
OG0000001	EXC50_RS01640	GOM18_RS03125
OG0000001	EXC50_RS01590	GOM18_RS04125
OG0000002	EXC50_RS04010	GOM18_RS02350
OG0000002	EXC50_RS00680	GOM18_RS04550
OG0000003	EXC50_RS03580	GOM18_RS01615
OG0000004	EXC50_RS02030	GOM18_RS00895
OG0000004	EXC50_RS02050	GOM18_RS00880
OG0000005	EXC50_RS00100	GOM18_RS03145
OG0000005	EXC50_RS00105	GOM18_RS03600
OG0000005	EXC50_RS00110, EXC50_RS00125	GOM18_RS04540
OG0000006	EXC50_RS04025	GOM18_RS01950
OG0000008	EXC50_RS01160, EXC50_RS04015	GOM18_RS02455
OG0000008	EXC50_RS04030	GOM18_RS03975
OG0000009	EXC50_RS03420	GOM18_RS00095
OG0000009	EXC50_RS00085	GOM18_RS00665
OG0000009	EXC50_RS03405	GOM18_RS00110
OG0000010	EXC50_RS00795	GOM18_RS03360
OG0000010	EXC50_RS02530	GOM18_RS04460
OG0000010	EXC50_RS00095	GOM18_RS03805
OG0000011	EXC50_RS00895	GOM18_RS03250
OG0000011	EXC50_RS00890	GOM18_RS03255
OG0000012	EXC50_RS01855	GOM18_RS01865, GOM18_RS03340
OG0000013	EXC50_RS01255	GOM18_RS02545
OG0000013	EXC50_RS03965	GOM18_RS03935
OG0000014	EXC50_RS04120	GOM18_RS03570, GOM18_RS01700
OG0000015	EXC50_RS03670	GOM18_RS00005
OG0000016	EXC50_RS01680	GOM18_RS01215
OG0000016	EXC50_RS00170	GOM18_RS01280
OG0000017	EXC50_RS00155	GOM18_RS01265
OG0000017	EXC50_RS01690	GOM18_RS01205
OG0000018	EXC50_RS02765	GOM18_RS04490
OG0000018	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085	GOM18_RS04240
OG0000019	EXC50_RS04060	GOM18_RS04575
OG0000020	EXC50_RS02390	GOM18_RS04290
OG0000020	EXC50_RS02395	GOM18_RS03770, GOM18_RS03765
OG0000021	EXC50_RS04125	GOM18_RS03345
OG0000021	EXC50_RS03575	GOM18_RS03065
OG0000022	EXC50_RS00615	GOM18_RS03040
OG0000022	EXC50_RS00670	GOM18_RS04500
OG0000023	EXC50_RS00495, EXC50_RS03740	GOM18_RS00025
OG0000024	EXC50_RS01585	GOM18_RS03075
OG0000024	EXC50_RS02815	GOM18_RS03225
OG0000025	EXC50_RS00620	GOM18_RS04510
OG0000025	EXC50_RS00665	GOM18_RS04505
OG0000026	EXC50_RS02725	GOM18_RS02790
OG0000026	EXC50_RS00645	GOM18_RS03010
OG0000027	EXC50_RS02185	GOM18_RS04335
OG0000027	EXC50_RS02200	GOM18_RS04320
OG0000029	EXC50_RS03005	GOM18_RS01705
OG0000029	EXC50_RS03475	GOM18_RS03580
OG0000030	EXC50_RS02175	GOM18_RS04340
OG0000030	EXC50_RS02195	GOM18_RS04325
OG0000031	EXC50_RS02515, EXC50_RS03805	GOM18_RS00085
OG0000031	EXC50_RS00545	GOM18_RS03625
OG0000032	EXC50_RS04070	GOM18_RS04565
OG0000035	EXC50_RS02045	GOM18_RS00885
OG0000035	EXC50_RS02025	GOM18_RS00900
OG0000036	EXC50_RS00115, EXC50_RS00130	GOM18_RS03585
OG0000037	EXC50_RS03970	GOM18_RS04545
OG0000038	EXC50_RS00705	GOM18_RS03645
OG0000039	EXC50_RS03975, EXC50_RS00560	GOM18_RS03565
OG0000040	EXC50_RS02120	GOM18_RS00810
OG0000041	EXC50_RS03415	GOM18_RS00100
OG0000042	EXC50_RS01780	GOM18_RS01120
OG0000043	EXC50_RS00860	GOM18_RS03285
OG0000044	EXC50_RS04255	GOM18_RS04585
OG0000045	EXC50_RS00570	GOM18_RS03555
OG0000046	EXC50_RS02130	GOM18_RS03880, GOM18_RS03875
OG0000047	EXC50_RS00500	GOM18_RS00015
OG0000048	EXC50_RS01040	GOM18_RS02325
OG0000049	EXC50_RS01890	GOM18_RS01035
OG0000050	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	GOM18_RS01900
OG0000051	EXC50_RS01500	GOM18_RS02100
OG0000052	EXC50_RS00075	GOM18_RS00655
OG0000053	EXC50_RS02640	GOM18_RS04480
OG0000054	EXC50_RS03835, EXC50_RS01320, EXC50_RS04250	GOM18_RS01925
OG0000055	EXC50_RS00135	GOM18_RS01245
OG0000056	EXC50_RS02375	GOM18_RS00495
OG0000057	EXC50_RS01765	GOM18_RS01135
OG0000059	EXC50_RS03800	GOM18_RS00080
OG0000059	EXC50_RS02510	GOM18_RS03660
OG0000061	EXC50_RS00525	GOM18_RS03350
OG0000062	EXC50_RS02425	GOM18_RS00545
OG0000063	EXC50_RS02420	GOM18_RS04295
OG0000064	EXC50_RS02410	GOM18_RS00530
OG0000065	EXC50_RS01100	GOM18_RS02395
OG0000066	EXC50_RS02735	GOM18_RS02800
OG0000067	EXC50_RS03560	GOM18_RS01630
OG0000068	EXC50_RS03440	GOM18_RS03445
OG0000069	EXC50_RS01655	GOM18_RS01240, GOM18_RS03140
OG0000070	EXC50_RS03840, EXC50_RS01325	GOM18_RS01930
OG0000071	EXC50_RS02110	GOM18_RS00820
OG0000072	EXC50_RS02115	GOM18_RS04355
OG0000073	EXC50_RS03380	GOM18_RS00135
OG0000074	EXC50_RS03185	GOM18_RS04260
OG0000076	EXC50_RS00370	GOM18_RS01465
OG0000077	EXC50_RS03640	GOM18_RS01550
OG0000079	EXC50_RS01405	GOM18_RS02005
OG0000080	EXC50_RS03930	GOM18_RS03980
OG0000081	EXC50_RS00350	GOM18_RS01445
OG0000082	EXC50_RS01250	GOM18_RS02535
OG0000083	EXC50_RS00965	GOM18_RS02245
OG0000084	EXC50_RS00990	GOM18_RS02275
OG0000085	EXC50_RS00995	GOM18_RS02280
OG0000086	EXC50_RS01005	GOM18_RS02290
OG0000087	EXC50_RS01020	GOM18_RS02305
OG0000088	EXC50_RS01025	GOM18_RS02310
OG0000089	EXC50_RS01035	GOM18_RS02320
OG0000090	EXC50_RS00070	GOM18_RS00650
OG0000091	EXC50_RS00055	GOM18_RS00635
OG0000092	EXC50_RS00040	GOM18_RS00620
OG0000093	EXC50_RS00035	GOM18_RS00615
OG0000094	EXC50_RS00030	GOM18_RS00610
OG0000095	EXC50_RS00005	GOM18_RS00585
OG0000096	EXC50_RS02460	GOM18_RS00580
OG0000097	EXC50_RS02440	GOM18_RS00560
OG0000098	EXC50_RS02430	GOM18_RS00550
OG0000099	EXC50_RS02380	GOM18_RS04285
OG0000100	EXC50_RS02365	GOM18_RS00485
OG0000101	EXC50_RS02360	GOM18_RS00480
OG0000102	EXC50_RS00660	GOM18_RS02995
OG0000103	EXC50_RS01065	GOM18_RS02360
OG0000104	EXC50_RS01070	GOM18_RS02365
OG0000105	EXC50_RS01085	GOM18_RS02380
OG0000106	EXC50_RS01095	GOM18_RS02390
OG0000107	EXC50_RS01105	GOM18_RS02400
OG0000108	EXC50_RS01110	GOM18_RS02405
OG0000109	EXC50_RS01115	GOM18_RS02410
OG0000110	EXC50_RS01240	GOM18_RS02525
OG0000111	EXC50_RS01235	GOM18_RS02520
OG0000112	EXC50_RS01225	GOM18_RS02510
OG0000113	EXC50_RS01205	GOM18_RS02490
OG0000114	EXC50_RS01195	GOM18_RS02480
OG0000115	EXC50_RS01180	GOM18_RS02470
OG0000116	EXC50_RS02790	GOM18_RS02855
OG0000117	EXC50_RS02785	GOM18_RS02850
OG0000118	EXC50_RS02750	GOM18_RS02815
OG0000119	EXC50_RS02745	GOM18_RS02810
OG0000120	EXC50_RS02730	GOM18_RS02795
OG0000121	EXC50_RS02705	GOM18_RS02775
OG0000122	EXC50_RS02700	GOM18_RS02770
OG0000123	EXC50_RS02680	GOM18_RS02750
OG0000124	EXC50_RS02675	GOM18_RS02745
OG0000125	EXC50_RS02670	GOM18_RS02740
OG0000126	EXC50_RS02660	GOM18_RS02730
OG0000127	EXC50_RS02650	GOM18_RS02720
OG0000128	EXC50_RS02635	GOM18_RS02705
OG0000129	EXC50_RS02630	GOM18_RS02700
OG0000130	EXC50_RS02620	GOM18_RS02690
OG0000131	EXC50_RS02590	GOM18_RS04475
OG0000132	EXC50_RS02575	GOM18_RS04470
OG0000133	EXC50_RS03555	GOM18_RS01635
OG0000134	EXC50_RS03550	GOM18_RS01640
OG0000135	EXC50_RS03535	GOM18_RS01655
OG0000136	EXC50_RS03530	GOM18_RS01660
OG0000137	EXC50_RS03500	GOM18_RS01690
OG0000138	EXC50_RS03465	GOM18_RS03470
OG0000139	EXC50_RS03435	GOM18_RS03440
OG0000140	EXC50_RS03430	GOM18_RS03435
OG0000141	EXC50_RS01775	GOM18_RS01125
OG0000142	EXC50_RS01770	GOM18_RS04380
OG0000143	EXC50_RS01745	GOM18_RS01150
OG0000144	EXC50_RS01735	GOM18_RS01160
OG0000145	EXC50_RS01725	GOM18_RS01170
OG0000146	EXC50_RS01715	GOM18_RS01180
OG0000147	EXC50_RS01710	GOM18_RS01185
OG0000148	EXC50_RS01695	GOM18_RS01200
OG0000149	EXC50_RS01685	GOM18_RS01210
OG0000150	EXC50_RS01670	GOM18_RS01225
OG0000151	EXC50_RS01625	GOM18_RS03115
OG0000152	EXC50_RS01620	GOM18_RS03110
OG0000153	EXC50_RS01615	GOM18_RS03105
OG0000154	EXC50_RS01605	GOM18_RS03095
OG0000155	EXC50_RS01565	GOM18_RS02160
OG0000156	EXC50_RS01555	GOM18_RS02150
OG0000157	EXC50_RS01550	GOM18_RS04415
OG0000158	EXC50_RS04235	GOM18_RS04410
OG0000159	EXC50_RS03825	GOM18_RS01915
OG0000160	EXC50_RS03820	GOM18_RS01910
OG0000161	EXC50_RS03815	GOM18_RS01905
OG0000162	EXC50_RS01290	GOM18_RS01895
OG0000163	EXC50_RS01285	GOM18_RS01890
OG0000164	EXC50_RS00550	GOM18_RS03635
OG0000165	EXC50_RS00885	GOM18_RS03260
OG0000166	EXC50_RS00905	GOM18_RS02185
OG0000167	EXC50_RS00920	GOM18_RS02200
OG0000168	EXC50_RS00925	GOM18_RS02205
OG0000169	EXC50_RS01885	GOM18_RS01040
OG0000170	EXC50_RS01900	GOM18_RS01025
OG0000171	EXC50_RS01910	GOM18_RS01015
OG0000172	EXC50_RS01915	GOM18_RS01010
OG0000173	EXC50_RS01920	GOM18_RS01005
OG0000174	EXC50_RS01925	GOM18_RS01000
OG0000175	EXC50_RS01940	GOM18_RS00985
OG0000176	EXC50_RS01990	GOM18_RS00935
OG0000177	EXC50_RS01995	GOM18_RS00930
OG0000178	EXC50_RS02000	GOM18_RS00925
OG0000179	EXC50_RS02010	GOM18_RS00915
OG0000180	EXC50_RS02015	GOM18_RS00910
OG0000181	EXC50_RS02060	GOM18_RS04365
OG0000182	EXC50_RS02070	GOM18_RS00860
OG0000183	EXC50_RS02105	GOM18_RS00825
OG0000184	EXC50_RS02150	GOM18_RS00780
OG0000185	EXC50_RS02135	GOM18_RS00795
OG0000186	EXC50_RS02565	GOM18_RS04465
OG0000187	EXC50_RS02550	GOM18_RS02595
OG0000188	EXC50_RS02540	GOM18_RS02585
OG0000189	EXC50_RS01150	GOM18_RS04445
OG0000190	EXC50_RS01145	GOM18_RS02440
