Orthogroup	MFC_MF29_genes	MHP_TB1_genes
OG0000000	DR095_RS03080	B5M19_RS04470
OG0000000	DR095_RS01240	B5M19_RS02095
OG0000001	DR095_RS00305, DR095_RS00300	B5M19_RS02595, B5M19_RS04385, B5M19_RS02555, B5M19_RS02505, B5M19_RS02510
OG0000002	DR095_RS03820	B5M19_RS02105
OG0000008	DR095_RS03220	B5M19_RS03340
OG0000011	DR095_RS03240, DR095_RS03235	B5M19_RS04080, B5M19_RS00770
OG0000011	DR095_RS03230	B5M19_RS00765
OG0000013	DR095_RS00580, DR095_RS00575	B5M19_RS02640
OG0000013	DR095_RS03215	B5M19_RS00100
OG0000014	DR095_RS03760	B5M19_RS03715, B5M19_RS03505
OG0000015	DR095_RS01695	B5M19_RS02335
OG0000016	DR095_RS00250	B5M19_RS01425
OG0000017	DR095_RS01000	B5M19_RS00065
OG0000017	DR095_RS00240	B5M19_RS01415
OG0000018	DR095_RS03850	B5M19_RS02315
OG0000018	DR095_RS03835	B5M19_RS04450, B5M19_RS04445
OG0000020	DR095_RS03810	B5M19_RS04305
OG0000020	DR095_RS03805	B5M19_RS02010
OG0000022	DR095_RS03815	B5M19_RS02090
OG0000023	DR095_RS03490	B5M19_RS04365
OG0000024	DR095_RS00310	B5M19_RS02500, B5M19_RS04395, B5M19_RS04390
OG0000025	DR095_RS01230	B5M19_RS02085
OG0000026	DR095_RS01450	B5M19_RS01210, B5M19_RS02065
OG0000027	DR095_RS03960	B5M19_RS00550
OG0000028	DR095_RS00595	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475
OG0000029	DR095_RS00085	B5M19_RS03200, B5M19_RS04520, B5M19_RS03510
OG0000030	DR095_RS03965	B5M19_RS00570, B5M19_RS00555
OG0000031	DR095_RS01640	B5M19_RS04360
OG0000031	DR095_RS02710	B5M19_RS03305
OG0000039	DR095_RS00145	B5M19_RS03320
OG0000040	DR095_RS01945, DR095_RS00375, DR095_RS00380	B5M19_RS02985
OG0000042	DR095_RS00140, DR095_RS00285	B5M19_RS01320
OG0000043	DR095_RS01635, DR095_RS02735	B5M19_RS02270
OG0000045	DR095_RS03295, DR095_RS03300	B5M19_RS03325
OG0000047	DR095_RS03200	B5M19_RS02295
OG0000048	DR095_RS03095, DR095_RS02830	B5M19_RS03695
OG0000050	DR095_RS03970	B5M19_RS02825
OG0000051	DR095_RS01545	B5M19_RS04110
OG0000052	DR095_RS01040	B5M19_RS00005
OG0000053	DR095_RS03995, DR095_RS01535	B5M19_RS01120
OG0000054	DR095_RS00625	B5M19_RS02800
OG0000055	DR095_RS01035	B5M19_RS00045
OG0000056	DR095_RS01205	B5M19_RS00375
OG0000057	DR095_RS00165	B5M19_RS01340
OG0000058	DR095_RS01620	B5M19_RS02250
OG0000059	DR095_RS03480	B5M19_RS02265
OG0000062	DR095_RS01150	B5M19_RS01970
OG0000063	DR095_RS01155	B5M19_RS01975
