Orthogroup	MHP_1257_proteins	MHP_ES2_proteins
OG0000000	WP_348571665.1	WP_240536417.1
OG0000000	WP_348571687.1, WP_348571684.1	WP_240536413.1
OG0000000	WP_348571641.1	WP_240536311.1, WP_094521686.1, WP_135618898.1, WP_318026010.1
OG0000000	WP_348572099.1	WP_135618783.1, WP_318026031.1, WP_334199108.1
OG0000001	WP_348572046.1	WP_237697234.1
OG0000001	WP_011206342.1	WP_240536341.1
OG0000002	WP_348571662.1	WP_237697200.1
OG0000002	WP_348571681.1	WP_135618870.1
OG0000002	WP_348572102.1	WP_135618787.1
OG0000003	WP_348572110.1	WP_135618807.1
OG0000003	WP_348571976.1	WP_135618606.1
OG0000003	WP_348571667.1	WP_237697199.1
OG0000003	WP_348572120.1	WP_228729174.1
OG0000004	WP_348571826.1	WP_014579982.1, WP_135619084.1, WP_135619088.1, WP_135619092.1, WP_240536349.1, WP_240536350.1
OG0000005	WP_146379449.1	WP_135618450.1
OG0000005	WP_348571918.1	WP_135618456.1
OG0000005	WP_160615842.1	WP_135618452.1
OG0000005	WP_348571917.1	WP_135618454.1
OG0000005	WP_348571920.1	WP_135618458.1
OG0000006	WP_348571744.1	WP_135618942.1
OG0000007	WP_348571975.1	WP_135618608.1
OG0000007	WP_348571669.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_348571672.1	WP_135618872.1
OG0000008	WP_179696025.1	WP_240536315.1, WP_011206260.1
OG0000008	WP_348572086.1	WP_240536388.1
OG0000008	WP_348572153.1	WP_240536338.1
OG0000009	WP_041361566.1	WP_011206100.1
OG0000009	WP_348572028.1	WP_135618648.1
OG0000009	WP_011290021.1	WP_135618567.1
OG0000010	WP_348572122.1	WP_135618816.1
OG0000011	WP_348572129.1	WP_135618836.1
OG0000011	WP_348572128.1	WP_135618832.1
OG0000012	WP_348571950.1	WP_135618900.1, WP_135619051.1
OG0000013	WP_348571721.1	WP_240536333.1
OG0000013	WP_348572166.1	WP_240536360.1
OG0000014	WP_348571966.1	WP_135618555.1
OG0000014	WP_348572005.1	WP_135618629.1
OG0000014	WP_348572003.1	WP_135618557.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000015	WP_240536643.1	WP_135618902.1
OG0000016	WP_020835836.1	WP_135619010.1
OG0000016	WP_160585547.1	WP_135618472.1
OG0000017	WP_243215933.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_348571828.1	WP_135619049.1
OG0000020	WP_348571893.1	WP_240536358.1
OG0000021	WP_348572104.1	WP_011206128.1
OG0000022	WP_348572088.1	WP_135618767.1
OG0000022	WP_348572098.1	WP_135618781.1
OG0000024	WP_160585259.1	WP_135618988.1
OG0000024	WP_348572044.1	WP_135618668.1
OG0000025	WP_348572089.1	WP_135618769.1
OG0000025	WP_348572096.1	WP_135618779.1
OG0000026	WP_192894288.1	WP_044284614.1
OG0000026	WP_160606777.1	WP_135618775.1
OG0000027	WP_020835902.1	WP_135619129.1
OG0000027	WP_348571864.1	WP_135619132.1
OG0000028	WP_348571725.1	WP_135618930.1
OG0000029	WP_348571967.1	WP_135618627.1
OG0000029	WP_348572001.1	WP_135618559.1
OG0000030	WP_348571860.1	WP_240536353.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000031	WP_348572080.1	WP_011284063.1
OG0000032	WP_135618726.1	WP_135618726.1
OG0000032	WP_348571862.1	WP_240536354.1
OG0000034	WP_348571678.1	WP_233688424.1
OG0000035	WP_348571840.1	WP_135619082.1
OG0000036	WP_020835495.1	WP_240536359.1
OG0000036	WP_348571921.1	WP_135618460.1
OG0000037	WP_348572141.1	WP_240536407.1, WP_020835661.1
OG0000038	WP_348572108.1	WP_135618806.1
OG0000038	WP_348572103.1	WP_135618793.1
OG0000039	WP_348572083.1	WP_135618739.1, WP_167871264.1
OG0000040	WP_348571851.1	WP_135619110.1
OG0000041	WP_011290019.1	WP_135618565.1
OG0000042	WP_348571819.1	WP_135619032.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000045	WP_348572084.1	WP_135618740.1
OG0000048	WP_348571637.1	WP_135618866.1
OG0000049	WP_020835860.1	WP_240536351.1
OG0000050	WP_348571733.1	WP_135618938.1
OG0000051	WP_348571782.1	WP_135618969.1
OG0000052	WP_011289937.1	WP_135618448.1
OG0000053	WP_348572063.1	WP_135618705.1
OG0000054	WP_044272538.1	WP_135618940.1
OG0000055	WP_348571923.1	WP_135618462.1
OG0000056	WP_348571887.1	WP_135619162.1
OG0000057	WP_348571813.1	WP_240536348.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000061	WP_135618818.1	WP_135618818.1
OG0000062	WP_011206522.1	WP_011206522.1
OG0000063	WP_348571897.1	WP_135619169.1
OG0000064	WP_348571896.1	WP_135619167.1
