Orthogroup	MHP_MHP679_genes	MFC_MF33_genes
OG0000001	DR086_RS03435, DR086_RS01010, DR086_RS03200, DR086_RS03195	DR085_RS03235
OG0000002	DR086_RS05060	DR085_RS03895
OG0000002	DR086_RS04880	DR085_RS03805
OG0000003	DR086_RS05055	DR085_RS03550
OG0000004	DR086_RS03630, DR086_RS03555, DR086_RS00615	DR085_RS01395
OG0000007	DR086_RS03485	DR085_RS02890
OG0000007	DR086_RS03495	DR085_RS03890
OG0000008	DR086_RS04265	DR085_RS03145
OG0000011	DR086_RS00450	DR085_RS03875, DR085_RS02795
OG0000011	DR086_RS00445	DR085_RS02805
OG0000013	DR086_RS03105	DR085_RS00915, DR085_RS00910
OG0000013	DR086_RS04005	DR085_RS03115
OG0000014	DR086_RS03610, DR086_RS04970	DR085_RS03650
OG0000016	DR086_RS01050	DR085_RS00605
OG0000017	DR086_RS00015	DR085_RS02380
OG0000017	DR086_RS01060	DR085_RS00595
OG0000019	DR086_RS04570	DR085_RS03320
OG0000020	DR086_RS02470	DR085_RS03790
OG0000022	DR086_RS04885	DR085_RS03800
OG0000024	DR086_RS03190	DR085_RS00665
OG0000025	DR086_RS01595	DR085_RS02460
OG0000026	DR086_RS01970, DR086_RS01615	DR085_RS01755
OG0000027	DR086_RS04870	DR085_RS03845
OG0000029	DR086_RS02730	DR085_RS00425
OG0000030	DR086_RS05025, DR086_RS04875	DR085_RS03850
OG0000031	DR086_RS00745	DR085_RS02695
OG0000032	DR086_RS03870	DR085_RS03940
OG0000039	DR086_RS03295	DR085_RS00495, DR085_RS00485
OG0000042	DR086_RS02970	DR085_RS00480, DR085_RS00645
OG0000043	DR086_RS00415	DR085_RS02670
OG0000045	DR086_RS03290	DR085_RS00505
OG0000047	DR086_RS00730	DR085_RS03120
OG0000048	DR086_RS00610	DR085_RS02880, DR085_RS03055
OG0000049	DR086_RS01430	DR085_RS01410
OG0000050	DR086_RS02195	DR085_RS02735
OG0000051	DR086_RS00855	DR085_RS01290
OG0000052	DR086_RS01150	DR085_RS03420
OG0000053	DR086_RS04905	DR085_RS03740
OG0000054	DR086_RS02170	DR085_RS00960
OG0000056	DR086_RS02455	DR085_RS02435
OG0000057	DR086_RS01130	DR085_RS00520
OG0000062	DR086_RS01260	DR085_RS02230
OG0000063	DR086_RS04835	DR085_RS02225
OG0000064	DR086_RS01275	DR085_RS02215
OG0000065	DR086_RS02080	DR085_RS01895
OG0000066	DR086_RS01980	DR085_RS01765
OG0000068	DR086_RS01570	DR085_RS00460
OG0000069	DR086_RS01025	DR085_RS00630
OG0000070	DR086_RS02165	DR085_RS00940
OG0000071	DR086_RS02350	DR085_RS01590
OG0000072	DR086_RS04935	DR085_RS03730
OG0000073	DR086_RS03040	DR085_RS02070
OG0000075	DR086_RS03840	DR085_RS00175
OG0000076	DR086_RS00225	DR085_RS00190
OG0000077	DR086_RS00315	DR085_RS00275
OG0000078	DR086_RS01625	DR085_RS00755
OG0000079	DR086_RS00950	DR085_RS00860
OG0000080	DR086_RS04145	DR085_RS03275
OG0000081	DR086_RS00205	DR085_RS00170
OG0000082	DR086_RS03110	DR085_RS00920
OG0000083	DR086_RS00520	DR085_RS03000
OG0000084	DR086_RS00545	DR085_RS02830
OG0000085	DR086_RS00550	DR085_RS02835
OG0000086	DR086_RS00560	DR085_RS03880
OG0000087	DR086_RS00575	DR085_RS02860
OG0000088	DR086_RS00580	DR085_RS02865
OG0000089	DR086_RS00590	DR085_RS02875
OG0000090	DR086_RS01155	DR085_RS02335
OG0000091	DR086_RS01170	DR085_RS02320
OG0000092	DR086_RS01185	DR085_RS02305
OG0000093	DR086_RS01190	DR085_RS02300
OG0000094	DR086_RS01195	DR085_RS02295
OG0000095	DR086_RS01220	DR085_RS02270
OG0000096	DR086_RS01225	DR085_RS02265
OG0000097	DR086_RS01245	DR085_RS02245
OG0000098	DR086_RS01255	DR085_RS02235
OG0000099	DR086_RS04950	DR085_RS02430
OG0000100	DR086_RS02445	DR085_RS02440
OG0000101	DR086_RS02440	DR085_RS02445
OG0000102	DR086_RS01600	DR085_RS02455
OG0000103	DR086_RS02115	DR085_RS01930
OG0000104	DR086_RS02110	DR085_RS01925
OG0000105	DR086_RS02095	DR085_RS01910
OG0000106	DR086_RS02085	DR085_RS01900
OG0000107	DR086_RS02075	DR085_RS01890
OG0000108	DR086_RS02070	DR085_RS01885
OG0000109	DR086_RS02065	DR085_RS01880
OG0000110	DR086_RS03120	DR085_RS01875
OG0000111	DR086_RS03125	DR085_RS01870
OG0000112	DR086_RS03135	DR085_RS01860
OG0000113	DR086_RS05050	DR085_RS03750
OG0000114	DR086_RS03455	DR085_RS01835
OG0000115	DR086_RS03475	DR085_RS01825
OG0000116	DR086_RS03410	DR085_RS01815
OG0000117	DR086_RS03405	DR085_RS01810
OG0000118	DR086_RS01995	DR085_RS01780
OG0000119	DR086_RS01990	DR085_RS01775
OG0000120	DR086_RS01975	DR085_RS01760
OG0000121	DR086_RS01950	DR085_RS01735
OG0000122	DR086_RS01945	DR085_RS01730
OG0000123	DR086_RS01925	DR085_RS01710
OG0000124	DR086_RS01920	DR085_RS01705
OG0000125	DR086_RS01915	DR085_RS01700
OG0000126	DR086_RS01900	DR085_RS01690
OG0000127	DR086_RS01890	DR085_RS01680
OG0000128	DR086_RS01875	DR085_RS01665
OG0000129	DR086_RS01870	DR085_RS01660
OG0000130	DR086_RS01860	DR085_RS01650
OG0000131	DR086_RS01830	DR085_RS01620
OG0000132	DR086_RS04900	DR085_RS03735
OG0000133	DR086_RS02245	DR085_RS00350
OG0000134	DR086_RS02250	DR085_RS03640
OG0000135	DR086_RS02265	DR085_RS00370
OG0000136	DR086_RS02270	DR085_RS00375
OG0000137	DR086_RS02310	DR085_RS00405
OG0000138	DR086_RS02775	DR085_RS00435
OG0000139	DR086_RS02745	DR085_RS00465
OG0000140	DR086_RS02740	DR085_RS00470
OG0000141	DR086_RS03720	DR085_RS00510
OG0000142	DR086_RS04820	DR085_RS03655
OG0000143	DR086_RS01115	DR085_RS00540
OG0000144	DR086_RS01105	DR085_RS00550
OG0000145	DR086_RS01095	DR085_RS00560
OG0000146	DR086_RS01085	DR085_RS00570
OG0000147	DR086_RS01080	DR085_RS00575
OG0000148	DR086_RS01065	DR085_RS00590
OG0000149	DR086_RS01055	DR085_RS00600
OG0000150	DR086_RS01040	DR085_RS00615
OG0000151	DR086_RS03230	DR085_RS00670
OG0000152	DR086_RS03225	DR085_RS00675
OG0000153	DR086_RS03220	DR085_RS00680
OG0000154	DR086_RS03210	DR085_RS00690
OG0000155	DR086_RS03005	DR085_RS00710
OG0000156	DR086_RS02995	DR085_RS00730
OG0000157	DR086_RS05005	DR085_RS03660
OG0000158	DR086_RS05000	DR085_RS03665
OG0000159	DR086_RS05100	DR085_RS00970
OG0000160	DR086_RS02185	DR085_RS00975
OG0000161	DR086_RS02190	DR085_RS00985
OG0000162	DR086_RS02200	DR085_RS02725
OG0000163	DR086_RS02205	DR085_RS02720
OG0000164	DR086_RS03305	DR085_RS03860
OG0000165	DR086_RS00440	DR085_RS02810
OG0000166	DR086_RS00460	DR085_RS02780
OG0000167	DR086_RS00475	DR085_RS02765
OG0000168	DR086_RS00480	DR085_RS02760
OG0000169	DR086_RS01435	DR085_RS01405
OG0000170	DR086_RS01420	DR085_RS01420
OG0000171	DR086_RS01410	DR085_RS01430
OG0000172	DR086_RS01405	DR085_RS01435
OG0000173	DR086_RS01400	DR085_RS01440
OG0000174	DR086_RS01395	DR085_RS01445
OG0000175	DR086_RS01380	DR085_RS01460
OG0000176	DR086_RS01330	DR085_RS01500
OG0000177	DR086_RS01325	DR085_RS01505
OG0000178	DR086_RS01320	DR085_RS01510
OG0000179	DR086_RS01310	DR085_RS01520
OG0000180	DR086_RS01305	DR085_RS01525
OG0000181	DR086_RS05065	DR085_RS03715
OG0000182	DR086_RS03535	DR085_RS01550
OG0000183	DR086_RS02345	DR085_RS01585
OG0000184	DR086_RS02390	DR085_RS02950
OG0000185	DR086_RS02375	DR085_RS02935
OG0000186	DR086_RS04895	DR085_RS02180
OG0000187	DR086_RS01790	DR085_RS02165
OG0000188	DR086_RS01780	DR085_RS02155
OG0000189	DR086_RS04920	DR085_RS03775
