Orthogroup	MHP_111A_proteins	MHP_MHP653_proteins
OG0000000	WP_404912243.1	WP_308507049.1
OG0000000	WP_404912390.1	WP_160615939.1
OG0000000	WP_404911849.1	WP_240532016.1
OG0000000	WP_404912447.1	WP_308507040.1
OG0000000	WP_404912449.1	WP_334199374.1
OG0000001	WP_404911958.1	WP_228365393.1
OG0000002	WP_225972974.1	WP_258555957.1
OG0000002	WP_146379587.1	WP_160615875.1
OG0000002	WP_404912241.1	WP_160615955.1
OG0000003	WP_404912467.1	WP_160615984.1
OG0000003	WP_225973018.1	WP_160615810.1
OG0000003	WP_225973026.1, WP_225973025.1	WP_308506998.1
OG0000005	WP_404912131.1	WP_160615846.1
OG0000005	WP_404912133.1	WP_160615842.1
OG0000005	WP_404912135.1	WP_160585747.1
OG0000006	WP_404911894.1	WP_258555632.1
OG0000006	WP_404911860.1	WP_258555930.1
OG0000007	WP_258555604.1, WP_404912233.1	WP_160615812.1
OG0000007	WP_011284157.1	WP_160615973.1
OG0000007	WP_220190648.1	WP_258555947.1
OG0000007	WP_002557993.1	WP_160585819.1
OG0000007	WP_002557992.1	WP_160615975.1
OG0000008	WP_404911900.1, WP_404911898.1	WP_258555965.1
OG0000009	WP_041361519.1	WP_146379448.1
OG0000010	WP_404911810.1	WP_160615540.1
OG0000011	WP_404911790.1	WP_160615550.1
OG0000011	WP_404911792.1	WP_160615548.1
OG0000012	WP_404912469.1	WP_158632000.1
OG0000013	WP_404911873.1	WP_258555933.1
OG0000014	WP_404912188.1	WP_160615935.1
OG0000015	WP_014579770.1, WP_179695828.1, WP_135618763.1	WP_225973030.1
OG0000016	WP_404912144.1	WP_160585547.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_404912320.1	WP_020835635.1
OG0000019	WP_404911993.1, WP_404911991.1, WP_404911989.1	WP_160615599.1
OG0000020	WP_404912096.1	WP_160615923.1
OG0000020	WP_404912098.1	WP_220191323.1
OG0000022	WP_404912375.1	WP_160615764.1
OG0000022	WP_404912386.1	WP_160615774.1
OG0000024	WP_160585259.1	WP_160615698.1
OG0000024	WP_404912310.1	WP_258555929.1
OG0000025	WP_404912377.1	WP_160615766.1
OG0000025	WP_404912384.1	WP_160615772.1
OG0000026	WP_192894288.1	WP_220191285.1
OG0000026	WP_160606777.1	WP_160606777.1
OG0000027	WP_404912049.1	WP_011206475.1
OG0000027	WP_404912055.1	WP_160615619.1
OG0000028	WP_404911882.1	WP_160615730.1
OG0000029	WP_404912190.1	WP_160615937.1
OG0000030	WP_240536353.1	WP_240536353.1
OG0000030	WP_404912053.1	WP_160615617.1
OG0000032	WP_135618726.1	WP_308507034.1
OG0000032	WP_404912051.1	WP_308507003.1
OG0000033	WP_404911875.1, WP_404911876.1	WP_160615728.1
OG0000034	WP_243234977.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_404912017.1	WP_160615978.1
OG0000036	WP_404912137.1	WP_220191312.1
OG0000037	WP_404912443.1	WP_308507036.1
OG0000039	WP_179221095.1	WP_160615671.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_044272729.1	WP_160615609.1
OG0000043	WP_404911800.1	WP_160585024.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000045	WP_404912363.1, WP_404912361.1	WP_258555923.1
OG0000046	WP_404912040.1	WP_308507046.1
OG0000048	WP_404912397.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_160615595.1
OG0000050	WP_404911890.1	WP_160615890.1
OG0000051	WP_404911930.1	WP_308507043.1
OG0000052	WP_404912127.1, WP_404912125.1	WP_146379447.1
OG0000053	WP_160585093.1	WP_160615665.1
OG0000054	WP_020835786.1	WP_011206291.1
OG0000055	WP_160606887.1	WP_160584826.1
OG0000056	WP_404912090.1	WP_160615642.1
OG0000057	WP_220191159.1	WP_258555814.1
OG0000061	WP_404911806.1	WP_160615544.1
OG0000062	WP_094521530.1	WP_160588098.1
OG0000063	WP_404912101.1	WP_041361715.1
OG0000064	WP_011290440.1	WP_160615736.1
OG0000065	WP_233688433.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_146379735.1	WP_160615899.1
OG0000072	WP_404912031.1	WP_160615897.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000074	WP_308704709.1	WP_160615806.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_404912160.1	WP_160607908.1
OG0000077	WP_404912169.1	WP_160615512.1
OG0000078	WP_404912379.1	WP_258555939.1
OG0000079	WP_404911913.1	WP_160608044.1
OG0000080	WP_011206314.1	WP_011206314.1
OG0000081	WP_160615521.1	WP_160615521.1
OG0000083	WP_011206216.1	WP_160585593.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_404912428.1	WP_160615566.1
OG0000087	WP_404912425.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_020835488.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_160615746.1
OG0000092	WP_404912119.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_160584856.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_404912113.1	WP_160615742.1
OG0000097	WP_404912105.1	WP_258555934.1
OG0000098	WP_011290444.1	WP_146379769.1
OG0000099	WP_404912092.1	WP_160615967.1
OG0000100	WP_011290432.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404912445.1	WP_020835678.1
OG0000103	WP_146379627.1	WP_160615871.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_011206242.1
OG0000106	WP_146379631.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_404911836.1	WP_308507045.1
OG0000109	WP_146379632.1	WP_146379632.1
OG0000110	WP_020835772.1	WP_146379648.1
