Orthogroup	MHP_153B_genes	MHP_F72C_genes
OG0000000	NB625_RS02335	EHI52_RS01825
OG0000000	NB625_RS02230	EHI52_RS00965
OG0000000	NB625_RS02220	EHI52_RS00960
OG0000000	NB625_RS02215, NB625_RS02225	EHI52_RS03750
OG0000000	NB625_RS02210	EHI52_RS00970
OG0000000	NB625_RS02330	EHI52_RS03755
OG0000001	NB625_RS02955	EHI52_RS02790
OG0000001	NB625_RS02910	EHI52_RS02740
OG0000002	NB625_RS02350	EHI52_RS02215
OG0000002	NB625_RS02340	EHI52_RS01820
OG0000002	NB625_RS02235	EHI52_RS03740
OG0000002	NB625_RS01730	EHI52_RS01780
OG0000003	NB625_RS00510	EHI52_RS00520
OG0000003	NB625_RS02310	EHI52_RS03720
OG0000003	NB625_RS01830	EHI52_RS03670
OG0000004	NB625_RS03355	EHI52_RS03210
OG0000004	NB625_RS03360	EHI52_RS03215
OG0000004	NB625_RS03370	EHI52_RS03225
OG0000004	NB625_RS03170	EHI52_RS03010
OG0000005	NB625_RS00100	EHI52_RS00100
OG0000005	NB625_RS00125	EHI52_RS00120
OG0000005	NB625_RS00105	EHI52_RS00110
OG0000006	NB625_RS02650	EHI52_RS02500
OG0000006	NB625_RS02645	EHI52_RS03880
OG0000006	NB625_RS02470	EHI52_RS02330
OG0000007	NB625_RS02315	EHI52_RS00935
OG0000007	NB625_RS02325	EHI52_RS00980
OG0000007	NB625_RS02305	EHI52_RS00985
OG0000008	NB625_RS02460	EHI52_RS02320
OG0000008	NB625_RS01635, NB625_RS01640	EHI52_RS03775
OG0000008	NB625_RS02660	EHI52_RS03830
OG0000009	NB625_RS00085	EHI52_RS00085
OG0000009	NB625_RS01005	EHI52_RS00680
OG0000010	NB625_RS01850	EHI52_RS02085
OG0000011	NB625_RS01950	EHI52_RS01985
OG0000012	NB625_RS02890, NB625_RS01075	EHI52_RS02210, EHI52_RS01810, EHI52_RS03060, EHI52_RS03535
OG0000012	NB625_RS01865	EHI52_RS03635
OG0000013	NB625_RS02545	EHI52_RS02410
OG0000013	NB625_RS00190	EHI52_RS03710
OG0000014	NB625_RS01095	EHI52_RS01155
OG0000016	NB625_RS02995	EHI52_RS02830
OG0000016	NB625_RS00175	EHI52_RS00170
OG0000017	NB625_RS00160	EHI52_RS00155
OG0000017	NB625_RS03005	EHI52_RS02840
OG0000019	NB625_RS03185	EHI52_RS03855
OG0000019	NB625_RS03175	EHI52_RS03865
OG0000019	NB625_RS03195	EHI52_RS03860
OG0000020	NB625_RS03695	EHI52_RS03555
OG0000021	NB625_RS01755	EHI52_RS02195
OG0000022	NB625_RS01665	EHI52_RS01715
OG0000022	NB625_RS01720	EHI52_RS01770
OG0000023	NB625_RS01320	EHI52_RS01380
OG0000024	NB625_RS02905	EHI52_RS02735
OG0000024	NB625_RS01275	EHI52_RS01335
OG0000025	NB625_RS01670	EHI52_RS01720
OG0000025	NB625_RS01715	EHI52_RS01765
OG0000026	NB625_RS01365	EHI52_RS01425
OG0000026	NB625_RS01695	EHI52_RS01745
OG0000027	NB625_RS03505	EHI52_RS03355
OG0000028	NB625_RS02565	EHI52_RS02420
OG0000029	NB625_RS00600	EHI52_RS01150
OG0000029	NB625_RS01080	EHI52_RS00620
OG0000030	NB625_RS03495	EHI52_RS03350
OG0000031	NB625_RS02145, NB625_RS01605	EHI52_RS01660
OG0000032	NB625_RS01585	EHI52_RS01630
OG0000033	NB625_RS02560	EHI52_RS03825
OG0000033	NB625_RS02555	EHI52_RS03820
OG0000035	NB625_RS03365	EHI52_RS03220
OG0000036	NB625_RS00110	EHI52_RS00115, EHI52_RS03705
OG0000036	NB625_RS00130	EHI52_RS00130
OG0000037	NB625_RS01595	EHI52_RS01635
