#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP098237.1:792896-794635|- -            580 539at2085            -            541  6.5e-247  815.9  14.3   1   1    4e-249  7.4e-247  815.7  14.3     1   541     8   574     8   574 0.97 NZ_CP098237.1_651 # 792896 # 794635 # -1 # ID=1_651;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.298
NZ_CP098237.1:69110-70477|+   -            456 539at2085            -            541   4.5e-10   34.2   0.9   1   3      0.21        38   -1.9   0.0   197   228    56    87    40   101 0.74 NZ_CP098237.1_64 # 69110 # 70477 # 1 # ID=1_64;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.303
NZ_CP098237.1:69110-70477|+   -            456 539at2085            -            541   4.5e-10   34.2   0.9   2   3   1.3e-08   2.4e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_CP098237.1_64 # 69110 # 70477 # 1 # ID=1_64;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.303
NZ_CP098237.1:69110-70477|+   -            456 539at2085            -            541   4.5e-10   34.2   0.9   3   3   5.9e-05     0.011    9.8   0.1   451   540   354   449   348   450 0.83 NZ_CP098237.1_64 # 69110 # 70477 # 1 # ID=1_64;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.303
NZ_CP098237.1:495277-496716|- -            480 539at2085            -            541   5.1e-07   24.1   6.9   1   2     0.015       2.7    1.9   0.0   186   316    43   183    34   205 0.66 NZ_CP098237.1_424 # 495277 # 496716 # -1 # ID=1_424;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.312
NZ_CP098237.1:495277-496716|- -            480 539at2085            -            541   5.1e-07   24.1   6.9   2   2   2.8e-09   5.2e-07   24.1   2.2   408   525   237   366   229   382 0.78 NZ_CP098237.1_424 # 495277 # 496716 # -1 # ID=1_424;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.312
NZ_CP098237.1:298944-300185|+ -            414 539at2085            -            541   0.00013   16.2   0.6   1   3      0.17        31   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_CP098237.1_262 # 298944 # 300185 # 1 # ID=1_262;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
NZ_CP098237.1:298944-300185|+ -            414 539at2085            -            541   0.00013   16.2   0.6   2   3   1.6e-05    0.0029   11.7   0.0   153   362   133   347   128   353 0.80 NZ_CP098237.1_262 # 298944 # 300185 # 1 # ID=1_262;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
NZ_CP098237.1:298944-300185|+ -            414 539at2085            -            541   0.00013   16.2   0.6   3   3     0.016       2.9    1.8   0.0   412   458   362   406   347   409 0.77 NZ_CP098237.1_262 # 298944 # 300185 # 1 # ID=1_262;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use
# Date:            Sun Dec  1 19:00:48 2024
# [ok]
