query	grouping_confidence	location_confidence	orientation_confidence
NZ_QQRK01000002.1	1.0	0.06732429983901349	1.0
NZ_QQRK01000015.1	1.0	1.0	1.0
NZ_QQRK01000010.1	1.0	1.0	1.0
NZ_QQRK01000022.1	1.0	0.02225814951854983	0.9961770871870761
NZ_QQRK01000030.1	1.0	0.024359821716067584	1.0
NZ_QQRK01000020.1	1.0	1.0	1.0
NZ_QQRK01000032.1	1.0	1.0	1.0
NZ_QQRK01000023.1	1.0	1.0	1.0
NZ_QQRK01000054.1	1.0	1.0	1.0
NZ_QQRK01000055.1	1.0	1.0	1.0
NZ_QQRK01000014.1	1.0	1.0	1.0
NZ_QQRK01000017.1	1.0	0.06369347192941836	0.82135170038743
NZ_QQRK01000018.1	1.0	0.06774418316912277	0.9662597327693935
NZ_QQRK01000011.1	1.0	1.0	1.0
NZ_QQRK01000019.1	1.0	1.0	1.0
NZ_QQRK01000044.1	1.0	1.0	1.0
NZ_QQRK01000026.1	1.0	1.0	1.0
NZ_QQRK01000005.1	1.0	1.0	1.0
NZ_QQRK01000029.1	1.0	1.0	1.0
NZ_QQRK01000024.1	1.0	1.0	1.0
NZ_QQRK01000012.1	1.0	1.0	1.0
NZ_QQRK01000035.1	1.0	1.0	1.0
NZ_QQRK01000041.1	1.0	1.0	1.0
NZ_QQRK01000008.1	1.0	0.05580713212345394	0.9986277606607462
NZ_QQRK01000001.1	1.0	0.35498849316179526	0.9970584035413395
NZ_QQRK01000053.1	1.0	0.0023664638269100743	0.5331632653061225
NZ_QQRK01000043.1	1.0	1.0	1.0
NZ_QQRK01000046.1	1.0	1.0	1.0
NZ_QQRK01000009.1	1.0	1.0	1.0
NZ_QQRK01000016.1	1.0	1.0	1.0
NZ_QQRK01000036.1	1.0	1.0	1.0
NZ_QQRK01000047.1	1.0	1.0	1.0
NZ_QQRK01000021.1	1.0	1.0	1.0
NZ_QQRK01000006.1	1.0	0.09889101355678426	0.9968532664462433
NZ_QQRK01000034.1	1.0	1.0	1.0
NZ_QQRK01000025.1	1.0	0.022699858794857333	0.995284729778745
NZ_QQRK01000007.1	1.0	1.0	1.0
NZ_QQRK01000027.1	1.0	1.0	1.0
NZ_QQRK01000028.1	1.0	1.0	1.0
NZ_QQRK01000058.1	1.0	1.0	1.0
NZ_QQRK01000004.1	1.0	1.0	1.0
NZ_QQRK01000013.1	1.0	1.0	1.0
NZ_QQRK01000003.1	1.0	1.0	1.0
