Orthogroup	MFC_MF30_genes	MFC_MF29_genes
OG0000000	DR084_RS02900	DR095_RS03080
OG0000000	DR084_RS02925	DR095_RS03105
OG0000000	DR084_RS02935	DR095_RS03160, DR095_RS04035, DR095_RS03065, DR095_RS03130, DR095_RS03185, DR095_RS03115
OG0000000	DR084_RS02480	DR095_RS01240
OG0000001	DR084_RS03095	DR095_RS00305, DR095_RS00300
OG0000002	DR084_RS01115	DR095_RS02820
OG0000002	DR084_RS02910	DR095_RS03445
OG0000002	DR084_RS03620	DR095_RS03820
OG0000011	DR084_RS03145	DR095_RS03240, DR095_RS03235
OG0000011	DR084_RS01055	DR095_RS03230
OG0000013	DR084_RS00890	DR095_RS00580
OG0000013	DR084_RS00885	DR095_RS00575
OG0000013	DR084_RS02985	DR095_RS03215
OG0000014	DR084_RS03465	DR095_RS03760
OG0000016	DR084_RS00585	DR095_RS00250
OG0000016	DR084_RS03605	DR095_RS00985
OG0000017	DR084_RS02415	DR095_RS01000
OG0000017	DR084_RS00575	DR095_RS00240
OG0000018	DR084_RS03555	DR095_RS03835
OG0000019	DR084_RS03440	DR095_RS03740
OG0000020	DR084_RS02530	DR095_RS03805
OG0000022	DR084_RS03625	DR095_RS03815
OG0000023	DR084_RS01910	DR095_RS01405
OG0000024	DR084_RS00640	DR095_RS00310
OG0000025	DR084_RS02490	DR095_RS01230
OG0000026	DR084_RS01955	DR095_RS01450
OG0000027	DR084_RS03655	DR095_RS03960
OG0000028	DR084_RS00905	DR095_RS00595
OG0000029	DR084_RS00420	DR095_RS00085
OG0000030	DR084_RS03660	DR095_RS03965
OG0000031	DR084_RS01000	DR095_RS01640, DR095_RS02710
OG0000033	DR084_RS00915	DR095_RS00600, DR095_RS03210
OG0000039	DR084_RS00480	DR095_RS00145
OG0000040	DR084_RS02240	DR095_RS01945
OG0000040	DR084_RS00690	DR095_RS00375, DR095_RS00380
OG0000042	DR084_RS00475	DR095_RS00140
OG0000042	DR084_RS00620	DR095_RS00285
OG0000043	DR084_RS01025	DR095_RS01635, DR095_RS02735
OG0000045	DR084_RS00485	DR095_RS03295, DR095_RS03300
OG0000047	DR084_RS03000	DR095_RS03200
OG0000048	DR084_RS02740	DR095_RS02830
OG0000049	DR084_RS02050	DR095_RS01755
OG0000050	DR084_RS00965	DR095_RS03970
OG0000051	DR084_RS01670	DR095_RS01545
OG0000052	DR084_RS02375	DR095_RS01040
OG0000053	DR084_RS03670	DR095_RS03995
OG0000054	DR084_RS00940	DR095_RS00625
OG0000055	DR084_RS03600, DR084_RS03710	DR095_RS01035
OG0000056	DR084_RS02515	DR095_RS01205
OG0000057	DR084_RS00500	DR095_RS00165
OG0000062	DR084_RS02265	DR095_RS01150
OG0000063	DR084_RS03590	DR095_RS01155
OG0000064	DR084_RS02250	DR095_RS01165
OG0000065	DR084_RS01815	DR095_RS01310
OG0000066	DR084_RS01945	DR095_RS01440
OG0000067	DR084_RS00345	DR095_RS00010
OG0000068	DR084_RS00455	DR095_RS00120
OG0000069	DR084_RS00610	DR095_RS00275
OG0000070	DR084_RS00920	DR095_RS00605
OG0000071	DR084_RS02230	DR095_RS01935
OG0000072	DR084_RS03585	DR095_RS03885
OG0000073	DR084_RS01245	DR095_RS02080
OG0000074	DR084_RS03540	DR095_RS03915
OG0000075	DR084_RS00175	DR095_RS00815
OG0000076	DR084_RS00190	DR095_RS00800
OG0000077	DR084_RS00275	DR095_RS00715
OG0000078	DR084_RS00725	DR095_RS00415
OG0000079	DR084_RS00835	DR095_RS00525
OG0000080	DR084_RS03130	DR095_RS03375
OG0000081	DR084_RS00170	DR095_RS00820
OG0000082	DR084_RS00895	DR095_RS00585
OG0000083	DR084_RS02845	DR095_RS03045
OG0000084	DR084_RS02690	DR095_RS02880
OG0000085	DR084_RS02695	DR095_RS02875
OG0000086	DR084_RS03665	DR095_RS03990
OG0000087	DR084_RS02720	DR095_RS02850
OG0000088	DR084_RS02725	DR095_RS02845
OG0000089	DR084_RS02735	DR095_RS02835
OG0000090	DR084_RS02370	DR095_RS01045
OG0000091	DR084_RS02355	DR095_RS01060
OG0000092	DR084_RS02340	DR095_RS01075
OG0000093	DR084_RS02335	DR095_RS01080
OG0000094	DR084_RS02330	DR095_RS01085
OG0000095	DR084_RS02305	DR095_RS01110
OG0000096	DR084_RS02300	DR095_RS01115
OG0000097	DR084_RS02280	DR095_RS01135
OG0000098	DR084_RS02270	DR095_RS01145
OG0000099	DR084_RS02520	DR095_RS01200
OG0000100	DR084_RS02510	DR095_RS01210
OG0000101	DR084_RS02505	DR095_RS01215
OG0000102	DR084_RS02495	DR095_RS01225
OG0000103	DR084_RS01780	DR095_RS01275
OG0000104	DR084_RS01785	DR095_RS01280
OG0000105	DR084_RS01800	DR095_RS01295
