Orthogroup	MHP_NCTC10127_proteins	MHP_ES2L_proteins
OG0000000	WP_129640575.1	WP_318036674.1
OG0000000	WP_129640577.1	WP_240536594.1
OG0000000	WP_088172555.1	WP_157696714.1
OG0000000	WP_323749055.1	WP_179221294.1
OG0000001	WP_011205979.1, WP_232039579.1	WP_240536639.1
OG0000001	WP_228365393.1	WP_240536609.1
OG0000001	WP_011206342.1	WP_240536607.1
OG0000002	WP_011206235.1	WP_218833877.1
OG0000002	WP_011206167.1	WP_179221108.1
OG0000004	WP_088172515.1	WP_179221232.1
OG0000004	WP_011206448.1	WP_179221230.1
OG0000004	WP_011206450.1	WP_179221234.1
OG0000004	WP_011206415.1	WP_240536612.1
OG0000005	WP_011205860.1	WP_146379449.1
OG0000005	WP_011205864.1	WP_179220984.1
OG0000005	WP_011205861.1	WP_179220982.1
OG0000005	WP_011205862.1	WP_179220983.1
OG0000005	WP_011205865.1	WP_011289946.1
OG0000006	WP_232039545.1	WP_233688469.1
OG0000006	WP_011206263.1	WP_240536595.1
OG0000006	WP_011206269.1	WP_240536597.1
OG0000008	WP_011206260.1	WP_011206260.1
OG0000008	WP_011206151.1	WP_240536647.1
OG0000008	WP_011206295.1	WP_225972989.1
OG0000009	WP_011206098.1	WP_179221024.1
OG0000010	WP_011206187.1	WP_179221114.1
OG0000010	WP_011205930.1	WP_240536640.1
OG0000011	WP_011206202.1	WP_179221118.1
OG0000012	WP_011205920.1	WP_146379492.1, WP_179221115.1
OG0000013	WP_011206279.1	WP_240536602.1
OG0000013	WP_232039504.1	WP_240536631.1
OG0000014	WP_232039607.1	WP_179221016.1
OG0000014	WP_011206109.1	WP_179221018.1
OG0000015	WP_269076340.1	WP_269076340.1
OG0000016	WP_011206378.1	WP_179221190.1
OG0000016	WP_011205873.1	WP_179220988.1
OG0000017	WP_011205870.1	WP_020835500.1
OG0000017	WP_011206380.1	WP_020835837.1
OG0000020	WP_011206516.1	WP_240536625.1
OG0000020	WP_011206517.1	WP_179221274.1
OG0000021	WP_011206128.1	WP_094521655.1
OG0000021	WP_011206127.1	WP_179221009.1
OG0000022	WP_011206154.1	WP_179221100.1
OG0000022	WP_129640563.1	WP_179221107.1
OG0000023	WP_129640559.1, WP_129640628.1	WP_179221212.1
OG0000024	WP_011206341.1	WP_179221186.1
OG0000024	WP_011205981.1	WP_011205981.1
OG0000025	WP_011206155.1	WP_179221101.1
OG0000025	WP_011206163.1	WP_179221106.1
OG0000026	WP_044284614.1	WP_179221074.1
OG0000026	WP_011206159.1	WP_179221105.1
OG0000027	WP_011206475.1	WP_011206475.1
OG0000027	WP_011206480.1	WP_179221251.1
OG0000028	WP_129640581.1	WP_179221153.1
OG0000029	WP_129640620.1	WP_179221049.1
OG0000029	WP_011206108.1	WP_179221019.1
OG0000030	WP_232039555.1	WP_179221248.1
OG0000030	WP_011206479.1	WP_179221250.1
OG0000031	WP_129640610.1, WP_011206356.1	WP_011206356.1
OG0000032	WP_232039557.1	WP_240536621.1
OG0000033	WP_129640579.1	WP_240536604.1, WP_240536605.1
OG0000035	WP_011206449.1	WP_179221231.1
