#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:248345-250141|+ -            599 501at2085            -            526  5.4e-249  822.6   9.1   1   1  8.8e-251  1.1e-248  821.6   9.1     1   526     1   594     1   594 0.93 scf00000000_183 # 248345 # 250141 # 1 # ID=1_183;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
scf00000000:251474-253558|- -            695 501at2085            -            526   6.3e-47  155.9   1.2   1   4   2.1e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000000_185 # 251474 # 253558 # -1 # ID=1_185;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:251474-253558|- -            695 501at2085            -            526   6.3e-47  155.9   1.2   2   4      0.64        80   -2.9   0.0   155   173   263   281   256   293 0.80 scf00000000_185 # 251474 # 253558 # -1 # ID=1_185;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:251474-253558|- -            695 501at2085            -            526   6.3e-47  155.9   1.2   3   4   7.2e-12   9.1e-10   33.2   0.1   170   339   301   485   289   498 0.69 scf00000000_185 # 251474 # 253558 # -1 # ID=1_185;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:251474-253558|- -            695 501at2085            -            526   6.3e-47  155.9   1.2   4   4    0.0032       0.4    4.7   0.0   350   411   607   675   595   691 0.78 scf00000000_185 # 251474 # 253558 # -1 # ID=1_185;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
scf00000000:17011-18810|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   1   3   2.1e-21   2.6e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000000_17 # 17011 # 18810 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:17011-18810|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   2   3      0.68        85   -3.0   0.6   135   181   388   434   377   452 0.72 scf00000000_17 # 17011 # 18810 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:17011-18810|-   -            600 501at2085            -            526   2.6e-19   64.7   2.9   3   3      0.41        51   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000000_17 # 17011 # 18810 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:911427-913226|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   1   3   2.1e-21   2.6e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000000_707 # 911427 # 913226 # -1 # ID=1_707;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:911427-913226|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   2   3      0.68        85   -3.0   0.6   135   181   388   434   377   452 0.72 scf00000000_707 # 911427 # 913226 # -1 # ID=1_707;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:911427-913226|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   3   3      0.41        51   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000000_707 # 911427 # 913226 # -1 # ID=1_707;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
