Orthogroup	MHP_J_genes	MHP_131B_genes
OG0000000	MHJ_RS02155	NB627_RS02355
OG0000000	MHJ_RS03645	NB627_RS02285, NB627_RS02265
OG0000000	MHJ_RS02065	NB627_RS02260
OG0000000	MHJ_RS02265	NB627_RS02480
OG0000000	MHJ_RS01665	NB627_RS01850
OG0000000	MHJ_RS01670	NB627_RS01860
OG0000001	MHJ_RS01255	NB627_RS01405
OG0000001	MHJ_RS02710	NB627_RS02935
OG0000002	MHJ_RS03585	NB627_RS02365
OG0000002	MHJ_RS03670	NB627_RS02360
OG0000002	MHJ_RS02080	NB627_RS02290
OG0000002	MHJ_RS01675	NB627_RS01865
OG0000003	MHJ_RS01795	NB627_RS01980
OG0000004	MHJ_RS03175	NB627_RS03390
OG0000004	MHJ_RS03180	NB627_RS03395
OG0000004	MHJ_RS03190	NB627_RS03405
OG0000004	MHJ_RS02995	NB627_RS03225
OG0000005	MHJ_RS00090	NB627_RS00100
OG0000005	MHJ_RS00095	NB627_RS00110
OG0000006	MHJ_RS03915	NB627_RS02685, NB627_RS02690
OG0000006	MHJ_RS02300	NB627_RS02520
OG0000007	MHJ_RS02140	NB627_RS02345
OG0000007	MHJ_RS02135	NB627_RS02325
OG0000008	MHJ_RS03790	NB627_RS02475
OG0000008	MHJ_RS03850	NB627_RS01765
OG0000008	MHJ_RS03925	NB627_RS02695
OG0000009	MHJ_RS00650	NB627_RS00775
OG0000009	MHJ_RS00660	NB627_RS00790
OG0000010	MHJ_RS01805	NB627_RS01985
OG0000011	MHJ_RS01895	NB627_RS02090
OG0000012	MHJ_RS02990	NB627_RS01310, NB627_RS02000
OG0000013	MHJ_RS02355	NB627_RS02570
OG0000013	MHJ_RS03825	NB627_RS00185
OG0000014	MHJ_RS01060	NB627_RS01205
OG0000014	MHJ_RS00590	NB627_RS00715
OG0000016	MHJ_RS02810	NB627_RS03030
OG0000016	MHJ_RS00145	NB627_RS00170
OG0000017	MHJ_RS00130	NB627_RS00155
OG0000017	MHJ_RS02820	NB627_RS03040
OG0000018	MHJ_RS01295	NB627_RS00490
OG0000019	MHJ_RS03950	NB627_RS03210, NB627_RS03220
OG0000020	MHJ_RS03515	NB627_RS03755
OG0000020	MHJ_RS03995	NB627_RS03760
