Orthogroup	MHP_112B_proteins	MFC_MF33_proteins
OG0000000	WP_404913768.1	WP_308704747.1
OG0000000	WP_404913720.1	WP_308704746.1
OG0000000	WP_404912439.1, WP_404913762.1	WP_308704748.1
OG0000000	WP_404913746.1	WP_160609401.1
OG0000001	WP_404912312.1, WP_404911958.1, WP_404911950.1, WP_011206342.1	WP_258556753.1
OG0000002	WP_404913718.1	WP_160609436.1
OG0000003	WP_225973025.1	WP_258556794.1
OG0000004	WP_160585636.1, WP_404913672.1, WP_404912021.1, WP_404912454.1, WP_404912456.1, WP_404912458.1	WP_220190012.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_404913724.1	WP_002557992.1
OG0000008	WP_404912369.1	WP_220190046.1
OG0000011	WP_404911790.1	WP_220190082.1, WP_308704744.1
OG0000013	WP_404911873.1	WP_160609296.1, WP_160609295.1
OG0000014	WP_404912188.1	WP_160609255.1
OG0000017	WP_020835500.1	WP_160609392.1
OG0000017	WP_020835837.1	WP_160609265.1
OG0000018	WP_404912406.1	WP_002557538.1
OG0000019	WP_404911993.1, WP_404911991.1	WP_160609324.1
OG0000020	WP_404913691.1	WP_220190067.1
OG0000022	WP_404912386.1	WP_160609400.1
OG0000023	WP_404912402.1	WP_160581288.1
OG0000024	WP_160585259.1, WP_404912310.1	WP_231237865.1
OG0000025	WP_404912384.1	WP_160609399.1
OG0000026	WP_192894288.1, WP_160606777.1	WP_160581190.1
OG0000027	WP_404912055.1	WP_160593509.1
OG0000029	WP_404913726.1, WP_404912190.1	WP_160609256.1
OG0000030	WP_240536353.1, WP_404912053.1	WP_160609414.1
OG0000031	WP_404912416.1	WP_160609420.1
OG0000032	WP_404913682.1	WP_258556787.1
OG0000033	WP_404911880.1	WP_160609298.1
OG0000039	WP_179221095.1	WP_160609261.1, WP_160609260.1
OG0000042	WP_044272729.1	WP_160609259.1, WP_160609271.1
OG0000043	WP_014579804.1	WP_160581416.1
OG0000045	WP_404912363.1	WP_144245607.1
OG0000048	WP_404912397.1	WP_160609435.1, WP_308704749.1
OG0000049	WP_020835860.1	WP_308704732.1
OG0000050	WP_404911890.1	WP_160609423.1
OG0000051	WP_404911930.1	WP_160583877.1
OG0000052	WP_404912127.1	WP_002557464.1
OG0000053	WP_160585093.1	WP_160609345.1
OG0000054	WP_020835786.1	WP_160609300.1
OG0000056	WP_404912090.1	WP_160609397.1
OG0000057	WP_258555814.1	WP_258556751.1
OG0000062	WP_094521530.1	WP_160581109.1
OG0000063	WP_404912101.1	WP_160609377.1
OG0000064	WP_011290440.1	WP_160581114.1
OG0000065	WP_233688433.1	WP_160583941.1
OG0000066	WP_404913732.1, WP_404913730.1	WP_160609349.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011206373.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_160609299.1
OG0000071	WP_146379735.1	WP_160609337.1
OG0000072	WP_404912031.1	WP_160609338.1
OG0000073	WP_404912207.1	WP_160609366.1
OG0000075	WP_014579568.1	WP_160581028.1
OG0000077	WP_404912169.1	WP_160609246.1
OG0000079	WP_404911913.1	WP_160609290.1
OG0000080	WP_011206314.1	WP_196792423.1
OG0000081	WP_160615521.1	WP_308704724.1
OG0000083	WP_011206216.1	WP_160581484.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206223.1	WP_002557452.1
OG0000086	WP_404913754.1	WP_160609432.1
OG0000087	WP_404912425.1	WP_236681783.1
OG0000088	WP_020835733.1	WP_160581443.1
OG0000089	WP_011206231.1	WP_002557461.1
OG0000090	WP_020835488.1	WP_002557465.1
OG0000091	WP_020835487.1	WP_160609387.1
OG0000092	WP_404912119.1	WP_160609385.1
OG0000093	WP_011205846.1	WP_002557472.1
OG0000094	WP_014579519.1	WP_160581096.1
OG0000095	WP_044272251.1	WP_160609382.1
OG0000096	WP_404912113.1	WP_002557480.1
OG0000097	WP_404912105.1	WP_002557483.1
OG0000098	WP_011290444.1	WP_160609378.1
OG0000099	WP_404912092.1	WP_160609396.1
OG0000100	WP_011290432.1	WP_160609398.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_404912445.1	WP_002557499.1
OG0000103	WP_146379627.1	WP_160609358.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_146379630.1	WP_002557514.1
OG0000106	WP_146379631.1	WP_160609357.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_404911836.1	WP_308704655.1
OG0000109	WP_146379632.1	WP_002557520.1
OG0000110	WP_020835772.1	WP_160581160.1
OG0000111	WP_020835771.1	WP_002557523.1
OG0000112	WP_404911866.1	WP_002557525.1
OG0000113	WP_404911858.1	WP_160609354.1
OG0000114	WP_404911856.1	WP_258556771.1
OG0000115	WP_011290245.1	WP_160609353.1
OG0000116	WP_404912315.1	WP_160609351.1
OG0000117	WP_160615714.1	WP_160609350.1
OG0000118	WP_404912325.1	WP_002557540.1
OG0000119	WP_160585678.1	WP_160581187.1
OG0000120	WP_011284027.1	WP_160609348.1
OG0000121	WP_011284032.1	WP_160609347.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_160581199.1
OG0000124	WP_011290118.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_160581203.1
OG0000126	WP_160606641.1	WP_160605532.1
OG0000127	WP_011290122.1	WP_160583976.1
OG0000128	WP_404912339.1	WP_160603202.1
OG0000129	WP_020835651.1	WP_160609344.1
OG0000130	WP_011284046.1	WP_160593526.1
OG0000131	WP_094521635.1	WP_002557566.1
OG0000132	WP_404912347.1	WP_002557569.1
OG0000133	WP_014579589.1	WP_002557574.1
OG0000134	WP_404912178.1	WP_160609249.1
OG0000135	WP_011206120.1	WP_002557577.1
OG0000136	WP_179695961.1	WP_002557578.1
OG0000137	WP_011206113.1	WP_160583687.1
OG0000138	WP_160584793.1	WP_160583684.1
OG0000139	WP_011290017.1	WP_160609258.1
OG0000140	WP_011206101.1	WP_002557595.1
OG0000141	WP_011284290.1	WP_002557602.1
OG0000142	WP_160607860.1	WP_002557603.1
OG0000143	WP_404913770.1	WP_002557607.1
OG0000144	WP_404911973.1	WP_002557609.1
OG0000145	WP_225972996.1	WP_160583671.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_404911967.1	WP_160583667.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_011206376.1	WP_002557623.1
OG0000151	WP_020835828.1	WP_160609274.1
OG0000152	WP_020835827.1	WP_160609275.1
OG0000153	WP_011206347.1	WP_160609276.1
OG0000154	WP_160587842.1	WP_160609277.1
OG0000155	WP_020835820.1	WP_160609279.1
OG0000156	WP_011206335.1	WP_160583648.1
OG0000157	WP_011290309.1	WP_160609306.1
OG0000158	WP_404911941.1	WP_160609281.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_179221158.1	WP_002557668.1
OG0000161	WP_014579880.1	WP_160593407.1
OG0000162	WP_044272532.1	WP_002557671.1
OG0000163	WP_404911888.1	WP_160584006.1
OG0000164	WP_160601269.1	WP_160581414.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_404911786.1	WP_160609426.1
OG0000167	WP_011206207.1	WP_160581429.1
OG0000168	WP_404911779.1	WP_002557693.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_160609326.1
OG0000171	WP_404911998.1	WP_160581256.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_011206425.1	WP_002557708.1
OG0000174	WP_404912001.1	WP_002557709.1
OG0000175	WP_404913662.1	WP_160609328.1
OG0000176	WP_160607777.1	WP_160609331.1
OG0000177	WP_160585273.1	WP_160609332.1
OG0000178	WP_020835878.1	WP_002557721.1
OG0000179	WP_160585639.1	WP_160609333.1
OG0000180	WP_160585638.1	WP_002557725.1
OG0000181	WP_020835888.1	WP_160609335.1
OG0000182	WP_011284337.1	WP_160603214.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_011206468.1	WP_160581467.1
OG0000185	WP_020835897.1	WP_002557743.1
OG0000186	WP_404912349.1	WP_160603234.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_160603230.1
OG0000189	WP_404911845.1	WP_160609372.1
OG0000190	WP_011206256.1	WP_160605458.1
OG0000191	WP_146379633.1	WP_258556776.1
OG0000192	WP_404912441.1	WP_160609368.1
OG0000193	WP_404912294.1	WP_002557766.1
OG0000194	WP_011290023.1	WP_002557768.1
OG0000195	WP_094521583.1	WP_002557769.1
OG0000196	WP_179221025.1	WP_002557774.1
OG0000197	WP_041361572.1	WP_002557775.1
OG0000198	WP_011283930.1	WP_160605468.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_020835575.1	WP_160609364.1
OG0000201	WP_011283934.1	WP_160609363.1
OG0000202	WP_011290039.1	WP_002557791.1
OG0000203	WP_011206072.1	WP_160583979.1
OG0000204	WP_146379508.1	WP_160609309.1
OG0000205	WP_160606691.1	WP_002557794.1
OG0000206	WP_011290044.1	WP_002557798.1
OG0000207	WP_011206063.1	WP_160609312.1
OG0000208	WP_135618591.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_146379515.1	WP_160581347.1
OG0000211	WP_011290054.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_160585195.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_020835589.1	WP_160609313.1
OG0000216	WP_160585193.1	WP_160581343.1
OG0000217	WP_011206044.1	WP_160609314.1
OG0000218	WP_404912251.1	WP_160609315.1
OG0000219	WP_220190714.1	WP_160603160.1
OG0000220	WP_011206040.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_404912259.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011206031.1	WP_002557833.1
OG0000228	WP_041361593.1	WP_160609316.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_404912263.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_160581334.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_011290071.1	WP_160581330.1
OG0000234	WP_404912276.1	WP_160609320.1
OG0000235	WP_094521605.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_160581215.1
OG0000237	WP_404912280.1	WP_160593437.1
OG0000238	WP_011206006.1	WP_002557856.1
OG0000239	WP_011290347.1	WP_002557863.1
OG0000240	WP_404911978.1	WP_002557864.1
OG0000241	WP_044272588.1	WP_002557866.1
OG0000242	WP_404911981.1	WP_002557867.1
OG0000243	WP_146379703.1	WP_002557868.1
OG0000244	WP_041361690.1	WP_002557870.1
OG0000245	WP_146379707.1	WP_002557872.1
OG0000246	WP_404912139.1	WP_002557875.1
OG0000247	WP_404912141.1	WP_002557877.1
OG0000248	WP_052259122.1	WP_002557882.1
OG0000249	WP_160588044.1	WP_160609393.1
OG0000250	WP_011289957.1	WP_002557886.1
OG0000251	WP_318023737.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_160581051.1
OG0000253	WP_011289964.1	WP_160583733.1
OG0000254	WP_160584767.1	WP_160583731.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_160609238.1
OG0000258	WP_011289974.1	WP_160609239.1
OG0000259	WP_041361723.1	WP_160609242.1
OG0000260	WP_094521550.1	WP_002557913.1
OG0000261	WP_044272293.1	WP_160609243.1
OG0000262	WP_041361531.1	WP_002557919.1
OG0000263	WP_011283885.1	WP_160609245.1
OG0000264	WP_011283887.1	WP_160581017.1
OG0000265	WP_044284579.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_020835532.1	WP_002557932.1
OG0000268	WP_011289993.1	WP_160583705.1
OG0000269	WP_011206134.1	WP_002557936.1
OG0000270	WP_404912080.1	WP_160583792.1
OG0000271	WP_404913687.1	WP_002557946.1
OG0000272	WP_404912074.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_011290423.1	WP_160581375.1
OG0000275	WP_404912071.1	WP_160581377.1
OG0000276	WP_011290421.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_002557956.1
OG0000278	WP_011206493.1	WP_160581384.1
OG0000279	WP_011290418.1	WP_160609409.1
OG0000280	WP_404912067.1	WP_002557960.1
OG0000281	WP_011290416.1	WP_002557961.1
OG0000282	WP_160590212.1	WP_160609411.1
OG0000283	WP_044272663.1	WP_002557965.1
OG0000284	WP_160585585.1	WP_160609412.1
OG0000285	WP_404912060.1	WP_002557967.1
OG0000286	WP_160615969.1	WP_160580983.1
OG0000287	WP_404911902.1	WP_160609294.1
OG0000288	WP_404911904.1	WP_002557980.1
OG0000289	WP_020835793.1	WP_160609292.1
OG0000290	WP_011290297.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_044272553.1	WP_002558006.1
OG0000293	WP_404913649.1	WP_160609286.1
OG0000294	WP_404911922.1	WP_160609287.1
OG0000295	WP_011206315.1	WP_160580958.1
OG0000296	WP_041361673.1	WP_160580964.1
OG0000297	WP_146379664.1	WP_160580966.1
OG0000298	WP_404912146.1	WP_160605278.1
